Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P067172427;13470;10012.7;85.4786;8116.67;10489
P068172427;13340;11013.1;88.2685;8554.76;10989.5
P072172407;12800;8377.82;88.5312;6796.42;10360.7
P072172427;13340;11103.8;86.9188;8369.67;11291.4
P073172405;12800;8430.05;88.3872;7031.46;10144.7
P074172427;13470;9533.38;86.5461;7809;10360.7
P065172427;2670;1855;10.3489;5889.46;4872.82
P066172405;8000;4393.9;47.8176;6894.36;6264.99
P067172407;11200;6165.24;67.9584;6988.65;7928.73
P068172407;12800;8300.14;86.6016;6872.63;10196
P075172407;12800;8319.94;88.2432;6994.06;10077.3
P075172427;13340;10467.9;84.417;8564.77;10432.8
P079172407;12800;8083.58;88.2432;6565.56;10329.9
P079172427;13470;9983.06;85.2425;7944.97;10655.3
P080172405;12800;7579.22;79.4208;7127.85;9183.88
P081172407;12800;8164.46;86.7456;7065.16;9840.66
P081172427;12535;8432.6;85.4919;7339.03;9796.26
P082172427;13205;10674;86.0086;8342.89;10892.1
P075071701;12970;23550.5;64.9096;11652.7;19991.7
P079071701;13400;27969.2;77.1208;10961.6;25199
Q065071701_1;570;456.75;0.404141;4580.11;4968.73
P065071701;13400;22864.4;62.152;9735.84;21493
P068071701;12910;24299.7;67.6917;10518.2;22035.5
P072071701;13340;27166.8;75.4793;11775;23468.4
P082071701;12940;25340.5;68.8948;11337.6;22141.2
P086071701;13200;26724.5;76.733;10863.1;24066.7
P089071701;11970;21308.3;58.4324;10589.2;18963
P093071701;13170;27521.8;78.1828;11893.4;23688.3
Q096071701_1;9200;15210.1;29.2069;11073.9;12311.8
P096071701;13340;25378.6;82.6596;10787.7;22806.9
P103071701;11940;22591;64.0808;11838.1;18820.6
P107071701;13080;27923;74.4678;11459.7;24584.4
P110071701;13340;22190;62.1153;9734.41;20820.2
P114071701;13340;27440.2;75.6745;11434.6;24130.3
P088350001;12580;19248.2;66.1611;10806.7;16654.8
P095350001;13350;19869;70.8116;10338.4;17810
P069350001;7970;11102.1;38.4012;10544.6;8807.77
P075350001;12110;19103;64.9779;11839.6;15330.9
P082350001;10490;16873.4;55.3136;11525.6;13459.6
P102350001;12410;16114.6;56.7921;8766.24;15849.6
P107350001;9820;13438.1;48.1516;11175.9;10423.4
P110350001;9070;10838.9;39.6331;9497.78;9739.15
P114350001;7620;8330.27;32.9056;9299.98;7456.21
P086172427;13340;11729;87.2529;8736.94;11497.5
P087172405;12800;8405.47;88.5312;7156.62;9977.29
P090172405;12800;8373.12;88.5312;6563.73;10621.5
P093172407;12800;8520.36;88.6752;6813.62;10483.6
P086172407;12800;7622.42;82.9344;6679.27;9738.97
P088172407;12800;8286.19;88.3872;6754.01;10317.5
P088172427;13470;9594.44;86.7362;8014.93;10186.8
P089172427;13340;11047.4;86.4868;8269.8;11348.9
P093172427;13205;10125.6;84.0828;8212.4;10492.6
P095172407;12800;8323.3;88.3872;6785.97;10318.1
P095172427;13205;9904.94;85.4326;8382.86;10077.5
P096172427;13075;12161.4;84.5017;8941.4;11696.6
P097172405;12800;8129.93;85.008;7044.98;9829.15
P102172427;13205;9258.93;81.3852;8117.26;9734.53
P103172427;13340;11101.8;86.6308;8279.51;11392.2
P104172405;12800;8063.71;88.3872;6643.33;10221.3
P109172427;13205;9084.6;78.0502;8454.1;9175.81
P110172427;13470;10403.8;87.4562;8142.71;10850.3
P111172405;12800;8435.52;88.8192;6818.21;10393.5
P114172427;13470;9836.26;85.0985;7959.61;10491.8
P101172405;12800;7619.02;79.5552;6419.38;10032.1
