Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090015100_28022023005337;P082172427;P082172427_1;A1;0;0;0 ;1335 ;1140 ;1360
0090015100_28022023005337;P082172427;P082172427_1;A2;0;0;1360 ;1335 ;1140 ;2720
0090015100_28022023005337;P082172427;P082172427_2;B1;0;1300;0 ;1335 ;2440 ;1360
0090015100_28022023005337;P082172427;P082172427_2;B2;0;1300;1360 ;1335 ;2440 ;2720
0090015100_28022023005337;P082172427;P082172427_3;C1;1335;1300;0 ;2670 ;2440 ;1360
0090015100_28022023005337;P082172427;P082172427_3;C2;1335;1300;1360 ;2670 ;2440 ;2720
0090015100_28022023005337;P082172427;P082172427_4;D1;1335;0;0 ;2670 ;1140 ;1360
0090015100_28022023005337;P082172427;P082172427_4;D2;1335;0;1360 ;2670 ;1140 ;2720
0090015100_28022023005337;P082172427;P082172427_5;E1;2670;0;0 ;4005 ;1140 ;1360
0090015100_28022023005337;P082172427;P082172427_5;E2;2670;0;1360 ;4005 ;1140 ;2720
0090015100_28022023005337;P082172427;P082172427_6;F1;2670;1300;0 ;4005 ;2440 ;1360
0090015100_28022023005337;P082172427;P082172427_6;F2;2670;1300;1360 ;4005 ;2440 ;2720
0090015100_28022023000138;P082172427;P082172427_7;G1;4005;1240;0 ;5605 ;2440 ;1000
0090015100_28022023000138;P082172427;P082172427_7;G2;4005;1240;1000 ;5605 ;2440 ;1955
0090015100_28022023003389;P082172427;P082172427_7;G3;4005;1240;1955 ;5605 ;2440 ;2910
0090015100_28022023003363;P082172427;P082172427_8;H1;4005;0;0 ;5605 ;1200 ;1000
0090015100_28022023006685;P082172427;P082172427_8;H2;4005;0;1000 ;5605 ;1200 ;1955
0090015100_28022023002682;P082172427;P082172427_8;H3;4005;0;1955 ;5605 ;1200 ;2910
0090015100_28022023004326;P082172427;P082172427_9;I1;5605;0;0 ;7205 ;1200 ;975
0090015100_28022023004000;P082172427;P082172427_9;I2;5605;0;975 ;7205 ;1200 ;1905
0090015100_28022023004326;P082172427;P082172427_9;I3;5605;0;1905 ;7205 ;1200 ;2835
0090015100_28022023001521;P082172427;P082172427_10;J1;5605;1240;0 ;7205 ;2440 ;975
0090015100_28022023002890;P082172427;P082172427_10;J2;5605;1240;975 ;7205 ;2440 ;1905
0090015100_28022023001521;P082172427;P082172427_10;J3;5605;1240;1905 ;7205 ;2440 ;2835
0090015100_28022023003896;P082172427;P082172427_11;K1;7205;1240;0 ;8805 ;2440 ;1000
0090015100_28022023002682;P082172427;P082172427_11;K2;7205;1240;1000 ;8805 ;2440 ;1955
0090015100_28022023005790;P082172427;P082172427_11;K3;7205;1240;1955 ;8805 ;2440 ;2910
0090015100_28022023005136;P082172427;P082172427_12;L1;7205;0;0 ;8805 ;1200 ;1000
0090015100_28022023005136;P082172427;P082172427_12;L2;7205;0;1000 ;8805 ;1200 ;1955
0090015100_28022023005136;P082172427;P082172427_12;L3;7205;0;1955 ;8805 ;1200 ;2910
0090015100_28022023005136;P082172427;P082172427_13;M1;8805;0;0 ;10405 ;1200 ;1000
0090015100_28022023005136;P082172427;P082172427_13;M2;8805;0;1000 ;10405 ;1200 ;1955
0090015100_28022023005136;P082172427;P082172427_13;M3;8805;0;1955 ;10405 ;1200 ;2910
0090015100_28022023003763;P082172427;P082172427_14;N1;8805;1240;0 ;10405 ;2440 ;1000
0090015100_28022023003763;P082172427;P082172427_14;N2;8805;1240;1000 ;10405 ;2440 ;1955
0090015100_28022023003763;P082172427;P082172427_14;N3;8805;1240;1955 ;10405 ;2440 ;2910
0090015100_28022023003763;P082172427;P082172427_15;O1;10405;1240;0 ;12005 ;2440 ;1000
0090015100_28022023003763;P082172427;P082172427_15;O2;10405;1240;1000 ;12005 ;2440 ;1955
0090015100_28022023003763;P082172427;P082172427_15;O3;10405;1240;1955 ;12005 ;2440 ;2910
0090015100_28022023003845;P082172427;P082172427_16;P1;10405;0;0 ;12005 ;1200 ;1000
0090015100_28022023003763;P082172427;P082172427_16;P2;10405;0;1000 ;12005 ;1200 ;1955
0090015100_28022023003845;P082172427;P082172427_16;P3;10405;0;1955 ;12005 ;1200 ;2910
0090015100_28022023003845;P082172427;P082172427_17;Q1;12005;0;0 ;13205 ;1600 ;1000
0090015100_28022023003845;P082172427;P082172427_17;Q2;12005;0;1000 ;13205 ;1600 ;1955
0090015100_28022023006551;P082172427;P082172427_17;Q3;12005;0;1955 ;13205 ;1600 ;2910
0090015100_28022023001521;P082172407;P082172407_1;A1;0;0;0 ;1600 ;1200 ;975
0090015100_28022023001521;P082172407;P082172407_1;A2;0;0;975 ;1600 ;1200 ;1905
0090015100_28022023001521;P082172407;P082172407_1;A3;0;0;1905 ;1600 ;1200 ;2835
0090015100_28022023001020;P082172407;P082172407_2;B1;0;1240;0 ;1600 ;2440 ;975
0090015100_28022023001521;P082172407;P082172407_2;B2;0;1240;975 ;1600 ;2440 ;1905
0090015100_28022023001020;P082172407;P082172407_2;B3;0;1240;1905 ;1600 ;2440 ;2835
0090015100_28022023004463;P082172407;P082172407_3;C1;1600;1240;0 ;3200 ;2440 ;1000
0090015100_28022023004463;P082172407;P082172407_3;C2;1600;1240;1000 ;3200 ;2440 ;1955
0090015100_28022023004463;P082172407;P082172407_3;C3;1600;1240;1955 ;3200 ;2440 ;2910
0090015100_28022023004463;P082172407;P082172407_4;D1;1600;0;0 ;3200 ;1200 ;1000
0090015100_28022023004463;P082172407;P082172407_4;D2;1600;0;1000 ;3200 ;1200 ;1955
0090015100_28022023004463;P082172407;P082172407_4;D3;1600;0;1955 ;3200 ;1200 ;2910
0090015100_28022023006248;P082172407;P082172407_5;E1;3200;0;0 ;4800 ;1200 ;1000
0090015100_28022023004463;P082172407;P082172407_5;E2;3200;0;1000 ;4800 ;1200 ;1955
0090015100_28022023006248;P082172407;P082172407_5;E3;3200;0;1955 ;4800 ;1200 ;2910
0090015100_28022023001020;P082172407;P082172407_6;F1;3200;1240;0 ;4800 ;2440 ;975
0090015100_28022023001020;P082172407;P082172407_6;F2;3200;1240;975 ;4800 ;2440 ;1905
0090015100_28022023001020;P082172407;P082172407_6;F3;3200;1240;1905 ;4800 ;2440 ;2835
0090015100_28022023001020;P082172407;P082172407_7;G1;4800;1240;0 ;6400 ;2440 ;975
0090015100_28022023001020;P082172407;P082172407_7;G2;4800;1240;975 ;6400 ;2440 ;1905
0090015100_28022023001285;P082172407;P082172407_7;G3;4800;1240;1905 ;6400 ;2440 ;2835
0090015100_28022023006304;P082172407;P082172407_8;H1;4800;0;0 ;6400 ;1200 ;1000
0090015100_28022023006248;P082172407;P082172407_8;H2;4800;0;1000 ;6400 ;1200 ;1955
0090015100_28022023004223;P082172407;P082172407_8;H3;4800;0;1955 ;6400 ;1200 ;2910
0090015100_28022023001285;P082172407;P082172407_9;I1;6400;0;0 ;8000 ;1200 ;975
0090015100_28022023001285;P082172407;P082172407_9;I2;6400;0;975 ;8000 ;1200 ;1905
0090015100_28022023001285;P082172407;P082172407_9;I3;6400;0;1905 ;8000 ;1200 ;2835
0090015100_28022023001285;P082172407;P082172407_10;J1;6400;1240;0 ;8000 ;2440 ;975
0090015100_28022023001285;P082172407;P082172407_10;J2;6400;1240;975 ;8000 ;2440 ;1905
0090015100_28022023001285;P082172407;P082172407_10;J3;6400;1240;1905 ;8000 ;2440 ;2835
0090015100_28022023000211;P082172407;P082172407_11;K1;8000;1240;0 ;9600 ;2440 ;975
0090015100_28022023001397;P082172407;P082172407_11;K2;8000;1240;975 ;9600 ;2440 ;1905
0090015100_28022023000211;P082172407;P082172407_11;K3;8000;1240;1905 ;9600 ;2440 ;2835
0090015100_28022023005460;P082172407;P082172407_12;L1;8000;0;0 ;9600 ;1200 ;1000
0090015100_28022023004223;P082172407;P082172407_12;L2;8000;0;1000 ;9600 ;1200 ;1955
0090015100_28022023001809;P082172407;P082172407_12;L3;8000;0;1955 ;9600 ;1200 ;2910
0090015100_28022023002779;P082172407;P082172407_13;M1;9600;0;0 ;11200 ;1200 ;1000
0090015100_28022023002908;P082172407;P082172407_13;M2;9600;0;1000 ;11200 ;1200 ;1955
0090015100_28022023005170;P082172407;P082172407_13;M3;9600;0;1955 ;11200 ;1200 ;2910
0090015100_28022023005170;P082172407;P082172407_14;N1;9600;1240;0 ;11200 ;2440 ;1000
0090015100_28022023000674;P081172427;P081172427_1;A1;0;0;0 ;1335 ;1140 ;1360
0090015100_28022023000674;P081172427;P081172427_1;A2;0;0;1360 ;1335 ;1140 ;2720
0090015100_28022023000674;P081172427;P081172427_2;B1;0;1300;0 ;1335 ;2440 ;1360
