Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P067172427;13470;9420.61;83.213;8195;9807.49
P068172407;12800;8622.12;88.6752;7070.04;10292.7
P072172427;13340;10987.4;86.4868;8294.75;11260.5
P073172405;12800;8616.17;88.8192;6846.07;10542.4
P075172427;13340;10409;84.273;8539.58;10402.7
P079172407;12800;8131.32;88.0992;6816.97;10090.7
P079172427;13470;9812.02;83.5529;7968.22;10457.7
P080172405;12800;8377.78;88.5312;6820.08;10333.6
P068172427;13340;10618.4;87.8365;8521.52;10632.7
P072172407;12800;8555.83;88.8192;6848.52;10479.2
P074172427;13470;9647.94;86.6901;7735.18;10559.5
P075172407;12800;8346.43;88.3872;7108.65;9973
P081172427;12535;8741.31;84.0903;7696.06;9697.56
P082172407;11200;6804.05;73.5456;7170.98;8359.48
P082172427;13205;10423.6;86.0086;8351.3;10632.1
P089071701;12000;21831.3;59.4944;10985.4;19034
P093071701;13170;26998.8;77.1417;10598.6;24642.8
P103071701;13340;23399.6;66.0428;9477.08;22323.4
P107071701;13340;27114.4;72.4849;11581;23637.4
P110071701;13370;22632.9;61.9028;9527.59;21499.1
P114071701;13170;27389.4;77.5653;10916.4;24670.8
Q068071701_1;1000;570;1.17;4683.3;4964.23
P068071701;13370;23729.7;66.7377;11379.4;20482.8
P072071701;13340;27166.8;75.4793;11775;23468.4
P075071701;12370;23048.9;62.6149;11786.3;19337.6
P079071701;13400;27791.5;77.7581;11599.5;24293.3
P082071701;11570;20036.3;56.5388;11100.6;17107.6
Q086071701_1;3600;8658.72;19.2385;11692.4;5054.61
P086071701;13170;24049.3;71.5821;9998.3;22378.3
Q096071701_1;9170;13011.4;27.6556;10651.7;10594.8
P096071701;13370;27577.3;84.1245;11736.9;23922.4
P069350001;3200;4114.3;15.3936;7982.46;4743.72
P073350001;6970;9970.85;34.6809;10679.9;7522.12
P076350001;5800;9195.55;30.3769;11178.5;6177.85
P080350001;7540;11279.8;37.5986;11938.6;7394.76
P083350001;3800;4427.09;13.9798;7966.56;5074.65
P086350001;6140;8090.9;26.8234;10052.7;6357.9
P088350001;7920;11877.5;41.2194;11244;8784.99
P093350001;5370;7370.69;24.9619;9645.46;6102.39
P095350001;5080;5019.2;17.0698;8069.93;5548.81
P096350001;11000;14849.8;53.9024;10196.4;12952.8
P102350001;5750;4056.14;15.7503;7216.37;5559.78
P103350001;8520;12058.5;41.1282;10750.9;9528.76
P107350001;6520;8134.34;31.2017;9564.81;6958.08
P109350001;3810;5303.81;17.0248;8848.29;4945.19
P110350001;9710;11054.2;40.7241;8945.41;10584.8
P114350001;7180;8114.99;31.8146;9564.52;6939.06
P088172427;13470;9577.06;86.5922;7995.3;10191.8
P089172427;13340;11358.8;86.9188;8451.12;11453.4
P093172427;13205;9950.68;83.9388;8148.99;10390.1
P094172405;12800;8373.17;88.5312;6868.28;10274
P095172427;13205;10434.1;85.8646;8600.99;10357.7
P086172407;12800;7136.02;77.3376;6663.2;9270.9
P086172427;13340;11667.5;87.3969;8844.06;11313.7
P087172405;12800;8442.55;88.5312;6784.61;10438.9
P088172407;12800;7167.1;77.3952;7013.56;8902.16
P090172405;8000;4892.26;51.6768;7112.72;6514.17
P093172407;12800;7187.86;77.3472;6930.74;9017.44
P096172407;9600;5902.8;64.2528;7254.14;7363.34
P096172427;13075;12008.5;84.5017;8992.42;11485.4
P097172405;12800;8125.32;85.008;7159.63;9693.7
P107172427;13205;9710.21;82.1974;8515.18;9731.72
P108172405;12800;8487.74;88.6752;6862.78;10394.9
P109172427;13205;10384.4;85.7206;8429.9;10503.2
P101172405;12800;7421.54;77.7216;6444.32;9806.2
P102172407;11200;6265.92;68.1024;7198.9;7789.49
P102172427;13205;9737.82;83.3628;8090.12;10244.4
P103172427;13340;11064.7;86.6308;8465.16;11143.3
P104172405;9600;5593.27;59.088;7159.05;7162.32
P107172407;12800;7708.58;81.1104;6969.08;9494.41
P110172407;12800;7954.25;82.9824;7087.98;9604.4
P110172427;13470;9997.16;87.3122;8285.76;10280.5
P114172407;8000;4861.27;53.3184;7078.51;6522.23
P114172427;13470;9903.14;85.3865;7963.44;10554.3
P066070307;10678;4732.5;57.0625;6548.52;6998.25
P067070309;11668;5333.67;66.6042;6489.82;7666.41
P068070307;10662;4780.89;59.7885;6556.53;7037.5
P069070309;12268;5607.09;66.8983;6425.39;8013.35
P072070307;10261;4821.12;58.7058;6708.51;6904.31
P073070307;9674;4588.28;55.8256;6691.17;6691.25
P074070309;13265;5874.28;71.7803;6398.33;8311.42
P075070307;10665;4847.54;58.8215;6609.96;7043.18
P076070309;11274;5657.27;69.061;6712.8;7735.56
P079070307;10668;4815.33;58.0601;6740.87;6861.58
P080070307;11268;5352.02;67.1945;6486.2;7688.88
P081070309;10261;4936.26;60.1748;6688.03;7042.81
P082070307;10264;5095.1;60.3688;6842.61;7025.25
P083070309;8651;3805.33;46.8729;6576.25;6039.44
P086070307;12275;5644.01;68.6115;6487.76;7979.09
P087070307;11258;5005.82;61.7873;6608.71;7202.89
P088070309;10661;5175.62;63.4549;6764.14;7195.32
P089070307;9655;4619.51;56.3561;6747.88;6657.77
P090070309;10264;5109.09;61.856;6738.97;7157.5
P093070307;9668;3927.8;49.1531;6507.09;6240.82
P094070307;10254;4816.45;57.7421;6731.36;6873.55
P095070309;9652;4340.74;53.2383;6632.07;6511.15
P096070307;10261;4633.03;57.0304;6500.49;6953.59
P097070309;10834;5279.95;64.8751;6865.48;7184
P101070307;10672;4333.44;54.2;6407.15;6760.52
P102070309;9674;4507.51;54.9866;6691.66;6609.92
P103070307;10255;5067.77;60.584;6714.02;7144.66
P104070309;10248;4529.11;56.7006;6569.54;6770.88
P107070307;10257;5004.55;60.2532;6837.03;6941.06
P108070307;10254;4283.35;52.6755;6583.44;6509.26
P109070309;9671;5106.95;61.3184;6893.57;6978.94
P110070307;9668;4616.6;56.7186;6684.02;6727.72
P111070309;9831;4776.2;58.0571;6693.52;6876.48
P114070307;10658;4775.51;59.3724;6696.52;6872.36
P069174601;3850;5345.17;14.9024;8516.16;5365.56
P073171401;13490;18208.4;71.5855;10489.5;15977
P104174601;9470;12249.9;38.3314;10866.9;9587.77
P108171401;13380;19672.1;77.8937;10669.7;17235
P066171401;4210;3316.06;25.1347;6800.99;5293.71
P076174601;8320;9965.14;32.7578;10599.3;7608.35
Q080171401_1;2720;3324.68;7.64114;7256.6;4782.41
P080171401;13370;18701.1;77.0349;10952.5;15941.3
P083174601;7740;9105.05;29.9732;10304.3;7084.92
Q087171401_1;2710;3894.07;8.415;7726.7;4815.35
P087171401;13370;18965.5;76.4159;10999.5;16152
P090174601;7040;9011.93;30.1135;10462.3;6811.48
P094171401;13490;18553;68.9621;9426.94;17534.1
P097174601;6320;6838.4;23.5858;9393.79;5857.3
Q101171401_1;2280;3983.45;8.28547;7882.3;4727.17
P101171401;13370;17855.1;73.3371;11004;15036.4
P111174601;7020;9183.52;30.8248;10363.4;7095.99
P088172401;7000;5155.18;40.3196;7772.72;6023.95
P089172401;13020;10924.4;86.1415;7799.16;11763
P067172401;7000;5111.8;40.2434;7681.11;6085.11
P068172401;13210;10826.1;85.0376;7771.18;11696.7
P072172401;13020;10904.4;86.0097;7536.95;12042.3
P074172401;9000;6938.24;55.1114;8181.3;7340.76
P075172401;13020;10753.8;84.5318;7752.86;11645.3
P079172401;13210;10925.8;85.9755;7760.79;11808.1
P081172401;8000;5690.69;44.9903;7873.58;6444.35
P082172401;13020;10734.9;84.7487;7401.48;12027.3
P086172401;13210;10815;84.8123;7859.94;11584.2
P093172401;13000;10137;79.9722;7883.93;10878.9
P095172401;13210;10088.8;78.1795;7868.31;10848.5
P096172401;13020;10632;85.1378;7915.35;11338
P102172401;7010;5403.02;42.6387;7829.04;6207.51
P103172401;13030;10383.2;81.781;7849.57;11164.2
P107172401;13020;10644.3;83.9672;7736.55;11554.3
P109172401;7000;4963.78;38.8399;7685.09;5932.54
P110172401;13020;10497.2;82.9052;7756.82;11384.1
P114172401;13010;10143.2;79.6273;7969.19;10787.7
P067076305;8020;6678.53;45.6232;8767.52;6412.09
P069076305;7010;6809.13;42.7364;9083.28;6182.37
P072076301;8010;6878.98;50.926;8450.02;6974.85
P074076305;11020;10126.4;69.3154;9274.43;9281.52
P076076305;8010;7724.11;49.6159;9350.62;6792.28
P079076301;8010;6745.1;49.756;8460.77;6828.71
P081076305;12020;10305.7;70.4854;9229.5;9512.07
P083076305;6010;5228.44;32.6522;8344.39;5444.86
P086076301;8010;7068.11;51.7146;8541.27;7059.86
P088076305;11020;10118.7;69.6428;9245.18;9307.22
P090076305;7010;6801.45;43.0638;9060.12;6201.11
P093076301;7010;6168.35;44.9106;8342.51;6386.91
P095076305;10020;9038.16;62.6332;9183.73;8296.77
P097076305;11020;9319.48;63.6814;9269.96;8479.68
P102076305;11020;9981.34;68.5268;9248.34;9166.21
P104076305;7010;6185.13;39.3344;8784.87;5898.9
P107076301;8010;6653.11;48.64;8452.04;6746.67
P109076305;11020;9984.86;68.5268;9264.71;9151.06
P111076305;7010;6385.59;40.5044;8857.97;6015.94
P114076301;7010;6294.55;46.354;8356.91;6496.67
P072070207;12710;12680;75.8842;9963.5;11048.8
P074070205;13130;13705.9;85.5921;7740.33;14611.6
P079070207;10480;10484.5;65.9372;9486.95;9397.05
P081070205;13130;14366.8;85.4247;8298.34;14635.8
P086070207;11700;10858.2;68.8341;9390.84;9880.44
P088070205;13130;14726.4;89.2758;8078.62;15246.1
P067070205;8880;8014.83;49.7553;8618.22;7918.75
P093070207;8670;8833.52;54.1861;9639.06;7572.53
Q095070205_1;6060;5878.69;34.2675;8383.91;6049.99
P095070205;12920;13654.1;84.6994;9341.23;12733
P068171503;13020;14248.3;76.8027;8829.35;13911.3
P068170911;13230;14852.7;86.8735;8687.42;14677.7
P069171301;13280;18962.4;66.2476;11898.2;15123.5
Q072171501_2;10080;11185.8;58.8511;10413.8;9040.65
Q072171501_1;13230;14852.7;86.8735;8687.42;14677.7
P072171501;12370;18072.5;23.2653;9846.09;16575.2
Q073171305_1;3200;5220.36;16.4556;8995.27;4694.02
P073171305;13220;22431.7;77.3564;7248;23899.2
P074171503;7610;8426.35;44.3414;9906.57;6860.09
P074170911;10290;11552.1;67.5683;9619.95;10312.9
P075171503;13150;14716.2;73.5293;10459;12519.5
P075170911;13230;14852.7;86.8735;8687.42;14677.7
P076171301;13220;20217.7;75.1683;7805.7;21048.8
Q079171501_2;10080;12286;65.1856;10244.4;10334.1
Q079171501_1;13230;14852.7;86.8735;8687.42;14677.7
P079171501;11460;17137.5;22.1493;11701.2;13523.2
Q080171305_1;3200;7478.22;13.6332;11027.3;4633.08
P080171305;13220;18315.7;74.7939;7302.29;19721.3
P081171503;7610;8976.45;47.5086;10059.8;7235.36
P081170911;11760;12102.2;70.8863;9510.96;10987.4
P082171503;11550;13533;68.2121;10697.1;11064.7
P082170911;13230;14852.7;86.8735;8687.42;14677.7
P083171301;13150;19066.7;72.1562;10639.7;16663.8
P068173403;12300;15260.7;55.0567;11429.9;11956
P069173405;12820;10174.6;73.6042;7940.01;10852.4
P073173409;6230;4322.74;33.7265;7436.13;5575.6
P075173403;12250;15111.2;51.1897;10617.9;12733.3
P076173405;13430;10834;78.0439;7743.27;11736.4
P080173409;6820;4715.95;36.7424;7561.75;5825.46
P082173403;10700;14319.9;48.4865;11289.7;11175.3
P083173405;12230;10445.7;75.4194;7843.43;11233.8
P087173409;6820;5001.81;39.4112;7730.48;5918.78
P089173403;10700;13409.3;44.4147;11278.2;10277.8
P090173405;12810;9679.32;70.2424;7994.57;10294.9
P069357201;12680;12732.5;64.5602;7366.13;14065.3
P073356201;10650;14887.8;62.0547;9562.15;13714.5
P076357201;13260;14248.3;70.3346;6609.92;16443.9
P080356201;9240;12959.5;55.419;9880.87;11422.6
