Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P093031511;13449;6537.01;90.0323;6534.86;8818.35
P094031507;13400;7380.37;88.1064;6083.14;10177.2
P110031511;13328;5849.13;92.9267;6348.04;8343.66
P111031511;13449;5623.2;93.8339;5498.5;9087.18
Q093031501_1;4800;1948.8;18.432;5681.81;5203.59
P093031501;13442;5972.93;79.6777;5899.15;8979.7
P093031503;13328;7466.19;87.5388;6751.56;9500.24
P093031505;13328;7342.69;89.5302;6703.89;9431.14
P093031507;12800;8268.02;84.3264;6475.11;10617.5
P093031509;13442;5909.69;93.8375;6034.6;8761.89
P094031501;13328;6947.04;89.1827;6416.4;9363.55
P094031503;13328;6859.39;90.7337;6140.78;9590.43
P094031505;13214;8663.21;84.87;7142.97;10250.6
P094031509;13472;5468.38;94.7626;5581.95;8837.13
P094031511;13416;7272.94;86.2776;6380.24;9730.72
P095031501;13449;6944.49;91.0043;6397.83;9382.2
P095031503;13321;7191.93;89.406;6520.18;9490.02
P095031505;13416;8515.71;86.7672;7174.6;10067
P095031507;13400;7182.86;88.2792;5674.65;10445.8
P095031509;13472;5603.22;94.4705;5608.44;8941.73
P095031511;13328;6852.8;88.6662;6284.82;9419.46
P096031501;13214;6789.16;88.8767;6410.04;9212.93
P096031503;13328;7709.59;88.7724;6555.56;9967.3
P096031505;13416;8090.91;87.4296;7220.71;9589.59
P096031507;13449;7113.7;88.2827;6364.64;9589.28
P096031509;13442;5711.82;93.6119;5945.79;8665.37
P096031511;13214;6395.2;90.7038;6019.15;9265.04
P097031501;13328;7008.07;88.0883;6127.39;9754.4
P097031503;13328;7737.88;89.9027;6767.3;9753.98
P097031505;13416;8180.78;86.2488;7084.71;9834.66
P097031507;13442;6094.66;94.0751;6169.68;8792.72
P097031509;13207;6559.64;89.181;5861.88;9608.94
P097031511;13472;5166.12;93.7942;5775.91;8313.52
P098031551;12800;8874.4;82.944;7045.97;10572.5
P098031553;13328;7741.89;86.9669;6584.57;9966.5
P098031555;13328;7205.47;88.1676;6550.53;9468.93
P101031501;13328;6659.3;90.0179;6173.45;9353.06
P101031503;13449;7052.31;89.5283;6496.04;9377.94
P101031505;13416;8687.5;87.9084;7106.11;10317
P101031507;13472;6795.76;91.8557;5847.67;9861.28
P101031509;13500;6445.3;92.6424;5666.9;9717.11
P101031511;13328;6821.01;87.9174;6399.38;9256.94
P102031501;13214;6833.56;88.9607;6642.99;8991.51
P102031503;13328;7125.32;90.8819;6565.91;9371.23
P102031505;13214;8348.15;86.94;7138.42;9940.75
P102031507;13500;7986.69;90.4716;6092;10773.4
P102031509;13270;5300.86;93.3046;5564.41;8689.62
P102031511;13214;6571.89;88.0344;6453.71;8945.84
P103031501;13328;7305.98;88.3475;6267.74;9892.14
P103031503;13328;7703.11;89.2649;6420.53;10114.9
P103031505;13214;7736.88;87.5736;7156.24;9309.13
P103031507;13214;7108.48;88.9649;5798.73;10229.8
P103031509;13442;6262.02;92.3069;5890.08;9279.15
P103031511;13328;6591.22;88.8102;6145.42;9316.96
P104031501;13442;6576.12;88.1243;6342.44;9077.04
P104031503;13214;7886.92;87.5178;6746.72;9926.5
P104031505;13328;7532.94;89.2979;6728.24;9593.6
P104031507;13449;6359.46;92.4671;5567.32;9744.89
P104031509;13449;6895.93;91.7315;6135.47;9633.03
P104031511;13328;5065.71;94.3955;5621.12;8389.75
P105031551;13214;8617.9;86.796;6470.13;10973.1
P105031553;13321;7909.4;89.0802;6996.52;9663.92
P105031555;13214;7495.66;88.3758;6343.71;9995.13
P107031501;13328;7424.06;89.2979;6427.69;9827.68
P107031503;13328;7457.16;89.6652;6654.04;9602.49
P107031505;13416;8389.32;87.2568;7194.33;9918.11
P107031507;13321;7304.94;90.4914;6598.84;9513.26
P107031509;13449;5470.34;92.4641;6035.6;8321.41
P107031511;13035;6172.73;88.9667;6034.35;9025.21
P108031501;13328;6964.01;88.0614;6100.04;9741.54
P108031505;13328;7416.52;89.7545;6644.74;9572.47
P108031507;12800;8764.09;83.3472;7037.77;10471.5
P108031509;13321;5940.95;93.5009;5607.61;9280.41
P108031511;13449;6679.87;91.5209;6292.85;9237.38
P109031501;13214;7399.32;87.345;6670.26;9526.15
P109031503;13328;7674.15;89.0982;6896.8;9542.47
P109031505;13328;7584.19;89.9891;7033.38;9296.65
P109031507;13214;8266.7;87.3102;6545.42;10536
P109031509;13442;5885.58;94.1615;5593.13;9241.56
P109031511;13449;5958.22;92.8763;6124.81;8707.48
P110031501;13328;7578.8;89.5302;6287.42;10142.5
P110031503;13214;7240.4;86.7402;6595.57;9452.46
P110031505;13328;8189.47;88.119;6918.02;10033.6
P110031507;13500;8058.07;90.7596;5971.22;10982.6
P110031509;13449;6667.6;91.9421;6243.48;9281.44
P111031501;13214;7056.09;84.6648;6432.5;9454.24
P111031503;13328;7179.59;89.0387;6705.67;9266
P111031505;13328;7609.11;88.4358;6858.19;9521.48
P111031507;12800;8577.23;83.4048;6905.05;10436.1
P111031509;13321;6158.3;91.1321;5648.97;9450.56
P063031557;13328;6137.13;88.7814;6635.55;8303.56
P065031505;13328;6891.87;90.9683;6865.74;8795.63
P069031509;13442;6928.7;91.3985;6049.06;9764.41
P070031553;13328;8010.43;89.8163;7203.43;9528.83
P069031511;13407;5465.56;90.7452;5469.22;8962.94
P070031555;13214;6802.8;87.2604;5739.16;9992.14
P075031511;13500;5624.35;93.0942;5556.19;9022.5
P076031501;13328;6801.17;90.2502;5920.08;9784.06
Q062031501_1;9714;5324.02;54.927;6862.58;7231.37
P062031501;13035;5231.92;78.6992;5739.68;8420.67
P062031503;13328;7308.7;87.8616;6820.37;9264.23
P062031505;13214;7969.48;87.7752;6887.88;9847.97
P062031507;13442;5989.94;94.4783;6142.4;8719.12
P062031511;13328;7234.47;88.2072;6494.46;9561.91
P063031551;13328;6726.48;86.6915;6118.64;9482.78
P063031553;13328;7553.3;89.5302;6829.77;9498.1
P063031555;13328;7517.87;90.3833;6694.06;9617.53
P065031501;13328;7055.48;89.8985;5978.68;9971.49
P065031503;13328;7446.71;88.0097;6719.72;9517.1
P065031507;13328;6882.41;91.7747;6215.72;9527.93
P065031509;13214;7518.28;88.3998;6418.19;9932.75
