Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P122227601;P122227601_1;A;0;1240;0;1000;2440;2385
P122227601;P122227601_2;B;0;0;0;1000;1200;1455
P122227601;P122227601_3;C;1000;0;0;1600;800;2632
P122227601;P122227601_4;D;1000;800;0;1600;1600;2632
P122227601;P122227601_5;E;1000;1640;0;1600;2440;2114
P122227601;P122227601_6;F;1600;1640;0;2200;2440;2114
P122227601;P122227601_7;G;1600;0;0;2200;800;1078
P122227601;P122227601_8;H;1600;800;0;2170;1580;1340
P122227601;P122227601_9;I;2170;800;0;2770;1600;1078
P122227601;P122227601_10;J;2200;0;0;2800;800;560
P122227601;P122227601_11;K;2200;1660;0;2770;2440;1340
P122227601;P122227601_12;L;2770;800;0;3340;1580;909
P122227601;P122227601_13;M;2770;1640;0;3370;2440;2114
P122227601;P122227601_14;N;2800;0;0;3400;800;560
P122227601;P122227601_15;O;3340;800;0;3940;1600;2114
P122227601;P122227601_16;P;3370;1640;0;3970;2440;1596
P122227601;P122227601_17;Q;3400;0;0;3970;780;1771
P122227601;P122227601_18;R;3940;840;0;4540;1640;1596
P122227601;P122227601_19;S;3970;0;0;4570;800;1078
P122227601;P122227601_20;T;3970;1660;0;4540;2440;909
P122227601;P122227601_21;U;4540;840;0;5740;2440;750
P122227601;P122227601_22;V;4570;0;0;5140;780;1340
P122227601;P122227601_23;W;5140;0;0;5740;800;1596
P122227601;P122227601_24;X;5740;0;0;6740;1200;1905
P122227601;P122227601_25;Y;5740;1240;0;6740;2440;2835
P122227601;P122227601_26;Z;6740;1240;0;7740;2440;2835
P122227601;P122227601_27;AA;6740;0;0;7740;1200;2835
P122227601;P122227601_28;AB;7740;0;0;8750;1206;2370
P122227601;P122227601_29;AC;7740;1240;0;8740;2440;2610
P122227601;P122227601_30;AD;8740;1240;0;9740;2440;2610
P122227601;P122227601_31;AE;8750;0;0;9750;1200;2865
P122227601;P122227601_32;AF;9740;1240;0;10740;2440;2610
P122227601;P122227601_33;AG;9750;0;0;10760;1206;2810
P122227601;P122227601_34;AH;10740;1240;0;11740;2440;2865
P122227601;P122227601_35;AI;10760;0;0;11760;1200;2865
P122227601;P122227601_36;AJ;11740;1234;0;12750;2440;1340
P122227601;P122227601_37;AK;11760;0;0;12560;600;1596
P122227601;P122227601_38;AL;11760;634;0;12560;1234;2114
P122227601;P122227601_39;AM;12560;0;0;13130;780;909
P122227601;P122227601_40;AN;12750;780;0;13350;1580;560
P118227601;P118227601_1;A;0;0;0;1000;1200;2835
P118227601;P118227601_2;B;0;1240;0;1000;2440;2835
P118227601;P118227601_3;C;1000;1660;0;1570;2440;1771
P118227601;P118227601_4;D;1000;0;0;2000;1200;2865
P118227601;P118227601_5;E;1570;1660;0;2140;2440;1340
P118227601;P118227601_6;F;2000;0;0;2570;780;1340
P118227601;P118227601_7;G;2000;780;0;2600;1580;2114
P118227601;P118227601_8;H;2140;1640;0;2740;2440;2632
P118227601;P118227601_9;I;2570;0;0;3370;600;2632
P118227601;P118227601_10;J;2600;840;0;3200;1640;2632
P118227601;P118227601_11;K;2740;1640;0;3340;2440;2632
P118227601;P118227601_12;L;3200;640;0;4400;1640;2835
P118227601;P118227601_13;M;3340;1640;0;3940;2440;1596
P118227601;P118227601_14;N;3370;0;0;4170;600;560
P118227601;P118227601_15;O;3940;1660;0;4510;2440;478
P118227601;P118227601_16;P;4400;0;0;5400;1200;2835
P118227601;P118227601_17;Q;4510;1240;0;5510;2440;2610
P118227601;P118227601_18;R;5400;0;0;6400;1200;750
P118227601;P118227601_19;S;5510;1240;0;6510;2440;2835
P118227601;P118227601_20;T;6400;0;0;7400;1200;2835
P118227601;P118227601_21;U;6510;1240;0;7510;2440;2835
P118227601;P118227601_22;V;7400;0;0;8400;1200;2835
P118227601;P118227601_23;W;7510;1660;0;8080;2440;1340
P118227601;P118227601_24;X;8080;1240;0;9680;2440;1635
P118227601;P118227601_25;Y;8400;0;0;9400;1200;2835
P118227601;P118227601_26;Z;9400;0;0;10400;1200;2835
P118227601;P118227601_27;AA;9680;1240;0;10680;2440;2835
P118227601;P118227601_28;AB;10400;0;0;11400;1200;2835
P118227601;P118227601_29;AC;10680;1240;0;11680;2440;2835
P118227601;P118227601_30;AD;11400;0;0;12400;1200;2835
P118227601;P118227601_31;AE;11680;1240;0;12680;2440;2835
P118227601;P118227601_32;AF;12400;0;0;13400;1200;2385
P118227601;P118227601_33;AG;12680;1200;0;13480;1800;1596
P118227601;P118227601_34;AH;12680;1840;0;13480;2440;1596
P118220603;P118220603_1;A;0;617;0;1010;1823;2840
P118220603;P118220603_2;B;1010;1240;0;2010;2440;2835
P118220603;P118220603_3;C;1010;20;0;2010;1220;2835
P118220603;P118220603_4;D;2010;0;0;3010;1200;1905
P118220603;P118220603_5;E;2010;1240;0;3010;2440;2385
P118220603;P118220603_6;F;3010;1240;0;4010;2440;2385
P118220603;P118220603_7;G;3010;0;0;3580;780;1340
P118220603;P118220603_8;H;3580;0;0;4380;600;1596
P118220603;P118220603_9;I;3580;640;0;4380;1240;1596
P118220603;P118220603_10;J;4010;1240;0;4810;1840;560
P118220603;P118220603_11;K;4010;1840;0;4810;2440;2114
P118220603;P118220603_12;L;4380;0;0;4950;780;1340
P118220603;P118220603_13;M;4810;1240;0;5810;2440;1455
P118220603;P118220603_14;N;4950;0;0;5950;1200;2385
P118220603;P118220603_15;O;5810;1240;0;6810;2440;2835
P118220603;P118220603_16;P;5950;0;0;6950;1200;2385
P118220603;P118220603_17;Q;6810;1660;0;7380;2440;1340
P118220603;P118220603_18;R;6950;0;0;7550;800;2114
P118220603;P118220603_19;S;6950;800;0;7550;1600;1596
P118220603;P118220603_20;T;7380;1640;0;7980;2440;2632
P118220603;P118220603_21;U;7550;0;0;8550;1200;2865
P118220603;P118220603_22;V;7980;1240;0;8980;2440;2385
P118220603;P118220603_23;W;8550;0;0;9560;1206;1155
P118220603;P118220603_24;X;8980;1660;0;9550;2440;1340
P118220603;P118220603_25;Y;9550;1206;0;10350;1806;1596
P118220603;P118220603_26;Z;9550;1840;0;10350;2440;2632
P118220603;P118220603_27;AA;9560;0;0;10360;600;1078
P118220603;P118220603_28;AB;9560;606;0;10360;1206;1596
P118220603;P118220603_29;AC;10350;1660;0;10920;2440;478
P118220603;P118220603_30;AD;10360;0;0;10930;780;478
P118220603;P118220603_31;AE;10360;780;0;10930;1560;478
P118220603;P118220603_32;AF;10920;1640;0;11520;2440;1596
P118220603;P118220603_33;AG;10930;0;0;11930;1200;2835
P118220603;P118220603_34;AH;11520;1240;0;12520;2440;2610
P118220603;P118220603_35;AI;11930;0;0;12930;1200;1455
P118220603;P118220603_36;AJ;12520;1200;0;13320;1800;2114
P118220603;P118220603_37;AK;12520;1840;0;13320;2440;2114
P118220603;P118220603_38;AL;12930;0;0;13500;780;909
P117227601;P117227601_1;A;0;1240;0;1000;2440;2610
P117227601;P117227601_2;B;0;0;0;1000;1200;2160
P117227601;P117227601_3;C;1000;0;0;1600;800;2632
P117227601;P117227601_4;D;1000;800;0;1600;1600;1596
P117227601;P117227601_5;E;1000;1640;0;1600;2440;2114
P117227601;P117227601_6;F;1600;1660;0;2170;2440;1340
P117227601;P117227601_7;G;1600;0;0;2200;800;2114
P117227601;P117227601_8;H;1600;800;0;2200;1600;2114
P117227601;P117227601_9;I;2170;1640;0;2770;2440;1078
P117227601;P117227601_10;J;2200;0;0;2770;780;1340
P117227601;P117227601_11;K;2200;860;0;2770;1640;909
P117227601;P117227601_12;L;2770;0;0;3780;1206;2755
P117227601;P117227601_13;M;2770;1240;0;3770;2440;2835
P117227601;P117227601_14;N;3770;1240;0;5370;2440;750
P117227601;P117227601_15;O;3780;0;0;4780;1200;2835
P117227601;P117227601_16;P;4780;0;0;5780;1200;2385
P117227601;P117227601_17;Q;5370;1240;0;6370;2440;1905
P117227601;P117227601_18;R;5780;0;0;6780;1200;2610
P117227601;P117227601_19;S;6370;1240;0;7370;2440;2385
P117227601;P117227601_20;T;6780;0;0;7790;1206;2740
P117227601;P117227601_21;U;7370;1240;0;8370;2440;2610
P117227601;P117227601_22;V;7790;0;0;8790;1200;2835
P117227601;P117227601_23;W;8370;1240;0;9370;2440;2865
P117227601;P117227601_24;X;8790;0;0;9790;1200;2865
P117227601;P117227601_25;Y;9370;1240;0;10370;2440;750
P117227601;P117227601_26;Z;9790;0;0;10590;600;1596
P117227601;P117227601_27;AA;9790;640;0;10590;1240;2114
P117227601;P117227601_28;AB;10370;1430;0;11576;2440;955
P117227601;P117227601_29;AC;10590;0;0;11160;780;1340
P117227601;P117227601_30;AD;10590;830;0;11390;1430;2114
P117227601;P117227601_31;AE;11160;0;0;11760;800;1596
P117227601;P117227601_32;AF;11390;830;0;12190;1430;2114
P117227601;P117227601_33;AG;11576;1660;0;12146;2440;1340
P117227601;P117227601_34;AH;11760;0;0;12360;800;2114
P117227601;P117227601_35;AI;12146;1660;0;12716;2440;1771
P117227601;P117227601_36;AJ;12190;800;0;12790;1600;2114
P117227601;P117227601_37;AK;12360;0;0;12960;800;1078
P117227601;P117227601_38;AL;12716;1640;0;13316;2440;1078
P117227601;P117227601_39;AM;12790;800;0;13360;1580;478
P116227601;P116227601_1;A;0;0;0;1000;1200;2835
P116227601;P116227601_2;B;0;1200;0;1000;2400;2835
P116227601;P116227601_3;C;1000;1240;0;2000;2440;2160
P116227601;P116227601_4;D;1000;0;0;2000;1200;2385
P116227601;P116227601_5;E;2000;0;0;2570;780;1340
P116227601;P116227601_6;F;2000;780;0;2600;1580;1596
P116227601;P116227601_7;G;2000;1640;0;2600;2440;1596
P116227601;P116227601_8;H;2570;0;0;3140;780;1340
P116227601;P116227601_9;I;2600;780;0;3200;1580;2114
P116227601;P116227601_10;J;2600;1660;0;3170;2440;1771
P116227601;P116227601_11;K;3140;0;0;3940;600;2632
P116227601;P116227601_12;L;3170;1640;0;3770;2440;2632
P116227601;P116227601_13;M;3200;640;0;4400;1640;2610
P116227601;P116227601_14;N;3770;1640;0;4370;2440;2632
P116227601;P116227601_15;O;3940;0;0;4740;600;1596
P116227601;P116227601_16;P;4400;1240;0;5400;2440;2835
P116227601;P116227601_17;Q;4740;40;0;5740;1240;2835
P116227601;P116227601_18;R;5400;1240;0;6200;1840;560
P116227601;P116227601_19;S;5400;1840;0;6200;2440;560
P116227601;P116227601_20;T;5740;0;0;7340;1200;1635
P116227601;P116227601_21;U;6200;1240;0;7200;2440;2835
P116227601;P116227601_22;V;7200;1240;0;8200;2440;2835
P116227601;P116227601_23;W;7340;0;0;8340;1200;2835
P116227601;P116227601_24;X;8200;1240;0;9200;2440;2835
P116227601;P116227601_25;Y;8340;0;0;9350;1206;2810
P116227601;P116227601_26;Z;9200;1206;0;10000;1806;560
P116227601;P116227601_27;AA;9200;1840;0;10000;2440;2114
P116227601;P116227601_28;AB;9350;0;0;10350;1200;2865
P116227601;P116227601_29;AC;10000;1240;0;11000;2440;2865
P116227601;P116227601_30;AD;10350;0;0;11350;1200;2835
P116227601;P116227601_31;AE;11000;1200;0;11800;1800;1596
P116227601;P116227601_32;AF;11000;1840;0;11800;2440;2632
P116227601;P116227601_33;AG;11350;0;0;12350;1200;2835
P116227601;P116227601_34;AH;11800;1240;0;12800;2440;2835
P116227601;P116227601_35;AI;12350;0;0;13350;1200;2835
P116220605;P116220605_1;A;0;0;0;600;800;2632
P116220605;P116220605_2;B;0;1240;0;1000;2440;2610
P116220605;P116220605_3;C;600;0;0;1600;1200;975
P116220605;P116220605_4;D;1000;1660;0;1570;2440;909
P116220605;P116220605_5;E;1570;1200;0;2370;1800;1596
P116220605;P116220605_6;F;1570;1840;0;2370;2440;2114
P116220605;P116220605_7;G;1600;0;0;2600;1200;2835
P116220605;P116220605_8;H;2370;1240;0;3370;2440;2835
P116220605;P116220605_9;I;2600;0;0;3600;1200;2835
P116220605;P116220605_10;J;3370;1240;0;4370;2440;2865
P116220605;P116220605_11;K;3600;0;0;4600;1200;2865
P116220605;P116220605_12;L;4370;1660;0;4940;2440;1771
P116220605;P116220605_13;M;4600;0;0;5600;1200;2385
P116220605;P116220605_14;N;4940;1200;0;5740;1800;1596
P116220605;P116220605_15;O;4940;1840;0;5740;2440;1596
P116220605;P116220605_16;P;5600;0;0;6600;1200;2835
P116220605;P116220605_17;Q;5740;1240;0;6740;2440;2835
P116220605;P116220605_18;R;6600;0;0;7400;600;2114
P116220605;P116220605_19;S;6600;640;0;7400;1240;2114
P116220605;P116220605_20;T;6740;1240;0;7740;2440;1905
P116220605;P116220605_21;U;7400;0;0;8400;1200;1680
P116220605;P116220605_22;V;7740;1200;0;8540;1800;1078
P116220605;P116220605_23;W;7740;1840;0;8540;2440;2114
P116220605;P116220605_24;X;8400;0;0;8970;780;1340
P116220605;P116220605_25;Y;8540;1240;0;9540;2440;2835
P116220605;P116220605_26;Z;8970;0;0;9970;1200;1905
P116220605;P116220605_27;AA;9540;1234;0;10550;2440;1855
P116220605;P116220605_28;AB;9970;0;0;10970;1200;2610
P116220605;P116220605_29;AC;10550;1660;0;11120;2440;909
P116220605;P116220605_30;AD;10970;0;0;11540;780;1340
P116220605;P116220605_31;AE;10970;780;0;11540;1560;1340
P116220605;P116220605_32;AF;11120;1640;0;11720;2440;1078
