Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P109227601;13210;22005.7;63.6238;10158.6;20151.9
P110227601;13340;23996.1;65.0779;10610.5;21626.5
P111227601;13200;21445.7;69.1725;10426.9;19285.7
P116220605;13410;18813.8;86.0304;9452.07;17766.2
Q101227601_1;11550;17727.2;49.7953;11169.3;14720
P101227601;13490;22667.4;62.2525;10544.8;20372.8
P102220605;13410;23992.7;76.5123;11823.7;20238.6
P102227601;13320;23994.2;69.0684;10615.6;21618.9
P103227601;13490;20708.3;74.3899;10654.2;18288.9
P104220603;13500;23998.2;65.0562;11493.3;20621.3
P104227601;13320;23943;74.8206;11798.5;20217.8
P104227605;13480;23023.3;72.6313;10460.4;20825.1
P107220603;13310;23989.5;73.4201;11913.9;20132.6
Q108227601_1;13410;23980.3;82.2403;10383.1;21870.2
P108227601;13370;17977.3;83.2715;9290.59;17114
P109220605;13330;23974.2;60.656;11606.6;20467.9
P111220603;13490;23021.9;73.0974;10888.9;20334.7
P114220603;13320;23975;65.9053;11220;20909.9
P114227601;12760;23974.3;63.0375;11863;20175.4
P115227601;13146;23990.7;64.2832;11189.2;20960.8
P116227601;13400;19670.8;79.1795;10145;17832.4
P117227601;13340;23379.1;56.4829;10357.9;21297.8
P118220603;13490;23370.1;53.5391;10952.7;20610.1
P122227601;13130;22873.1;60.6145;10874.6;20202.2
P072036805;13468;7002.96;86.155;5979.15;9918.44
P073036805;13472;6913.05;85.786;5731.7;10110.9
P086036805;13269;6797.9;88.7365;6311.79;9333.78
P087036801;13274;7567.01;82.8919;6523.93;9860.82
P087036803;13487;6727.81;84.448;6558.53;8982.14
P088036803;13458;7340.97;84.5117;5846.4;10407.9
P089036801;13480;7158.93;82.5139;6684.69;9269.29
P089036805;13467;7290.42;83.7653;5798.09;10412.5
P096036803;13478;6757.2;82.4063;5658.22;10038.9
P097036801;13487;6827.03;79.9084;5779.47;9970.37
P072036801;10661;4866.51;58.5355;6494.13;7194.33
P072036803;13467;6801.44;80.5461;6119.38;9556.9
P073036801;13474;7369.46;84.7942;7145.96;8953.44
P073036803;13287;6498.86;77.9589;5886.26;9520.34
P074036801;13470;6910.41;83.4619;6322.91;9433.62
P074036803;13471;7337.92;81.9383;5933.28;10305.7
P074036805;13282;6228.24;85.8905;5988.65;9132.88
P075036803;13461;7415.36;82.8105;6709.6;9497.29
P075036805;13484;7195.96;84.5317;5910.36;10189.9
P076036801;12851;6388.76;76.3336;6201.64;9050.35
P076036803;13483;7635.15;83.2122;6196.72;10302.3
P076036805;13262;6790.18;86.9385;6693.39;8890.62
P079036801;13483;6966.79;83.1846;5957.96;9906.45
P079036803;13476;7465.01;78.1351;6170.78;10161.8
P079036805;13096;5279.13;86.3307;5766.22;8437.6
P080036801;13480;6927.3;83.971;6249.46;9534.33
P080036803;13451;7990.53;84.4619;6585.45;10214.1
P081036801;13477;6900.33;83.7285;6107.42;9669.43
P081036803;13467;8128.55;83.2406;6407.24;10555.5
P081036805;13285;6026.15;83.1344;5963.06;8959.99
P082036801;13278;6737.07;82.8078;6240.2;9354.65
P082036803;13480;7779.78;84.1081;6212.81;10428.6
P082036805;13096;5502.66;86.9385;5816.28;8604
P083036801;13465;7339.21;84.4951;6089.67;10128.6
P083036803;13464;7981.12;83.7743;6612.95;10173.3
P086036801;13471;6801.41;82.9243;5671.71;10067.7
P086036803;13260;6950.76;80.6056;6299.11;9501.12
P087036805;13274;6657.87;82.9904;6034.24;9510.49
P088036801;13467;6976;82.285;5832.12;10059.3
P089036803;13092;6390.18;82.0989;6128.38;9135.36
P090036801;13481;6872.08;83.8784;5925.88;9848.35
P090036803;13265;7023;84.9492;6411.24;9445.4
P090036805;13278;6763.45;85.6666;5960.1;9700.66
P093036803;13487;7522.74;79.5208;6168.43;10222.2
P093036805;13268;7102.72;86.3621;6417.35;9518.15
P094036801;13478;6806.64;83.8333;5996.01;9702.88
P094036803;13477;7131.17;85.2528;6468.54;9488.19
P094036805;13278;6839.2;85.0398;5838.81;9914.82
P095036801;13474;6866.44;82.8326;6561.97;9116.84
P095036803;13467;8111.37;85.7537;6240.5;10728.6
P095036805;13099;5877.93;84.3137;5892.28;8892.54
P096036801;13461;7751.79;85.9555;6546.27;10020.1
P096036805;13082;5845.46;83.1821;5706.56;9072
P097036803;13267;8093.15;82.1992;6704.61;10180.8
P097036805;13452;7281.21;89.9956;5965.13;10212.7
P068227601;1000;205.072;0.9;4314.47;5020.19
P069220603;12420;18513.7;44.5424;11398.6;15244.8
Q069227601_1;13190;23987.8;74.9526;11737.5;20332.2
P069227601;13340;21050.4;75.6325;10930.3;18315.9
P072220603;13190;23883.4;63.2143;10929.2;21150.2
P072227601;13480;21666.9;71.4152;10531.3;19387.7
P073227601;13370;22957.6;76.8192;11367.8;19723.9
P074220605;13430;23840.4;57.7183;11086;20928.2
P074227601;13350;19838.8;76.5225;9511.57;18723.3
Q075227601_1;13370;23291.3;73.633;9696.61;21964.6
P075227601;13400;18766.5;81.7779;9694.8;17441.9
P076220603;13360;23846.6;61.3145;11930.3;19971
P076227601;13490;23172;62.8526;11548.2;19732.4
P079227601;13150;22802.6;73.9867;10403.3;20669.4
P080227601;13360;23980.1;69.1308;10635.7;21581.8
P081220605;13380;23985.8;68.1509;9962.74;22355.4
P081227601;13370;21080.9;77.0757;10913.2;18365.9
P082227601;13480;23863.4;60.3961;11360;20638.6
P083220603;13480;23207.9;53.7384;11143.9;20229.7
P083227601;13350;19836.2;78.2129;9902.08;18275.1
P086227601;13420;20502.6;66.8158;11268.6;17382.1
P087227601;13380;19963;72.982;9234.63;19163.5
Q087227601_1;13370;20731.3;72.7128;10124.1;18916.8
P088227601;13370;21806.3;77.941;10534.1;19524
P089227601;13390;22892.5;64.9521;10215.3;20973.9
P090227605;13480;19771.8;73.6455;11360;16547
P093220603;13500;23982.8;62.808;11700.8;20369.1
P086220603;10780;15376.7;44.1345;11881.3;11556.9
P088220605;13490;23430.8;55.6688;9666.72;22138.3
P090220603;13360;23960.2;74.6161;11689.4;20359.4
