Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017700_27022023004134;P114574801;P114574801_1;A1;0;0;0 ;1000 ;1200 ;975
0091017700_27022023004134;P114574801;P114574801_1;A2;0;0;975 ;1000 ;1200 ;1905
0091017700_27022023004134;P114574801;P114574801_1;A3;0;0;1905 ;1000 ;1200 ;2835
0091017700_27022023004134;P114574801;P114574801_2;B1;0;1240;0 ;1000 ;2440 ;975
0091017700_27022023004134;P114574801;P114574801_2;B2;0;1240;975 ;1000 ;2440 ;1905
0091017700_27022023004134;P114574801;P114574801_2;B3;0;1240;1905 ;1000 ;2440 ;2835
0091017700_27022023004134;P114574801;P114574801_3;C1;1000;1240;0 ;2000 ;2440 ;975
0091017700_27022023004134;P114574801;P114574801_3;C2;1000;1240;975 ;2000 ;2440 ;1905
0091017700_27022023004134;P114574801;P114574801_3;C3;1000;1240;1905 ;2000 ;2440 ;2835
0091017700_27022023004134;P114574801;P114574801_4;D1;1000;0;0 ;2000 ;1200 ;975
0091017700_27022023004134;P114574801;P114574801_4;D2;1000;0;975 ;2000 ;1200 ;1905
0091017700_27022023004134;P114574801;P114574801_4;D3;1000;0;1905 ;2000 ;1200 ;2835
0091017700_27022023004134;P114574801;P114574801_5;E1;2000;0;0 ;3000 ;1200 ;975
0091017700_27022023004134;P114574801;P114574801_5;E2;2000;0;975 ;3000 ;1200 ;1905
0091017700_27022023001241;P114574801;P114574801_5;E3;2000;0;1905 ;3000 ;1200 ;2835
0091017700_27022023001241;P114574801;P114574801_6;F1;2000;1240;0 ;3000 ;2440 ;975
0091017700_27022023001241;P114574801;P114574801_6;F2;2000;1240;975 ;3000 ;2440 ;1905
0091017700_27022023001241;P114574801;P114574801_6;F3;2000;1240;1905 ;3000 ;2440 ;2835
0091017700_27022023001241;P114574801;P114574801_7;G1;3000;1240;0 ;4000 ;2440 ;975
0091017700_27022023000732;P114574801;P114574801_8;H1;3000;0;0 ;4010 ;1206 ;785
0091017700_27022023000732;P114574801;P114574801_8;H2;3000;0;785 ;4010 ;1206 ;1570
0091017700_27022023000732;P114574801;P114574801_8;H3;3000;0;1570 ;4010 ;1206 ;2355
0091017700_27022023000732;P114574801;P114574801_9;I1;4000;1234;0 ;5010 ;2440 ;785
0091017700_27022023000732;P114574801;P114574801_9;I2;4000;1234;785 ;5010 ;2440 ;1570
0091017700_27022023000732;P114574801;P114574801_9;I3;4000;1234;1570 ;5010 ;2440 ;2355
0091017700_27022023000732;P114574801;P114574801_10;J1;4010;0;0 ;5020 ;1206 ;785
