Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114574801;P114574801_1;A;0;0;0;1000;1200;2835
P114574801;P114574801_2;B;0;1240;0;1000;2440;2835
P114574801;P114574801_3;C;1000;1240;0;2000;2440;2835
P114574801;P114574801_4;D;1000;0;0;2000;1200;2835
P114574801;P114574801_5;E;2000;0;0;3000;1200;2835
P114574801;P114574801_6;F;2000;1240;0;3000;2440;2835
P114574801;P114574801_7;G;3000;1240;0;4000;2440;975
P114574801;P114574801_8;H;3000;0;0;4010;1206;2355
P114574801;P114574801_9;I;4000;1234;0;5010;2440;2355
P114574801;P114574801_10;J;4010;0;0;5020;1206;2355
P114574801;P114574801_11;K;5010;1234;0;6020;2440;2355
P114574801;P114574801_12;L;5020;0;0;6030;1206;2355
P114574801;P114574801_13;M;6020;1240;0;7020;2440;2835
P114574801;P114574801_14;N;6030;0;0;7030;1200;1680
P114574801;P114574801_15;O;7020;1240;0;8020;2440;750
P114574801;P114574801_16;P;7030;0;0;8030;1200;750
P114574801;P114574801_17;Q;8020;1240;0;9020;2440;750
P114574801;P114574801_18;R;8030;0;0;9030;1200;2835
P114574801;P114574801_19;S;9020;1240;0;10020;2440;2835
P114574801;P114574801_20;T;9030;0;0;10030;1200;2835
P114574801;P114574801_21;U;10020;1240;0;11020;2440;2835
P114574801;P114574801_22;V;10030;0;0;11030;1200;2835
P114574801;P114574801_23;W;11020;1240;0;12020;2440;2835
P114574801;P114574801_24;X;11030;0;0;12030;1200;2835
P114574801;P114574801_25;Y;12020;1240;0;13020;2440;2835
P114574801;P114574801_26;Z;12030;0;0;13030;1200;2835
P114574903;P114574903_1;A;0;620;0;1000;1820;1680
P114574903;P114574903_2;B;1000;620;0;2000;1820;750
P114574903;P114574903_3;C;2000;1240;0;3000;2440;750
P114574903;P114574903_4;D;2000;0;0;3000;1200;2835
P114574903;P114574903_5;E;3000;1240;0;4000;2440;2835
P114574903;P114574903_6;F;3000;0;0;4000;1200;2835
P114574903;P114574903_7;G;4000;0;0;5000;1200;2835
P114574903;P114574903_8;H;4000;1240;0;5000;2440;2835
P114574903;P114574903_9;I;5000;1234;0;6010;2440;2955
P114574903;P114574903_10;J;5000;0;0;6010;1206;2955
P114574903;P114574903_11;K;6010;0;0;7020;1206;2955
P114574903;P114574903_12;L;6010;1234;0;7020;2440;2955
P114574903;P114574903_13;M;7020;1240;0;8020;2440;2835
P114574903;P114574903_14;N;7020;0;0;8030;1206;2955
P114574903;P114574903_15;O;8020;1240;0;9020;2440;2835
P114574903;P114574903_16;P;8030;0;0;9030;1200;2835
P114574903;P114574903_17;Q;9020;1240;0;10020;2440;2835
P114574903;P114574903_18;R;9030;0;0;10030;1200;2835
