Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P096574901;13050;15648.6;73.2465;9443.87;14610.3
P097574901;13070;19470.8;83.7094;8699.85;19281.6
P103574801;13050;19531.9;77.2415;9392.08;18552.7
P104574901;13220;22129;75.9168;11466.9;18782.2
P107574801;13040;20281.5;78.6734;10004.3;18603.7
P108574901;13040;21951.5;73.9329;10565.8;19633
P108574801;13040;19551.8;77.7452;9746;18168.8
P109574901;13246;19321.1;77.073;8782.86;19037.2
P109574903;13030;22823.7;70.7735;11733.4;19172.8
P110574801;13050;19401.8;79.057;9930.38;17808.4
P111574901;13230;21532.4;71.879;11174.7;18518.9
P093574901;9030;11703.7;41.7793;10614.6;9329.42
P093574903;12030;17530.8;65.6529;11275.6;14402.3
P093574801;13040;21364.3;82.4397;10075.7;19605
P094574901;11040;15866.7;53.7263;10832.9;13243.4
P094574903;13210;20244.3;70.3853;10191.4;18353
P094574801;13040;21558.6;78.5517;10182.9;19677
P095574901;13060;17882.3;71.0747;8119.67;18355.1
P095574903;13220;20415.1;67.5819;10781.8;17850.1
P100574901;7010;10842.7;32.7659;11662.1;7273.1
P100574903;13230;18617.3;69.7317;10895.7;15922.3
P100574801;13226;21020.6;79.2069;9737.94;19646.8
P101574901;12030;18166.3;59.6778;11037.6;15309.4
P101574903;13230;20783.6;71.6784;11029.5;17935.9
P101574801;13220;20813.9;78.8121;9889.98;19266.6
P102574901;11030;16012.7;57.9616;11065.9;13123.5
P102574903;13030;20675.9;75.099;10837.7;18047.1
P102574801;13220;20944.4;82.6275;9712.71;19599.3
P103574901;12030;16387.5;62.7198;10564.6;14070.4
P103574903;13226;21721.6;78.5848;11684.6;18126.4
P104574903;13210;22601.9;76.3367;11782.2;18895.2
P104574801;13060;20858.1;76.6152;9237.29;20055.6
P107574901;11020;17925;64.549;11490.7;14551
P107574903;13030;22375.8;80.6195;11530.9;18955.9
P108574903;13030;22334.4;80.8168;11505.9;18943
P110574901;10040;15303.8;54.4758;11155.1;12312.8
P110574903;13020;21262.8;80.5543;11080.6;18356.9
P111574903;13010;22597.3;76.1394;11940;18710.6
P111574801;13060;20345.9;74.3832;9231.45;19550
P114574901;7020;9146.95;35.3042;10225.3;7216.99
P114574903;13040;19810.8;74.0619;10610.8;17440.9
P114574801;13030;20625.4;74.6607;9803.17;19177.1
P107500905;12000;19999.4;18.99;10632.9;17604.3
P108500903;13200;24786;22.05;11973.3;20861.3
P109500901;13200;24879.3;21.51;11979;20948
P109500903;13200;24865.6;25.92;10640.1;22462.3
P110500901;13200;24758.2;21.51;11797.7;21033.9
P111500901;13200;24558.8;22.86;11602.8;21056.8
P111500903;13200;25023;20.7;10179.7;23145.1
P111500905;13200;24322.7;22.32;11172.8;21311.6
P114500901;12000;21387.9;18.54;11947.6;17492.5
P093500901;10000;16238.8;14.04;11961.3;12327.8
P093500903;13200;24438.7;22.32;11512.3;21040.1
P093500905;13200;24466.5;22.86;11362.5;21238.8
P094500901;11000;20518.3;17.64;11852.4;16731.6
P094500903;13200;24452.6;22.59;11689.6;20851.7
