Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017700_28022023003250;P090574801;P090574801_1;A1;0;0;0 ;1010 ;1206 ;785
0091017700_28022023003250;P090574801;P090574801_1;A2;0;0;785 ;1010 ;1206 ;1570
0091017700_28022023003250;P090574801;P090574801_1;A3;0;0;1570 ;1010 ;1206 ;2355
0091017700_28022023003250;P090574801;P090574801_2;B1;0;1234;0 ;1010 ;2440 ;785
0091017700_28022023003250;P090574801;P090574801_2;B2;0;1234;785 ;1010 ;2440 ;1570
0091017700_28022023003250;P090574801;P090574801_2;B3;0;1234;1570 ;1010 ;2440 ;2355
0091017700_28022023003250;P090574801;P090574801_3;C1;1010;1234;0 ;2020 ;2440 ;785
0091017700_28022023003250;P090574801;P090574801_3;C2;1010;1234;785 ;2020 ;2440 ;1570
0091017700_28022023003250;P090574801;P090574801_3;C3;1010;1234;1570 ;2020 ;2440 ;2355
0091017700_28022023003257;P090574801;P090574801_4;D1;1010;0;0 ;2010 ;1200 ;975
0091017700_28022023003257;P090574801;P090574801_4;D2;1010;0;975 ;2010 ;1200 ;1905
0091017700_28022023003257;P090574801;P090574801_4;D3;1010;0;1905 ;2010 ;1200 ;2835
0091017700_28022023003257;P090574801;P090574801_5;E1;2010;0;0 ;3010 ;1200 ;975
0091017700_28022023003257;P090574801;P090574801_5;E2;2010;0;975 ;3010 ;1200 ;1905
0091017700_28022023003257;P090574801;P090574801_5;E3;2010;0;1905 ;3010 ;1200 ;2835
0091017700_28022023003257;P090574801;P090574801_6;F1;2020;1240;0 ;3020 ;2440 ;975
0091017700_28022023003257;P090574801;P090574801_6;F2;2020;1240;975 ;3020 ;2440 ;1905
0091017700_28022023003257;P090574801;P090574801_6;F3;2020;1240;1905 ;3020 ;2440 ;2835
0091017700_28022023003257;P090574801;P090574801_7;G1;3010;0;0 ;4010 ;1200 ;975
0091017700_28022023003257;P090574801;P090574801_7;G2;3010;0;975 ;4010 ;1200 ;1905
0091017700_28022023003257;P090574801;P090574801_7;G3;3010;0;1905 ;4010 ;1200 ;2835
0091017700_28022023003257;P090574801;P090574801_8;H1;3020;1240;0 ;4020 ;2440 ;975
0091017700_28022023003257;P090574801;P090574801_8;H2;3020;1240;975 ;4020 ;2440 ;1905
0091017700_28022023003257;P090574801;P090574801_8;H3;3020;1240;1905 ;4020 ;2440 ;2835
0091017700_28022023003257;P090574801;P090574801_9;I1;4010;0;0 ;5010 ;1200 ;975
0091017700_28022023003257;P090574801;P090574801_9;I2;4010;0;975 ;5010 ;1200 ;1905
0091017700_28022023003257;P090574801;P090574801_9;I3;4010;0;1905 ;5010 ;1200 ;2835
0091017700_28022023003257;P090574801;P090574801_10;J1;4020;1240;0 ;5020 ;2440 ;975
0091017700_28022023003257;P090574801;P090574801_10;J2;4020;1240;975 ;5020 ;2440 ;1905
0091017700_28022023003257;P090574801;P090574801_10;J3;4020;1240;1905 ;5020 ;2440 ;2835
0091017700_28022023003257;P090574801;P090574801_11;K1;5010;0;0 ;6010 ;1200 ;975
0091017700_28022023003257;P090574801;P090574801_11;K2;5010;0;975 ;6010 ;1200 ;1905
0091017700_28022023003257;P090574801;P090574801_11;K3;5010;0;1905 ;6010 ;1200 ;2835
0091017700_28022023003257;P090574801;P090574801_12;L1;5020;1240;0 ;6020 ;2440 ;975
0091017700_28022023003257;P090574801;P090574801_12;L2;5020;1240;975 ;6020 ;2440 ;1905
0091017700_28022023003257;P090574801;P090574801_12;L3;5020;1240;1905 ;6020 ;2440 ;2835
0091017700_28022023003257;P090574801;P090574801_13;M1;6010;0;0 ;7010 ;1200 ;975
0091017700_28022023003257;P090574801;P090574801_13;M2;6010;0;975 ;7010 ;1200 ;1905
0091017700_28022023003257;P090574801;P090574801_13;M3;6010;0;1905 ;7010 ;1200 ;2835
0091017700_28022023000550;P090574801;P090574801_14;N1;6020;1240;0 ;7020 ;2440 ;975
0091017700_28022023003257;P090574801;P090574801_14;N2;6020;1240;975 ;7020 ;2440 ;1905
0091017700_28022023000550;P090574801;P090574801_14;N3;6020;1240;1905 ;7020 ;2440 ;2835
0091017700_28022023000550;P090574801;P090574801_15;O1;7010;0;0 ;8010 ;1200 ;975
0091017700_28022023000550;P090574801;P090574801_15;O2;7010;0;975 ;8010 ;1200 ;1905
0091017700_28022023000550;P090574801;P090574801_15;O3;7010;0;1905 ;8010 ;1200 ;2835
0091017700_28022023000550;P090574801;P090574801_16;P1;7020;1240;0 ;8020 ;2440 ;975
0091017700_28022023002169;P090574801;P090574801_17;Q1;8010;0;0 ;9010 ;1200 ;975
0091017700_28022023002169;P090574801;P090574801_17;Q2;8010;0;975 ;9010 ;1200 ;1905
0091017700_28022023002169;P090574801;P090574801_17;Q3;8010;0;1905 ;9010 ;1200 ;2835
0091017700_28022023002169;P090574801;P090574801_18;R1;8020;1240;0 ;9020 ;2440 ;975
0091017700_28022023002169;P090574801;P090574801_18;R2;8020;1240;975 ;9020 ;2440 ;1905
0091017700_28022023002169;P090574801;P090574801_18;R3;8020;1240;1905 ;9020 ;2440 ;2835
0091017700_28022023002169;P090574801;P090574801_19;S1;9010;0;0 ;10010 ;1200 ;975
0091017700_28022023002169;P090574801;P090574801_19;S2;9010;0;975 ;10010 ;1200 ;1905
0091017700_28022023002169;P090574801;P090574801_19;S3;9010;0;1905 ;10010 ;1200 ;2835
0091017700_28022023006220;P090574801;P090574801_20;T1;9020;1240;0 ;10020 ;2440 ;750
0091017700_28022023002169;P090574801;P090574801_20;T2;9020;1240;750 ;10020 ;2440 ;1680
0091017700_28022023006220;P090574801;P090574801_21;U1;10010;0;0 ;11010 ;1200 ;750
0091017700_28022023002083;P090574801;P090574801_22;V1;10020;1240;0 ;11020 ;2440 ;750
0091017700_28022023002083;P090574801;P090574801_23;W1;11010;0;0 ;12010 ;1200 ;750
0091017700_28022023001400;P090574801;P090574801_24;X1;11020;1234;0 ;12030 ;2440 ;985
0091017700_28022023001400;P090574801;P090574801_24;X2;11020;1234;985 ;12030 ;2440 ;1970
0091017700_28022023001400;P090574801;P090574801_24;X3;11020;1234;1970 ;12030 ;2440 ;2955
0091017700_28022023001400;P090574801;P090574801_25;Y1;12010;0;0 ;13020 ;1206 ;985
0091017700_28022023001400;P090574801;P090574801_25;Y2;12010;0;985 ;13020 ;1206 ;1970
0091017700_28022023001400;P090574801;P090574801_25;Y3;12010;0;1970 ;13020 ;1206 ;2955
0091017700_28022023001400;P090574801;P090574801_26;Z1;12030;1234;0 ;13040 ;2440 ;985
0091017700_28022023001400;P090574801;P090574801_26;Z2;12030;1234;985 ;13040 ;2440 ;1970
0091017700_28022023001400;P090574801;P090574801_26;Z3;12030;1234;1970 ;13040 ;2440 ;2955
0091017700_28022023005542;P090574903;P090574903_1;A1;0;1240;0 ;1000 ;2440 ;750
0091017700_28022023005542;P090574903;P090574903_2;B1;0;0;0 ;1000 ;1200 ;750
0091017700_28022023004257;P090574903;P090574903_3;C1;1000;0;0 ;2000 ;1200 ;750
0091017700_28022023004257;P090574903;P090574903_4;D1;1000;1240;0 ;2000 ;2440 ;750
0091017700_28022023005578;P090574903;P090574903_5;E1;2000;1240;0 ;3000 ;2440 ;975
0091017700_28022023005578;P090574903;P090574903_5;E2;2000;1240;975 ;3000 ;2440 ;1905
0091017700_28022023005578;P090574903;P090574903_5;E3;2000;1240;1905 ;3000 ;2440 ;2835
0091017700_28022023005578;P090574903;P090574903_6;F1;2000;0;0 ;3000 ;1200 ;975
0091017700_28022023005578;P090574903;P090574903_6;F2;2000;0;975 ;3000 ;1200 ;1905
0091017700_28022023004333;P090574903;P090574903_6;F3;2000;0;1905 ;3000 ;1200 ;2835
0091017700_28022023001400;P090574903;P090574903_7;G1;3000;0;0 ;4010 ;1206 ;985
0091017700_28022023001400;P090574903;P090574903_7;G2;3000;0;985 ;4010 ;1206 ;1970
0091017700_28022023001400;P090574903;P090574903_7;G3;3000;0;1970 ;4010 ;1206 ;2955
0091017700_28022023001400;P090574903;P090574903_8;H1;3000;1234;0 ;4010 ;2440 ;985
0091017700_28022023001400;P090574903;P090574903_8;H2;3000;1234;985 ;4010 ;2440 ;1970
0091017700_28022023001400;P090574903;P090574903_8;H3;3000;1234;1970 ;4010 ;2440 ;2955
0091017700_28022023001400;P090574903;P090574903_9;I1;4010;1234;0 ;5020 ;2440 ;985
0091017700_28022023001400;P090574903;P090574903_9;I2;4010;1234;985 ;5020 ;2440 ;1970
0091017700_28022023001400;P090574903;P090574903_9;I3;4010;1234;1970 ;5020 ;2440 ;2955
0091017700_28022023004333;P090574903;P090574903_10;J1;4010;0;0 ;5010 ;1200 ;975
