Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P082574801;13010;20396.9;77.0596;10465.3;18193
P083574901;13240;19999.3;76.0231;9035.74;19426.8
P089574801;13040;20867.1;79.9377;10017.3;19174.5
P090574901;13250;19507.8;74.571;8840.31;19158.3
P065574801;4040;5464.76;25.4026;8577.25;5415.44
P066574901;9090;11174.6;55.0807;9624.95;9929.67
P066574801;13200;21863.3;79.83;11142.1;18887.2
P067574901;11050;15556.7;56.7513;10197.3;13658.7
P067574903;13220;19831.1;71.4159;10654.5;17411.3
P067574801;13040;20519;80.2077;9841.3;19027.2
P068574901;11050;16406.4;57.5973;10389.6;14288.9
P068574903;13040;20343.5;73.124;10694;17878.7
P068574801;13220;21778.1;81.775;10487.5;19548.9
P069574901;13240;19320.8;74.9071;8764.28;19058.1
P069574903;13206;22429.4;81.3407;11662.8;18859
P069574801;13050;20866;81.7184;10283.1;18870
P072574901;12050;16470.6;61.9058;9381.57;15503.5
P072574903;13040;20823.5;75.41;10708.3;18342.3
P072574801;13020;20648.6;80.7316;10130.8;18826.5
P073574901;12040;17655.1;59.6133;10007.2;15974
P073574903;13040;20648.9;70.676;10546.1;18352.9
P073574801;13020;21050.4;79.3456;9969.7;19412.1
P074574901;11040;15505.5;56.7513;9957.36;13881.3
P074574903;13210;20053;71.0752;10474.7;17838.5
P074574801;13240;20651.8;81.7184;9888.29;19106.4
P075574901;10030;14068;51.0093;10652.5;11650.5
P075574903;13040;21082;76.526;11002.2;18265.5
P075574801;13020;21758;81.5776;10400.6;19628.1
P076574901;9020;12081.6;41.3417;10635.4;9683.65
Q076574903_1;11020;15750.5;67.6394;11882.8;11929.1
P076574903;13240;22582.9;80.0229;11663.9;19011.3
P076574801;13020;20809.6;78.2296;9265.02;19975.4
P079574901;8020;12156.6;40.2015;11328.3;8967.91
P079574903;12030;17457.3;69.2709;11717;13825.1
P079574801;13040;20959.3;81.3237;10257.4;18992.7
P080574901;12050;17738.2;59.7809;9889.17;16191.8
P080574903;13230;20928.6;72.7944;10821.1;18318.8
P080574801;13020;21245.5;79.3456;10270.5;19263.9
P081574901;10040;14561.1;51.1278;10885.8;11877.5
P081574903;13216;20552;75.7558;11003.1;17734.5
P081574801;13040;20945;82.6371;10286.7;18945
P082574901;11050;15538.5;56.8649;10186.4;13653
P082574903;13230;19774.4;71.8106;10406.9;17637.2
P083574903;13210;22358.4;78.8387;11687.4;18760
P083574801;13240;21469.9;79.2164;9870.43;19944.9
P086574901;9020;13194.7;44.7735;11423.4;9897.55
P086574903;13240;19276.7;72.684;10954.4;16514.7
P086574801;13030;20784.1;81.1263;10030;19077
P087574901;12050;17710.8;59.7809;10102.7;15920.7
P087574903;13030;20882.6;72.597;10959.4;18114.9
P087574801;13030;21572.3;80.659;10215.6;19653.4
P088574901;9030;14109.9;48.2053;11644.7;10560.2
P088574903;13040;19597.1;73.1039;10924.4;16869.4
P088574801;13040;21485;83.5557;10332.1;19433.2
P089574901;12040;17115.9;67.4005;9896.91;15560.7
P089574903;13210;22435.2;80.4221;11575.9;18964
P090574903;13220;22435.6;79.2335;11634.2;18897.8
P090574801;13040;21377;76.3197;9992.21;19713
P096574901;12060;16178.7;74.2787;9214.31;15402.4
P097574901;13070;18541.9;81.4774;8354.96;18746.3
P103574801;13236;19451.7;75.9079;9369.24;18498.6
P104574901;13030;21904.2;76.0006;10954.2;19142.4
P110574801;13060;18564.8;76.9578;9038.56;17989.1
P111574901;13030;21872.7;73.4986;10973.9;19088.5
P093574901;8020;11556.2;40.4715;11062.2;8671.23
P093574903;12040;17876;66.7689;11647.7;14322.8
P093574801;13040;20647;80.2077;10006.3;18967
P094574901;11030;16028.6;53.1438;10935.8;13287.8
P094574903;13216;19784.1;69.9058;10887.7;17098.2
P094574801;13230;21558.6;78.5517;10171.9;19689.5
P095574901;13060;17918.9;71.0747;8410.24;18060.2
P095574903;13220;21093.5;69.8437;11121.9;18140.4
P100574901;7010;11117.9;33.9955;11866.8;7314.67
P100574903;13230;18726.5;69.7019;10163;16867.6
P100574801;13226;20764.2;78.0909;9758.87;19366.4
P101574901;12030;18320.7;60.2653;10632.5;15926
P101574903;13030;21132.5;72.7944;11155.4;18141.1
P101574801;13030;20449.7;78.2787;9577.67;19258.8
P102574901;11030;15585.7;55.6458;11115.3;12640.1
P102574903;13040;21315.6;77.6122;10992;18510.6
P102574801;13220;20472.9;81.3141;9573.86;19286.3
P103574901;12030;17051.3;64.9518;10588.8;14706.6
P103574903;13220;21106.8;76.0177;11704;17489.4
P104574903;13010;22604.3;76.1394;11798.9;18878.5
P104574801;13060;20859.6;76.6152;9700.31;19528.7
P107574901;8020;11947.3;37.9502;11552.7;8502.54
P107574903;13040;19635.3;72.9459;10229.2;17701
P107574801;13030;20904.5;79.3947;10100.4;19117.1
P108574901;12030;17534.2;56.8633;10818.4;14927.4
P108574903;13210;21001.6;75.7067;10978.8;18211.7
P108574801;13050;20823.8;80.1841;10070.4;19070.6
P109574901;10020;14225.4;51.8773;11391.4;10964.7
P109574903;13230;20739.9;75.2964;10704.1;18263.5
P109574801;13030;20647.9;78.2787;9661.44;19361.4
P110574901;11040;16251.7;58.4653;10912.5;13537.5
P110574903;13020;21258.3;79.4923;11607.1;17751.5
P111574903;13010;22160.1;73.8534;11567.4;18698.6
P111574801;13060;19950.7;73.2672;9011.87;19405.4
P114574901;6020;8667.5;32.4357;10461.6;6467.92
P114574903;13050;20218.3;75.8144;10871.7;17550.7
P114574801;13220;21137.2;76.3101;9787.8;19706.5
P066523401;11820;17265.7;50.0787;11430.7;13960.2
P068523401;13430;22566.1;70.4925;10615.3;20191
P068523407;12020;19888;71.098;11404.4;16612.6
P069523409;13220;23657.1;84.5308;10188.6;21769
P080523401;12810;19497.1;57.6634;10872.6;16828.4
P082523401;13430;21942.8;70.0665;10145.7;20103.7
P082523407;13040;20652.3;74.2381;8285.26;20936.1
P083523409;13040;22996.5;81.4802;10257.7;21029.5
P087523401;12220;18835.1;62.3943;11248.1;15738
P088523407;7010;11025.1;37.3198;11549.2;7584.36
P089523401;13410;21437.3;64.9677;10525.1;19165.3
P089523407;13216;20395.2;70.631;8564.02;20361
P090523409;13050;22293.7;79.9369;10041;20574
P065523407;3010;5112.28;16.2214;8622.5;5011.33
P066523409;13020;20857.8;79.6356;10448.6;18673
P067523407;5010;7887.16;28.6054;10506.1;5636.74
P072523407;5010;8622.68;30.4302;10838.3;5993.16
P073523401;11410;17480.1;56.1791;11985.5;13541.5
P073523409;12020;19480.6;73.9298;11418.6;16188.9
P074523407;6030;9889.92;35.2756;11282.3;6753.72
Q075523401_1;12610;20071.3;57.8524;11237;16986.8
P075523401;13060;23037.2;76.7796;10483.2;20813
P076523409;13040;22540.2;83.5184;11391.1;19279.9
P079523407;6010;10186.6;33.8583;11611.8;6674.46
P080523409;13020;19653.5;76.5492;10110;17855
P081523407;6010;10190;34.1056;11666.1;6615.81
P086523407;5020;9084.41;30.4563;11131.8;6119.95
P087523409;12030;19556.3;75.1058;10025.9;17853.9
P073501801;13200;21904.1;81.648;10754;19370.8
P074501801;13200;23539.9;87.336;11854.8;19750.5
P087501801;13200;21403.6;82.062;11854;17615.1
P088501801;13200;22349.5;84.348;11512.7;18950.4
P065501803;8000;12037.2;44.28;11858.6;8243.42
P065501805;8000;13335.9;46.926;11778.6;9633.38
P066501801;13200;23232.4;82.818;11435.7;19921.2
P067501801;11000;18817;66.924;11663.9;15245.4
P068501803;12000;19651.1;70.74;11627.3;16121.2
P069501801;10000;14846.6;54.846;10887.3;12161.2
P069501805;13200;24298;88.452;11272.3;21173.2
P072501803;13200;22709.1;85.464;11497.9;19326.9
P075501803;13200;23298.5;85.464;11553.5;19852.8
P076501801;11000;17208.3;62.406;11653.1;13649.1
P076501805;13200;24136.2;88.452;11086.7;21223.2
P079501803;12000;19926.9;76.014;11551.3;16483.8
P080501801;12000;20553.1;77.958;11920.3;16688.9
P081501801;13200;21854.4;82.818;11199.6;18812.6
P082501803;8000;13007.8;51.03;11514.3;9606.9
P082501805;10000;14833.6;55.602;11002.4;12016.8
P083501801;13200;20959.9;82.818;11700.2;17346.8
P083501805;12000;20731.9;78.66;11858.6;16938.1
P086501803;13200;22467.9;87.336;11887.9;18640.7
P089501803;13200;23977;88.452;11901.3;20134.4
P090501801;11000;17827.7;68.04;11429.4;14523.6
P090501805;9000;13702.1;49.212;11650;10146.3
P101523401;11410;18540.9;59.4463;11712.2;14914.2
P102523407;6010;9898.82;34.8942;11580.7;6422.18
P103523401;13410;21731.6;67.4057;10199.6;19831
P103523407;13050;20009.4;68.866;8720.23;19797
P104523409;13030;22480.5;83.5606;10097.3;20696.5
P110523401;13236;21959.1;76.9797;10105.2;20166.2
P111523409;13030;23746.6;83.3508;10206.1;21838.5
P093523407;5010;7137.67;25.2574;9977.45;5490.53
P094523401;10640;15983.3;48.8897;11383.7;12731.4
P094523409;8030;13964.1;47.4938;11922.8;10097.1
P095523407;3020;4402.26;14.8636;8063.78;4938.88
P096523401;6400;9814.27;27.6165;11171.1;6805.02
P097523409;10020;16496.6;63.2644;11642.1;12949.9
P100523407;5020;9252.3;30.4302;11173.5;6240.27
P101523409;13020;20304.1;77.5434;9484.3;19219.7
P107523407;6010;9544.32;31.5462;11328.1;6355.86
P108523401;11210;16475.1;52.59;10489.4;14243.7
P108523409;12020;17837.7;71.067;10515.4;15576.8
P109523407;7020;12078.8;39.8792;11547.3;8640.3
Q110523401_1;11810;19163.1;53.3608;11509;15768.2
P114523407;5010;8045.72;28.9868;10577.5;5713.84
P104501805;10000;15623.5;57.132;11568.8;12160.4
