Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P090574801;P090574801_1;A;0;1240;0;1000;2440;2835
P090574801;P090574801_2;B;0;0;0;1000;1200;2835
P090574801;P090574801_3;C;1000;0;0;2000;1200;2835
P090574801;P090574801_4;D;1000;1200;0;2000;2400;2835
P090574801;P090574801_5;E;2000;1240;0;3000;2440;2835
P090574801;P090574801_6;F;2000;0;0;3000;1200;2835
P090574801;P090574801_7;G;3000;0;0;4000;1200;2835
P090574801;P090574801_8;H;3000;1200;0;4000;2400;2835
P090574801;P090574801_9;I;4000;1240;0;5000;2440;2835
P090574801;P090574801_10;J;4000;0;0;5000;1200;2835
P090574801;P090574801_11;K;5000;0;0;6000;1200;2835
P090574801;P090574801_12;L;5000;1240;0;6000;2440;2835
P090574801;P090574801_13;M;6000;0;0;7000;1200;975
P090574801;P090574801_14;N;6000;1234;0;7010;2440;2355
P090574801;P090574801_15;O;7000;0;0;8010;1206;2355
P090574801;P090574801_16;P;7010;1234;0;8020;2440;2355
P090574801;P090574801_17;Q;8010;0;0;9010;1200;2835
P090574801;P090574801_18;R;8020;1240;0;9020;2440;2835
P090574801;P090574801_19;S;9010;0;0;10010;1200;2835
P090574801;P090574801_20;T;9020;1240;0;10020;2440;1680
P090574801;P090574801_21;U;10010;0;0;11010;1200;750
P090574801;P090574801_22;V;10020;1240;0;11020;2440;750
P090574801;P090574801_23;W;11010;0;0;12010;1200;750
P090574801;P090574801_24;X;11020;1234;0;12030;2440;2955
P090574801;P090574801_25;Y;12010;0;0;13020;1206;2955
P090574801;P090574801_26;Z;12030;1234;0;13040;2440;2955
P090574903;P090574903_1;A;0;1240;0;1000;2440;750
P090574903;P090574903_2;B;0;0;0;1000;1200;750
P090574903;P090574903_3;C;1000;0;0;2000;1200;750
P090574903;P090574903_4;D;1000;1240;0;2000;2440;750
P090574903;P090574903_5;E;2000;1240;0;3000;2440;2835
P090574903;P090574903_6;F;2000;0;0;3000;1200;2835
P090574903;P090574903_7;G;3000;0;0;4000;1200;2835
P090574903;P090574903_8;H;3000;1240;0;4000;2440;2835
P090574903;P090574903_9;I;4000;1240;0;5000;2440;2835
P090574903;P090574903_10;J;4000;0;0;5010;1206;2955
P090574903;P090574903_11;K;5000;1234;0;6010;2440;2955
P090574903;P090574903_12;L;5010;0;0;6020;1206;2955
P090574903;P090574903_13;M;6010;1234;0;7020;2440;2955
P090574903;P090574903_14;N;6020;0;0;7020;1200;2835
P090574903;P090574903_15;O;7020;0;0;8020;1200;2835
P090574903;P090574903_16;P;7020;1240;0;8020;2440;2835
P090574903;P090574903_17;Q;8020;1240;0;9020;2440;2835
P090574903;P090574903_18;R;8020;0;0;9020;1200;2835
P090574903;P090574903_19;S;9020;0;0;10020;1200;2835
P090574903;P090574903_20;T;9020;1240;0;10020;2440;2835
P090574903;P090574903_21;U;10020;1240;0;11020;2440;2835
P090574903;P090574903_22;V;10020;0;0;11020;1200;2835
P090574903;P090574903_23;W;11020;0;0;12020;1200;2835
P090574903;P090574903_24;X;11020;1240;0;12020;2440;2835
P090574903;P090574903_25;Y;12020;1440;0;13220;2440;2835
P090574903;P090574903_26;Z;12020;0;0;13020;1200;2835
P090574901;P090574901_1;A;0;0;0;1010;1206;2355
P090574901;P090574901_2;B;0;1206;0;1010;2412;2355
P090574901;P090574901_3;C;1010;1234;0;2020;2440;2355
P090574901;P090574901_4;D;1010;0;0;2020;1206;2355
P090574901;P090574901_5;E;2020;1234;0;3030;2440;2355
P090574901;P090574901_6;F;2020;0;0;3030;1206;2355
P090574901;P090574901_7;G;3030;0;0;4040;1206;2355
P090574901;P090574901_8;H;3030;1234;0;4040;2440;2355
P090574901;P090574901_9;I;4040;1240;0;5040;2440;2835
P090574901;P090574901_10;J;4040;0;0;5040;1200;2835
P090574901;P090574901_11;K;5040;0;0;6040;1200;2835
P090574901;P090574901_12;L;5040;1240;0;6040;2440;750
P090574901;P090574901_13;M;6040;1240;0;7040;2440;750
P090574901;P090574901_14;N;6040;0;0;7040;1200;750
P090574901;P090574901_15;O;7040;0;0;8040;1200;750
P090574901;P090574901_16;P;7040;1240;0;8040;2440;2835
P090574901;P090574901_17;Q;8040;1240;0;9040;2440;2835
P090574901;P090574901_18;R;8040;0;0;9040;1200;2835
P090574901;P090574901_19;S;9040;0;0;10040;1200;2835
P090574901;P090574901_20;T;9040;1240;0;10040;2440;2835
P090574901;P090574901_21;U;10040;1240;0;11040;2440;2835
P090574901;P090574901_22;V;10040;0;0;11040;1200;2835
P090574901;P090574901_23;W;11040;0;0;12040;1200;2835
P090574901;P090574901_24;X;11040;1240;0;12040;2440;2835
P090574901;P090574901_25;Y;12040;1430;0;13246;2440;2955
P090574901;P090574901_26;Z;12040;0;0;13050;1206;2955
P089574801;P089574801_1;A;0;0;0;1000;1200;2835
P089574801;P089574801_2;B;0;1240;0;1000;2440;2835
P089574801;P089574801_3;C;1000;1240;0;2000;2440;2835
P089574801;P089574801_4;D;1000;0;0;2010;1206;2355
P089574801;P089574801_5;E;2000;1234;0;3010;2440;2355
P089574801;P089574801_6;F;2010;0;0;3020;1206;2355
P089574801;P089574801_7;G;3010;1240;0;4010;2440;2835
P089574801;P089574801_8;H;3020;0;0;4020;1200;2835
P089574801;P089574801_9;I;4010;1240;0;5010;2440;2835
P089574801;P089574801_10;J;4020;0;0;5020;1200;2835
P089574801;P089574801_11;K;5010;1240;0;6010;2440;2835
P089574801;P089574801_12;L;5020;0;0;6020;1200;975
P089574801;P089574801_13;M;6010;1240;0;7010;2440;1680
P089574801;P089574801_14;N;6020;0;0;7020;1200;1680
P089574801;P089574801_15;O;7010;1240;0;8010;2440;750
P089574801;P089574801_16;P;7020;0;0;8020;1200;2835
P089574801;P089574801_17;Q;8010;1240;0;9010;2440;2835
P089574801;P089574801_18;R;8020;0;0;9020;1200;2835
P089574801;P089574801_19;S;9010;1240;0;10010;2440;2835
P089574801;P089574801_20;T;9020;0;0;10020;1200;2835
P089574801;P089574801_21;U;10010;1240;0;11010;2440;2835
P089574801;P089574801_22;V;10020;0;0;11030;1206;2955
P089574801;P089574801_23;W;11010;1234;0;12020;2440;2955
P089574801;P089574801_24;X;11030;0;0;12040;1206;2955
P089574801;P089574801_25;Y;12020;1234;0;13030;2440;2955
P089574801;P089574801_26;Z;12040;0;0;13050;1206;2955
P089574903;P089574903_1;A;0;1240;0;1000;2440;1905
P089574903;P089574903_2;B;0;0;0;1000;1200;750
P089574903;P089574903_3;C;1000;0;0;2000;1200;750
P089574903;P089574903_4;D;1000;1240;0;2000;2440;750
P089574903;P089574903_5;E;2000;1240;0;3000;2440;2835
P089574903;P089574903_6;F;2000;0;0;3000;1200;2835
P089574903;P089574903_7;G;3000;0;0;4000;1200;2835
P089574903;P089574903_8;H;3000;1240;0;4000;2440;2835
P089574903;P089574903_9;I;4000;1240;0;5000;2440;2835
P089574903;P089574903_10;J;4000;0;0;5000;1200;2835
P089574903;P089574903_11;K;5000;0;0;6000;1200;2835
P089574903;P089574903_12;L;5000;1240;0;6000;2440;2835
P089574903;P089574903_13;M;6000;1240;0;7000;2440;2835
P089574903;P089574903_14;N;6000;0;0;7000;1200;2835
P089574903;P089574903_15;O;7000;0;0;8000;1200;2835
P089574903;P089574903_16;P;7000;1240;0;8000;2440;2835
P089574903;P089574903_17;Q;8000;1240;0;9000;2440;2835
P089574903;P089574903_18;R;8000;0;0;9000;1200;2835
P089574903;P089574903_19;S;9000;0;0;10000;1200;2835
P089574903;P089574903_20;T;9000;1240;0;10000;2440;2835
P089574903;P089574903_21;U;10000;1240;0;11000;2440;2835
P089574903;P089574903_22;V;10000;0;0;11000;1200;2835
P089574903;P089574903_23;W;11000;0;0;12000;1200;2835
P089574903;P089574903_24;X;11000;1240;0;12000;2440;2835
P089574903;P089574903_25;Y;12000;1440;0;13200;2440;2835
P089574903;P089574903_26;Z;12000;0;0;13010;1206;2955
P089574901;P089574901_1;A;0;0;0;1010;1206;2355
P089574901;P089574901_2;B;0;1206;0;1010;2412;2355
P089574901;P089574901_3;C;1010;1234;0;2020;2440;2355
P089574901;P089574901_4;D;1010;0;0;2020;1206;2355
P089574901;P089574901_5;E;2020;1234;0;3030;2440;2355
P089574901;P089574901_6;F;2020;0;0;3030;1206;2355
P089574901;P089574901_7;G;3030;0;0;4040;1206;2355
P089574901;P089574901_8;H;3030;1240;0;4030;2440;2835
P089574901;P089574901_9;I;4030;1240;0;5030;2440;2835
P089574901;P089574901_10;J;4040;0;0;5040;1200;2835
P089574901;P089574901_11;K;5030;1240;0;6030;2440;2835
P089574901;P089574901_12;L;5040;0;0;6040;1200;2835
P089574901;P089574901_13;M;6030;1240;0;7030;2440;2835
P089574901;P089574901_14;N;6040;0;0;7040;1200;1680
P089574901;P089574901_15;O;7030;1240;0;8030;2440;750
P089574901;P089574901_16;P;7040;0;0;8040;1200;750
P089574901;P089574901_17;Q;8030;1234;0;9040;2440;2955
P089574901;P089574901_18;R;8040;0;0;9040;1200;2835
P089574901;P089574901_19;S;9040;1234;0;10050;2440;2955
P089574901;P089574901_20;T;9040;0;0;10040;1200;2835
P089574901;P089574901_21;U;10040;0;0;11040;1200;2835
P089574901;P089574901_22;V;10050;1240;0;11050;2440;2835
P089574901;P089574901_23;W;11040;0;0;12040;1200;1905
P088574903;P088574903_1;A;0;1240;0;1000;2440;1680
P088574903;P088574903_2;B;0;0;0;1000;1200;1680
P088574903;P088574903_3;C;1000;620;0;2000;1820;1680
P088574903;P088574903_4;D;2000;1240;0;3000;2440;2835
P088574903;P088574903_5;E;2000;0;0;3000;1200;750
P088574903;P088574903_6;F;3000;620;0;4000;1820;750
P088574903;P088574903_7;G;4000;1234;0;5010;2440;2955
P088574903;P088574903_8;H;4000;14;0;5010;1220;2955
P088574903;P088574903_9;I;5010;0;0;6020;1206;2955
P088574903;P088574903_10;J;5010;1234;0;6020;2440;2955
P088574903;P088574903_11;K;6020;1240;0;7020;2440;2835
P088574903;P088574903_12;L;6020;0;0;7020;1200;2835
P088574903;P088574903_13;M;7020;0;0;8020;1200;2835
P088574903;P088574903_14;N;7020;1240;0;8020;2440;2835
P088574903;P088574903_15;O;8020;1240;0;9020;2440;2835
P088574903;P088574903_16;P;8020;0;0;9020;1200;2835
P088574903;P088574903_17;Q;9020;0;0;10020;1200;2835
P088574903;P088574903_18;R;9020;1240;0;10020;2440;2835
P088574903;P088574903_19;S;10020;1240;0;11020;2440;2835
P088574903;P088574903_20;T;10020;0;0;11020;1200;2835
P088574903;P088574903_21;U;11020;0;0;12020;1200;2835
P088574903;P088574903_22;V;11020;1240;0;12020;2440;2835
P088574903;P088574903_23;W;12020;1440;0;13220;2440;2835
P088574903;P088574903_24;X;12020;0;0;13020;1200;2835
P088574901;P088574901_1;A;0;1234;0;1010;2440;2355
P088574901;P088574901_2;B;0;0;0;1010;1206;2355
P088574901;P088574901_3;C;1010;0;0;2020;1206;2355
P088574901;P088574901_4;D;1010;1234;0;2020;2440;2355
P088574901;P088574901_5;E;2020;0;0;3030;1206;2355
P088574901;P088574901_6;F;2020;1234;0;3030;2440;2355
P088574901;P088574901_7;G;3030;1234;0;4040;2440;2355
P088574901;P088574901_8;H;3030;0;0;4040;1206;2355
P088574901;P088574901_9;I;4040;0;0;5050;1206;2355
P088574901;P088574901_10;J;4040;1234;0;5050;2440;2355
P088574901;P088574901_11;K;5050;1240;0;6050;2440;2835
P088574901;P088574901_12;L;5050;0;0;6050;1200;2835
P088574901;P088574901_13;M;6050;0;0;7050;1200;2835
P088574901;P088574901_14;N;6050;1240;0;7050;2440;2835
P088574901;P088574901_15;O;7050;1240;0;8050;2440;2835
P088574901;P088574901_16;P;7050;0;0;8050;1200;2835
P088574901;P088574901_17;Q;8050;0;0;9050;1200;2835
P088574901;P088574901_18;R;8050;1240;0;9050;2440;1680
P088574901;P088574901_19;S;9050;1240;0;10050;2440;1680
P088574901;P088574901_20;T;9050;0;0;10050;1200;750
P088574901;P088574901_21;U;10050;0;0;11050;1200;750
P088574901;P088574901_22;V;10050;1240;0;11050;2440;2835
P088574901;P088574901_23;W;11050;1234;0;12060;2440;2955
P088574901;P088574901_24;X;11050;0;0;12060;1206;2955
P088574901;P088574901_25;Y;12060;0;0;13260;1000;2835
P088574901;P088574901_26;Z;12060;1240;0;13060;2440;2835
P087574801;P087574801_1;A;0;0;0;1000;1200;2835
P087574801;P087574801_2;B;0;1200;0;1000;2400;2835
P087574801;P087574801_3;C;1000;1240;0;2000;2440;2835
P087574801;P087574801_4;D;1000;0;0;2000;1200;2835
P087574801;P087574801_5;E;2000;1240;0;3000;2440;2835
P087574801;P087574801_6;F;2000;0;0;3010;1206;2355
P087574801;P087574801_7;G;3000;1234;0;4010;2440;2355
P087574801;P087574801_8;H;3010;0;0;4020;1206;2355
P087574801;P087574801_9;I;4010;1240;0;5010;2440;2835
P087574801;P087574801_10;J;4020;0;0;5020;1200;2835
P087574801;P087574801_11;K;5010;1240;0;6010;2440;2835
P087574801;P087574801_12;L;5020;0;0;6020;1200;2835
P087574801;P087574801_13;M;6010;1240;0;7010;2440;2835
P087574801;P087574801_14;N;6020;0;0;7020;1200;2835
P087574801;P087574801_15;O;7010;1240;0;8010;2440;2835
P087574801;P087574801_16;P;7020;0;0;8020;1200;1680
P087574801;P087574801_17;Q;8010;1240;0;9010;2440;1680
P087574801;P087574801_18;R;8020;0;0;9020;1200;1905
P087574801;P087574801_19;S;9010;1240;0;10010;2440;750
P087574801;P087574801_20;T;9020;0;0;10020;1200;2835
P087574801;P087574801_21;U;10010;1240;0;11010;2440;2835
P087574801;P087574801_22;V;10020;0;0;11020;1200;2835
P087574801;P087574801_23;W;11010;1240;0;12010;2440;2835
P087574801;P087574801_24;X;11020;0;0;12020;1200;2835
P087574801;P087574801_25;Y;12010;1234;0;13020;2440;2955
P087574801;P087574801_26;Z;12020;0;0;13020;1200;2835
P087574903;P087574903_1;A;0;1240;0;1000;2440;1905
P087574903;P087574903_2;B;0;0;0;1000;1200;750
P087574903;P087574903_3;C;1000;0;0;2000;1200;750
P087574903;P087574903_4;D;1000;1240;0;2000;2440;750
P087574903;P087574903_5;E;2000;1240;0;3000;2440;750
P087574903;P087574903_6;F;2000;0;0;3000;1200;2835
P087574903;P087574903_7;G;3000;0;0;4000;1200;2835
P087574903;P087574903_8;H;3000;1240;0;4000;2440;2835
P087574903;P087574903_9;I;4000;1240;0;5000;2440;2835
P087574903;P087574903_10;J;4000;0;0;5000;1200;2835
P087574903;P087574903_11;K;5000;0;0;6000;1200;2835
P087574903;P087574903_12;L;5000;1240;0;6000;2440;2835
P087574903;P087574903_13;M;6000;1240;0;7000;2440;2835
P087574903;P087574903_14;N;6000;0;0;7000;1200;2835
P087574903;P087574903_15;O;7000;0;0;8000;1200;2835
P087574903;P087574903_16;P;7000;1240;0;8000;2440;2835
P087574903;P087574903_17;Q;8000;1240;0;9000;2440;2835
P087574903;P087574903_18;R;8000;0;0;9000;1200;2835
P087574903;P087574903_19;S;9000;0;0;10000;1200;2835
P087574903;P087574903_20;T;9000;1240;0;10000;2440;2835
P087574903;P087574903_21;U;10000;1234;0;11010;2440;2955
P087574903;P087574903_22;V;10000;0;0;11010;1206;2955
P087574903;P087574903_23;W;11010;0;0;12020;1206;2955
P087574903;P087574903_24;X;11010;1234;0;12020;2440;2955
P087574903;P087574903_25;Y;12020;1440;0;13220;2440;2835
P087574903;P087574903_26;Z;12020;0;0;13020;1200;2835
P087574901;P087574901_1;A;0;0;0;1010;1206;2355
P087574901;P087574901_2;B;0;1206;0;1010;2412;2355
P087574901;P087574901_3;C;1010;1234;0;2020;2440;2355
P087574901;P087574901_4;D;1010;0;0;2020;1206;2355
P087574901;P087574901_5;E;2020;1234;0;3030;2440;2355
P087574901;P087574901_6;F;2020;0;0;3030;1206;2355
P087574901;P087574901_7;G;3030;0;0;4040;1206;2355
P087574901;P087574901_8;H;3030;1240;0;4030;2440;2835
P087574901;P087574901_9;I;4030;1240;0;5030;2440;2835
P087574901;P087574901_10;J;4040;0;0;5040;1200;2835
P087574901;P087574901_11;K;5030;1240;0;6030;2440;2835
P087574901;P087574901_12;L;5040;0;0;6040;1200;1680
P087574901;P087574901_13;M;6030;1240;0;7030;2440;750
P087574901;P087574901_14;N;6040;0;0;7040;1200;750
P087574901;P087574901_15;O;7030;1240;0;8030;2440;750
P087574901;P087574901_16;P;7040;0;0;8040;1200;750
P087574901;P087574901_17;Q;8030;1240;0;9030;2440;750
P087574901;P087574901_18;R;8040;0;0;9040;1200;2835
P087574901;P087574901_19;S;9030;1240;0;10030;2440;2835
P087574901;P087574901_20;T;9040;0;0;10050;1206;2955
P087574901;P087574901_21;U;10030;1234;0;11040;2440;2955
