Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P095590505;P095590505_1;A;0;0;0;1600;1200;2865
P095590505;P095590505_2;B;0;1240;0;1600;2440;2865
P095590505;P095590505_3;C;1600;1240;0;3200;2440;2865
P095590505;P095590505_4;D;1600;0;0;3200;1200;2865
P095590505;P095590505_5;E;3200;0;0;4800;1200;2865
P095590505;P095590505_6;F;3200;1240;0;4800;2440;2865
P095590505;P095590505_7;G;4800;1231;0;5807;2440;2970
P095590505;P095590505_8;H;4800;0;0;5807;1209;2970
P095590505;P095590505_9;I;5807;0;0;6814;1209;2970
P095590505;P095590505_10;J;5807;1231;0;6814;2440;2970
P095590505;P095590505_11;K;6814;1231;0;7821;2440;2970
P095590505;P095590505_12;L;6814;0;0;7821;1209;2945
P095590505;P095590505_13;M;7821;0;0;8828;1209;2920
P095590505;P095590505_14;N;7821;1231;0;8828;2440;2920
P095590505;P095590505_15;O;8828;1231;0;9835;2440;2920
P095590505;P095590505_16;P;8828;0;0;9835;1209;2945
P095590505;P095590505_17;Q;9835;0;0;10842;1209;2970
P095590505;P095590505_18;R;9835;1231;0;10842;2440;2970
P095590505;P095590505_19;S;10842;1240;0;11842;2440;2835
P095590505;P095590505_20;T;10842;0;0;12442;1200;2865
P095590505;P095590505_21;U;11842;1240;0;13442;2440;2865
P095590505;P095590505_22;V;12442;0;0;13449;1209;2920
P095591103;P095591103_1;A;0;1240;0;1000;2440;2835
P095591103;P095591103_2;B;0;0;0;1000;1200;2835
P095591103;P095591103_3;C;1000;0;0;2000;1200;1905
P095591103;P095591103_4;D;1000;1234;0;2010;2440;585
P095591103;P095591103_5;E;2000;0;0;3000;1200;2835
P095591103;P095591103_6;F;2010;1231;0;3017;2440;2920
P095591103;P095591103_7;G;3000;0;0;4007;1209;2920
P095591103;P095591103_8;H;3017;1231;0;4024;2440;2920
P095591103;P095591103_9;I;4007;0;0;5014;1209;2945
P095591103;P095591103_10;J;4024;1240;0;5624;2440;2865
P095591103;P095591103_11;K;5014;0;0;6614;1200;2865
P095591103;P095591103_12;L;5624;1240;0;7224;2440;2865
P095591103;P095591103_13;M;6614;0;0;8214;1200;2865
P095591103;P095591103_14;N;7224;1231;0;8231;2440;2920
P095591103;P095591103_15;O;8214;0;0;9221;1209;2920
P095591103;P095591103_16;P;8231;1231;0;9238;2440;2920
P095591103;P095591103_17;Q;9221;0;0;10228;1209;2920
P095591103;P095591103_18;R;9238;1240;0;10238;2440;2835
P095591103;P095591103_19;S;10228;0;0;11235;1209;2920
P095591103;P095591103_20;T;10238;1231;0;11245;2440;2920
P095591103;P095591103_21;U;11235;0;0;12242;1209;2920
P095591103;P095591103_22;V;11245;1231;0;12252;2440;2920
P095591103;P095591103_23;W;12242;0;0;13249;1209;2945
P095591103;P095591103_24;X;12252;1240;0;13252;2440;2835
P095591101;P095591101_1;A;0;0;0;1000;1200;2835
P095591101;P095591101_2;B;0;1240;0;1000;2440;2835
P095591101;P095591101_3;C;1000;1240;0;2000;2440;2835
P095591101;P095591101_4;D;1000;0;0;2000;1200;2835
P095591101;P095591101_5;E;2000;0;0;3007;1209;2920
P095591101;P095591101_6;F;2000;1231;0;3007;2440;2920
P095591101;P095591101_7;G;3007;1231;0;4014;2440;2920
P095591101;P095591101_8;H;3007;0;0;4014;1209;2920
P095591101;P095591101_9;I;4014;0;0;5021;1209;2920
P095591101;P095591101_10;J;4014;1231;0;5021;2440;2920
P095591101;P095591101_11;K;5021;1231;0;6028;2440;2920
P095591101;P095591101_12;L;5021;0;0;6021;1200;2835
P095591101;P095591101_13;M;6021;0;0;7021;1200;2865
P095591101;P095591101_14;N;6028;1240;0;7028;2440;2835
P095591101;P095591101_15;O;7021;0;0;8021;1200;2835
P095591101;P095591101_16;P;7028;1240;0;8028;2440;2835
P095591101;P095591101_17;Q;8021;0;0;9021;1200;2835
P095591101;P095591101_18;R;8028;1240;0;9028;2440;2835
P095591101;P095591101_19;S;9021;0;0;10021;1200;2610
P095591101;P095591101_20;T;9028;1231;0;10035;2440;2945
P095591101;P095591101_21;U;10021;0;0;11621;1200;2865
P095591101;P095591101_22;V;10035;1231;0;11042;2440;2945
P095591101;P095591101_23;W;11042;1231;0;12049;2440;2945
P095591101;P095591101_24;X;11621;0;0;13221;1200;2865
P095591101;P095591101_25;Y;12049;1240;0;13049;2440;2835
P095590501;P095590501_1;A;0;0;0;1007;1209;2945
P095590501;P095590501_2;B;0;1231;0;1007;2440;2945
P095590501;P095590501_3;C;1007;1231;0;2014;2440;2920
P095590501;P095590501_4;D;1007;0;0;2014;1209;2945
P095590501;P095590501_5;E;2014;0;0;3021;1209;2945
P095590501;P095590501_6;F;2014;1240;0;3014;2440;2835
P095590501;P095590501_7;G;3014;1231;0;4021;2440;2945
P095590501;P095590501_8;H;3021;0;0;4621;1200;2865
P095590501;P095590501_9;I;4021;1240;0;5621;2440;2340
P095590501;P095590501_10;J;4621;0;0;5621;1200;2835
P095590501;P095590501_11;K;5621;1240;0;6621;2440;2835
P095590501;P095590501_12;L;5621;0;0;6628;1209;2920
P095590501;P095590501_13;M;6621;1231;0;7628;2440;2945
P095590501;P095590501_14;N;6628;0;0;7635;1209;2945
P095590501;P095590501_15;O;7628;1240;0;9228;2440;2865
P095590501;P095590501_16;P;7635;0;0;8635;1200;2835
P095590501;P095590501_17;Q;8635;0;0;10235;1200;2520
P095590501;P095590501_18;R;9228;1240;0;10228;2440;2835
P095590501;P095590501_19;S;10228;1240;0;11828;2440;2865
P095590501;P095590501_20;T;10235;0;0;11242;1209;2945
P095590501;P095590501_21;U;11242;0;0;12249;1209;2945
P095590501;P095590501_22;V;11828;1240;0;13428;2440;2865
P095590501;P095590501_23;W;12249;0;0;13256;1209;2920
P094590505;P094590505_1;A;0;0;0;1600;1200;2700
P094590505;P094590505_2;B;0;1240;0;1600;2440;2700
P094590505;P094590505_3;C;1600;1240;0;3200;2440;2700
P094590505;P094590505_4;D;1600;0;0;3200;1200;2700
P094590505;P094590505_5;E;3200;0;0;4800;1200;2700
P094590505;P094590505_6;F;3200;1240;0;4800;2440;2700
P094590505;P094590505_7;G;4800;1240;0;6400;2440;2700
P094590505;P094590505_8;H;4800;0;0;6400;1200;2700
P094590505;P094590505_9;I;6400;0;0;7400;1200;2610
P094590505;P094590505_10;J;6400;1240;0;8000;2440;2700
P094590505;P094590505_11;K;7400;0;0;9000;1200;2865
P094590505;P094590505_12;L;8000;1231;0;9007;2440;2945
P094590505;P094590505_13;M;9000;0;0;10000;1200;2835
P094590505;P094590505_14;N;9007;1240;0;10607;2440;2865
P094590505;P094590505_15;O;10000;0;0;11600;1200;2865
P094590505;P094590505_16;P;10607;1240;0;12207;2440;2865
P094590505;P094590505_17;Q;11600;0;0;13200;1200;2865
P094590505;P094590505_18;R;12207;1231;0;13214;2440;2920
P094591103;P094591103_1;A;0;0;0;1007;1209;2970
P094591103;P094591103_2;B;0;1231;0;1007;2440;2970
P094591103;P094591103_3;C;1007;1231;0;2014;2440;2970
P094591103;P094591103_4;D;1007;0;0;2014;1209;2970
P094591103;P094591103_5;E;2014;0;0;3021;1209;2970
P094591103;P094591103_6;F;2014;1231;0;3021;2440;2970
P094591103;P094591103_7;G;3021;1231;0;4028;2440;2970
