Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P095590505;P095590505_1;A;0;0;0;1000;1200;2835
P095590505;P095590505_2;B;0;1231;0;1007;2440;2920
P095590505;P095590505_3;C;1000;0;0;2007;1209;2920
P095590505;P095590505_4;D;1007;1231;0;2014;2440;2920
P095590505;P095590505_5;E;2007;0;0;3014;1209;2920
P095590505;P095590505_6;F;2014;1240;0;3014;2440;2835
P095590505;P095590505_7;G;3014;1231;0;4021;2440;2920
P095590505;P095590505_8;H;3014;0;0;4021;1209;2945
P095590505;P095590505_9;I;4021;0;0;5028;1209;2945
P095590505;P095590505_10;J;4021;1231;0;5028;2440;2920
P095590505;P095590505_11;K;5028;1231;0;6035;2440;2970
P095590505;P095590505_12;L;5028;0;0;6035;1209;2970
P095590505;P095590505_13;M;6035;0;0;7042;1209;2970
P095590505;P095590505_14;N;6035;1231;0;7042;2440;2970
P095590505;P095590505_15;O;7042;1231;0;8049;2440;2970
P095590505;P095590505_16;P;7042;0;0;8049;1209;2970
P095590505;P095590505_17;Q;8049;0;0;9056;1209;2970
P095590505;P095590505_18;R;8049;1231;0;9056;2440;2945
P095590505;P095590505_19;S;9056;1231;0;10063;2440;2920
P095590505;P095590505_20;T;9056;0;0;10063;1209;2920
P095590505;P095590505_21;U;10063;0;0;11663;1200;2865
P095590505;P095590505_22;V;10063;1240;0;11663;2440;2865
P095590505;P095590505_23;W;11663;1240;0;13263;2440;2865
P095590505;P095590505_24;X;11663;0;0;13263;1200;2865
P095591103;P095591103_1;A;0;0;0;1000;1200;2835
P095591103;P095591103_2;B;0;1240;0;1000;2440;2835
P095591103;P095591103_3;C;1000;1240;0;2000;2440;2835
P095591103;P095591103_4;D;1000;0;0;2000;1200;975
P095591103;P095591103_5;E;2000;0;0;3010;1206;585
P095591103;P095591103_6;F;2000;1240;0;3600;2440;2865
P095591103;P095591103_7;G;3010;0;0;4610;1200;2865
P095591103;P095591103_8;H;3600;1240;0;5200;2440;2865
P095591103;P095591103_9;I;4610;0;0;6210;1200;2865
P095591103;P095591103_10;J;5200;1240;0;6800;2440;2865
P095591103;P095591103_11;K;6210;0;0;7810;1200;2865
P095591103;P095591103_12;L;6800;1240;0;8400;2440;2865
P095591103;P095591103_13;M;7810;0;0;9410;1200;2865
P095591103;P095591103_14;N;8400;1231;0;9407;2440;2920
P095591103;P095591103_15;O;9407;1231;0;10414;2440;2920
P095591103;P095591103_16;P;9410;0;0;10417;1209;2920
P095591103;P095591103_17;Q;10414;1231;0;11421;2440;2920
P095591103;P095591103_18;R;10417;0;0;11424;1209;2920
P095591103;P095591103_19;S;11421;1231;0;12428;2440;2945
P095591103;P095591103_20;T;11424;0;0;12431;1209;2920
P095591103;P095591103_21;U;12428;1231;0;13435;2440;2920
P095591103;P095591103_22;V;12431;0;0;13431;1200;2835
P095590503;P095590503_1;A;0;1240;0;1000;2440;2835
P095590503;P095590503_2;B;0;0;0;1000;1200;2835
P095590503;P095590503_3;C;1000;0;0;2007;1209;2920
P095590503;P095590503_4;D;1000;1231;0;2007;2440;2920
P095590503;P095590503_5;E;2007;1231;0;3014;2440;2920
P095590503;P095590503_6;F;2007;0;0;3014;1209;2920
P095590503;P095590503_7;G;3014;0;0;4021;1209;2920
P095590503;P095590503_8;H;3014;1231;0;4021;2440;2945
P095590503;P095590503_9;I;4021;1240;0;5021;2440;2835
P095590503;P095590503_10;J;4021;0;0;5021;1200;2835
P095590503;P095590503_11;K;5021;0;0;6021;1200;2835
P095590503;P095590503_12;L;5021;1240;0;6021;2440;2835
P095590503;P095590503_13;M;6021;1240;0;7021;2440;2835
P095590503;P095590503_14;N;6021;0;0;7021;1200;2835
P095590503;P095590503_15;O;7021;0;0;8021;1200;2835
P095590503;P095590503_16;P;7021;1240;0;8021;2440;2835
P095590503;P095590503_17;Q;8021;1240;0;9021;2440;2835
P095590503;P095590503_18;R;8021;0;0;9021;1200;2610
P095590503;P095590503_19;S;9021;0;0;10028;1209;2945
P095590503;P095590503_20;T;9021;1240;0;10021;2440;2865
P095590503;P095590503_21;U;10021;1240;0;11621;2440;2865
P095590503;P095590503_22;V;10028;0;0;11035;1209;2920
P095590503;P095590503_23;W;11035;0;0;12042;1209;2945
P095590503;P095590503_24;X;11621;1240;0;13221;2440;2865
P095590503;P095590503_25;Y;12042;0;0;13042;1200;2835
P095590501;P095590501_1;A;0;0;0;1000;1200;2835
P095590501;P095590501_2;B;0;1231;0;1007;2440;2920
P095590501;P095590501_3;C;1000;0;0;2007;1209;2945
P095590501;P095590501_4;D;1007;1231;0;2014;2440;2920
P095590501;P095590501_5;E;2007;0;0;3007;1200;2835
P095590501;P095590501_6;F;2014;1240;0;3614;2440;2865
P095590501;P095590501_7;G;3007;0;0;4014;1209;2970
P095590501;P095590501_8;H;3614;1231;0;4621;2440;2920
P095590501;P095590501_9;I;4014;0;0;5614;1200;2865
P095590501;P095590501_10;J;4621;1240;0;5621;2440;2835
P095590501;P095590501_11;K;5614;0;0;6621;1209;2945
P095590501;P095590501_12;L;5621;1240;0;6621;2440;2835
P095590501;P095590501_13;M;6621;1231;0;7628;2440;2920
P095590501;P095590501_14;N;6621;0;0;7628;1209;2945
P095590501;P095590501_15;O;7628;0;0;8635;1209;2945
P095590501;P095590501_16;P;7628;1240;0;9228;2440;2865
P095590501;P095590501_17;Q;8635;0;0;9635;1200;2835
P095590501;P095590501_18;R;9228;1231;0;10235;2440;2945
P095590501;P095590501_19;S;9635;0;0;11235;1200;2865
P095590501;P095590501_20;T;10235;1240;0;11235;2440;2835
P095590501;P095590501_21;U;11235;1231;0;12242;2440;2945
P095590501;P095590501_22;V;11235;0;0;12242;1209;2945
P095590501;P095590501_23;W;12242;0;0;13451;1007;2920
P095590501;P095590501_24;X;12242;1440;0;13442;2440;2835
P094590505;P094590505_1;A;0;1240;0;1600;2440;2520
P094590505;P094590505_2;B;0;0;0;1600;1200;2700
P094590505;P094590505_3;C;1600;0;0;3200;1200;2700
P094590505;P094590505_4;D;1600;1240;0;3200;2440;2700
P094590505;P094590505_5;E;3200;1240;0;4800;2440;2700
P094590505;P094590505_6;F;3200;0;0;4800;1200;2700
P094590505;P094590505_7;G;4800;0;0;6400;1200;2700
P094590505;P094590505_8;H;4800;1240;0;5800;2440;2610
P094590505;P094590505_9;I;5800;1240;0;7400;2440;2520
P094590505;P094590505_10;J;6400;0;0;8000;1200;2700
P094590505;P094590505_11;K;7400;1240;0;9000;2440;2700
P094590505;P094590505_12;L;8000;0;0;9007;1209;2945
P094590505;P094590505_13;M;9000;1240;0;10600;2440;2700
P094590505;P094590505_14;N;9007;0;0;10607;1200;2865
P094590505;P094590505_15;O;10600;1240;0;12200;2440;2865
P094590505;P094590505_16;P;10607;0;0;12207;1200;2865
P094590505;P094590505_17;Q;12200;1231;0;13207;2440;2920
P094590505;P094590505_18;R;12207;0;0;13214;1209;2920
