Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P083590505;13465;6242.92;90.0548;6516.12;8545.64
P087590501;13421;7838.34;89.3423;6491.97;10168.6
Q079590501_1;3200;1121.7;11.358;5131.78;5004.15
P079590501;13235;6727.58;74.6392;6364.85;9202.92
P079591101;13435;7841.15;91.725;6496.93;10165.8
P079590503;13228;8644.95;90.3987;7336.36;10011.7
P079591103;13414;9147.85;89.4527;7194.81;10676.1
P079590505;13263;6370.94;90.7128;5987.52;9276.86
P080590501;13235;7629.49;85.3809;6578.56;9860.96
P080591101;13435;7912.51;92.2903;6532.14;10196.9
P080590503;13249;7700.15;90.1984;6876;9592.19
P080591103;13435;8102.26;91.9416;6622.69;10283.4
P080590505;13435;7111.43;88.7455;6700.65;9203.58
P081590501;13256;7745.47;91.7917;6557.23;10001.3
P081591101;13435;7426.44;92.0771;6411.33;9848.74
P081590503;13063;7337.61;90.8485;6135.07;10075.2
P081591103;13421;8727.12;92.2043;6965.02;10517.6
P081590505;13214;7856.07;85.6365;6503.3;10173.4
P082590501;13242;7819.44;91.3828;6416.35;10236
P082591101;13442;7438.55;91.6706;6466.55;9797.83
P082590503;13242;8154.32;90.4759;6358.12;10637.3
P082591103;13231;8502.45;88.4047;7111.76;10125.5
P082590505;13214;7812;87.956;6620.53;9995.57
P083590501;13249;7877.92;90.7339;6550.31;10141.6
P083591101;13256;7056.65;92.3724;6345.62;9553.94
P083590503;13228;8788.58;91.1806;7187.51;10325.2
P083591103;13428;8391.44;92.7053;6413.23;10811.6
P086590501;13428;7932.47;92.1737;6604.65;10134.2
P086591101;13235;8191.67;90.4183;6610.11;10387.1
P086590503;13414;8976.03;91.6144;6992.27;10735.4
P086591103;13245;7977.58;89.6571;6951.02;9784.02
P086590505;13442;7017.18;90.7841;6775.37;9024.06
P087591101;13414;8859.63;90.8433;7374.55;10182.8
P087590503;13242;7978.4;91.3439;6068.04;10792.4
P087591103;13472;6411.05;92.8882;5510.42;9861.42
P088590501;13428;7721.07;90.5641;6259.9;10316.2
P088591101;13421;8393.02;90.4941;6864.8;10297.8
P088590503;13414;9408.16;91.6236;6778.15;11411.9
P088591103;13242;7500.55;89.744;6226.14;10134.2
P088590505;13449;6514.04;91.0755;6564.25;8761.84
P089590501;13428;7655.85;91.786;6485.44;9993.58
P089591101;13228;8591.66;89.8119;6787.83;10584.3
P089590503;13435;7940.73;92.1251;5858.66;10993.7
P089591103;13245;7892.61;90.2965;6791.2;9881.42
P089590505;13230;7038.84;86.8031;6752.49;9071.83
P090590501;13428;7162.89;91.0552;6312.03;9698.52
P090591101;13407;9160.63;90.2696;6947.16;10971.5
P090591103;13428;8462.14;92.7662;6431.55;10861.4
P090590505;13091;5444.57;92.1012;6110.11;8210.6
P093590501;13442;7372.35;91.9948;6290.69;9932.32
P093591101;13428;8298.25;91.2701;6615.2;10487.9
P093590503;13407;9362.29;90.5202;6829.97;11306.9
P093591103;13431;8231.12;89.9959;6570.06;10472.3
P093590505;13270;6222.92;92.4258;6437.46;8615.4
P094590501;13428;7662.33;89.9485;6455.1;10034.7
P094591101;13428;8477.77;90.5861;6810.54;10444.5
P094590503;13407;9410.25;91.9708;6948.19;11219.9
P094591103;13495;5062.98;93.0081;5675.15;8325.36
P094590505;13214;7783.85;86.6626;6590.07;10002.2
P095590501;13451;7477.45;92.306;6397.02;9916.07
P095590503;13221;8479.69;90.4818;6581.44;10707.9
P095591103;13435;7671.52;87.9673;6795.87;9655
P095590505;13263;6553.93;93.3145;5923.04;9533.44
P072590505;13256;6908.77;92.1322;6610.84;9103.41
P073590501;13435;7927.86;90.0909;6746.57;9967.6
P073591101;13242;7749.09;90.5564;6978.94;9523.66
P065591101;10428;4634.95;52.7638;6404.45;7065.1
P065590503;13242;7868.38;91.1292;6514.41;10173.1
Q065591103_1;13414;8949.76;89.9998;7038.79;10656
P065591103;13059;7164.24;85.9519;6790.54;9153.81
P065590505;13428;7608.93;90.7492;6641.26;9768.85
P066590501;13421;7993.88;91.1171;6833.55;9934.36
P066590503;13449;7434.04;91.6386;6300.4;9982.93
P066591103;13421;8694.24;90.7195;6535.88;10974.4
P066590505;13449;7004.44;91.8267;6324.21;9526.16
P067590501;13428;7916.93;91.9341;6625.77;10094.5
P067591101;13449;7549.54;91.1185;6554.76;9808.17
P067590503;13242;8062.25;90.7094;6648.95;10213.4
P067591103;13252;7441.25;89.3723;6495.01;9768.06
P067590505;13207;8224.46;86.6914;6554.5;10483.4
P068590501;13242;7426.38;90.1463;6384.8;9878.96
P068591101;13437;8057.23;91.8166;6966.22;9846.32
P068590503;13249;7719.04;92.4389;6084.03;10514.8
P068591103;13235;8372.95;89.2975;7342.02;9733.2
P069591103;13228;8313.81;89.673;6897.89;10180.9
P069590501;13428;7858.82;91.1961;6599.17;10066.8
P069591101;13435;7910.87;91.5178;6745.14;9952.25
P069590503;13421;8513.83;91.457;6496.87;10838.5
P069590505;13465;6253.75;91.7733;6473.65;8604.93
P072590501;13435;7666.78;92.0419;6666.92;9797.42
P072591101;13442;7799.55;90.717;6655.67;9943.02
P072590503;13421;8502.01;88.9013;7179.43;10047.8
P072591103;13252;7876.43;89.7797;6870.42;9774.84
P073591103;13435;7898.9;91.8714;5801.45;11017.2
P073590505;13442;7065.09;92.0663;5985.77;9973.02
P074590501;13435;7730.83;90.5155;6919.44;9573.31
P074591101;13428;7139.77;91.2352;6062.48;9960.15
P074590503;13421;8422.16;90.8916;6818.13;10380.2
P074591103;13259;7060.7;87.9888;6535.64;9341.15
P074590505;13435;7719.81;92.1676;6607.46;9918.3
P075590501;13435;8168.28;92.7242;6815.46;10129.4
P075590503;13242;8114.68;89.5887;7130.27;9716.57
P075591103;13245;8097.01;87.0897;6965.83;9886.55
P075590505;13449;6980.37;94.0198;5577.44;10354.3
P076590501;12835;7144.09;83.0189;6646.45;9298.09
P076591101;13428;7992.5;90.7731;6450.7;10369.9
P076590503;13235;8272.69;90.9747;6919.52;10115.1
P076591103;13449;7077.06;93.0545;6102.29;9852.03
P104591103;13435;7838.48;92.3537;6517.06;10140.1
P107590501;13428;7608.7;91.4083;6409.98;10032.5
Q100590501_1;6028;2282.7;31.5245;5841.49;5355.28
P100590501;13435;6562.73;75.735;6404.84;8992.43
P100591101;13414;8429.84;88.6133;7008.54;10170.6
P100590503;13421;8883.99;92.4602;6748.49;10921.5
P100591103;13080;6180.73;88.4238;6713.77;8257.91
P100590505;13449;6960.73;91.4558;6297.91;9512.45
P101591103;8000;3973.12;42.8832;6799.67;5952.28
P101590501;13249;7375.2;90.652;6320.39;9901.28
P101591101;13242;8063.3;91.6139;6998.7;9815.33
P101590503;13428;8406.09;92.7358;6808.64;10375
P101590505;13263;6379.82;91.565;6633.7;8548.37
P102590501;13435;7720.73;90.5443;6597.62;9930.45
P102591101;13428;8217.86;90.7373;6915.29;10065.1
P102590503;13407;9335.78;90.4408;7022.92;11060.2
P102591103;13087;5906.52;89.9931;6454.07;8280.05
P102590505;13435;7254.26;88.999;6754.33;9285.15
P103590501;13428;7538.59;92.7395;6662.51;9674.27
P103591101;13437;8260.2;91.066;6686.66;10368.3
P103590503;13442;7603.72;91.2794;6139.85;10335.8
P103591103;13249;7087.7;91.2821;6444.28;9472.4
P103590505;13409;7916.89;86.2553;6627.89;10092.1
P104590501;13449;7267.19;90.9229;6328.51;9783.99
P104591101;13407;9054.47;91.333;7138.03;10647.5
P104590503;13486;5396.19;92.7998;5549.04;8802.49
P107591101;13428;8229.52;90.7227;6511.62;10537.4
P107590503;13414;8928.98;91.6144;6666.46;11060.1
P107591103;13259;7302.67;89.4748;6684.09;9413.71
P107590505;13442;6688.12;89.7189;6678.35;8805.71
P108590501;13442;7822.42;91.2823;6476.78;10170
P108591101;13235;8165.7;90.4038;6784.49;10162.2
P108590503;13428;8365.34;92.9248;6757.44;10392.7
P108591103;13270;6404.86;93.2536;5849.13;9468.72
P108590505;13214;7849.24;87.7619;6731.22;9906.5
P109590501;13428;7744;92.4648;6366.85;10217.1
P109590503;13228;8750.51;90.9715;6561.67;11001.3
P109591103;13266;6718.5;87.7202;5945.78;9672.05
P109590505;13442;7316.16;90.568;6594.19;9529.79
P110590501;13263;7200.38;91.451;6413.59;9620.1
P110591101;13414;8927.47;90.0499;6811.99;10892.6
P110590503;13256;7210;92.4903;6144.57;9936.72
P110591103;13259;7397.54;90.6517;6730.26;9455.89
P110590505;13214;7905.83;88.0787;6640.91;10066.1
P111590501;13256;7302.48;92.1281;6279.75;9874.92
P111590503;13421;8593.71;91.2572;7112.89;10215.4
P111591103;13428;8843.21;92.6188;6988.53;10606.8
P111590505;13495;5093.66;92.9168;5720.4;8304.41
P102547505;13230;23614.4;80.5389;10393.4;21492.6
P103547403;13230;23569.2;77.3717;10832.1;20946.8
P103547505;13230;23592.1;77.3717;10768.1;21042.7
P104547403;13230;23777.4;77.3717;10807;21183.6
P104547405;13230;23630.4;77.3717;10919.2;20908.6
P104547503;13230;23563.2;77.3717;10832.9;20939.9
P104547505;13230;23970.8;80.5389;10253.2;22009
P107547401;13230;23536.2;77.3717;10694.9;21070.4
P107547505;13230;23641.4;80.5389;10178.7;21764.6
P108547403;13180;23978.8;77.1563;11250.4;20879.1
P108547505;13230;23032.8;77.3717;10647.2;20621.4
P109547501;13230;23991;77.3717;11004.2;21172.2
P110547505;13230;23388;77.3717;10643.4;20980.9
P111547405;13230;23816.4;77.3717;10867.3;21153.8
P111547505;13230;23853.8;80.5389;9927.89;22263.2
P115547505;13230;23679.8;80.5389;10161.6;21822.5
P116547403;13230;23998.8;77.3717;10990.9;21195.2
P116547505;13230;23066.4;77.3717;10469.1;20858.3
P117547403;13230;23850;77.3717;10805.4;21258
P117547505;13230;23178.1;77.3717;10853.2;20531.5
P118547501;13230;23998.8;77.3717;11300.3;20842.1
P100547401;10290;15664.4;51.7319;11393.9;12400.9
P100547405;13230;23732.4;77.3717;10702.1;21258.3
P100547501;13230;23979;77.3717;11035.1;21124.9
P100547503;13230;23724.6;77.3717;10941.9;20976.9
P100547505;13230;23925.2;80.5389;10233.3;21986.1
P101547403;11760;17907;58.2173;10256.6;15941.3
P101547405;13230;23437.2;77.3717;10712.9;20950.8
P101547501;13230;23911.8;77.3717;10866.9;21249.6
P101547503;13230;23845.2;77.3717;10578.8;21511.8
P101547505;13230;23942;80.5389;10322;21901.7
P102547403;11760;21461.6;70.8863;11227.4;18388.1
P102547405;13230;23677.8;77.3717;10674.4;21235.3
P102547501;13230;23883.2;77.3717;11014.1;21053.1
P102547503;13230;23899.2;77.3717;11215.9;20838.9
P103547405;13230;23211.7;77.3717;10588.5;20867.3
P103547501;13180;23793.4;77.1563;11345;20585.7
P103547503;13230;23176.2;77.3717;10462.4;20975.7
P104547501;13230;23599.2;77.3717;10801.2;21012
P107547405;13230;23277.6;77.3717;10660.7;20850.8
P107547501;13180;23547.6;73.7775;10724.8;21047.7
P107547503;13230;23148;77.3717;10489.5;20916.6
P108547405;13230;23358;77.3717;10738.2;20842.8
P108547501;13230;23218;74.2044;11778.2;19515.9
P108547503;13230;23907.2;80.5389;9970.08;22268.5
P109547403;13230;23455.2;77.3717;10722.7;20957.7
P109547503;13230;23935.8;77.3717;11172.4;20925
P109547505;13230;23904.8;80.5389;9988.39;22245.2
P110547403;11760;21759.8;70.8863;11600.4;18260.7
P110547405;13230;23463;77.3717;10507.7;21210.8
P110547501;13230;23603.8;74.2044;11813.6;19861.3
P110547503;13230;23796.8;80.5389;9991.04;22134.1
P111547403;13230;23502;77.3717;10685.5;21046.8
P111547501;13230;23987.4;77.3717;11307.3;20822.7
P111547503;13230;23199.6;77.3717;10478.8;20980.3
P114547401;10290;16412.2;54.8992;11928.3;12538.9
P114547405;13230;23382;77.3717;10781;20817.9
P114547501;13230;23574.4;74.2044;11767.4;19884.7
P114547503;13230;23304;77.3717;10527;21029.7
P114547505;13230;23768;80.5389;10001.6;22093.3
P115547403;13230;23738.4;77.3717;10775.5;21180.6
P115547405;13230;23695.8;77.3717;10713.5;21208.7
P115547501;13230;23454.4;74.2044;11494.5;20076.1
P115547503;13230;23458.2;77.3717;10719;20964.8
P116547405;13230;23206.8;77.3717;10676.7;20761.8
P116547501;13230;23770;74.2044;11721.1;20133.1
P116547503;13230;23985.8;80.5389;10356;21906.7
P117547405;13230;23624.4;77.3717;10675.4;21180.8
P117547501;13230;23755.8;77.3717;10662.9;21326.4
P117547503;13230;23948.4;77.3717;11181;20927.9
P118547403;13230;23261.4;77.3717;10561.6;20947.7
P118547405;13230;23563.2;77.3717;10689.3;21103.7
P118547503;13230;23943.8;80.5389;9951.59;22326.2
P122547403;10290;18607.4;61.2337;11861.6;14810.2
P122547405;11760;20562.6;67.7191;11536.1;17136.8
P122547501;13230;23855.4;77.3717;11076.4;20954.2
P122547503;13230;23443.2;77.3717;10651.2;21027.2
P122547505;13230;23152.8;77.3717;10472;20941.3
P074547505;13180;22838.1;73.989;11558.1;19387.2
P075547405;13230;23497.4;77.3717;10617.5;21119.9
P075547505;13230;23406.8;77.3717;10810.7;20808.8
P076547403;13180;23948.9;77.1563;11835.7;20181.3
P076547405;13230;23867.5;77.3717;10968.6;21089.3
P076547501;13230;23441.4;74.2044;11549.6;20000.2
P076547505;13230;22933.1;74.2044;11168.2;19927.1
P079547401;13230;23894.3;74.2044;11860.8;20098
P079547501;13230;23494.8;77.3717;10961.2;20725.1
P080547505;11760;21589.4;70.8863;11254.6;18484.9
P081547403;13230;23375.4;77.3717;10867.7;20712.3
P082547505;13230;23599.4;80.5389;10067.5;21849.5
P083547403;13230;23413.2;77.3717;10645.6;21003.6
P083547405;13230;23867.4;77.3717;11062.3;20982.3
P083547505;13230;23951.6;80.5389;10320.3;21913.2
P067547403;13230;22847.8;74.2044;10794.2;20268.6
P067547405;13230;23956.8;77.3717;10949.8;21200.1
P067547501;13230;23991.7;77.3717;11245.5;20897.5
P067547503;13230;23808.2;80.5389;9978.15;22160.3
P067547505;11760;20281.2;67.7191;11381.4;17031.9
P068547403;11760;21585.2;70.8863;11253.1;18482.4
P068547405;13230;22910.8;74.2044;10995.7;20101.7
P068547501;13230;23997.8;80.5389;10243.8;22046.7
P068547503;13230;23773.8;77.3717;10874;21103.6
P068547505;11760;19723.6;64.5518;11484.3;16356.9
P069547403;13230;23859.6;77.3717;10996.5;21049.6
P069547405;13230;23598;77.3717;10541.4;21307.3
P069547501;13230;23560.8;77.3717;10787.4;20989.3
Q069547503_1;13230;23808.8;80.5389;10331.3;21757.9
P069547503;13230;23940;77.3717;10613.3;21567.2
P069547505;13230;23829.2;80.5389;9981.89;22177
P072547405;11760;21508.4;70.8863;11397.8;18240.4
P072547401;10290;16373.8;54.8992;11916;12514.5
P072547501;13230;23908.4;80.5389;10173.2;22037.9
P072547503;13230;23526.6;77.3717;10895.8;20831.5
P072547505;13230;23614.8;77.3717;10959;20847.6
P073547403;13230;23997.8;80.5389;10002.9;22321.6
P073547405;13230;22245.4;74.2044;11063.4;19359.1
P073547501;13180;23546.2;77.1563;11289.2;20402.2
