Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P111266405;P111266405_1;A;0;0;0;1000;1200;2835
P111266405;P111266405_2;B;0;1240;0;1000;2440;975
P111266405;P111266405_3;C;1000;1660;0;1570;2440;1771
P111266405;P111266405_4;D;1000;0;0;2000;1200;2865
P111266405;P111266405_5;E;1570;1660;0;2140;2440;1771
P111266405;P111266405_6;F;2000;0;0;2570;780;1771
P111266405;P111266405_7;G;2000;780;0;2570;1560;1771
P111266405;P111266405_8;H;2140;1660;0;2710;2440;1771
P111266405;P111266405_9;I;2570;0;0;3570;1200;2865
P111266405;P111266405_10;J;2710;1234;0;3720;2440;2370
P111266405;P111266405_11;K;3570;0;0;4140;780;1771
P111266405;P111266405_12;L;3720;780;0;4290;1560;1771
P111266405;P111266405_13;M;3720;1660;0;4290;2440;1771
P111266405;P111266405_14;N;4140;0;0;4710;780;1771
P111266405;P111266405_15;O;4290;780;0;4860;1560;1771
P111266405;P111266405_16;P;4290;1660;0;4860;2440;1771
P111266405;P111266405_17;Q;4710;0;0;5280;780;1771
P111266405;P111266405_18;R;4860;1240;0;6760;2440;2865
P111266405;P111266405_19;S;5280;0;0;5850;780;1771
P111266405;P111266405_20;T;5850;0;0;6420;780;1771
P111266405;P111266405_21;U;6420;0;0;6990;780;1771
P111266405;P111266405_22;V;6760;780;0;7330;1560;1340
P108266405;P108266405_1;A;0;1240;0;1000;2440;2835
P108266405;P108266405_2;B;0;20;0;1000;1220;2835
P108266405;P108266405_3;C;1000;620;0;2000;1820;975
P108266405;P108266405_4;D;2000;1660;0;2570;2440;1771
P108266405;P108266405_5;E;2000;0;0;2570;780;1771
P108266405;P108266405_6;F;2000;780;0;2570;1560;1771
P108266405;P108266405_7;G;2570;0;0;3140;780;1771
P108266405;P108266405_8;H;2570;780;0;3140;1560;1771
P108266405;P108266405_9;I;2570;1660;0;3140;2440;1771
P108266405;P108266405_10;J;3140;1234;0;4150;2440;2170
P108266405;P108266405_11;K;3140;0;0;3710;780;1771
P108266405;P108266405_12;L;3710;0;0;5610;1200;2865
P108266405;P108266405_13;M;4150;1240;0;6050;2440;2865
P108266405;P108266405_14;N;5610;0;0;6180;780;1771
P108266405;P108266405_15;O;6050;780;0;6620;1560;1771
P108266405;P108266405_16;P;6050;1660;0;6620;2440;1771
P108266405;P108266405_17;Q;6180;0;0;6750;780;1771
P108266405;P108266405_18;R;6620;1240;0;7620;2440;2865
P108266405;P108266405_19;S;6750;0;0;7750;1200;2865
P108266405;P108266405_20;T;7620;1660;0;8190;2440;1771
P108266405;P108266405_21;U;7750;0;0;8750;1200;2865
P108266405;P108266405_22;V;8190;1240;0;9190;2440;2865
P108266405;P108266405_23;W;8750;0;0;9320;780;1771
P108266405;P108266405_24;X;9190;780;0;9760;1560;1771
P108266405;P108266405_25;Y;9190;1660;0;9760;2440;1771
P108266405;P108266405_26;Z;9320;0;0;9890;780;1771
P108266405;P108266405_27;AA;9760;780;0;10330;1560;1771
P108266405;P108266405_28;AB;9760;1660;0;10330;2440;1771
P108266405;P108266405_29;AC;9890;0;0;10460;780;1771
P108266405;P108266405_30;AD;10330;780;0;10900;1560;1771
P108266405;P108266405_31;AE;10330;1660;0;10900;2440;1771
P108266405;P108266405_32;AF;10460;0;0;11030;780;1340
P108266405;P108266405_33;AG;10900;840;0;12100;2440;930
P104266405;P104266405_1;A;0;620;0;1000;1820;2835
P104266405;P104266405_2;B;1000;620;0;2000;1820;1905
P104266405;P104266405_3;C;2000;1234;0;3010;2440;2170
P104266405;P104266405_4;D;2000;227;0;2570;1007;1771
P104266405;P104266405_5;E;2570;0;0;3140;780;1771
P104266405;P104266405_6;F;3010;780;0;3580;1560;1771
P104266405;P104266405_7;G;3010;1660;0;3580;2440;1771
P104266405;P104266405_8;H;3140;0;0;3710;780;1771
P104266405;P104266405_9;I;3580;1234;0;4590;2440;1185
P104266405;P104266405_10;J;3710;0;0;4710;1200;2865
P104266405;P104266405_11;K;4590;1240;0;5590;2440;2865
P104266405;P104266405_12;L;4710;0;0;5280;780;1771
P104266405;P104266405_13;M;5280;0;0;5850;780;1771
P104266405;P104266405_14;N;5590;780;0;6160;1560;1771
P104266405;P104266405_15;O;5590;1660;0;6160;2440;1771
P104266405;P104266405_16;P;5850;0;0;6420;780;1771
P104266405;P104266405_17;Q;6160;780;0;6730;1560;1771
P104266405;P104266405_18;R;6160;1660;0;6730;2440;1771
P104266405;P104266405_19;S;6420;0;0;6990;780;1771
P104266405;P104266405_20;T;6730;780;0;7300;1560;1771
P104266405;P104266405_21;U;6730;1660;0;7300;2440;1771
P104266405;P104266405_22;V;6990;0;0;7560;780;1771
P104266405;P104266405_23;W;7300;1240;0;9200;2440;2865
P104266405;P104266405_24;X;7560;0;0;9460;1200;2865
P104266405;P104266405_25;Y;9200;1660;0;9770;2440;1771
P104266405;P104266405_26;Z;9460;0;0;10030;780;1771
P104266405;P104266405_27;AA;9460;780;0;10030;1560;1771
P104266405;P104266405_28;AB;9770;1660;0;10340;2440;909
P104266405;P104266405_29;AC;10030;0;0;11230;1600;930
P101266405;P101266405_1;A;0;1240;0;1000;2440;2835
P101266405;P101266405_2;B;0;0;0;1000;1200;2835
P101266405;P101266405_3;C;1000;0;0;2000;1200;975
P101266405;P101266405_4;D;1000;1430;0;1570;2210;1771
P101266405;P101266405_5;E;1570;1660;0;2140;2440;1771
P101266405;P101266405_6;F;2000;0;0;2570;780;1771
P101266405;P101266405_7;G;2000;780;0;2570;1560;1771
P101266405;P101266405_8;H;2140;1660;0;2710;2440;1771
P101266405;P101266405_9;I;2570;0;0;3140;780;1771
P101266405;P101266405_10;J;2570;780;0;3140;1560;1771
P101266405;P101266405_11;K;2710;1660;0;3280;2440;1771
P101266405;P101266405_12;L;3140;0;0;3710;780;1771
P101266405;P101266405_13;M;3140;780;0;3710;1560;1771
P101266405;P101266405_14;N;3280;1660;0;3850;2440;1771
P101266405;P101266405_15;O;3710;0;0;4280;780;1771
P101266405;P101266405_16;P;3710;780;0;4280;1560;1771
P101266405;P101266405_17;Q;3850;1660;0;4420;2440;1771
P101266405;P101266405_18;R;4280;0;0;4850;780;1771
P101266405;P101266405_19;S;4280;780;0;4850;1560;1771
P101266405;P101266405_20;T;4420;1660;0;4990;2440;1771
P101266405;P101266405_21;U;4850;0;0;5420;780;1771
P101266405;P101266405_22;V;4850;780;0;5420;1560;1771
P101266405;P101266405_23;W;4990;1660;0;5560;2440;1771
P101266405;P101266405_24;X;5420;0;0;6430;1206;2170
P101266405;P101266405_25;Y;5560;1660;0;6130;2440;1771
P101266405;P101266405_26;Z;6130;1660;0;6700;2440;1771
P101266405;P101266405_27;AA;6430;0;0;7000;780;1771
P101266405;P101266405_28;AB;6430;780;0;7000;1560;1771
P101266405;P101266405_29;AC;6700;1660;0;7270;2440;1771
P101266405;P101266405_30;AD;7000;0;0;7570;780;1340
P101266405;P101266405_31;AE;7270;1240;0;8270;2440;2865
P101266405;P101266405_32;AF;7570;0;0;8570;1200;2865
P101266405;P101266405_33;AG;8270;1240;0;9270;2440;2865
P101266405;P101266405_34;AH;8570;0;0;9570;1200;2865
P101266405;P101266405_35;AI;9270;1234;0;10280;2440;1185
P101266405;P101266405_36;AJ;9570;0;0;11470;1200;2865
P101266405;P101266405_37;AK;10280;1240;0;12180;2440;2865
P101266405;P101266405_38;AL;11470;0;0;13370;1200;2865
P097266405;P097266405_1;A;0;0;0;1000;1200;1905
P097266405;P097266405_2;B;0;1660;0;570;2440;1771
P097266405;P097266405_3;C;570;1660;0;1140;2440;1771
P097266405;P097266405_4;D;1000;0;0;1570;780;1771
P097266405;P097266405_5;E;1000;780;0;1570;1560;1771
P097266405;P097266405_6;F;1140;1660;0;1710;2440;1771
P097266405;P097266405_7;G;1570;0;0;2570;1200;2865
P097266405;P097266405_8;H;1710;1240;0;2710;2440;2865
P097266405;P097266405_9;I;2570;0;0;4470;1200;2865
P097266405;P097266405_10;J;2710;1240;0;4310;2440;930
P097266405;P097266405_11;K;4310;1660;0;4880;2440;1771
P097266405;P097266405_12;L;4470;0;0;5040;780;1771
P097266405;P097266405_13;M;4470;780;0;5040;1560;1340
P094266405;P094266405_1;A;0;0;0;1000;1200;2835
P094266405;P094266405_2;B;0;1240;0;1000;2440;2835
P094266405;P094266405_3;C;1000;1240;0;2000;2440;975
P094266405;P094266405_4;D;1000;0;0;1570;780;1771
P094266405;P094266405_5;E;1570;0;0;2140;780;1771
P094266405;P094266405_6;F;2000;780;0;2570;1560;1771
P094266405;P094266405_7;G;2000;1660;0;2570;2440;1771
P094266405;P094266405_8;H;2140;0;0;2710;780;1771
