Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P090266405;9470;14279.5;43.1761;11814.3;10536.2
P094266405;13370;22451.3;66.6878;11303.6;19290.9
P069266405;2150;2149.92;7.96327;6133.87;4888.85
P073266405;12940;20456.5;59.4279;11186.2;17430
P076266405;9350;13174.7;37.1298;11110;10235.1
P080266405;11030;16959.6;51.2995;11763.3;13274.5
P083266405;10890;15852.9;44.206;10609.1;13485
P087266405;13070;20362.1;58.3836;11502.2;16975
P097266405;5040;8430.08;23.5873;10790.1;5855.57
P101266405;13370;21556.2;65.6896;11807.8;17820.4
P104266405;11230;16397.6;46.8651;10831.8;13775.6
P108266405;12100;19591.9;56.3501;11902.2;15748.3
P111266405;7330;11346.5;33.2736;11970;7425.59
P068654305;9800;15277.5;41.166;10174.5;13405.5
P072654301;10000;17451;46.332;10614.6;15076.8
P073654305;12030;23794.6;72.2119;10708.1;21313.7
P075654305;12050;23092.6;78.5345;9366.15;22143
P076654301;12000;22085.7;58.35;10632.4;19691.1
P079654301;9000;14350.1;37.794;11201.1;11306.6
P080654305;12030;23930.9;72.7917;10896.9;21234.5
P082654305;12040;22659.3;76.0155;10165;20798.2
P083654301;11000;21624.1;56.61;11832.3;17860.3
P100654301;9800;16838.7;42.906;11226.3;13766.4
P101654305;12030;23736.2;72.8076;10963;20964.5
P103654305;11040;22402.1;72.527;11150.7;19416.2
P104654301;9000;15089;39.48;11218.6;12025.5
P107654301;9800;16635.1;42.906;10254.8;14671.4
P108654305;12030;23962.3;74.2461;11174.6;20949
P110654305;12040;22145.5;74.2296;10453.7;19954.9
P111654301;11000;19976.5;53.184;11352.7;16760
P114654301;5000;9626.46;25.722;11738.3;5969.97
P086654301;10000;17533.9;46.386;11303.8;14373.2
P087654305;12030;23903.9;71.7588;10853.9;21256.6
P089654305;12040;22792;76.3213;10258;20824.7
P090654301;11000;21464.6;56.61;11864.2;17664.4
P093654301;12000;22311.9;58.35;10933.7;19573.6
P094654305;12040;23985.5;77.5024;9717.06;22635.5
P101630901;12000;22585;63.792;10074.7;20826.9
P104630901;10000;16826;46.674;11289.3;13681.8
P108630901;12000;23998.1;68.256;10675.6;21554.3
P111630901;9000;16180.7;45.504;11204.5;13133.3
P115630901;10000;16299.3;45.558;10845;13662.2
P117630901;10000;16409.2;46.728;11124.5;13453.1
P122630901;10000;17603.2;48.96;11461.8;14262.3
P073630901;11000;20497.6;59.22;11313.6;17325.7
P076630901;8000;14411.4;39.87;11875.2;10598.7
P080630901;12000;22172.5;61.506;10808;19577.6
P083630901;9000;16911.4;46.674;11762.4;13227.4
P087630901;12000;22194.4;61.506;10845.8;19556.3
P090630901;10000;16527.2;46.728;10265.7;14551.1
P094630901;12000;23989.9;64.908;10769.2;21439.2
