Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P091390039;P091390039_1;A;0;0;0;1600;1200;2700
P091390039;P091390039_2;B;0;1240;0;2200;2440;2455
P091390039;P091390039_3;C;1600;0;0;3205;1205;2790
P091390039;P091390039_4;D;2200;1240;0;3200;2440;2835
P091390039;P091390039_5;E;3200;1240;0;5600;2440;1490
P091390039;P091390039_6;F;3205;0;0;5205;1200;1500
P091390039;P091390039_7;G;5205;0;0;6810;1205;2735
P091390039;P091390039_8;H;5600;1240;0;7800;2440;2455
P091390039;P091390039_9;I;6810;0;0;9210;1200;1490
P091390039;P091390039_10;J;7800;1240;0;10200;2440;1490
P091390039;P091390039_11;K;9210;0;0;10210;1200;2835
P091390039;P091390039_12;L;10200;1240;0;11600;2440;2455
P091390039;P091390039_13;M;10210;0;0;12010;1200;2285
P091390039;P091390039_14;N;11600;1235;0;13205;2440;2735
P091390003;P091390003_1;A;0;1240;0;1000;2440;750
P091390003;P091390003_2;B;0;0;0;1600;1200;1815
P091390003;P091390003_3;C;1000;1235;0;2600;2440;2655
P091390003;P091390003_4;D;1600;0;0;3005;1205;2255
P091390003;P091390003_5;E;2600;1235;0;4005;2440;2255
P091390003;P091390003_6;F;3005;0;0;4610;1205;2655
P091390003;P091390003_7;G;4005;1205;0;4785;1775;909
P091390003;P091390003_8;H;4610;0;0;6410;1200;2615
P091390003;P091390003_9;I;4785;1240;0;6585;2440;2615
P091390003;P091390003_10;J;6410;0;0;8210;1200;2615
P091390003;P091390003_11;K;6585;1240;0;8385;2440;2615
P091390003;P091390003_12;L;8210;0;0;10410;1200;2455
P091390003;P091390003_13;M;8385;1240;0;10585;2440;2455
P091390003;P091390003_14;N;10410;0;0;12610;1200;2455
P091390003;P091390003_15;O;10585;1240;0;12785;2440;2455
P091390005;P091390005_1;A;0;0;0;3200;2400;1700
P091390005;P091390005_2;B;3200;0;0;6400;2400;1700
P091390005;P091390005_3;C;6400;0;0;9600;2400;1700
P091390005;P091390005_4;D;9600;0;0;12800;2400;1700
P091390013;P091390013_1;A;0;0;0;3200;2400;1700
P091390013;P091390013_2;B;3200;1240;0;5100;2440;750
P091390013;P091390013_3;C;3200;0;0;5400;1200;1500
P091390013;P091390013_4;D;5100;1240;0;7300;2440;1500
P091390013;P091390013_5;E;5400;0;0;7800;1200;1490
P091390013;P091390013_6;F;7300;1240;0;9500;2440;1500
P091390013;P091390013_7;G;7800;0;0;10000;1200;1500
P091390013;P091390013_8;H;9500;1235;0;11300;2440;2845
P091390013;P091390013_9;I;10000;0;0;11600;1200;2700
P091390013;P091390013_10;J;11300;1240;0;13500;2440;2455
P091390013;P091390013_11;K;11600;0;0;13205;1205;2395
P091390011;P091390011_1;A;0;0;0;3200;2400;1700
P091390011;P091390011_2;B;3200;0;0;6800;2400;1700
P091390011;P091390011_3;C;6800;0;0;10400;2400;1700
P091390011;P091390011_4;D;10400;0;0;11600;2400;1490
P091390011;P091390011_5;E;11600;1240;0;13200;2440;2700
P091390011;P091390011_6;F;11600;0;0;13205;1205;2395
P091390029;P091390029_1;A;0;0;0;3200;2400;1700
P091390029;P091390029_2;B;3200;0;0;6400;2400;1700
P091390029;P091390029_3;C;6400;0;0;9600;2400;1700
P091390029;P091390029_4;D;9600;0;0;12800;2400;1700
P091390029;P091390029_5;E;12800;0;0;13370;780;478
P091390001;P091390001_1;A;0;1235;0;1605;2440;2535
P091390001;P091390001_2;B;0;0;0;1605;1205;2535
P091390001;P091390001_3;C;1605;0;0;3210;1205;2415
P091390001;P091390001_4;D;1605;1240;0;3805;2440;2455
P091390001;P091390001_5;E;3210;0;0;5010;1200;2615
P091390001;P091390001_6;F;3805;1235;0;5410;2440;2535
P091390001;P091390001_7;G;5010;0;0;7410;1200;1490
P091390001;P091390001_8;H;5410;1240;0;7610;2440;1500
P091390001;P091390001_9;I;7410;0;0;9210;1200;2615
P091390001;P091390001_10;J;7610;1240;0;9410;2440;2285
P091390001;P091390001_11;K;9210;0;0;11610;1200;1490
P091390001;P091390001_12;L;9410;1240;0;11610;2440;1500
P091390001;P091390001_13;M;11610;1440;0;12810;2440;2835
P091390001;P091390001_14;N;11610;0;0;13410;1205;2845
P091390037;P091390037_1;A;0;0;0;3200;2400;1700
P091390037;P091390037_2;B;3200;0;0;6400;2400;1700
P091390037;P091390037_3;C;6400;0;0;9600;2400;1700
P091390037;P091390037_4;D;9600;0;0;12800;2400;1700
P091390035;P091390035_1;A;0;0;0;3200;2400;1700
P091390035;P091390035_2;B;3200;0;0;6400;2400;1700
P091390035;P091390035_3;C;6400;0;0;8005;1205;2395
P091390035;P091390035_4;D;6400;1240;0;7800;2440;2455
P091390035;P091390035_5;E;7800;1240;0;9400;2440;2700
P091390035;P091390035_6;F;8005;0;0;10405;1200;1490
P091390035;P091390035_7;G;9400;1240;0;11400;2440;1500
P091390035;P091390035_8;H;10405;0;0;12805;1200;1490
P091390035;P091390035_9;I;11400;1240;0;12400;2440;2610
P091390035;P091390035_10;J;12400;1240;0;13400;2440;2835
P091390023;P091390023_1;A;0;0;0;3200;2400;1700
P091390023;P091390023_2;B;3200;0;0;6800;2400;1700
