Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P089390017;13370;1854.82;52.4365;4676.92;6256.33
P090390023;13200;3698.37;55.4424;4107.4;8749.79
Q090390029_1;11205;2139.69;42.8717;5336.85;5788.13
Q089390035_3;11800;2373.67;43.7844;5280.39;6086.53
Q089390035_2;12800;1785.66;52.224;4699.54;6161.36
Q089390035_1;13410;6525.05;55.3693;4577.33;11040.2
Q089390029_3;13400;3893.48;48.9616;4644.42;8332.08
Q089390029_2;13200;1838.93;53.856;4673.6;6244.22
Q089390029_1;13200;1831.87;53.856;4677.06;6233.22
P089390023;9615;6779.82;42.9297;7936.49;7461.7
P089390035;13205;9387.39;61.0309;5040.24;13374.3
P089390037;13200;1838.93;53.856;4676.01;6241.47
P089390001;13200;1831.87;53.856;4678.27;6231.84
P089390029;13410;11380.1;62.8232;5954.5;14323.7
P089390011;12800;1785.66;52.224;4701.95;6158.61
P089390021;11815;9233.76;53.802;7992.39;9851.85
P089390015;13400;3968.25;54.8809;4223.7;8886.94
P089390013;13200;1831.87;53.856;4677.06;6233.22
P089390005;13400;5035.52;60.1763;3994.84;10215.4
P089390031;13400;5064.67;55.656;3655.21;10632.1
P089390003;13415;12587.1;80.1961;7451.5;13822.4
P089390039;12800;1788.94;52.224;4701.24;6162.7
P089390025;13405;4924.78;60.3545;3794.21;10333.6
P089390007;13410;12154.5;65.8478;8936.61;11695.1
P089390027;12800;1785.66;52.224;4703.15;6157.24
P089390009;13405;6921.75;55.8544;5516.82;10364.8
P089390033;13500;6233.05;59.8781;3768;11671.8
P090390035;13205;5854.04;60.7116;4242.98;10750.7
P090390037;13400;6981.91;55.6824;4443.35;11650
P090390001;13400;4537.06;57.6871;3750.77;9995.43
P090390029;13400;4629.13;56.622;3911.66;9903.91
P090390011;12800;1788.94;52.224;4702.44;6161.33
P090390021;8610;5929.53;37.202;7336.25;7296.37
P090390015;13205;4697.26;57.5449;3661.57;10257.4
P090390013;13410;10716.5;63.9808;5762.1;13879.6
P090390005;13370;1848.26;52.4365;4674.74;6252.26
P090390031;13400;10570.5;63.6856;6881.82;12455.9
P090390003;13415;10595.1;71.1082;7363.69;11930.6
P090390039;13400;4115.28;56.3364;3993.44;9296.73
P090390007;13200;1835.15;53.856;4679.96;6233.19
P090390027;13200;1835.65;53.856;4677.19;6236.85
P090390009;13410;9417.65;60.856;8194.76;9804.8
P090390033;13200;1838.93;53.856;4673.6;6244.22
P090390017;13415;9303.09;70.0226;6717.86;11375.6
P091390023;13205;4970.42;57.978;3695.81;10491.5
P091390035;13205;5729.65;58.4148;3560.24;11405.4
P091390037;12800;1785.66;52.224;4701.95;6158.61
P091390001;13380;4419.69;57.0277;4723.5;8768.04
P091390029;13405;8348.85;62.7184;4628.3;12805.8
P091390011;13200;1838.93;53.856;4677.88;6239.34
P091390013;13405;4018.88;55.1832;3927.53;9275.55
P091390005;13200;5516.15;54.9516;3704.51;11027.3
P091390003;12785;12246.3;71.1966;9332.99;11334.5
P091390039;13410;10210.1;65.4895;5278.76;13924.8
Q065390013_5;8410;3017.91;26.4915;5646.39;6313.11
Q065390013_4;13200;1838.93;53.856;4674.81;6242.85
Q065390013_3;12600;3954.11;49.584;6218.44;6596.53
Q065390013_2;12800;1782.39;52.224;4699.05;6158.64
Q065390013_1;13405;3347.81;52.9512;4213.02;8278.69
P065390013;13410;9311.14;61.5004;6655.25;11455.1
P065390005;13205;2643.89;52.3824;4438.8;7317.13
P065390031;13200;1838.93;53.856;4677.88;6239.34
P065390003;11010;8352.88;56.7597;7736.26;9263.25
P065390039;13205;6668.41;57.8859;4009.55;11831.5
P065390025;13405;5314.8;57.8472;3646.4;10892.3
P065390007;13200;1838.93;53.856;4680.44;6236.42
P065390027;13370;4761.53;55.9871;4686.34;9152.29
P065390009;13400;7651.81;55.1778;3525.96;13366.7
P065390033;13405;5444.32;60.8733;3921.53;10707.8
P066390023;10395;8697.61;48.9334;9089.92;8063.27
Q066390035_4;13405;4684.39;56.1758;3779.43;10110.1
Q066390035_3;13400;5166.82;55.044;3616.12;10778.9
Q066390035_2;13200;3136.78;53.0556;4604.82;7620.57
Q066390035_1;12800;1782.39;52.224;4702.67;6154.52
Q066390001_2;13405;3308.89;59.7579;5124.28;7199.89
P066390035;13405;8128.73;62.8004;3985.36;13319.4
P066390037;12800;1782.39;52.224;4700.26;6157.27
Q066390001_1;13405;8134.45;64.2868;5508.67;11586.8
P066390001;13370;1848.26;52.4365;4674.74;6252.26
P066390029;13305;11020.3;61.3694;5514.63;14465.9
P066390011;13200;1838.93;53.856;4677.88;6239.34
P066390021;13205;10495.3;75.047;7432.13;11752.7
P066390015;13200;1828.59;53.856;4675.37;6231.87
P066390013;13410;10330.1;62.3318;6765.61;12348.1
P066390005;13000;2635;53.9004;4457.99;7286.34
P066390031;13400;4657.73;56.7276;3656.31;10223.9
P066390039;13405;5351.11;60.4648;3595.53;10986.6
