Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P066394805;13400;6136.66;84.2304;6359.19;8618.47
P067394803;13400;6690.16;92.0184;5967.98;9618.38
Q067394803_1;12400;5884.17;86.0592;5998.71;8777.33
P067394805;13400;6586.76;92.0184;5887.89;9606.38
P068394803;13400;6682.76;92.0184;6332.81;9194.66
Q068394803_1;13400;6682.38;92.0184;5879.37;9711.73
P068394801;13400;6664.29;92.0184;5994.99;9561.7
P069394803;13400;6238.1;84.2304;5480.17;9722.99
P068394805;12400;5278.81;78.2712;6296.46;7832.19
P069394801;13400;6685.92;92.0184;5877.66;9717.22
P070394803;13400;6661.12;92.0184;5904.76;9661.49
P069394805;12800;6674.17;87.0912;6301.19;9222.16
P070394807;13400;6690.3;92.0184;6060.99;9512.4
P072394805;10800;4974.92;75.1728;6226.01;7608.7
P073394805;13400;6617.68;92.0184;5967.38;9546.59
P074394805;13400;6653.27;92.0184;5890.89;9669.47
Q075394803_1;12400;5589.11;84.2736;6122.99;8340.45
P075394805;12800;6241.75;81.648;6391.33;8686.87
P076394803;13400;6657.36;92.0184;5945.48;9611.26
P077394803;13400;6104.93;84.7896;6282.8;8673.9
P079394801;13400;6692.22;92.0184;6077.72;9495.22
P079394805;11800;5753.21;81.132;6173.98;8446.36
P080394803;12800;6611.75;87.0912;6257.72;9209.34
P080394801;13400;6666.94;92.0184;5868.84;9708.3
P080394805;12800;6628.96;87.0912;6282.04;9198.8
P081394803;13400;6683.01;92.0184;5941.35;9641.62
Q082394803_1;12400;5897.65;86.0592;5930.12;8869.08
Q066394801_1;11200;5315.2;69.0624;6589.01;7534.75
P066394801;13000;5712.51;89.2008;5769.69;8867.02
P067394801;13000;5823.49;90.9864;6084.46;8618.8
P070394801;12800;6683.86;87.0912;6352.15;9173.69
P070394805;13400;6549.42;92.0184;5887.78;9569.17
Q072394801_1;13400;6495.73;90.2328;6280.65;9067.16
P072394801;12800;6657.38;87.0912;6288.76;9219.56
P073394803;12800;6638.63;87.0912;6315.7;9170.06
P073394801;12800;6605.2;87.0912;6266.39;9192.89
