Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114156207;P114156207_1;A;0;1240;0;1600;2440;2700
P114156207;P114156207_2;B;0;0;0;1600;1200;2700
P114156207;P114156207_3;C;1600;0;0;3200;1200;2700
P114156207;P114156207_4;D;1600;1235;0;3205;2440;2000
P114156207;P114156207_5;E;3200;0;0;5200;1200;2935
P114156207;P114156207_6;F;3205;1240;0;5205;2440;2935
P114156207;P114156207_7;G;5200;0;0;7200;1200;2935
P114156207;P114156207_8;H;5205;1240;0;7205;2440;2935
P114156207;P114156207_9;I;7200;0;0;9200;1200;2935
P114156207;P114156207_10;J;7205;1240;0;9205;2440;2935
P114156207;P114156207_11;K;9200;0;0;11200;1200;2935
P114156207;P114156207_12;L;9205;1240;0;11205;2440;2935
P114156207;P114156207_13;M;11200;0;0;13200;1200;2935
P114156207;P114156207_14;N;11205;1240;0;13205;2440;2935
P114156225;P114156225_1;A;0;1240;0;1600;2440;2700
P114156225;P114156225_2;B;0;0;0;1600;1200;2700
P114156225;P114156225_3;C;1600;0;0;3200;1200;2700
P114156225;P114156225_4;D;1600;1235;0;3205;2440;2000
P114156225;P114156225_5;E;3200;0;0;5200;1200;2935
P114156225;P114156225_6;F;3205;1240;0;5205;2440;2935
P114156225;P114156225_7;G;5200;0;0;6800;1200;2700
P114156225;P114156225_8;H;5205;1240;0;6205;2440;2865
P114156225;P114156225_9;I;6205;1240;0;7205;2440;2865
P114156225;P114156225_10;J;6800;0;0;8405;1205;2000
P114156225;P114156225_11;K;7205;1235;0;8810;2440;2000
P114156225;P114156225_12;L;8405;0;0;10010;1205;2000
P114156225;P114156225_13;M;8810;1235;0;10415;2440;2000
P114156225;P114156225_14;N;10010;0;0;11615;1205;2000
P114156225;P114156225_15;O;10415;1235;0;12020;2440;2000
P114156225;P114156225_16;P;11615;0;0;13220;1205;2000
P114156225;P114156225_17;Q;12020;1240;0;13020;2440;2865
P114156223;P114156223_1;A;0;1240;0;1600;2440;2865
P114156223;P114156223_2;B;0;0;0;1600;1200;2865
P114156223;P114156223_3;C;1600;0;0;3200;1200;2865
P114156223;P114156223_4;D;1600;1235;0;3205;2440;2000
P114156223;P114156223_5;E;3200;0;0;4805;1205;2000
P114156223;P114156223_6;F;3205;1235;0;4810;2440;2000
P114156223;P114156223_7;G;4805;0;0;6410;1205;2000
P114156223;P114156223_8;H;4810;1235;0;6415;2440;2000
P114156223;P114156223_9;I;6410;0;0;8015;1205;2000
P114156223;P114156223_10;J;6415;1235;0;8020;2440;2000
P114156223;P114156223_11;K;8015;0;0;9620;1205;2000
P114156223;P114156223_12;L;8020;1235;0;9625;2440;2000
P114156223;P114156223_13;M;9620;0;0;11620;1200;2935
P114156223;P114156223_14;N;9625;1240;0;11625;2440;2935
P114156223;P114156223_15;O;11620;0;0;13220;1200;2700
P114156223;P114156223_16;P;11625;1240;0;13225;2440;2700
P114156221;P114156221_1;A;0;0;0;2000;1200;2935
P114156221;P114156221_2;B;0;1235;0;1605;2440;2000
P114156221;P114156221_3;C;1605;1235;0;3210;2440;2000
P114156221;P114156221_4;D;2000;0;0;3000;1200;2865
P114156221;P114156221_5;E;3000;0;0;5000;1200;2935
P114156221;P114156221_6;F;3210;1240;0;4810;2440;2520
P114156221;P114156221_7;G;4810;1235;0;6415;2440;2000
P114156221;P114156221_8;H;5000;0;0;6605;1205;2000
P114156221;P114156221_9;I;6415;1235;0;8020;2440;2000
P114156221;P114156221_10;J;6605;0;0;8210;1205;2000
P114156221;P114156221_11;K;8020;1240;0;10020;2440;2935
P114156221;P114156221_12;L;8210;0;0;10210;1200;2935
P114156221;P114156221_13;M;10020;1235;0;11625;2440;2000
P114156221;P114156221_14;N;10210;0;0;11810;1200;2700
P114156221;P114156221_15;O;11625;1235;0;13230;2440;2000
P114156221;P114156221_16;P;11810;0;0;13410;1200;2700
P114156201;P114156201_1;A;0;0;0;1000;1200;2865
P114156201;P114156201_2;B;0;1240;0;1600;2440;2865
P114156201;P114156201_3;C;1000;0;0;2600;1200;2520
P114156201;P114156201_4;D;1600;1235;0;3205;2440;2000
P114156201;P114156201_5;E;2600;0;0;4205;1205;2000
P114156201;P114156201_6;F;3205;1240;0;5205;2440;2935
P114156201;P114156201_7;G;4205;0;0;6205;1200;2935
P114156201;P114156201_8;H;5205;1235;0;6810;2440;2000
P114156201;P114156201_9;I;6205;0;0;8205;1200;2935
P114156201;P114156201_10;J;6810;1235;0;8415;2440;2000
P114156201;P114156201_11;K;8205;0;0;9805;1200;2520
P114156201;P114156201_12;L;8415;1235;0;10020;2440;2000
P114156201;P114156201_13;M;9805;0;0;11410;1205;2000
P114156201;P114156201_14;N;10020;1240;0;12020;2440;2935
P114156201;P114156201_15;O;11410;0;0;13010;1200;2700
P114156201;P114156201_16;P;12020;1240;0;13020;2440;750
P111156207;P111156207_1;A;0;1240;0;2000;2440;2935
P111156207;P111156207_2;B;0;0;0;1600;1200;2865
P111156207;P111156207_3;C;1600;0;0;3200;1200;2865
P111156207;P111156207_4;D;2000;1240;0;3600;2440;2865
P111156207;P111156207_5;E;3200;0;0;4800;1200;2700
P111156207;P111156207_6;F;3600;1240;0;5200;2440;2700
P111156207;P111156207_7;G;4800;0;0;6400;1200;2700
P111156207;P111156207_8;H;5200;1240;0;7200;2440;2935
P111156207;P111156207_9;I;6400;0;0;8400;1200;2935
P111156207;P111156207_10;J;7200;1240;0;9200;2440;2935
P111156207;P111156207_11;K;8400;0;0;10400;1200;2935
P111156207;P111156207_12;L;9200;1240;0;11200;2440;2935
P111156207;P111156207_13;M;10400;0;0;12400;1200;2935
P111156207;P111156207_14;N;11200;1240;0;13200;2440;2935
P111156207;P111156207_15;O;12400;0;0;13400;1200;2865
P111156219;P111156219_1;A;0;0;0;2000;1200;2935
P111156219;P111156219_2;B;0;1240;0;2000;2440;2935
P111156219;P111156219_3;C;2000;1240;0;4000;2440;2935
P111156219;P111156219_4;D;2000;0;0;4000;1200;2935
P111156219;P111156219_5;E;4000;0;0;6000;1200;2935
P111156219;P111156219_6;F;4000;1240;0;6000;2440;2935
