Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P101156207;13210;8986.01;83.939;7247.04;10454.6
P102156201;13225;8290.17;72.4677;5850.41;11352.6
P103156207;12810;10852.2;83.6282;6515.62;13155.5
P104156201;13415;9791.46;78.2348;6851.02;11712
Q101156201_1;6810;4552.55;35.7614;7083.23;6208.12
P101156201;13225;7247.11;71.6573;6034.95;10098.9
P101156231;13015;10886;78.2459;7051.49;12577.8
P101156223;13230;7839.34;72.3026;5080.05;11780.8
P101156235;13220;9581.47;73.9109;6144.47;12308.3
Q101156207_1;13405;12831.6;87.3725;7509.36;14000.9
P102156221;13010;11682.6;79.9074;7268.78;13126.4
P102156223;13235;7360.06;70.9866;5474.74;10851.1
Q102156225_1;13220;9494.65;72.9605;7744.96;10395.1
P102156225;13405;13008.4;86.8389;8853.17;12644.2
P102156207;13210;8749.57;85.685;6877.61;10639.8
P103156201;13405;9930.77;78.3896;6885.58;11811.9
P103156231;13420;9958.93;79.3976;6354.56;12446
P103156223;13230;8054.41;72.1886;5482.3;11536.9
P103156217;13215;11087.9;78.8823;7983.84;11715.8
P103156225;13410;9780.43;83.7126;6905.5;11638.8
P104156221;13415;9964.82;79.3976;5892.83;12978.8
P104156223;13230;8987.05;69.513;5085.79;12922
P104156235;13220;8864.67;71.9613;8374.82;9046.35
P104156219;13410;10570.8;85.8338;6093.84;13355.4
P104156207;13410;10951.8;87.9165;6994.81;12708.3
P107156201;13410;10039.2;79.3976;6288.38;12601.8
P107156221;13420;9449.77;78.1104;6099.6;12227.8
P107156223;13235;6482.95;69.8735;5413.45;10044
P107156225;13415;10057.7;82.4447;7384.05;11370
P107156207;13400;14199.4;90.2664;8442.5;14303.8
P108156201;13225;8861.86;74.0597;6170.25;11559.3
Q108156231_1;13215;9024.3;78.8187;6924.47;10861
P108156231;13410;10599.7;80.8275;5708.75;13823.8
P108156223;12835;7462.92;65.8367;5749.83;10640.1
P108156235;13415;9434.59;83.0879;7028.12;11153
P108156207;13405;12728.4;87.9513;6344.85;15226.6
P109156201;13220;9902.06;76.346;6707.4;11986.5
P109156221;13020;8163.37;76.7708;5760.87;11327.9
P109156223;13415;10009.7;79.0808;5858.91;13062.4
Q109156225_1;12830;7756.42;67.4694;5934.39;10723
P109156225;13220;14421.2;77.6907;9037.71;13846.4
P109156207;13200;8397.72;91.572;6825.96;10346.9
P110156201;13015;8272.51;65.9948;7576.91;9364.71
P110156231;13415;9485.69;79.1106;6401.65;11919
P110156223;13410;10081.2;79.7432;6569.2;12323.4
P110156217;12840;6023.17;63.5216;5993.25;8922.56
P110156225;13405;11136.3;83.8598;6049.02;13972.1
P110156207;13400;13909.6;90.0348;8815.11;13588.8
P111156201;10415;6143.38;52.6407;7290.83;7562.05
P111156221;13005;10324.9;76.8455;7269.87;11767.4
P111156223;13415;9234.23;77.736;6219.64;11875.3
Q111156235_1;13025;7899.09;69.5966;5333.35;11551.5
P111156235;13230;10475.3;70.1606;6853.83;12392.6
P111156219;13210;7476.09;82.7363;6995.02;9232.33
P111156207;13400;12056.5;91.8444;8000.88;12664.9
P114156201;13020;9831.6;76.0839;7981.01;10462.7
P114156221;13410;9567.62;77.7648;7029.87;11284.1
P114156223;13225;9119.71;75.7709;6943.67;10934.5
P114156225;13220;11841.9;76.0824;8591.55;11776.3
P114156207;13205;9630.08;89.8601;7752.97;10521.4
Q062050619_1;10000;9002.5;60.5776;8676.42;8840.02
P063050651;13210;12011.1;85.0337;7743.11;12913.6
P065050601;13010;12069.2;83.333;7670.64;13054.4
P065050623;13226;11794.3;83.7861;7370.77;13121.7
P065050611;12060;6512.05;62.0243;5753.46;9685.07
Q067050615_1;13300;8969.18;77.4586;7547.07;10095.4
P067050615;13020;11917.2;84.5553;7487.17;13111.8
P068050601;13010;12253;83.0056;7719.33;13182.7
P068050617;13030;11398.4;84.0769;7703.01;12346.7
P069050621;13020;11903.4;84.6451;7600.03;12969.2
P069050619;12020;10090.8;74.1939;7780.63;10950.5
P070050651;13206;12486.1;87.2381;7618.25;13531.2
P072050601;13010;12559.3;83.2652;7714.67;13494.4
P072050623;13030;11590.7;83.2031;7370.53;12918.4
P072050611;13090;6100.56;64.9819;5638.78;9404.45
P073050613;13030;11028.6;78.665;7460.28;12253.9
P073050621;13020;11758.5;85.0849;7520.1;12915.5
P074050601;13010;12867.2;85.1296;7732.27;13782.2
P074050621;13030;11041.2;81.9861;7652.34;12047.4
P074050615;13060;10091.7;77.7191;8248.08;10418
P075050601;13010;12577;81.937;7570.29;13676.8
P079050601;12030;10628.4;75.2643;7437.46;11879.7
P076050609;11040;8777.35;64.1321;7796.18;9619.34
P079050623;13020;10929.6;83.676;7669.06;11916.6
Q079050623_1;13200;12820.3;85.338;7928.41;13511.4
P079050611;13080;6565.52;64.6761;5572.77;9944.73
P080050601;13010;11649.8;79.4939;7140.24;13240.3
P080050621;12820;11029.7;82.4305;7350.95;12379.7
P080050613;13206;12086.6;86.8338;8051.5;12637.3
P081050601;13030;11736.2;83.7251;7356.69;13079.7
P081050621;13020;12102.2;83.4708;7623.6;13141.1
P062050619;13020;12806.2;80.6994;8069.25;13336.6
P066050601;13000;11731;78.0016;7712.48;12668.5
P066050621;12820;9712.23;77.7457;7090.76;11359.2
P066050613;13216;11499.3;82.1799;7911.82;12209.3
P067050601;11000;9633.57;64.9706;8183.25;10033.9
P067050621;12810;9860.15;75.3067;6802.29;11836.3
P068050621;13020;11514.6;79.1618;7258.32;12970.3
P069050609;13206;12848.2;83.7979;8551.64;12828.1
P073050601;11000;10567.8;69.984;8457.33;10655.4
P075050621;13220;11486.5;81.5095;7401.43;12779
