Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114156207;P114156207_1;A;0;1240;0;1600;2440;2865
P114156207;P114156207_2;B;0;0;0;1600;1200;2700
P114156207;P114156207_3;C;1600;0;0;3200;1200;2700
P114156207;P114156207_4;D;1600;1240;0;3200;2440;2700
P114156207;P114156207_5;E;3200;1240;0;5200;2440;2935
P114156207;P114156207_6;F;3200;0;0;5200;1200;2935
P114156207;P114156207_7;G;5200;0;0;7200;1200;2935
P114156207;P114156207_8;H;5200;1240;0;7200;2440;2935
P114156207;P114156207_9;I;7200;1240;0;9200;2440;2935
P114156207;P114156207_10;J;7200;0;0;9200;1200;2935
P114156207;P114156207_11;K;9200;0;0;10200;1200;2865
P114156207;P114156207_12;L;9200;1240;0;10200;2440;2865
P114156207;P114156207_13;M;10200;1235;0;11805;2440;2000
P114156207;P114156207_14;N;10200;0;0;11800;1200;2700
P114156207;P114156207_15;O;11800;0;0;13400;1200;2700
P114156207;P114156207_16;P;11805;1240;0;13405;2440;2340
P114156225;P114156225_1;A;0;0;0;2000;1200;2935
P114156225;P114156225_2;B;0;1235;0;1605;2440;2000
P114156225;P114156225_3;C;1605;1235;0;3210;2440;2000
P114156225;P114156225_4;D;2000;0;0;3605;1205;2000
P114156225;P114156225_5;E;3210;1235;0;4815;2440;2000
P114156225;P114156225_6;F;3605;0;0;5210;1205;2000
P114156225;P114156225_7;G;4815;1240;0;6815;2440;2935
P114156225;P114156225_8;H;5210;0;0;7210;1200;2935
P114156225;P114156225_9;I;6815;1240;0;8815;2440;2935
P114156225;P114156225_10;J;7210;0;0;9210;1200;2935
P114156225;P114156225_11;K;8815;1240;0;10815;2440;2935
P114156225;P114156225_12;L;9210;0;0;11210;1200;2935
P114156225;P114156225_13;M;10815;1240;0;12415;2440;2865
P114156225;P114156225_14;N;11210;0;0;12810;1200;2520
P114156225;P114156225_15;O;12415;1240;0;13415;2440;2865
P114156223;P114156223_1;A;0;0;0;1605;1205;2000
P114156223;P114156223_2;B;0;1235;0;1605;2440;2000
P114156223;P114156223_3;C;1605;1235;0;3210;2440;2000
P114156223;P114156223_4;D;1605;0;0;3210;1205;2000
P114156223;P114156223_5;E;3210;0;0;4815;1205;2000
P114156223;P114156223_6;F;3210;1235;0;4815;2440;2000
P114156223;P114156223_7;G;4815;1235;0;6420;2440;2000
P114156223;P114156223_8;H;4815;0;0;6420;1205;2000
P114156223;P114156223_9;I;6420;0;0;8020;1200;2700
P114156223;P114156223_10;J;6420;1240;0;8020;2440;2520
P114156223;P114156223_11;K;8020;1235;0;9625;2440;2000
P114156223;P114156223_12;L;8020;0;0;9625;1205;2000
P114156223;P114156223_13;M;9625;0;0;11230;1205;2000
P114156223;P114156223_14;N;9625;1235;0;11230;2440;2000
P114156223;P114156223_15;O;11230;1240;0;13230;2440;2935
P114156223;P114156223_16;P;11230;0;0;13230;1200;2935
P114156221;P114156221_1;A;0;1235;0;1605;2440;2000
P114156221;P114156221_2;B;0;0;0;1605;1205;2000
P114156221;P114156221_3;C;1605;0;0;3205;1200;2700
P114156221;P114156221_4;D;1605;1240;0;3205;2440;2865
P114156221;P114156221_5;E;3205;1240;0;4205;2440;2865
P114156221;P114156221_6;F;3205;0;0;5205;1200;2935
P114156221;P114156221_7;G;4205;1240;0;6205;2440;2935
P114156221;P114156221_8;H;5205;0;0;6810;1205;2000
P114156221;P114156221_9;I;6205;1235;0;7810;2440;2000
P114156221;P114156221_10;J;6810;0;0;8415;1205;2000
P114156221;P114156221_11;K;7810;1235;0;9415;2440;2000
P114156221;P114156221_12;L;8415;0;0;10020;1205;2000
P114156221;P114156221_13;M;9415;1240;0;11415;2440;2935
P114156221;P114156221_14;N;10020;0;0;11625;1205;2000
P114156221;P114156221_15;O;11415;1240;0;13015;2440;2700
