Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P107156207;13410;10964.1;76.4052;5478.31;14451.1
P108156231;13410;11647.1;85.665;8178.68;12052.6
Q101156201_1;10015;5565.33;47.4519;6702.47;7655.4
P101156201;13220;8291.57;73.9148;6813.9;10254.5
P101156231;13405;11122.2;81.3263;6090.89;13910.2
P101156223;13230;7836.39;72.8222;6780.7;9837.18
Q101156235_1;13415;8679.78;78.4323;5639.77;11982.5
P101156235;13405;12927.7;87.6057;8176.26;13335.9
P101156207;13410;9457.91;78.4272;5675.69;12719.7
P102156201;13410;10004.4;78.6759;6638.06;12167.9
Q102156221_1;13420;9841.73;79.052;6759.97;11866.2
P102156221;13235;6098.89;68.2407;5666.3;9371.37
P102156223;13415;10985.9;84.0323;6277.49;13560.9
P102156225;13405;13669.5;89.9297;6212.75;16318.4
P102156207;13410;11101.7;81.3383;7684.49;12071.2
P103156201;13220;7728.45;76.5036;6243.79;10341.9
P103156231;13410;10321.1;79.6647;6238.88;12940.2
P103156223;13230;12007.3;71.8526;4161.52;16997
P103156225;13220;10244.2;77.4236;8874.09;9856.11
P103156207;12800;8902.61;88.4856;7629.79;9934.49
Q104156201_1;8815;5646.64;47.9562;7341.85;7007.09
P104156201;13225;8841.79;74.1005;6484.03;11181.1
P104156221;13015;10945.3;78.2459;5747.08;14125.6
Q104156223_1;13415;8677.65;76.7657;5558.42;12073.2
P104156223;12840;6701.35;64.5207;5931.27;9671.47
P104156235;13405;12404;85.235;7446.99;13644.5
P104156207;13200;10217.6;89.7936;7023.21;11941.6
P107156201;13225;8976.02;74.5296;6456.57;11346.7
P107156221;13415;11408.4;82.4891;7199.45;12931.3
P107156223;13235;6784.79;69.5567;5767.08;9942.27
P107156225;13220;8661.03;76.3052;7586.56;9742.23
Q107156207_1;12805;10385.7;86.7737;6933.43;12212.2
P108156201;13220;10064.7;75.8384;7152.21;11641.6
P108156223;13235;6420.74;66.3807;5636.01;9727.79
P108156235;13405;10476.9;85.403;7798.79;11315.9
P108156207;13405;12994.9;88.2681;5751.49;16170.2
P109156201;13015;7518.68;66.2928;6507.09;9831.71
P109156221;13410;11189.6;81.3383;7656.96;12190.4
Q109156223_2;13230;7771.94;76.1868;6240.03;10389.7
Q109156223_1;13235;6373.74;66.3807;5881.43;9400.74
P109156223;13410;12002.4;85.4726;6747.56;14041
P109156225;13405;10547.3;85.7198;7110.77;12171.5
P109156207;13410;10989.6;79.6299;5983.71;13899.9
P110156201;13220;9781.89;75.9048;6987.75;11546.4
P110156231;13410;11421.3;84.6282;7000.75;13171
P110156223;13235;7334.29;70.8726;6421.25;9745.27
P110156225;13210;13795.4;78.6611;8885.3;13394.6
P110156207;13210;9114.32;88.6581;6429.2;11516.2
P111156201;11620;8240.52;63.8259;8270.91;8540.77
Q111156221_1;13220;8278.53;74.6724;6176.1;10969.3
P111156221;13015;10953.5;78.9675;7172.85;12506.8
P111156223;13230;7771.01;71.957;6113.78;10532.9
Q111156235_1;12830;7850.97;67.7862;5893.2;10864.5
P111156235;13400;12006.3;88.0349;7713.68;12942.4
P111156207;13210;10387;86.7146;7354.79;11732.7
P114156201;13215;9035.58;79.1355;6806.83;11006.6
P114156221;13420;9810.98;78.5804;6687.65;11918
P114156223;13230;9631.84;72.6542;6511.9;11939.4
P114156225;13210;12043.7;78.6263;9050.07;11454.8
P114156207;13210;9061.55;88.6581;6197.21;11728.2
P066156207;13205;7733.05;79.8921;6455.36;10105.1
P067156207;13210;7595.87;82.7363;6696.25;9693.04
P068156201;13225;9507.96;72.9605;7033.82;11219.9
Q068156201_1;13210;9153.9;88.5441;7076.47;10817.2
P068156223;13220;9273.75;74.1284;6837.76;11209.4
Q069156201_1;13205;9160.86;88.5441;7034.25;10872.3
P068156225;13210;7872.6;83.8298;6955.44;9673.99
P069156235;13225;7582.53;74.8332;6471.18;9936.54
P069156207;13205;8395.07;86.5361;6744.5;10437.2
P072156225;13215;8827.9;76.3052;6695.47;10926
P073156201;13225;8995.79;71.9613;6814.82;10957.7
P073156235;13230;8200.05;70.6454;6858.3;10112.3
P074156201;13225;9247.91;74.7917;6020.47;12116.2
P074156207;12015;8707.41;70.3151;7171.01;10262.8
P075156207;13410;10039.2;83.4246;6480.8;12382.2
P076156201;13225;8589.55;73.8213;6117.88;11346.7
P076156223;13230;7069.01;67.6967;5918.67;10053.5
Q065156201_1;13230;6946.06;68.1893;6375.98;9408.71
P065156201;13225;7913.96;76.5324;6316.13;10444.9
P065156221;13215;9418.89;77.3043;7064.71;11095.6
P065156223;13230;8000.53;72.1886;5731.6;11198.5
P065156225;12410;8157.37;73.9803;6859.18;10068.6
P065156207;12810;8523.79;82.1922;6848.38;10447.3
Q066156201_1;13210;7844.11;80.8763;7317.81;9231.98
Q067156201_1;13225;8319.44;70.3286;6389.97;10766.1
P066156201;13230;8464.45;73.5045;5991.88;11365.4
P066156231;12405;9560.04;76.6122;7708.03;10502.6
P066156223;12840;6064.74;63.2048;6170.08;8762.35
P066156235;13205;9099.5;88.5441;7455.84;10329.9
P067156201;13225;9117.71;74.8205;6974.9;10896.9
P067156221;13230;7456.88;70.8726;5362.11;11076.5
P067156223;12815;8476.05;82.1922;6746.6;10515.8
P067156225;13220;9112.58;79.1643;6823.18;11064.9
P068156231;13230;7416.7;70.527;5813.1;10521.7
P068156207;13200;8435.31;91.572;6809.01;10403.8
P069156201;13225;9847.43;76.1076;7380.66;11163.6
P069156221;13220;10455.6;77.7692;6762.3;12477.4
P069156223;13225;7664.15;73.6733;7115.91;9282.44
P070156255;13230;7034.7;72.0405;6488.22;9369.25
P070156253;13220;10478.8;77.4236;6369.75;12948.6
P070156257;12805;9694.07;85.1409;6927.03;11527.9
P072156201;13225;9301.94;75.1373;6555.75;11559.4
P072156221;12830;8567.84;68.4398;5467.47;12067.2
P072156223;13220;8531.06;77.8484;7064.03;10208.5
P072156207;13205;8495.39;86.5361;6727.3;10557.1
P073156231;13220;10446.9;77.7692;7051.64;12138.5
P073156223;13220;8486.78;78.1652;7360.24;9826.24
P073156207;13200;8442.51;91.572;6813.01;10406.4
P074156221;13225;9256.43;75.1373;5527.16;12687.7
P074156223;13215;9983.23;78.5915;7155.19;11556.7
P074156225;13225;7234.25;75.2165;6090.91;10022.2
P075156201;13230;9624.13;70.7985;5928.31;12597.6
P075156231;13225;9038.49;75.1085;6308;11578.7
P075156223;13225;8797.74;71.6157;8005.54;9400.83
P075156225;13410;9112.63;79.2783;6179.89;11799
P076156221;13415;13242.5;81.8615;6046.86;16080.7
P076156235;13215;12892.4;79.3479;7262.91;14342.9
P076156207;13200;8440.11;91.572;6808.35;10409.4
P065050623;12030;9341.93;71.9639;7520.92;10498
P066050621;13030;9930.41;77.4573;7664.45;10922.7
P067050601;13206;12353.4;85.0121;7487.56;13547.6
P066050613;13030;11245.8;82.3315;7798.8;12084.8
P067050621;12820;10104.1;73.3945;6630.48;12276.3
P065050611;13246;5151.07;60.174;5019.48;9161.68
P067050615;13050;10531.6;80.33;7794.5;11375.5
Q065050611_1;12690;8269.75;72.378;6656.99;10411.7
P068050601;13010;12270;83.3126;7762.35;13150.6
P068050621;13210;12348.2;84.5466;7789.39;13197.9
P068050617;13220;11303.1;84.2423;7628.51;12336.4
P069050621;13010;12405.9;84.6341;7825.15;13214.9
P069050619;13030;11302.8;85.5601;7753.29;12193.8
P070050651;13010;12273.8;86.3006;7689.58;13237.4
P072050611;13100;6904.24;69.4166;5807.02;10016.2
P072050623;13040;11089;79.3767;7116.33;12706.8
