Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P086382901;13290;4441.75;64.6162;5568.6;7825.72
Q087382921_1;13410;6457.74;72.9627;6082.11;9255.72
P088382809;12950;5887;70.2625;5231.18;9656.02
P087382803;13290;4695.6;68.8079;5659.14;7976.26
P088382803;13410;7020.72;76.3071;5409.24;10586.5
P087382901;13350;8426.37;80.4801;6048.04;11263.2
P088382901;13470;9312.77;82.2977;6674.85;11434.4
P089382801;13210;9753.43;84.0524;7036;11462.9
P091382801;13200;9949.13;85.536;7296.77;11361
P093382809;13280;8782.76;80.7001;6307.82;11323.2
P091382803;13220;4798.52;69.3462;5664.06;8073.56
P093382903;13150;4962.98;69.8845;5652.28;8251.47
P093382803;13470;8839.88;81.2717;6192.81;11511.5
P094382921;13480;6645.39;74.8688;5051.48;10619.5
P096382901;13150;5962.28;72.4765;5550.81;9366.56
Q097382921_1;13290;5057.72;70.1039;5943.2;8014.22
P097382803;13200;9402.12;84.51;7004.9;11147.1
Q098382921_1;13420;7528.23;77.7335;5224.46;11304.9
Q086382809_1;6610;1899.3;27.5054;5491.07;5371.75
P086382809;13410;6506.12;67.5051;5602.95;9850.91
P086382903;13220;4857.55;69.3462;5360.81;8478.64
P086382801;13200;9775.95;82.2164;7272.2;11215.9
P086382905;13340;7709.72;78.2494;5664.08;10984.7
P086382811;13350;8066.31;80.4655;5784.67;11203.7
P086382803;13410;8380.22;80.4651;5445.51;11904.7
P087382921;13210;9625.37;83.1568;7016.49;11357.1
P087382809;13150;6369.98;73.7725;5153.4;10227.8
P087382903;13340;8185.58;79.7614;5569.11;11569
P087381101;13470;8901.15;82.1357;6621.29;11083.9
P087382801;13480;5125.37;69.8845;5491.68;8597.12
P087382905;13210;9588.73;82.6964;7395.73;10887.7
P087382907;13410;8065.8;80.3571;5389.78;11653.8
P088382903;13406;9054.45;81.9404;6611.34;11248.5
P088382801;13470;9398.69;82.8917;6290.75;11958.6
P088382905;13350;8050.32;79.9031;5693.71;11291.5
P089382921;13290;4758.21;68.8079;5768.31;7914.29
P089382809;13210;9429.72;83.2904;6791.39;11418.3
P089382903;13340;7510.74;78.0334;5543.48;10923.4
P089381101;13290;4375.68;65.8319;5421.5;7927.51
P089382905;13410;10607.2;86.3111;7139.15;12198.9
P089382803;13480;6356.23;74.5268;5300.31;10046.4
P090382921;13270;8032.58;73.606;7088.27;9682.4
P090382809;13290;4776.65;68.8079;5365.87;8391.97
P090382903;13270;9001.33;82.9997;6478.64;11346.8
P090382801;13200;9505.93;84.402;6904.26;11365.7
P090382907;13490;6751.41;75.4302;5032.3;10747.4
P090382803;13410;7733.24;78.8991;5849.82;10796.3
P091382921;13410;7310.82;77.6571;5388.1;10900.8
P091382809;13480;5006.51;69.8845;5928.47;7979.83
P091382903;13280;8934.62;80.8024;6271.68;11516.3
P093382801;13210;9963.9;84.1604;7073.63;11630.4
P093382905;13080;6479.92;74.3108;5363.36;10098.1
P093382811;13350;8329.51;78.5171;5901.29;11333.8
P093382901;13290;4968.52;70.1039;5270.89;8692.23
P094382809;13340;7425.13;78.1414;5664.08;10700.2
P094382903;13200;9945.13;84.024;7111.04;11569
P094381101;13350;7856.73;77.5975;5609.99;11193.5
P094382801;13220;5203.1;70.6422;5254.69;8945.29
P094382905;13200;9738.77;84.294;6694.42;11838
P094382907;13290;4767.43;68.8079;5349.83;8401.05
P094382803;13290;4767.43;68.8079;5766.74;7925.31
P094382901;13480;9317.24;82.8739;6369.43;11787.4
P095382809;13200;9188.3;83.268;6532.72;11472.1
P095382903;13470;9402.74;84.1877;6348.8;11896.4
P095382801;13270;9538.13;83.0537;6423.22;11946.9
P095382905;13490;6841.67;77.8091;5175.98;10673.7
P095382803;13340;8261.25;80.7334;5935.23;11226.8
P095382901;13420;7645.81;77.4176;5405.9;11215.5
P096382921;13480;6997.16;75.9308;5156.67;10851.2
P096382809;13470;9200.64;82.8917;6391.94;11645.1
P096382903;13220;5047.9;69.3462;6027.06;7908.7
P096381101;13340;8439.15;82.1374;5899.75;11445.2
P096382801;13420;10359.3;84.3416;7256.92;11816.7
P096382905;13150;5584.11;71.1805;5542.11;8998.32
P096382803;13200;9597.23;84.024;7059.1;11280.3
P097382921;13420;6945.33;74.9401;5768.68;10101
