Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P067382901;13490;6788.03;74.4558;6516.19;9090.68
P068382801;13210;10378.2;83.0346;7634.75;11404.4
P068382901;13210;9306.62;81.5912;7191.94;10838.1
Q069382921_1;13410;7970.14;80.3571;5538.56;11388.4
P070382905;13410;10089.3;86.1861;7303.49;11493.6
P072382811;13470;8363.27;79.8507;5995.65;11259.9
P072382901;13270;8049.4;77.3657;6684.94;10159.5
P073382921;13410;7513.5;77.6571;5783.05;10652.8
P073382803;13340;7908.08;78.6274;5832.55;10990.8
P074382809;13420;7066.93;74.7241;5447.69;10588.9
Q076382809_1;13290;4957.74;70.1039;5569.81;8340.34
P077382809;13340;8100.47;79.5454;6112.73;10863.5
Q066382809_1;12410;3693.18;43.9814;5718.16;6906.49
P066382809;13410;6182.81;67.3515;5516.47;9626.28
P066382903;13410;7647.43;79.0071;6883.79;9530.59
P066381101;13150;5026;65.2285;5272.03;8748.4
P066382801;13340;9089.07;79.8491;6110.82;11854.3
P066382905;13480;8829.21;82.5901;6556.93;11085.4
P066382907;13220;4981.87;69.3462;5973.01;7904.36
P066382803;13340;7726.22;76.7302;5881.38;10753.3
P066382901;13340;8470.16;79.6894;6075.52;11275.7
Q067382809_1;13290;5067.27;70.1039;5704.99;8295.6
P067382809;13210;9555.67;83.8271;6848.9;11478.6
P067382903;13080;6362.39;73.0148;5238.86;10122.6
P067382801;13340;8778.1;81.9214;6018.79;11648.3
P067382905;13210;9266.24;81.8608;6677.1;11385.3
P067382803;13410;7636.69;77.8371;5531.11;11063.4
P068382921;13410;7613.59;77.9991;6017.53;10485.3
P068382809;13490;6610.48;73.9722;5196.93;10418.6
P068382903;13200;9260.8;83.322;6426.61;11665.7
P068381101;13290;4484.68;65.8319;5449.89;8004.13
P068382905;13470;8936.25;83.8637;6500.95;11256.3
P068382803;12550;5702.65;68.7505;5736.5;8895.03
Q069382921_2;12550;5706.23;68.8585;6601.48;7911.55
P069382921;13220;5019.94;69.3462;5996.35;7915.8
P069382809;13200;10368.9;84.348;7386.55;11678.4
P069382903;13340;8086.41;79.5994;5642.64;11385.9
P069382801;13490;7198.04;76.0185;5185.55;11019.1
P069382907;13470;8794.01;80.4797;7376.31;10115.1
P069382803;13350;7645.22;79.4598;5964.61;10577.3
Q070382921_2;13360;4477.75;68.2696;5459.02;7986.77
Q070382921_1;13360;4468.53;68.2696;5451.83;7985.76
P070382921;13470;7799.81;75.3825;6302.82;10345.9
P070382809;13200;10147.3;85.59;7154.77;11721.2
P070382903;13150;5581.85;71.1805;5246.86;9332.97
P070381101;12800;7723.97;74.4;6150.95;10443.4
P070382801;12800;9383.22;82.944;7194.04;10912.3
P070382803;13480;7568.95;77.4968;5116.31;11469.1
P072382809;13480;6955.33;75.8228;5121.47;10849.5
P072382903;13410;7364.68;77.8191;5435.3;10900.8
P072382801;13220;9669.88;82.6306;7070.15;11340.4
P072382905;13150;6194.32;72.2605;5377.69;9796.15
P072382803;13490;6570.88;73.2318;5224.57;10347.4
P073382809;13420;7483.98;77.2645;6036.66;10333.8
P073382903;13340;6947.29;76.1451;6617.73;9134.06
P073381101;13150;6261.37;71.4672;5145.49;10128.2
P073382801;13340;8137.84;79.8694;5538.21;11556.5
P073382905;13480;8689.76;81.1467;6400.96;11123.9
P073382907;13150;6246.48;72.2245;5218.12;10030.4
P073382901;13350;8439.33;80.8236;5982.43;11351.1
P074382903;13340;8385.27;80.8954;7606.78;9443.39
Q074382801_1;13290;5139.53;70.1039;5220.57;8920.66
P074382801;13200;9359.79;83.052;6691.83;11462
P074382905;13476;8808.48;81.8308;6294.71;11363.9
P074382803;13410;7108.43;76.3071;5598.29;10458.5
P074382901;13420;7709.46;77.5321;5203.8;11509.7
Q075382921_1;13290;5032.74;70.1039;5585.48;8397.45
P075382921;13470;9039.71;82.8377;6368.23;11511.2
P075382809;13410;7215.31;76.1451;6898.74;9081.4
P075382903;13480;6704.68;75.0308;4975.63;10765.3
P075382801;13200;9499.28;82.4146;7439.4;10748.4
P075382905;13340;8486.31;80.7334;5837.71;11563.2
P075382803;13340;7471.39;76.2514;7123.08;9081.49
P075382901;13420;8049.5;80.5443;5523.65;11484.8
Q076382921_1;13150;6088.4;71.9365;5297.4;9781.85
P076382921;13480;5284.19;69.8845;5498.96;8747.64
P076382809;13200;9259.16;80.9854;6930.98;11088.5
P076382903;13400;9435.86;86.022;6651.98;11583.5
P076382801;13480;7467.57;77.1188;5090.38;11397.3
P076382907;13480;8648.24;79.585;6357.29;11132.2
P076382803;13340;8330.11;81.0034;5843.44;11400.5
Q077382921_1;13480;5908.93;69.2579;6661.99;8045.2
P077382921;13270;8598.38;81.3257;6804.03;10572.6
P077382903;13420;6399.15;72.3481;5924.68;9376.79
P077381101;13360;4468.53;68.2696;5451.83;7985.76
P077382801;12800;8762.87;81.648;7106.74;10391.6
P077382803;13200;9351.68;85.698;6799.05;11331.5
P077382905;13410;11211.4;86.6721;7825.17;12020.3
P082382803;13490;6375.68;73.4127;6592.33;8591.43
Q083382921_1;12940;7829.79;77.6014;5873.49;10865.8
P083382907;13010;6892.02;76.1451;5569.68;10274.8
P084382921;13490;6430.84;73.213;5556.37;9828.77
P087382901;13270;8366.31;78.3197;7658.89;9364.97
P088382809;13270;9273.2;81.5214;6525.07;11565.7
P079382809;11740;5213.41;49.9186;6777.2;7218.2
P079382903;13480;6223.96;70.0316;5327.29;9883.3
Q079382801_2;13340;7163.97;76.1451;6563.15;9413.02
Q079382801_1;13220;4948.11;69.3462;5743.42;8132.59
P079382801;13410;10188.5;83.6968;7094.05;11831.7
P079382905;13150;5792.93;72.4765;5171.13;9630.48
P079382811;13200;9703.62;84.078;7281.02;11133.5
P079382803;13480;6401.61;74.4728;5454.09;9916.26
