Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P086423705;12000;9399.9;84.288;7564.99;10505.7
P087423711;13400;11624.2;91.5566;6741.23;13670
P088423707;13400;14563.2;88.229;7096.63;16203.5
P088423705;12600;9395.42;76.1766;7264.3;10844.4
P089423707;13400;15438.2;86.2428;8335;15665.3
P089423701;13380;15476.2;88.0962;8513.03;15500.2
P089423709;13400;12386.6;92.0712;6641.42;14546.4
P089423703;13400;12852.6;88.8105;6812.03;14817.6
P089423705;13400;11090.9;83.2581;7157.62;12661.5
P090423701;13380;13965.6;87.3843;6887.85;15844.1
P090423711;13400;12049;85.5558;6673.2;14172.5
P091423707;13000;15832.4;86.646;8471.43;15903.9
P091423703;13200;10229.5;91.092;7050.05;11922.9
P093423703;13400;12548.7;88.7748;6715.05;14624.4
P093423711;13500;13901.1;82.8645;6553.07;16161.7
P093423705;13200;11109.2;90.372;7059.05;12792.3
P094423701;13200;17596.3;87.1284;9301.51;16720.5
P095423707;13400;14846.2;87.8928;7835.18;15643.7
P094423711;13200;11515.1;86.3169;6743.28;13558.6
P095423711;12200;13437.1;82.77;7777.78;14300.1
P096423707;13380;15056.3;86.0629;7396.63;16354.2
P095423705;12000;9500.01;84.048;7397.75;10796.7
P096423703;13400;13737.7;90.102;7230.76;15224.9
P096423711;13200;10133.8;86.0461;7179.8;11679.1
P097423707;13380;14088.4;83.0235;7785.52;14942.6
P097423711;13200;14371.2;89.0916;7657.96;15370.9
P097423705;13380;12168.2;85.5141;7076.91;13831
P098423707;13380;15191.8;88.2932;7859.68;15961.4
P098423709;13400;12129.8;91.9656;6685.58;14239.1
P098423703;13380;13787.8;89.4603;6819.09;15744.8
P086423707;13200;11834.1;75.7513;7728.49;12753.3
P086423701;13380;14364;79.5426;7624.15;15402.3
Q086423709_1;13200;17318.8;86.2496;9757;15923.2
P086423709;13400;11608.9;88.1988;6903.01;13470.1
P086423703;13200;13165.9;90.1344;6880.32;15053.1
P086423711;13400;13230.7;91.0024;7127.82;14835.4
P087423707;13400;15808.9;88.9908;8036.91;16376.2
P087423701;13400;15884.9;86.4303;8298.04;16154.2
P087423709;13400;13278.1;91.1916;6887.77;15156.7
P087423703;13380;14068.5;88.4762;7036.12;15777.8
P088423711;13200;14004.4;78.636;7748.26;14901
P088423701;13400;14537.9;87.5352;7111.06;16161.7
P088423709;13380;13501.8;86.4779;6462.2;15866
P088423703;13400;11712.5;91.9092;6873.08;13607.9
P089423711;13400;15314.7;89.0124;7855.98;16088.4
P090423707;13200;13839.1;84.912;7120.76;15451.9
P090423709;13200;13066.4;90.534;6542.59;15339
P090423703;13400;12711.7;90.1044;6724.33;14776.8
P091423701;13400;17562.6;90.2856;8405.41;17709.4
P091423709;13380;11285.9;86.8016;6710.07;13367.3
P093423707;13200;14746.6;80.9916;8456.52;14835.1
P093423701;13400;15088.3;89.142;8346.12;15302.8
P093423709;13200;11918.1;90.774;6822.83;13870.8
P094423707;13400;14249.9;84.8245;6462.28;16614.1
P094423709;13200;11680;87.252;6804.82;13653.3
P094423703;13400;12900.7;88.2432;6923.13;14738.9
P095423701;13380;15120;84.2989;7699.27;16072.6
P095423709;13200;10835.5;87.144;6896.31;12704.3
P095423703;13400;11713.3;88.7208;6849.41;13635.7
P096423701;13380;17060;87.5565;8535.87;17057.9
P096423709;13200;12991.7;90.48;6935.9;14815.4
P097423701;13200;15568.5;89.0892;7596.73;16638.1
P097423709;13200;11782.7;90.4284;6924.73;13619.1
P097423703;13400;13677.6;89.2098;6512.98;15983.9
P098423701;13200;16196;89.0892;8730.76;15971.5
P098423711;13400;11494;92.1492;6767.6;13509.8
Q100420403_1;9600;6805.05;55.3693;7516.3;7966.43
Q101420403_1;13500;11719.8;78.2544;8582.21;11664.8
P100420411;13000;11805.5;70.6596;8764.83;11542.2
P101420413;13200;9933.69;82.818;7664.02;10926.5
P102420409;12800;10128.8;85.212;7593.3;11202.3
P102420413;13200;10611.3;88.452;7508.49;11781.6
P101420411;12900;14594.7;65.6742;10789.6;12020.8
P102420401;13230;9616.12;84.401;7068.46;11288.5
P103420405;13210;10369.7;88.0793;7429.01;11630.7
P103420409;13200;10297.6;86.3594;7655.78;11299.8
P103420401;13422;9831.36;84.0148;7629.74;10863.3
P103420403;13120;10896.5;84.5891;7778.27;11758.9
P104420403;13210;10456.1;85.7249;7425.94;11720.6
P104420407;13000;18941.8;46.1619;11041.6;16080.4
P103420411;13500;15443.8;70.8083;10183.4;13561.7
P104420405;13400;10176.7;88.2413;7227.41;11667.8
P105420401;13030;9770.11;84.9659;7607.36;10827.6
P107420405;13210;10596.5;87.9173;7313.98;11988.8
P107420403;13400;11491.6;80.0894;8319.51;11736.4
P108420403;13100;11182.4;85.9825;7917.74;11885.7
P108420407;12810;18639.8;44.8802;10923.9;15912.5
P109420403;13400;12682.6;80.4671;9118.99;12015.1
P109420411;12720;10453.7;74.8767;7821.8;11266.4
P114420407;13000;21534.5;35.9681;11472.5;18181.3
P100420403;13400;11329.2;67.1907;8866.43;10949.9
P100420407;13500;19312.7;44.9138;11323.4;16129.6
P100420405;9620;7032.36;58.6866;8085.86;7543.79
