Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114421701;P114421701_1;A;0;0;0;1010;1206;1185
P114421701;P114421701_2;B;0;1240;0;1600;2440;2520
P114421701;P114421701_3;C;1010;0;0;2610;1200;2700
P114421701;P114421701_4;D;1600;1240;0;3200;2440;2700
P114421701;P114421701_5;E;2610;0;0;4210;1200;2700
P114421701;P114421701_6;F;3200;1240;0;4800;2440;1815
P114421701;P114421701_7;G;4210;0;0;5760;1200;2995
P114421701;P114421701_8;H;4800;1240;0;6350;2440;2995
P114421701;P114421701_9;I;5760;0;0;7310;1200;2995
P114421701;P114421701_10;J;6350;1240;0;7900;2440;2995
P114421701;P114421701_11;K;7310;0;0;8860;1200;2995
P114421701;P114421701_12;L;7900;1240;0;9450;2440;2995
P114421701;P114421701_13;M;8860;0;0;10410;1200;2995
P114421701;P114421701_14;N;9450;1240;0;11000;2440;2995
P114421701;P114421701_15;O;10410;0;0;11960;1200;2995
P114421701;P114421701_16;P;11000;1240;0;12550;2440;2995
P114421703;P114421703_1;A;0;0;0;1600;1200;2700
P114421703;P114421703_2;B;0;1200;0;1600;2400;2700
P114421703;P114421703_3;C;1600;1240;0;3200;2440;2700
P114421703;P114421703_4;D;1600;0;0;3200;1200;2520
P114421703;P114421703_5;E;3200;1240;0;4800;2440;2700
P114421703;P114421703_6;F;3200;0;0;4800;1200;1815
P114421703;P114421703_7;G;4800;0;0;6350;1200;2995
P114421703;P114421703_8;H;4800;1240;0;6350;2440;2995
P114421703;P114421703_9;I;6350;1240;0;7900;2440;2995
P114421703;P114421703_10;J;6350;0;0;7900;1200;2995
P114421703;P114421703_11;K;7900;0;0;9450;1200;2995
P114421703;P114421703_12;L;7900;1240;0;9450;2440;2995
P114421703;P114421703_13;M;9450;1240;0;11000;2440;2995
P114421703;P114421703_14;N;9450;0;0;11000;1200;2995
P114421703;P114421703_15;O;11000;0;0;12550;1200;2995
