Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q093421707_1;1550;1153.41;11.1414;5236.51;4916.34
P093421707;12600;12233.9;77.196;9297.51;11362.7
P093421709;13410;10213.9;93.8938;7318.77;11600.7
P093421705;12600;13679.1;83.9928;10660.2;11252.7
P093421703;12550;13782.2;86.1198;11011.8;10954.7
P093421701;12550;10896.2;79.672;8932.59;10441.4
P094421707;12600;14322.9;85.7331;11075.9;11422.3
P094421709;13410;10223.3;94.8317;7328.26;11599.3
P094421705;12600;13785;79.8655;10502;11539.3
P094421703;12550;12698.5;84.7662;10201.1;10796
P094421701;12550;12191.4;85.1529;9771.96;10778.7
P095421707;12600;13205.5;84.3795;10462.1;11005.3
P095421709;13410;9974.04;94.3628;7076.44;11637.4
P095421705;12600;13712.7;83.9928;10378.6;11607.8
P095421703;12550;12737.1;80.6389;10383.8;10626.3
P095421701;12550;12191.4;85.1529;9771.96;10778.7
P096421707;12600;13171.9;84.3795;10320.8;11133
P096421709;13410;10108.5;93.8938;7212.22;11616.8
P096421705;12600;14830.1;85.3464;11264.2;11714.5
P096421703;12550;11369.7;79.2853;9240.63;10563.3
P096421701;12550;13308.7;86.5065;10729.8;10803.1
P097421707;12600;12093.2;78.8986;9708.88;10752.6
P097421709;13410;9666.7;92.4504;7301.17;11073.6
P097421705;12600;14796.4;85.3464;11274;11669.7
P097421703;12550;12664.8;84.7662;10053.8;10930.5
P097421701;12550;12191.4;85.1529;9910.71;10620.4
P098421707;12600;12844.3;82.6803;10302.7;10826.1
P098421709;13410;10156.3;94.3628;7260.54;11609.5
P098421705;12600;14112.6;81.5647;10889.3;11425
P098421703;12550;12732.1;84.7662;10070.6;10978.7
P098421713;12550;11796.4;83.4537;9404.57;10803
P100421707;12600;12877.9;82.6803;10317;10843.3
P100421709;13410;9959.91;94.3628;7062.16;11639.5
P100421705;12600;14040.4;85.692;10813.8;11438.8
P100421703;12550;13420.8;84.4206;10791.9;10844.3
P100421701;12550;11474;81.3712;9359.18;10532.3
P101421707;12600;14028.9;84.0339;10921;11305.1
P101421709;13410;10139.2;94.3628;7243.31;11612.1
