Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P100554711;12800;5310.29;85.5168;5477.86;8797.82
P101554801;13400;4935.75;85.6138;6081.45;7734.5
P103554713;12400;4170.33;74.9232;5708.43;7394.74
P104554705;13000;4327.08;88.7496;5529.22;7756
P111554711;13400;6783.99;88.9776;5801.33;9902.38
P112554751;13400;8582.11;78.492;7399.3;9877
Q100554801_1;11400;4080.94;59.6856;6375.94;6543.63
P100554801;12580;5922.23;75.2936;6329.97;8437.37
P100554703;13000;4327.08;88.7496;5741.63;7513.61
P100554803;13200;6625.86;80.0496;6524.57;8918.94
P100554705;13400;6190.56;86.7456;5424.99;9738.41
P100554805;13400;5232.76;88.3654;6160.09;7941.77
P100554707;13400;7774.79;86.2836;5548.05;11182.2
P100554709;13000;4421.92;88.7496;5207.89;8217.51
P100554809;13205;9776.03;74.8058;6411.94;12197.6
P100554713;13000;4327.08;88.7496;5498.72;7790.8
P101554703;13400;7982.35;81.7646;6422.26;10392.2
P101554803;13000;4232.25;88.7496;5370.73;7842.02
P101554805;13400;9086.3;89.6424;7831.58;9887.9
P101554707;13400;4958.27;83.3436;4926.41;9075.08
P101554807;13200;6134.34;87.1504;4832.1;10358.8
P101554709;13000;9299.64;77.5116;6659.46;11438.8
P101554809;13400;5187.83;91.134;4859.46;9381.04
P101554713;12800;5627.71;80.6208;5471.14;9122.9
P102554801;13380;6004.62;83.1856;6256.97;8603.07
P102554703;13400;6746.45;76.709;6944.5;8560.33
P102554803;12800;5723.25;84.5184;6756.31;7751.88
P102554705;13200;4023.45;85.3968;5338.53;7669.97
P102554805;13380;7399.96;72.1757;6901.97;9262.37
P102554707;13400;5836.2;85.5756;5144.8;9703.79
P102554709;13400;5238.26;84.4596;4875.94;9412.66
P102554809;13400;7920.45;81.0095;5568.01;11305.1
P102554711;13400;5762.4;89.5968;5549.8;9167.82
P102554713;13405;5378.02;84.9779;5504.14;8835.55
P103554801;13180;6617.66;76.3096;5532.12;10043.3
P103554703;13005;7247.7;81.1315;6582.38;9474.81
P103554803;13000;4327.08;88.7496;5741.63;7513.61
P103554705;12800;5628.42;84.5184;6176.83;8318.31
P103554805;13000;8069.23;85.5065;5775.24;11217.4
P103554707;13400;7406.86;82.2624;5176.86;11237.9
P103554709;13000;4706.42;88.7496;6202.36;7367.18
P103554809;13405;5681.66;85.8524;5242.37;9437.91
P103554711;13000;9405.46;85.2936;7389.48;10711.6
P104554801;13400;5259.82;84.131;6289.01;7821.71
P104554703;12600;8106.46;77.7852;8044.55;8665.03
P104554803;13000;4421.92;88.7496;5708.95;7645.73
P104554805;13400;10347.2;86.5111;6391.64;12791.9
P104554707;13200;6229.97;74.4504;5634.88;9538.31
P104554807;13000;4611.58;88.7496;5833.12;7693.71
P104554709;13400;7575.81;91.4016;4320.67;12383.9
P104554713;13400;6526.88;82.9656;5806.53;9639.35
P107554801;13180;6957;84.7262;6849.67;8879.09
P107554703;13400;5489.49;89.3268;5993.02;8389.15
P107554803;13400;7518.66;84.0899;5081.66;11458.3
P107554705;12800;7726.32;86.3232;8498;7767.44
P107554805;13180;4166.31;88.767;5794.85;7292.1
P107554707;13400;6537.62;86.8632;5846.48;9604.5
P107554807;13200;4307.95;85.3968;4843.07;8519.86
P107554709;13205;11199.4;80.4059;9505.95;10090.3
P107554809;13400;5377.49;91.134;5421.51;8929.32
P107554711;13000;4232.25;88.7496;5531.4;7658.68
P108554801;13400;8053.38;84.6699;8142.74;8499.91
P108554703;12800;5723.25;84.5184;6149.05;8444.85
P108554705;13000;5546.41;84.9926;5912.62;8537.81
P108554805;13200;6739.26;84.1342;7130.18;8341.25
P108554707;12800;6590.3;79.9176;6045.1;9430.52
P108554807;13400;7484.01;83.9148;6595.49;9696.16
P108554709;13000;4327.08;88.7496;6164.26;7031.32
P108554809;13000;4327.08;88.7496;4802.68;8585.08
P108554711;13000;8342.92;80.5506;4888.89;12502.5
P108554713;13000;4693.05;89.724;5417.1;8249.91
P109554801;13400;7356.77;81.3095;4994.55;11395.8
P109554703;13000;4613.56;83.651;5120.81;8508.52
P109554803;13400;6916.96;86.8632;6233.69;9541.97
P109554705;13200;6268.21;86.844;5431.94;9808.13
P109554805;13400;5927.62;86.363;5324.53;9590.12
P109554807;13200;5516.77;82.0344;5958.59;8455.71
P109554709;13200;9733.81;79.805;7679.58;10708.9
P109554809;13000;4764.19;82.4452;6466.52;7123.52
P109554713;13400;5812.97;86.7456;5649.77;9104.33
P110554801;13400;6203.64;84.6072;4609.1;10682.6
P110554703;12800;5438.04;80.6208;5575.98;8813.6
P110554803;13385;8184.98;84.7057;7742.24;9088.52
P110554705;13000;4327.08;88.7496;5188.82;8144.44
P110554805;13400;7219.94;85.1088;5168.66;11060.3
P110554807;13410;8908.3;80.0436;9026.06;8346.82
P110554709;13000;4137.42;88.7496;4852.78;8338.24
P110554809;13380;11459.9;76.988;4750.97;15776.9
P110554711;13000;4882.72;89.724;5297.48;8576.08
P110554713;13000;4137.42;88.7496;5047.77;8115.74
P111554801;13380;7072.87;88.7474;5483.64;10553.8
P111554703;13000;7837.88;84.0756;7754.45;8727.5
P111554803;13000;4327.08;88.7496;5334.24;7978.5
P111554705;12800;5723.25;84.5184;5762.91;8885.49
P111554805;12980;7096.9;81.7337;6935.57;8920.97
P111554707;13400;7579.55;87.8208;6093.16;10364.9
P111554807;13400;6094.74;83.7976;4710.97;10457.4
P111554709;13200;6489.16;86.9028;5997.4;9383.81
P111554713;13200;3025.75;92.9808;5045.48;7006.68
P112554851;13380;8901.91;82.2608;5882.42;11927.8
P112554753;13400;5498.36;89.5968;5265.49;9228.23
P112554755;13000;4421.92;88.7496;5368.56;8034.17
P114554801;13380;5745.09;82.0612;5380.75;9343.44
P114554703;13400;7856.89;85.0656;6003.83;10744.2
P114554805;13180;7244.49;83.8813;7649.95;8253.35
P114554707;12600;4228.23;79.6896;5272.48;7950.12
P114554807;13400;8149.84;85.2448;6612.1;10343
P114554709;13000;4327.08;88.7496;5127.83;8214.04
P114554809;13400;6916.96;86.8632;6439.03;9307.65
P114554711;13400;6719.21;90.1872;7850.63;7499.07
P109541707;12940;7206.45;87.3142;6525.17;9498.84
P110541501;12870;8042.12;85.7243;6951.8;9847.66
P110541707;12870;7216.42;86.6171;6319.15;9743.91
P111541501;12940;7334.46;78.9665;6619.54;9519.17
P111541707;12870;7569.6;85.7243;6753.38;9601.59
P112541751;12940;7681.8;87.0166;6857.84;9594.57
P107541501;11270;6174.02;65.5643;6641.08;8334.14
P107541701;12870;7956.59;85.7243;6972.55;9738.46
P107541503;12870;7248.61;86.3195;6454.95;9621.14
