Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P107541501;12870;6270.47;65.3216;6479.62;8614.84
P107541701;12870;7647.12;85.7243;6725.36;9711.07
P107541503;12800;7291.83;85.6224;6502.85;9609.7
P107541703;12940;7976.4;86.1238;6531.58;10261.5
P107541705;12870;7793.42;86.3195;6736.06;9845.16
P107541507;12800;8343.74;83.8368;6686.34;10452.2
P107541707;12940;6817.5;88.5046;6514.66;9121.89
P108541501;11270;6551.53;70.6619;7338.21;7916.13
P108541701;12800;7716.86;85.3248;6751.42;9751.08
P108541503;12940;7554.52;86.719;6456.53;9925.24
P108541505;11270;5863.45;63.7472;6784.88;7859.47
P108541705;12870;7795.81;85.4267;6884.17;9678.54
P108541507;12870;8155.1;85.1291;7224.78;9649.14
P108541707;12870;6861.48;87.5099;6138.13;9595.54
P109541501;11270;5958.59;69.632;6559.4;8211.92
P109541701;12870;7454.44;79.6283;7270.41;8896.42
P109541503;12870;7605.37;86.0219;6977.12;9382.02
P109541703;12870;7956.46;85.7243;7216.37;9460.1
P109541505;12800;7167.13;85.6224;6492.54;9496.76
P109541705;12940;8975.6;85.231;7002.49;10723.3
P109541707;12870;6738.99;87.5099;6352.12;9228.86
P110541501;9670;5009.04;58.5947;6872.15;6905.49
P110541701;12870;7644.81;83.7275;6394.83;10085.9
P110541503;12800;7750.86;85.6224;6755.52;9780.38
P110541703;12870;8180.29;85.1291;7084.17;9834.79
P110541505;12870;6991.72;86.9147;6546.2;9260.12
P110541705;12870;8641.22;84.5339;6764.39;10660.6
P110541507;12940;7003.16;88.207;6628.37;9177.79
P111541501;12870;7986.7;85.4267;6886.61;9866.64
P111541701;12870;7247.72;86.6171;6460.29;9614.15
P111541503;12800;7690.34;85.0272;6475.92;10038.9
P111541703;12870;7856.46;86.0219;6550.46;10120
P111541505;12940;8300.55;86.4214;6792.07;10288.4
P111541707;12870;7349.8;86.3195;6349.46;9842.71
P112541751;12870;6382.41;70.1216;7028.56;8100.37
P112541551;12870;7477.08;86.6171;6627.88;9652.27
P112541753;12870;8500.22;84.2363;6956.86;10300
P112541553;12870;6769.08;87.8075;6395.36;9209.6
P114541501;9670;5914.04;64.6907;6892.17;7787.64
P114541701;12870;7361.54;83.0267;6623.21;9542.05
P114541503;12870;7706.57;86.0219;6549.35;9971.37
P114541703;12800;7909.26;84.7296;7089.01;9558.23
P114541505;12870;7212.38;86.6171;6740.81;9258.7
P114541705;12870;8472.81;84.2363;7123.04;10083
P114541507;12940;6817.5;88.5046;6418.87;9231.19
P072541707;12940;7750.2;87.0166;6513.98;10055.4
P073541501;12870;8446.78;85.4267;6913.44;10296.1
Q072541501_1;6470;3585.04;34.9376;6709.3;5667.32
P072541501;12870;6670.61;76.8992;6473.07;9022.46
P072541701;12870;7741.86;86.0219;6683.23;9853.89
P072541503;12800;7523.14;85.6224;6659.58;9662.16
P072541703;12940;7681.93;86.4214;6477.45;10028.8
P072541505;12870;7679.48;85.7243;6643.86;9836.44
P072541507;12800;7287.67;85.6224;6313.95;9821.1
P073541701;12870;7442.2;86.0219;6601.31;9647.7
P073541703;12870;7739.78;86.0219;6677.91;9857.87
P073541505;12870;7832.02;85.7243;6910.46;9684.75
P073541705;12800;8162.12;84.1344;6974.01;9942.32
P073541507;12940;6817.5;88.5046;6514.66;9121.89
P074541501;12940;6607.98;71.0849;6954.16;8410.83
P074541701;12870;7448.38;83.7275;6725.56;9512.09
P074541503;12870;7670.8;86.3195;6583.78;9896.31
P074541703;12800;7720.63;85.0272;6592.28;9936.44
P074541505;12940;7850.2;86.719;6958.61;9647.98
P074541507;12870;8246.43;85.1291;6996.82;10000.6
P074541707;12870;6862.36;87.2123;6197.85;9528.28
P075541501;9670;6005.68;64.6907;7070.49;7675.79
P075541701;12870;7202.93;81.6992;6560.67;9454.82
P075541503;12870;7731.01;86.3195;6349.54;10223.8
P075541703;12870;7890;81.9968;7165.88;9451.25
P075541505;12870;7308.81;86.3195;6661.73;9445.38
P075541705;12870;8282.23;84.5339;6452.08;10658
P075541707;12940;6944.9;88.207;6345.39;9442.45
P076541501;12870;7679.55;82.0283;6627.37;9855.32
P076541701;12800;7984.38;85.6224;7075.85;9648.37
P076541503;12870;7509.13;85.4267;6698.35;9603.9
P076541703;12800;7522.39;85.92;6652.11;9669.93
P076541505;12940;7883.32;86.4214;6465.41;10243.9
P076541705;12870;7766.02;86.3195;7011.31;9503.66
P077541751;11270;7033.79;73.0619;7542.39;8165.39
P077541551;12870;6992.6;86.6171;6461.08;9358.13
P077541753;12800;8817.69;83.2416;7037.24;10525.7
P077541553;12940;6817.5;88.5046;6514.66;9121.89
P079541501;12940;5798.73;66.6566;6370.08;8268.11
