Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114541507;P114541507_1;A;0;0;0;1670;2400;2835
P114541507;P114541507_2;B;1670;0;0;3340;2400;2835
P114541507;P114541507_3;C;3340;0;0;4940;1200;2855
P114541507;P114541507_4;D;3340;1240;0;4940;2440;2855
P114541507;P114541507_5;E;4940;1240;0;6540;2440;2855
P114541507;P114541507_6;F;4940;0;0;6540;1200;2855
P114541507;P114541507_7;G;6540;0;0;8140;1200;2855
P114541507;P114541507_8;H;6540;1240;0;8140;2440;2855
P114541507;P114541507_9;I;8140;1240;0;9740;2440;2855
P114541507;P114541507_10;J;8140;0;0;9740;1200;2855
P114541507;P114541507_11;K;9740;0;0;11340;1200;2855
P114541507;P114541507_12;L;9740;1240;0;11340;2440;2855
P114541507;P114541507_13;M;11340;1240;0;12940;2440;2855
P114541507;P114541507_14;N;11340;0;0;12940;1200;2855
P114541705;P114541705_1;A;0;0;0;1600;1200;2700
P114541705;P114541705_2;B;0;1240;0;1600;2440;2700
P114541705;P114541705_3;C;1600;0;0;3270;2400;2835
P114541705;P114541705_4;D;3270;0;0;4870;1200;2700
P114541705;P114541705_5;E;3270;1240;0;4870;2440;2700
P114541705;P114541705_6;F;4870;1240;0;6470;2440;2700
P114541705;P114541705_7;G;4870;0;0;6470;1200;2700
P114541705;P114541705_8;H;6470;0;0;8070;1200;2700
P114541705;P114541705_9;I;6470;1240;0;8070;2440;2700
P114541705;P114541705_10;J;8070;1240;0;9670;2440;2700
P114541705;P114541705_11;K;8070;0;0;9670;1200;2700
P114541705;P114541705_12;L;9670;0;0;11270;1200;2700
P114541705;P114541705_13;M;9670;1240;0;11270;2440;2700
P114541705;P114541705_14;N;11270;1240;0;12870;2440;2700
P114541705;P114541705_15;O;11270;0;0;12870;1200;2855
P114541505;P114541505_1;A;0;0;0;1600;1200;2855
P114541505;P114541505_2;B;0;1200;0;1600;2400;2855
P114541505;P114541505_3;C;1600;1240;0;3200;2440;2700
P114541505;P114541505_4;D;1600;0;0;3200;1200;2700
P114541505;P114541505_5;E;3200;0;0;4800;1200;2700
P114541505;P114541505_6;F;3200;1240;0;4800;2440;2700
P114541505;P114541505_7;G;4800;1240;0;6400;2440;2700
