Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090038300_28022023016711;P091382409;P091382409_1;A1;0;1240;0 ;1600 ;2440 ;750
0090038300_28022023016711;P091382409;P091382409_1;A2;0;1240;750 ;1600 ;2440 ;1455
0090038300_28022023016711;P091382409;P091382409_1;A3;0;1240;1455 ;1600 ;2440 ;2160
0090038300_28022023013348;P091382409;P091382409_1;A4;0;1240;2160 ;1600 ;2440 ;2865
0090038300_28022023007117;P091382409;P091382409_2;B1;0;0;0 ;1600 ;1200 ;930
0090038300_28022023007117;P091382409;P091382409_2;B2;0;0;930 ;1600 ;1200 ;1815
0090038300_28022023007117;P091382409;P091382409_2;B3;0;0;1815 ;1600 ;1200 ;2700
0090038300_28022023016759;P091382409;P091382409_3;C1;1600;0;0 ;2600 ;1200 ;975
0090038300_28022023016759;P091382409;P091382409_3;C2;1600;0;975 ;2600 ;1200 ;1905
0090038300_28022023016759;P091382409;P091382409_3;C3;1600;0;1905 ;2600 ;1200 ;2835
0090038300_28022023016759;P091382409;P091382409_4;D1;1600;1240;0 ;2600 ;2440 ;975
0090038300_28022023016759;P091382409;P091382409_4;D2;1600;1240;975 ;2600 ;2440 ;1905
0090038300_28022023016759;P091382409;P091382409_4;D3;1600;1240;1905 ;2600 ;2440 ;2835
0090038300_28022023016759;P091382409;P091382409_5;E1;2600;1240;0 ;3600 ;2440 ;975
0090038300_28022023016759;P091382409;P091382409_5;E2;2600;1240;975 ;3600 ;2440 ;1905
0090038300_28022023016759;P091382409;P091382409_5;E3;2600;1240;1905 ;3600 ;2440 ;2835
0090038300_28022023016759;P091382409;P091382409_6;F1;2600;0;0 ;3600 ;1200 ;975
0090038300_28022023016759;P091382409;P091382409_6;F2;2600;0;975 ;3600 ;1200 ;1905
0090038300_28022023016759;P091382409;P091382409_6;F3;2600;0;1905 ;3600 ;1200 ;2835
0090038300_28022023016759;P091382409;P091382409_7;G1;3600;0;0 ;4600 ;1200 ;975
0090038300_28022023016759;P091382409;P091382409_7;G2;3600;0;975 ;4600 ;1200 ;1905
0090038300_28022023016759;P091382409;P091382409_7;G3;3600;0;1905 ;4600 ;1200 ;2835
