Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P091382409;P091382409_1;A;0;0;0;1000;1200;2835
P091382409;P091382409_2;B;0;1240;0;1000;2440;2835
P091382409;P091382409_3;C;1000;1240;0;2000;2440;2835
P091382409;P091382409_4;D;1000;0;0;2000;1200;2835
P091382409;P091382409_5;E;2000;0;0;3000;1200;2835
P091382409;P091382409_6;F;2000;1240;0;3000;2440;2835
P091382409;P091382409_7;G;3000;1240;0;4000;2440;2835
P091382409;P091382409_8;H;3000;0;0;4000;1200;2835
P091382409;P091382409_9;I;4000;0;0;5600;1200;2700
P091382409;P091382409_10;J;4000;1240;0;5000;2440;2835
P091382409;P091382409_11;K;5000;1240;0;6000;2440;2835
P091382409;P091382409_12;L;5600;0;0;6600;1200;2835
P091382409;P091382409_13;M;6000;1240;0;7000;2440;2835
P091382409;P091382409_14;N;6600;0;0;7600;1200;2835
P091382409;P091382409_15;O;7000;1240;0;8000;2440;2835
P091382409;P091382409_16;P;7600;0;0;8600;1200;2835
P091382409;P091382409_17;Q;8000;1234;0;9010;2440;2751
P091382409;P091382409_18;R;8600;0;0;10200;1200;2700
P091382409;P091382409_19;S;9010;1240;0;10010;2440;2835
P091382409;P091382409_20;T;10010;1240;0;11010;2440;2835
P091382409;P091382409_21;U;10200;0;0;11200;1200;2835
P091382409;P091382409_22;V;11010;1240;0;12010;2440;2835
P091382409;P091382409_23;W;11200;0;0;12200;1200;2835
P091382409;P091382409_24;X;12010;1240;0;13010;2440;2835
P091382409;P091382409_25;Y;12200;0;0;13200;1200;2700
P091382401;P091382401_1;A;0;0;0;1600;1200;2700
P091382401;P091382401_2;B;0;1240;0;1600;2440;2700
P091382401;P091382401_3;C;1600;1234;0;2610;2440;2847
P091382401;P091382401_4;D;1600;0;0;2600;1200;2835
P091382401;P091382401_5;E;2600;0;0;3600;1200;2835
P091382401;P091382401_6;F;2610;1240;0;3610;2440;2835
P091382401;P091382401_7;G;3600;0;0;4600;1200;2835
P091382401;P091382401_8;H;3610;1240;0;4610;2440;2835
P091382401;P091382401_9;I;4600;0;0;5600;1200;2835
P091382401;P091382401_10;J;4610;1240;0;5610;2440;2835
P091382401;P091382401_11;K;5600;0;0;6600;1200;2835
P091382401;P091382401_12;L;5610;1240;0;6610;2440;2835
P091382401;P091382401_13;M;6600;0;0;7600;1200;2835
P091382401;P091382401_14;N;6610;1240;0;7610;2440;2835
P091382401;P091382401_15;O;7600;0;0;8600;1200;2835
P091382401;P091382401_16;P;7610;1240;0;8610;2440;2835
P091382401;P091382401_17;Q;8600;0;0;9600;1200;2835
P091382401;P091382401_18;R;8610;1240;0;9610;2440;2835
P091382401;P091382401_19;S;9600;0;0;10600;1200;2835
P091382401;P091382401_20;T;9610;1240;0;10610;2440;2835
P091382401;P091382401_21;U;10600;0;0;11600;1200;2835
P091382401;P091382401_22;V;10610;1240;0;12210;2440;2700
P091382401;P091382401_23;W;11600;0;0;13200;1200;2700
P091382401;P091382401_24;X;12210;1240;0;13210;2440;2835
P091382405;P091382405_1;A;0;0;0;1010;1206;2663
P091382405;P091382405_2;B;0;1240;0;1000;2440;2835
P091382405;P091382405_3;C;1000;1240;0;2000;2440;2835
P091382405;P091382405_4;D;1010;0;0;2010;1200;2835
P091382405;P091382405_5;E;2000;1240;0;3000;2440;2745
P091382405;P091382405_6;F;2010;0;0;3010;1200;2745
P091382405;P091382405_7;G;3000;1240;0;4000;2440;2835
P091382405;P091382405_8;H;3010;0;0;4010;1200;2385
P091382405;P091382405_9;I;4000;1240;0;5000;2440;2865
P091382405;P091382405_10;J;4010;0;0;5010;1200;2865
P091382405;P091382405_11;K;5000;1240;0;6000;2440;2865
P091382405;P091382405_12;L;5010;0;0;6010;1200;2835
