Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q089382403_1;12000;7256.04;60.8584;7285.35;8680.96
P089382403;13200;8903.73;75.4305;6774.56;10911.5
P089382111;13200;9299.01;75.7747;7475.32;10507.2
P089382407;13200;10209.9;87.5399;7109.75;11835.2
P089382405;13200;10543.3;88.614;7448.8;11781.7
P089382101;13200;9163.78;78.7381;7361.41;10501.9
P089382401;13010;10578.7;88.4106;7609.48;11633.7
P089382103;13200;8792.34;73.4683;7331.43;10164.7
P089382409;13400;10322.6;88.4016;7110.33;11947.2
P089382105;13200;8758.7;72.144;7467.82;9975.4
P089382107;13210;8334.81;70.724;7179.47;9880.55
P089382109;13210;8657.66;75.0917;7092.85;10302.3
P090382403;13210;9832.32;84.1847;7215.25;11337.2
P090382111;13200;8161.54;67.4712;7208.59;9674.06
P090382407;13200;10210.1;86.1749;7166.58;11770.6
P090382405;13200;10521.6;88.2938;7425.75;11786.3
P090382101;13200;9851.73;81.4284;7519.27;11009.7
P090382401;13200;10327.8;87.4449;7450.22;11564.6
P090382409;13210;10099.8;86.9661;7305.7;11501.5
P090382105;13210;8544.06;72.7351;7189.2;10078.7
P090382107;13200;8925.02;74.5992;7328.62;10300.6
P091382403;13210;10272.6;86.9037;7421.78;11541.9
P091382111;13200;8599.21;71.2332;7415.78;9875.3
P091382407;13210;10493.3;87.5419;7475.05;11701.7
P091382405;13200;10402.1;87.1658;7452.46;11636.4
P091382401;13010;10506.5;88.0777;7159.39;12075.2
P091382409;13410;10132;89.5205;7254.38;11592.3
P072382111;9610;4744.9;40.8781;6651.65;6892.96
P072382407;13200;10497.1;87.678;7363.1;11833.3
P072382405;13210;10586.1;88.8797;7422.04;11855
P072382101;13210;7958.89;68.4413;6847.68;9883.26
P072382411;13200;10364.9;86.5836;7544.66;11494
P072382401;13010;10286.1;87.0562;7657.86;11285.9
P072382103;13210;8789.91;75.2222;7375.82;10111.6
Q072382409_1;13200;10556.3;88.452;7514.85;11719.4
P072382409;13210;10405;89.0466;7458.79;11632
P072382105;13200;9411.18;78.1524;7419.58;10682.9
P072382107;13230;7527.93;69.9788;6455.18;9900.2
P072382109;13210;9232.88;79.4886;7235.61;10714.6
P073382403;13210;10296.1;87.4543;7272.45;11735.7
P073382407;13400;10318.2;86.382;7120.23;11931.5
Q073382405_1;13200;10678.6;87.948;7580.21;11767
P073382405;13410;10144;88.4927;6985.74;11910.9
Q073382401_2;13200;10543.8;87.9829;7380.32;11860.4
Q073382401_1;13210;10366.5;87.3573;7465.69;11585.6
P073382401;13400;10498.2;88.0776;7339.86;11860.9
Q073382409_1;13010;10371.1;87.6981;7455.78;11601.5
P073382409;13210;10201.4;88.1506;7283.21;11628.8
P073382105;13010;9492.49;78.0126;7762.12;10373.3
P073382109;13210;8808.85;76.3196;7037.9;10516.1
Q075382403_2;10010;5885.58;49.0017;7045.24;7584.5
Q075382403_1;13200;8684.33;73.2816;6932.97;10511.4
P075382403;13000;9258.97;76.2048;7454.48;10490.9
P075382111;13210;9317.69;80.3973;7179.14;10863.8
P075382407;13210;10191.8;87.7646;7071.69;11860.5
P075382405;13020;10318.6;87.0611;7425.08;11584.1
P075382101;13400;9347.36;78.3432;7409.26;10630.9
P075382401;13010;10548.6;88.5178;7503.44;11724.6
P075382103;13010;8488.21;69.8298;7434.6;9742.81
P075382409;13400;10339.8;88.7472;7496.22;11524.1
P075382105;13220;8897.52;76.6169;7543.29;10028.1
P075382107;13010;7802.69;66.5137;7112.99;9424.29
P075382109;13200;8881.42;74.5524;7356.63;10225
Q076382403_1;13210;10379.9;86.5785;7390.1;11685.2
P076382403;13210;10350.7;88.2938;7352.77;11698.7
P076382111;13210;9077.06;77.2162;7562.83;10185.3
P076382407;13200;10343.6;88.2889;7407.66;11628.9
P076382405;13200;10265;87.5145;7365.48;11598.5
P076382101;13210;9395.8;78.4766;7238.14;10874.6
P076382401;13200;10635.4;88.452;7544.16;11765
P076382103;13220;8980.31;77.0966;7077.88;10642
P076382409;13010;10545.3;88.2657;7595.67;11616.1
P076382105;12600;8282.76;69.768;7334.69;9651.38
P076382107;13220;9636.44;82.9953;6803.13;11611.6
Q103382403_1;13000;8229.25;69.1704;6951.82;10034.8
P103382403;13010;8966.8;73.4239;7113.08;10588.3
P103382111;13010;8645.92;72.5273;7548.72;9770.3
P103382407;13400;10374.3;87.7356;7315.24;11765.1
Q103382405_2;13210;10039.1;86.685;7189.21;11573.7
Q103382405_1;13210;10535.6;87.6769;7583.14;11620.7
P103382405;13200;10443.4;87.4368;7327.87;11819.8
Q103382401_3;13010;10698.5;87.545;7720.9;11626.4
Q103382401_2;13400;10336.1;88.2468;7154.46;11910.3
Q103382401_1;13200;10261.8;87.4367;7308.96;11659.8
P103382401;13200;10426.2;87.2989;7257.42;11882.9
P103382409;13210;10305.5;88.6997;7251.5;11769
P104382403;13200;10122.1;86.2757;7032.09;11836
P104382407;13200;10636.3;86.6628;7479.99;11839.1
Q104382405_3;13200;10564.5;88.3188;7504.17;11739.8
Q104382405_2;13200;10116.5;87.178;7474.13;11326
Q104382405_1;13200;10609.4;87.6024;7542.74;11740.6
P104382405;13210;10275.7;88.1126;7248;11743.2
P104382401;13210;10465.5;88.9926;7170.38;12021.7
Q104382409_3;13010;10544.3;87.7831;7531.91;11687.9
Q104382409_2;13200;10391.4;87.9588;7399.76;11685.8
Q104382409_1;13010;10663.3;88.1497;7613.64;11713.6
P104382409;13210;10301.2;89.0506;6976.12;12079
Q096382403_2;10210;5910.01;50.2941;7158.1;7480.14
Q096382403_1;13200;8871.36;74.3457;6834.87;10810.3
P096382403;13200;9544.65;79.524;7115.87;11163
P096382111;13220;9207.92;79.9924;7276.48;10643
P096382407;13200;10466.6;87.9531;7286.25;11890.5
P096382405;13210;10534.7;88.9966;7427.82;11797.1
P096382101;13010;8966.42;73.6801;7578.95;10056.3
P096382401;13200;10624.4;88.2684;7617.88;11669.8
P096382103;13010;8254.26;69.7389;7387.89;9562.16
P096382409;13200;10334.7;88.4016;7290.14;11754.1
P096382105;13200;8916.97;75.1739;7516.15;10078.5
P096382107;13010;7868.48;65.8688;7066.92;9542.66
P096382109;13210;9321.93;79.1551;7443.22;10566.7
P097382403;13210;10315.5;87.5553;7284.25;11741.7
P097382111;13210;8930.08;75.0877;7326.47;10308.1
P097382407;13010;10493.1;87.5761;7533.77;11634.5
Q097382405_1;13210;10241.7;88.1102;7233.6;11725.7
P097382405;13200;10573.6;88.9308;7459.79;11799.5
P097382101;13200;9294.53;77.2941;7608.38;10350.8
P097382401;13010;10476.5;87.815;7499.78;11656.7
P097382103;13220;8492.01;72.2242;7150.44;10070.9
P097382409;13400;10474.2;88.0848;7272.48;11913.8
P097382105;13200;8659.99;73.595;7360.04;9999.67
P097382107;13010;8321.89;68.7678;7255.86;9780.47
P097382109;13210;8524.88;73.2943;7133.62;10122.9
P079382111;7610;3894.56;34.2203;6636.67;6059.71
P079382407;13200;10148.3;85.338;7480.31;11350.7
Q079382405_2;13200;10515.5;87.8724;7320.64;11900.1
Q079382405_1;13220;10206.5;86.4792;7283.14;11633.9
P079382405;13200;10647.5;88.5852;7414.52;11925
P079382101;13210;9104.85;76.8494;7367.43;10436.1
P079382411;13210;10358.5;88.5011;7322.8;11740.7
P079382401;13210;10363.9;88.172;7271.36;11804.8
P079382103;13010;10261.7;83.5998;7539.34;11396.8
P079382409;13200;10348.9;87.7596;7405.63;11636.6
P079382107;13040;7956.06;71.5127;6879.83;9843.74
P079382109;13200;9239;80.2716;7299.56;10647.7
P080382403;13200;10561.7;88.2684;7465.18;11781.4
P080382111;13210;9270.19;77.9101;7189.69;10804.3
P080382407;13010;10440.1;87.6441;7350.75;11790.4
P080382405;13210;10298.8;88.4558;7211.93;11807.5
P080382101;13406;8880.79;75.7051;7238.33;10359.4
P080382401;13200;10625.5;87.642;7493.01;11813.4
P080382103;13200;8622.33;73.1373;7441.03;9869.6
Q080382409_2;13000;10541.4;86.904;7598.45;11609
Q080382409_1;13220;9908.63;87.1107;7144.47;11494.3
P080382409;13200;10369.6;88.7396;7389.4;11675.8
P080382105;13200;10147.8;84.4992;7358.39;11489.4
P093382111;5000;2234.16;18.6876;5867.32;5277.25
Q093382407_2;13000;10360;85.05;7767.23;11235
Q093382407_1;13210;10328.8;88.0513;7223.34;11824.5
P093382407;13200;10412.6;88.2938;7513.31;11577.4
P093382405;13210;10470.8;88.2987;7464.67;11691.1
P093382101;13200;9609.42;80.7721;7495.9;10794.1
P093382411;13210;10501.2;87.4547;7565.76;11606.2
P093382401;13210;10184.9;87.1778;7144.45;11770.6
P093382409;13010;10288.4;86.5118;7326.21;11666.7
P093382107;13220;9144.95;82.0374;6355.22;11631.3
P094382403;13210;10412.9;87.4207;7371.09;11740
P094382407;13200;10323.6;86.4053;7078.9;11984.2
Q094382405_2;13220;10310.5;87.3351;7424.58;11576.6
Q094382405_1;13200;10468.5;88.4016;7321.19;11852.5
P094382405;13210;10103.3;87.8138;7251.3;11567.1
P094382101;13200;10180.9;82.314;7597.71;11249.4
P094382401;13210;10447.5;87.3326;7296.79;11859.4
Q094382409_2;13000;10335.4;86.796;7447.13;11575.7
Q094382409_1;13210;10339;88.2911;7484.57;11536.6
P094382409;13210;10434.9;88.1093;7389.62;11740.8
P094382109;13220;8513.93;75.23;7004.64;10259.2
Q100382111_1;10610;5079.28;43.3817;6669.28;7207.23
P100382111;13210;7429.74;62.3653;6359.41;9911.28
P100382407;13400;10376.8;87.9984;7334.46;11745.7
P100382405;13200;10389.2;87.499;7180.41;11933.8
P100382411;13200;10415.5;87.8046;7289.87;11835.3
Q100382401_2;13200;10551.2;87.894;7515.1;11713.9
Q100382401_1;13210;10297.9;88.3437;7021.11;12024.3
P100382401;13210;10347.4;86.7049;7391.05;11651.7
P100382409;13210;10391.1;88.2938;7307.58;11790.7
P100382107;13230;9021.6;80.7285;6358.83;11503.8
Q101382403_1;13210;10312.1;87.2809;7339.9;11674.7
Q101382405_1;13200;10264.6;87.2316;7134.34;11861.9
P101382403;13200;10576.8;87.9228;7526.76;11726.2
P101382111;13210;9190.97;77.5044;7446.94;10431.5
P101382407;13210;10154.3;87.5364;7224.13;11649.1
P101382405;13200;10547.3;88.8846;7387.11;11856.1
P101382101;13210;9525.09;78.2813;7648.57;10535.5
P101382401;13010;10333.1;87.6981;7321.28;11717
P101382103;13200;9418.89;79.7785;7538.02;10555.5
P101382409;13200;10539.4;89.0928;7445.74;11781.2
P101382105;13200;9861.6;83.1388;7320.13;11246.8
P086382111;7000;3583.47;29.1996;6535.13;5864.49
P086382407;13200;10429.9;87.4512;7442.14;11675.9
P086382405;13210;10021.1;85.2103;7242.52;11494.9
P086382101;13200;8626.65;72.3456;7403.41;9916.86
Q086382411_1;13200;10297.4;87.146;7289.67;11717.4
P086382411;13210;10562.6;88.2707;7560.55;11673.5
P086382401;13210;10260.8;88.5349;7070.35;11931.1
P086382409;13200;10382.7;87.9886;7492.97;11570.7
P086382107;13030;7291.85;66.5113;6367.01;9764.73
P086382109;13400;9362.58;81.3824;7230.15;10850.5
P087382403;13010;10388.9;86.3765;7249.52;11854.7
P087382111;13210;9212.57;77.5785;7582.88;10298
Q087382407_2;13220;10094;87.1227;6998.19;11846.6
Q087382407_1;13200;10618.4;88.218;7365.47;11951.9
P087382407;13220;10163.5;85.9288;7272.56;11603
P087382405;13000;10452.4;86.814;7438.88;11702.1
P087382401;13410;10237.3;88.6403;7149.43;11817.3
Q087382409_2;13210;10310.8;88.3798;7149.08;11891.2
Q087382409_1;13200;10643.9;88.1064;7537.02;11781.6
P087382409;13200;10675.5;88.9668;7556.22;11791.3
P087382109;13210;8723.51;76.1761;7091.36;10369.8
Q082382403_1;8000;4943.54;41.8788;7160.67;6510.74
P082382403;13210;8410.39;70.4505;6626.77;10586.8
Q082382407_2;13000;10037.7;83.7629;7251.8;11500.9
Q082382407_1;13200;10374.8;87.3434;7317.95;11762.5
P082382407;13210;10341.4;87.9931;7296.44;11753.7
P082382405;13220;10058.5;86.5319;7420.59;11329.1
P082382101;13210;9969.93;83.5657;6936.22;11793.3
P082382401;13200;10632.1;88.182;7506.51;11804.6
Q082382409_1;13200;10412.8;87.9482;7350.69;11763.1
P082382409;13200;10374.4;88.0848;7329.63;11748.8
P082382105;13000;9453.08;78.3582;7612.62;10504.5
P082382109;13200;8545.36;73.2781;7262.52;9996.34
Q083382403_2;11010;7971.89;67.796;8020.34;8558.09
Q083382403_1;13200;10231;86.4223;7471.73;11443.2
P083382403;13010;10561.3;87.8437;7320.59;11946.1
P083382407;13210;10304.5;88.8418;7197.88;11829.2
P083382405;13200;10365.1;87.8361;7253.64;11826.2
P083382101;13200;9872.86;80.388;7722.73;10798.7
P083382401;13400;10190.2;89.2505;7029.27;11907.3
Q083382409_1;13020;10208.8;85.6225;7362.4;11545.8
P083382409;13010;10563.5;87.9319;7515.89;11725.3
P083382105;13400;9030.96;76.4352;7420.7;10301.4
P083382107;13200;9290.54;79.4927;7152.77;10866.8
Q069382403_1;10610;6683.61;56.3146;7443.72;7927.81
P069382403;13010;9051.34;75.4801;7032.73;10764.5
P069382111;13220;8483.81;73.1795;7275.62;9919.83
P069382407;13200;10202.8;86.6239;7271.01;11644
Q069382405_1;13400;10357.6;88.7472;7327.04;11734.9
P069382405;13010;10597.9;87.6981;7555.49;11714.5
P069382101;13210;9172.44;77.9811;7170.7;10728.2
P069382401;13200;10715.1;88.452;7557.47;11829.5
P069382103;13410;9097.92;77.1289;7108.91;10724.2
P069382409;13206;10296.7;87.6981;7475.19;11505
P069382105;13010;9416.69;77.7674;7644.51;10431.8
P069382109;13410;8737.97;76.0468;7162.75;10302.8
Q070382403_1;10600;7929.58;65.718;7862.46;8695.94
P070382403;13210;10108.5;86.6488;7240.76;11584.3
P070382111;13000;8829.51;72.972;7613.09;9880.44
Q070382407_2;13210;10461.4;88.2889;7349.9;11812.6
Q070382407_1;13210;10283.6;88.3389;7237.44;11763.2
P070382407;13200;10368.2;87.977;7409.77;11651.1
P070382405;13200;10729.7;88.9308;7544.62;11858.8
P070382101;13010;8681.52;73.3389;7571.6;9779.79
P070382401;13200;10560.8;88.452;7609.99;11615.3
P070382103;13010;8843.33;72.2851;7558.86;9956.15
P070382409;13210;10438.2;88.6557;7252.16;11901
P070382105;13010;10148.4;82.3038;7321.27;11532.3
P070382107;13420;9546.56;85.6916;6606.95;11745.6
P066382111;7610;3703.12;31.7685;6454.81;6075.8
Q066382407_2;12010;8753.92;74.5043;7670.12;9739.77
Q066382407_1;13210;10485.6;87.8349;7237.29;11965.4
P066382407;13210;10209.2;87.7934;7267.76;11654.2
P066382405;13200;10373.3;88.0651;7391.05;11677.6
P066382101;13010;9610.71;78.7659;7522.75;10764.7
Q066382401_2;13210;10529.2;88.2038;7412.74;11808.8
Q066382401_1;13200;10709.2;88.8228;7353.31;12056.6
P066382401;13220;9984.08;87.2231;7272.14;11424.1
P066382409;13200;10504.3;88.2889;7533.21;11646.3
P066382107;13210;9076.28;78.5417;6914.17;10924.8
P067382403;12610;9737.78;82.0005;7440.16;10986
P067382111;12000;6966.57;57.9791;7272.36;8406.31
P067382407;13200;10522.6;88.1064;7392.16;11825.6
Q067382405_2;13210;10326.4;86.5933;7379.1;11644.3
Q067382405_1;13210;10056.6;87.3309;7047.3;11753.1
P067382405;13200;10734.4;88.452;7558.1;11848.1
P067382101;13200;8969.03;76.2911;7325.22;10348.5
P067382401;13000;10399.4;87.1488;7532.7;11542.1
