Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P171712801;14000;10506.7;92.6452;6948.84;12315.6
P172770401;14200;11033.5;92.1888;7145.29;12618.3
P173752701;14605;10976.7;97.2772;6183.34;13659.2
P173734901;14000;10288.1;88.5311;7252.82;11750.1
P174752701;14800;10661.3;94.8096;6070.56;13472.5
P174770403;14605;11324.8;96.3676;6530.38;13611.3
P177752703;14010;11207.5;91.7788;7033.81;12919.5
P174712801;13000;10193.5;85.7928;7402.2;11485.1
Q177752703_1;14605;11061.5;96.3316;6838.66;12996.1
P178752701;14805;10491.8;97.8453;6270.9;13074.4
P179752701;14605;10583.7;96.8248;6907.92;12439.3
P178712801;14200;10928.6;92.6496;6944.87;12742.1
P178770405;14200;11660.4;93.024;7219.13;13160.9
Q179770405_1;14200;11785.2;95.256;7158.06;13355.4
P178770403;14200;11088.2;93.6096;7144.35;12674
P179770403;14605;11116.2;96.0616;6774.17;13124.5
P170770407;11605;7281.23;63.6323;7403.02;8571.88
P170752703;14200;11106;95.0988;7232.61;12591.1
P170770403;14805;10752.5;94.21;5770.14;13906.5
P171752701;14605;10552.7;94.0816;6557;12808.8
P171770405;14200;11805.6;94.14;7223.98;13300.5
P171770401;14605;11031.2;94.27;7032.47;12744.7
P171712803;14010;10468.1;89.6812;6926.92;12302
P171770403;14605;11605.8;97.0852;7275.87;13041.6
P172752701;14605;10606.7;95.0752;6950.44;12413.8
P172770405;14200;11761;94.14;7243.16;13234
P172770403;14605;10856.9;95.9188;7034.94;12567.6
Q173770405_1;14200;11722.9;94.14;7135.39;13319
P173770405;14200;12045.6;95.256;7284.2;13471.8
P173770401;14610;10894;92.5432;6593.74;13108.1
P173770403;14805;10771.6;97.6713;6852.3;12690.7
P174770405;14200;11934;95.256;7265.46;13381.6
P174770401;13000;8381.11;70.6955;6685.85;10490.1
P174712803;12205;8068.9;72.4127;7014.18;9803.27
P177770407;14900;11106.2;96.8554;6254.41;13707.6
P177770401;14200;10949.6;93.5328;7004.11;12695.4
P177770403;14605;11061.1;97.5081;7074.81;12726.3
P178770401;14605;11330.9;97.3888;6725.88;13394.3
P178712803;14200;11256.9;94.428;7119.24;12871.4
P179770405;14200;12045.6;95.256;7284.2;13471.8
P179770401;14605;11383.2;95.7916;7160.44;12950.6
P180752701;14605;10821.9;93.7276;6683.61;12933.5
P180770401;14200;11275;94.5504;6910.52;13127.6
P170730403;14200;9240.35;87.3204;6574.23;11476.8
P170730405;14800;10173.2;94.3752;6513.08;12479.4
P171730401;14800;10562.1;96.492;6677;12681.2
P171730403;14800;9971.86;96.0756;6111.02;12736.9
P171730405;14800;10715.2;97.188;6583.26;12941.3
P171730407;14800;10067.5;94.4148;6570.78;12307.8
P172730401;14600;10208.4;96.066;6178.36;12896.5
P172730403;14800;10025.1;94.7292;6407.05;12452.3
P172730407;14800;11095.9;99.0516;6705.47;13182.5
P173730401;14800;9711.12;93.192;6420.45;12123
P173730403;14800;10972.4;99.0468;6420.41;13384.4
P173730405;14800;9873.98;94.7244;6147.16;12597.7
P174730401;14400;10385.5;95.6148;6778.1;12389.3
P174730403;14800;9990.48;96.4596;6188.48;12667.1
P174730405;14800;10918.9;98.8548;6193.45;13589.8
P174721903;14800;10904.8;97.3164;6864.52;12810
P177730401;14800;9780.33;96.552;6136.53;12516.2
P177730403;14800;10864;97.5588;6510.52;13173.1
P177730405;14800;9958.92;94.6596;6318.66;12487
P178730401;14800;9872.75;94.902;6136.69;12608.4
P178730403;14800;10612.2;95.7612;6257.94;13209.5
P178730405;14600;10208.4;96.066;6615.05;12398.2
P179730401;14600;10034.3;93.4764;6467.67;12392.3
P179730403;14800;10490.9;95.6664;6865.14;12395.3
P179730405;14800;9874.53;96.6216;6282.22;12444.2
P179730407;14800;10653.4;97.4268;6528.16;12942.4
P180730401;14800;10281.3;96.1824;6460.21;12647.8
P188752701;14805;10884.2;98.4069;7072.61;12551.9
P191752703;14605;10816.4;93.9056;6633.96;12984.7
P205752703;14605;10820.8;95.5588;6903.37;12681.6
Q206752701_1;14605;10852.5;95.1268;6546.2;13120.9
P206770405;13000;10910.1;87.336;7576.81;12002.4
Q207752701_1;14605;10142.1;91.7044;6404.17;12572.5
Q184770407_1;2000;1261.25;10.26;5303.26;4948.02
P184770407;14605;9738.18;86.0236;6293.39;12295.1
P184752703;14010;10703.6;91.2436;6836.07;12641.2
P185752701;14805;10623.3;96.9064;6147.14;13347.1
P185770405;14200;11207.7;89.676;7214.55;12713.4
Q186752701_1;14200;10994.4;93.5844;6921.59;12834.5
P186752701;14805;11075.5;99.2901;6355.56;13561.4
P186770405;14200;11486.5;91.854;7493.53;12673.9
Q187752701_1;14200;11028.2;93.4476;6817.47;12987.1
P187752701;14605;10869;96.0748;6997.19;12622.8
P187770405;14200;11350;90.738;7400.34;12643.7
Q188752701_1;14600;11038.8;95.346;6691.13;13141.8
P188770405;14200;12004.9;95.256;7284.44;13430.9
P191770407;14605;11155.2;96.772;6905.02;13014.2
Q192752701_1;14200;11088.9;94.6872;6992.52;12848
P192752701;14605;10646.5;95.5084;6889.05;12523.6
P192770405;14200;11052.3;88.506;7524.21;12204.7
P193752701;14805;10804.1;96.0616;6348.54;13298.1
P193770405;14200;11351.1;90.738;7547.4;12477
Q194752701_1;14200;11249.1;94.4772;7017.13;12980.1
P194752701;14605;10673.6;95.8756;7262.2;12124.9
P194770405;14200;11200.9;89.622;7481.91;12401.5
Q195752701_1;14200;11041.7;92.4552;7087.45;12692.5
P195752701;14805;10929.9;100.006;6733.95;12984.1
P195770405;14200;11820.9;94.14;7234.74;13303.6
P198770407;13000;9447.3;79.5654;7108.18;11074.4
P198752703;14605;11232.4;97.5568;7021.68;12958.2
Q199752701_1;11000;7486.66;63.8092;7845.82;8272.01
P199752701;14805;10821.4;97.1932;6080.17;13621.6
P199770405;14200;11072.4;88.56;6934.72;12897.4
Q200752701_1;14805;10712.8;95.5216;5918.69;13697.3
P200752701;14200;11007.1;94.7736;7001.59;12755.8
P200770405;14200;11351.1;90.738;7543.46;12481.5
Q201752701_2;14200;11125.8;94.4076;7054.26;12814.5
Q201752701_1;14615;10659.6;95.4;7007.52;12401.5
P201752701;14800;11061.7;97.3836;6163.74;13766.5
P201770405;14200;11635.6;93.024;7464.77;12855.8
P202752701;14805;11070;99.6525;6490.12;13402.4
P202770405;14200;11872.5;94.14;7237.92;13351.5
P205770407;14200;11385;94.4736;7166.13;12945.9
P206752701;14605;10958.3;96.916;7036.53;12667.2
P207752701;14200;11335.2;94.6728;7118.85;12950.2
P207770405;13000;10766.7;86.22;7475.42;11974.7
P208752701;14615;10527;93.3823;6939.43;12346.7
P208770405;14200;11628.8;93.024;7352.71;12976.8
Q209752701_1;14800;10832.9;96.432;6688.54;12938.8
P209752701;14805;10964.6;99.7305;7091.98;12610.2
P209770405;14200;11773;94.14;7261.91;13224.6
P170730301;6200;2959.47;27.558;6507.86;5271.62
P170730303;14800;10714.1;98.6796;6266.62;13301.5
P171730301;14900;11122.9;94.527;6604.84;13324.3
P171730303;14800;11323.5;98.7846;6595.58;13535.6
P172730301;14900;11632.5;98.3382;6211.96;14282.3
P172730305;14800;10407.7;96.4644;6477.89;12754
P173730301;14900;11969.8;99.333;6565.23;14216.5
P173730305;14800;10619.5;96.9876;6508.54;12930.9
P174730301;14900;11817.5;99.4974;6421.15;14228.6
P174730305;14800;10970.3;98.5536;6405.73;13399
P177730301;14900;11228.3;95.406;6547.05;13495.7
P177730303;14900;11190.5;101.329;6440.92;13579
P178730301;14900;11385.5;96.189;6839.21;13319.6
P178722401;14800;10998.1;99.972;6683.8;13109.5
P179730301;14900;11756.4;98.2242;6484.4;14095.3
P179730305;14800;10756.2;95.5866;6975.92;12534.2
P174731001;14805;23171.6;86.1164;9517.2;22049.6
P177731005;14605;23591.9;91.4921;10181.3;21712.1
P170731005;11600;13515.8;52.285;10730.4;11009.4
P171721701;12805;16867.4;68.0287;10931.1;14132
P171731007;14605;23323.5;87.0915;7810.89;24148.7
P172721701;14400;23991.3;82.5702;11031.8;21141
P172731005;14800;21842.4;92.5365;8913.88;21408.9
Q173721701_1;14605;22880.2;80.0776;8675.3;22719
P173721701;14805;23521.5;97.918;9955.76;21899.1
P174721701;14205;21371.4;75.9726;9673.18;20071.5
P174731005;14605;23632.7;91.5495;11194.5;20596.7
Q177731005_1;14810;23941.4;85.6569;8484.57;23997.8
P178721701;14605;22921.5;86.7063;9776.2;21504
P178731007;14805;23354.7;93.5408;9856.18;21845.9
P179721701;14805;23386.8;90.6828;7804.37;24219.4
P179731005;14815;23725;89.6011;10373.9;21625.4
P180721701;14805;23787.3;89.6933;9247.28;22973.3
P213770405;14200;11633.4;93.024;7154.74;13207.4
P214770405;14200;11897.3;95.256;7256.21;13355.5
P215770405;14200;12000.5;95.256;7291.65;13418.2
P216752701;14200;10797.5;91.8132;7271.89;12237.8
P219770407;14900;10910.4;94.8586;5994.01;13808.9
P219752703;14615;10591.3;95.916;6397.62;13029.3
P220770405;14200;11350;90.738;7405.38;12637.9
P221770405;14200;11631.1;93.024;7272.34;13070.9
P222770405;14200;11985.5;95.256;7285.96;13409.7
P223770405;14200;11842.7;95.256;7257.95;13298.9
P223752701;14200;11164.7;94.9368;7002.28;12912.6
P226770407;14605;10717.5;91.3535;6316.67;13247.8
P227770405;14200;11640.2;93.024;7129.42;13243.1
P228770405;14200;11909.8;95.256;7249.55;13375.6
P229770405;14200;11934;95.256;7273.03;13373
P212770407;14000;9113.99;79.1219;7214.42;10619.9
P212752703;14605;11404.3;97.396;6998.49;13156.6
Q213752701_2;8605;5490.49;49.546;7720.39;6418.97
Q213752701_1;14200;11020.7;94.5;6918.89;12863.9
P213752701;14615;10568.6;94.2619;5933.19;13536.6
P214752701;14805;10577.9;95.416;5954.27;13521.8
Q215752701_1;14200;10903.9;93.6948;6971.12;12687.4
P215752701;14805;11239.8;100.066;6342.08;13741.1
Q216752701_1;14200;10856.5;93.8352;6984.98;12624.2
P216770405;14200;11913.2;95.256;7283.18;13340.6
Q220752701_1;14200;11208.3;94.44;7031.07;12923.4
P220752701;14805;10952.8;96.7468;6887.02;12832.3
P221752701;14200;10931.9;95.1888;6856.99;12845.6
Q222752701_1;14805;10850.7;96.3916;5967.93;13779
P222752701;14615;10449.3;96.2604;5809.26;13558.6
Q223752701_1;14600;10949.9;93.2448;6484.36;13288.8
P226752703;14805;11260.8;99.2349;6407.7;13687.2
Q227752701_1;14200;11095.1;94.4532;7019.46;12823.4
P227752701;14615;10745.2;96.8364;6324.86;13266.2
Q228752701_1;14200;11158;94.9164;7038.74;12864.3
P228752701;14805;10736.9;97.1344;6134.76;13474.8
P229752701;14805;11025.3;98.6721;6281.43;13595.8
Q230752701_1;14200;11256.6;94.4532;6975.96;13034.6
P230752701;14200;11013.3;95.6568;6866.6;12916.1
P230770405;14200;11944.9;95.256;7258.68;13400.3
P233770407;13000;9765.15;82.4952;7400.71;11058.4
P233752703;14605;11196.1;97.7248;6590.7;13413.7
P194730401;14600;9892.42;94.6776;6327.33;12410.6
P195730401;14600;9977.89;93.2988;6223.72;12614.3
P184730401;11800;7701.57;71.142;7133.28;9300.03
P184730403;14600;10329.8;95.904;6529.08;12617.8
P185730401;14800;9671.05;92.88;6613.48;11862.7
P185721901;14800;11035.9;99.0516;6606.59;13235.4
P186730401;14800;9806.92;93.3084;6614.48;11997.4
P187730401;14800;9765.74;92.6568;6250.79;12371.2
P187730403;14800;10896.8;99.144;6547.23;13164
P188730401;14800;9746.29;91.3644;6400.22;12181.3
P188730403;14800;10897.2;99.144;6677.46;13015.8
P191730401;14800;9717.98;94.4556;6615.03;11907.8
P191730403;14800;10716.6;97.5936;6716.25;12790.9
P192730401;14600;10152.1;94.5672;6975.35;11930.8
P193730401;14800;9778.15;93.7752;6483.84;12117.7
P193730403;14800;11096;98.8596;6539.48;13372.1
P195730403;14800;10667.6;97.2096;6630.32;12840
P198730401;14800;9674.43;93.2388;5851.6;12735.5
P198730403;14800;10958.6;99.2136;6584.91;13182.8
P199721901;14800;9969.02;94.164;6431.21;12368.6
P200730401;14800;9994.97;95.3628;6134.73;12732.9
P200730403;14800;10746.1;96.5436;6603.24;12949.4
P201730401;14800;9865.38;94.8768;6096.96;12646.4
P201730403;14800;11013.5;98.982;6632.81;13183.1
P202730401;14800;9721.18;92.7576;6288.69;12283.4
P184731005;12205;16309.3;62.5541;10554.3;14003.9
P185721701;14810;23993.2;88.4345;11354.4;20774.7
P186721701;12410;20216.2;68.2912;11379.4;16969.2
P186731005;14605;23901.4;89.5252;10684.7;21447.1
P187721701;14810;21824.1;91.8847;9231.75;21027.9
