Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P181770405;P181770405_1;A;0;0;0;1000;1200;2835
P181770405;P181770405_2;B;0;1300;0;1000;2500;2835
P181770405;P181770405_3;C;1000;1300;0;2000;2500;2835
P181770405;P181770405_4;D;1000;0;0;2000;1200;2835
P181770405;P181770405_5;E;2000;0;0;3000;1200;2835
P181770405;P181770405_6;F;2000;1300;0;3000;2500;2835
P181770405;P181770405_7;G;3000;1300;0;4000;2500;2835
P181770405;P181770405_8;H;3000;0;0;4000;1200;2835
P181770405;P181770405_9;I;4000;0;0;5000;1200;2835
P181770405;P181770405_10;J;4000;1300;0;5000;2500;2835
P181770405;P181770405_11;K;5000;1300;0;6000;2500;1905
P181770405;P181770405_12;L;5000;0;0;6000;1200;2835
P181770405;P181770405_13;M;6000;0;0;7000;1200;2835
P181770405;P181770405_14;N;6000;1300;0;7000;2500;2835
P181770405;P181770405_15;O;7000;1300;0;8000;2500;2835
P181770405;P181770405_16;P;7000;0;0;8000;1200;2835
P181770405;P181770405_17;Q;8000;0;0;9000;1200;2835
P181770405;P181770405_18;R;8000;1300;0;9000;2500;2835
P181770405;P181770405_19;S;9000;1300;0;10000;2500;2835
P181770405;P181770405_20;T;9000;0;0;10000;1200;2835
P181770405;P181770405_21;U;10000;0;0;11000;1200;2835
P181770405;P181770405_22;V;10000;1300;0;11000;2500;2835
P181770405;P181770405_23;W;11000;1300;0;12000;2500;975
P181752701;P181752701_1;A;0;0;0;1600;1200;975
P181752701;P181752701_2;B;0;1295;0;1605;2500;2855
P181752701;P181752701_3;C;1600;0;0;2600;1200;2835
P181752701;P181752701_4;D;1605;1300;0;2605;2500;2932
P181752701;P181752701_5;E;2600;0;0;3600;1200;2835
P181752701;P181752701_6;F;2605;1300;0;3605;2500;2835
P181752701;P181752701_7;G;3600;0;0;4600;1200;2835
P181752701;P181752701_8;H;3605;1300;0;4605;2500;2835
P181752701;P181752701_9;I;4600;0;0;5600;1200;2745
P181752701;P181752701_10;J;4605;1300;0;5605;2500;2745
P181752701;P181752701_11;K;5600;0;0;6600;1200;2818
P181752701;P181752701_12;L;5605;1300;0;6605;2500;2865
P181752701;P181752701_13;M;6600;0;0;7600;1200;2865
P181752701;P181752701_14;N;6605;1300;0;7605;2500;2835
P181752701;P181752701_15;O;7600;0;0;8600;1200;2835
P181752701;P181752701_16;P;7605;1300;0;8605;2500;2835
P181752701;P181752701_17;Q;8600;0;0;9600;1200;2835
P181752701;P181752701_18;R;8605;1300;0;9605;2500;2835
P181752701;P181752701_19;S;9600;0;0;10600;1200;2835
P181752701;P181752701_20;T;9605;1300;0;10605;2500;2835
P181752701;P181752701_21;U;10600;0;0;11600;1200;2835
P181752701;P181752701_22;V;10605;1300;0;11605;2500;2835
P181752701;P181752701_23;W;11600;0;0;12600;1200;2835
P181752701;P181752701_24;X;11605;1300;0;12605;2500;2745
P181752701;P181752701_25;Y;12600;0;0;13600;1200;2745
P181752701;P181752701_26;Z;12605;1300;0;13605;2500;2835
P181752701;P181752701_27;AA;13600;0;0;14600;1200;2835
P181752701;P181752701_28;AB;13605;1300;0;14605;2500;2835
Q181752701_1;Q181752701_1_1;A;0;0;0;1000;1200;1934
P180734901;P180734901_1;A;0;0;0;1000;1200;2835
P180734901;P180734901_2;B;0;1300;0;1000;2500;2835
P180734901;P180734901_3;C;1000;1300;0;2000;2500;2835
P180734901;P180734901_4;D;1000;0;0;2000;1200;2835
P180734901;P180734901_5;E;2000;0;0;3000;1200;2835
