Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P172770403;14200;10897;92.5392;6942.18;12713.6
Q173752701_1;14805;10944;98.9901;6155.55;13658.2
P177770403;14200;10311.9;88.0152;7374.57;11635.1
Q178752701_1;14805;10946.4;95.6997;6707.19;13031
P178770401;14605;11407.3;96.838;6956.59;13207.4
P178712803;14805;10799;99.2745;6526.75;13089.6
P179770401;14605;11228.8;97.4464;7032.35;12942.4
P179770403;14605;10509.7;90.2975;6863.95;12415.5
Q180752701_1;14600;10611.2;90.114;6332.73;13123.2
P180734901;14605;11019.2;93.1223;6484.3;13358.3
P181752701;14605;10598.2;94.6624;5855.72;13654.5
P170770407;14605;9639.63;85.3319;6945.14;11452.8
P170770401;14200;11189.1;94.3224;7042.35;12891.3
Q171752701_1;14200;11336.3;95.1564;7061.02;13017.2
P171752701;14805;10852.1;99.5409;6639.94;13013.5
P171770405;14200;11645.9;93.024;7213.75;13152.5
P171770401;14615;10683;91.2219;6235.08;13306.4
P171770403;14805;10968.6;98.6673;6280.14;13540.6
Q172752701_1;14200;11228.8;93.9888;7109.02;12854.9
P172752701;14805;10787.4;97.0444;6573.44;13024.7
P172770405;14200;11900.9;95.256;7300.04;13309.1
P172770401;14605;11213.1;94.6727;6479.55;13557.5
P173752701;14600;11399.6;95.2104;7006.02;13143.3
P173770405;14200;11834.7;94.14;7261.41;13286.9
P173770401;14200;11261;95.1588;7036.92;12969.4
P173734901;14615;10660;94.5452;6250.99;13265.2
Q174752701_2;13605;9686.11;83.1688;7637.45;10709.2
P174712803;14210;9327.2;84.6748;6868.64;11227.7
Q174752701_1;14600;10740.2;93.786;6430.51;13140.6
P174752701;14600;11285.7;96.462;6997.25;13039.4
P174770405;14200;12042.1;95.256;7285.88;13466.5
P174770401;14605;11550.7;94.6583;6988.2;13314.7
P174770403;14200;11128.3;94.9584;6992.88;12887
Q177770407_1;8000;5010.44;49.3112;7272.07;6450.52
P177770407;14900;11409.5;94.755;6486.57;13745.9
P177752703;14010;10825.9;92.1592;6652.12;12973.4
P177770401;14200;11312.5;95.1384;7069.05;12984.3
P178752701;14200;11049.5;95.0736;7069.4;12720.8
P178770405;14200;11762.8;94.14;7233.89;13246.4
Q179752701_1;14200;11139.5;94.6788;7115.19;12758.6
P179752701;14200;11292;95.3736;7321.82;12675.3
P179770405;14200;11803.4;94.14;7233.04;13288
P180752701;14805;10937.2;97.0432;6542.64;13209.7
P180770405;14200;11685.2;93.024;7204.87;13202
P180770401;14615;10626;93.4472;6450.4;13003.7
P181770405;12000;9402.54;74.898;8115.03;9880.68
P174730405;14800;10515;97.5888;6447.59;12895.9
P177730401;14800;9936.58;94.0116;6335.02;12446
P170730401;14600;9059.92;86.1348;6652.42;11207.1
P170730405;14800;10367.4;95.4444;6068.09;13181.3
P171730401;9800;6592.39;61.5156;7467.21;7809.78
P171721901;14600;9852.54;93.222;6916.13;11698.8
P171730403;14800;10575;95.8332;6655.34;12718.8
P171730405;14800;10132.5;96.2976;6318.19;12661.1
P172730401;14600;10135.6;95.9136;6220.47;12775.7
P172730403;14800;10674.1;97.4016;6603.28;12877.3
P172730405;14800;10188.8;94.5672;6868.91;12089
P173730401;12400;8373.28;77.442;7288.69;9794.39
P173730403;14800;9777.98;92.0376;6783.95;11775.1
P173730405;13400;9214.29;86.2668;7152.85;10790.4
P173721401;14800;10557.5;95.8584;6505.54;12872.3
P174730401;14800;9880.43;96.6216;6347.88;12375.1
P174730403;14800;10949.1;99.2136;6475.52;13298.2
P177730403;14600;10232.1;95.7768;6478.92;12577.2
P177730405;14800;10391;96.0204;6446.99;12772.6
P177730407;14600;10109.4;95.9388;6307.69;12649.9
P178730401;14800;10765;97.4964;6939.99;12584
P178730403;14800;9803.49;94.8216;6229.75;12433
P178730407;14800;10936.5;99.0468;6394.2;13378.3
P179730401;14600;9948.62;93.5304;6411.87;12370.3
P179730403;14600;10223.4;96.066;6492.05;12553.6
P179730405;14800;10843;98.0148;6805.31;12815.7
P180730401;14800;9728.99;92.9424;6418.37;12143.3
P180730403;14600;10440.3;95.9736;6644.29;12596.7
P180730405;14600;10249.2;95.9688;6669.87;12376.5
P181730401;11000;6740.72;63.1416;7099.45;8377.78
Q185752701_1;14605;10983.3;95.6956;7128.08;12587.6
P186752701;14600;10419.7;92.4076;6323.38;12942.3
P199770405;13000;10910.1;87.336;7575.96;12003.4
Q200752701_1;14605;10989.4;95.1724;6448.76;13369
P205752703;14605;11120.6;96.4384;6703.55;13209.5
P206752701;14610;10701.9;93.2848;6129.65;13445.6
Q184770407_1;9000;5635.84;47.5596;7593.9;6708.66
P184770407;14200;11199.4;94.0872;7138.93;12791.4
P184752703;14605;11039;97.2652;6692.77;13140.2
P185752701;14805;11013.5;98.8017;6713.11;13091.4
P185770405;14200;11200.9;89.676;7057.46;12885.9
P186770405;14200;11351.1;90.738;7543.23;12481.8
Q187752701_1;14200;11009.9;94.656;6926.51;12844.3
P187752701;14805;11133.3;98.0457;6744.37;13175.5
P187770405;14200;11059.5;88.506;7538.09;12196
Q188752701_1;14200;10966.2;93.3852;6885.55;12847.3
P188752701;14805;11258.2;99.7521;6688.17;13364.6
P188770405;14200;11945.8;95.256;7293.75;13361.1
P191770407;14200;11142;94.728;6777.61;13146.4
P191752703;14605;11171.6;96.5584;6818.57;13129.2
Q192752701_1;14200;10977.3;94.3008;6803.84;12951.7
P192752701;14615;10424.3;92.9635;7088.88;12073.4
P192770405;14200;11065.5;88.56;7325.19;12444.9
P193752701;14805;10488.6;95.3032;6019.2;13358.4
P193770405;14200;11771;94.14;7338.72;13135.1
Q194752701_1;14805;10768.4;96.5596;6723.29;12834.7
P194752701;14600;10782.7;92.6916;6671.18;12908.5
P194770405;14200;11065.5;88.506;7405.95;12352.8
Q195752701_1;14200;10744;93.6996;6914.63;12592
P195752701;14805;11380.7;99.5361;7046.12;13078.7
P195770405;14200;11973.4;95.256;7300.78;13380.7
P198770407;14000;10200.7;85.4262;6972.67;11982.4
P198752703;14605;11034.2;97.0972;6427.29;13438.3
Q199752701_1;13600;9362.78;79.3224;7604.81;10423.2
P199752701;14615;10438.1;95.6376;6063.65;13257.2
P200752701;14605;11149.3;99.208;6509.9;13459.1
P200770405;14200;11642.8;93.024;7410.85;12924.5
Q201752701_1;14200;10560.5;91.392;7057.1;12245.9
P201752701;14605;10470.6;93.034;6505.43;12785.5
P201770405;14200;11051.5;88.506;7513.43;12216.1
