Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P186069307;13200;4368.19;79.2;5461.77;7874.07
P187069219;13200;4731.86;73.4976;5716.71;7946.81
P187069319;13200;5388.84;73.3536;6256.93;7987.34
P186069217;13200;4246.15;76.176;5371.73;7854.79
Q187069307_1;13200;6220.65;86.3568;6555.44;8478.5
P188069307;13200;4865.2;76.7664;5850.25;7927.78
P187069217;13200;5059.01;64.6848;5675.85;8320.6
P188069211;13200;5429.85;68.4541;5687.75;8677.86
P188069217;13200;4541.86;69.0624;5560.08;7935.56
P189069253;13200;4548.96;74.9376;5559.39;7943.45
P189069255;13200;5334.68;64.9728;6323.85;7856.81
P191069201;13200;4368.19;79.2;5461.77;7874.07
P189069319;13200;5084.19;76.9824;6073.84;7891.61
P191069305;13200;5024.19;79.5168;5366.54;8638.74
P191069307;13200;5171.02;82.2672;6153.32;7887.75
P192069219;13200;4428.18;76.6656;5521.72;7865.66
Q191069307_1;13200;4844.4;76.7664;5892.69;7858.54
P192069319;13200;4488.97;77.472;5465.93;7990.1
P191069217;13200;4777.74;65.6352;5707.35;8003.37
P192069201;13200;4701.18;67.8528;5436.64;8235.74
Q193069319_2;13200;6155.9;83.3328;6511.96;8463.38
Q194069319_1;13200;4903.41;81.2448;5295.8;8598.69
P184069211;8400;3003.7;41.6736;5756.06;6173.76
P184069215;13200;4803.96;68.6592;5707.44;8029.51
P184069217;13200;4569.85;80.2224;5640.5;7871.77
P185069219;13200;5084.19;76.9824;6007.37;7967.47
P185069319;13200;6169.47;76.8006;5551.41;9573.06
P185069201;13200;4635.34;72.9216;5600.29;7983.16
P185069203;13200;4729.74;70.6752;5498.49;8193.72
P185069305;13200;5947.81;80.856;6421.62;8358.37
P185069307;13200;7311.92;90.4464;6374.62;9776.12
P185069207;13200;4608.96;72.4032;5644.25;7906.61
P185069211;13200;4964.7;69.5232;5598.47;8314.59
P185069215;13200;4789.74;68.1408;5716.96;8004.42
P185069217;13200;5699.83;72.1296;6275.45;8277.19
P186069219;13200;4488.97;77.472;5582.45;7857.13
P186069319;13200;4608.96;72.4032;5528.06;8039.2
P186069201;13200;4488.97;77.472;5549.16;7895.13
P186069203;13200;5009.68;64.1088;5757.75;8177.81
P186069305;13200;4609.75;75.744;5653.2;7897.18
P186069207;13200;4863.3;68.6592;5869.6;7903.79
P186069211;13200;4792.66;74.304;5451.66;8310.07
P186069215;13200;4876.12;66.1248;5750.91;8052.05
P187069201;13200;4488.97;77.472;5582.45;7857.13
P187069203;13200;5137.62;59.328;5768.31;8293.7
P187069305;13200;4730.53;74.016;5640.72;8032.21
P187069307;13200;5559.43;81.5616;6330.88;8073.54
P187069207;13200;4548.96;74.9376;5625.76;7867.72
P187069211;13200;5050.13;64.6093;5777.12;8196.16
P187069215;13200;4611.08;75.2256;5452.4;8127.65
P188069219;13200;4428.18;76.6656;5521.72;7865.66
P188069319;13200;4717.6;70.6752;5499.74;8180.15
P188069201;13200;4792.64;74.304;5492.57;8263.38
P188069203;13200;4883.28;63.072;5705.2;8111.37
P188069305;13200;4609.75;75.744;5686.49;7859.19
P188069207;13200;4368.19;79.2;5461.77;7874.07
P188069215;13200;4792.66;74.304;5519.19;8233.01
P189069219;13200;4781.92;74.592;5420.96;8334.38
P189069251;13200;5083.1;69.1597;5630.59;8396.33
P191069203;13200;4977.68;60.8256;5679.57;8235.02
P191069207;13200;5050.92;67.9501;5945.45;8004.85
P191069211;13200;4674.79;67.3344;5677.07;7934.99
P191069215;13200;4551.08;77.76;5543.69;7963.48
P192069203;13200;4911.84;65.8944;5721.39;8121.47
P192069305;13200;5546.15;76.7952;5404.33;9117.58
P192069307;13200;4856.54;76.7664;5833.21;7938.56
P192069207;13200;5033.1;79.344;6126.16;7780.83
P192069211;13200;4777.58;68.1408;5671.41;8044.24
P192069215;13200;4488.97;77.472;5415.99;8047.09
P192069217;13200;4934.02;66.6253;5534.5;8356.91
Q193069219_1;13200;5659.38;79.8336;6035.69;8510.34
P193069219;13200;4428.18;76.6656;5521.72;7865.66
Q193069319_1;13200;4791.85;70.9632;5483.51;8272.93
P193069319;13200;4701.96;71.1936;5389.24;8290.62
P193069201;13200;4621.74;72.1152;5812.99;7726.83
P193069203;13200;4895.43;64.6848;5669.7;8164.04
P193069305;13200;4609.75;75.744;5686.49;7859.19
P193069307;13200;4368.19;79.2;5461.77;7874.07
P193069207;13200;4554.8;72.4032;5465.56;8056.36
P193069211;13200;5287.77;63.7632;5613.69;8620.3
P193069215;13200;4416.03;76.6656;5511.25;7865.45
P193069217;13200;5031.3;64.6848;5799.92;8151.31
Q194069219_1;13200;5153.29;78.0768;5522.06;8590.37
P194069219;13200;4368.19;79.2;5461.77;7874.07
Q194069319_5;13200;4688.36;70.3872;5814.58;7791.65
Q194069319_4;13200;4634.56;69.5808;5667.41;7905.78
Q194069319_3;13200;4913.42;72.576;5355;8541.15
Q194069319_2;13200;4488.97;77.472;5499.22;7952.11
P194069319;13200;5082.52;62.9568;5563.59;8472.22
P194069201;13200;5210.16;80.4384;5374.74;8815.36
P194069203;13200;4916.89;60.0192;5779.95;8059.69
P194069305;13200;4730.53;74.016;5773.88;7880.25
P194069307;13200;4368.19;79.2;5461.77;7874.07
P194069207;13200;5753.62;58.4073;5833.85;8834.9
P194069211;13200;4368.19;79.2;5461.77;7874.07
P194069215;13200;4594.16;80.2224;5687.56;7842.38
P171065825;13007;7152.57;84.3811;6331.53;9665.94
P172065811;13207;7607.74;87.5628;7086.31;9259.79
Q166065807_1;10407;6153.63;63.5725;7235.49;7635.45
P166065807;12600;6230.5;88.7544;6258.35;8827.38
Q166065813_1;5707;2582.14;25.614;6185.72;5261.9
P166065813;13100;7341.05;91.7676;5907.92;10337.8
P166065815;13500;6779.9;83.4451;6859.08;8691.26
P166065817;13300;7202.14;90.4644;6113.46;9964.35
P166065823;13207;7707.25;89.0582;6849.97;9629
P166065825;13309;7344.21;91.9267;6513.41;9650.02
P167065811;13207;7856.36;89.8214;6952.43;9661.19
P167065801;13309;7347.19;91.9267;5876.2;10380.2
P167065807;13207;7779.18;89.3282;6829.44;9724.37
P167065813;13100;7434.92;91.2276;6809.16;9403.24
P167065815;13107;7209.4;90.1614;5950.95;10157.1
P167065817;13500;8502.52;88.979;7390.12;9807.88
P167065823;12600;6223.2;88.7544;6251.43;8827.97
P167065825;8407;4937.79;53.9503;7285.36;6362.7
P168065811;13107;7397.56;91.9267;5892.74;10411.6
P170065803;13007;6969.65;79.4239;7026.06;8690.46
Q170065807_1;12600;6223.2;88.7544;6251.43;8827.97
P170065807;13500;7630.74;92.9599;5809;10740.4
P170065813;13200;7753.66;90.2347;6233.2;10379.2
P170065815;12007;6506.88;78.0343;6803.72;8481.41
P170065817;13107;7302.84;91.6567;5916.05;10290.3
P170065823;13200;7933.58;91.2679;6254.56;10534.8
P170065825;13500;7599.71;92.6899;5791.27;10729.6
P171065811;13107;6950.64;89.717;6207.59;9605.44
P171065801;13100;7263.79;91.2276;6140.45;9995.2
P171065807;13200;7950.56;90.9979;5915.65;10938.5
P171065813;13007;7801.75;89.5982;6011.5;10680.3
P171065817;13100;6786.48;86.6399;6474.66;9136.52
P171065823;13309;7262.39;91.9267;5911.95;10254.6
P172065801;12007;6508.25;75.1219;6932.59;8335.73
P172065807;13100;7227.65;91.4976;6845.5;9154.5
P172065813;13309;7390.97;91.9267;5888.31;10410.1
P172065815;11007;5736.62;72.5335;6651.56;7884.79
P172065817;13107;7052.99;90.1614;5963.64;9986.17
P172065823;12514;7222.44;78.0186;7158.01;8792.67
P172065825;13309;7479.42;91.9267;6148.11;10202.1
P173065811;13007;7597.89;89.2454;7133.15;9196.49
P173065801;13300;7202.14;90.4644;6196.43;9869.67
P173065807;13207;7638.72;87.5894;7147.44;9221.01
P173065813;13107;7406.05;91.9267;5891.01;10422.1
P173065815;13000;7469.89;86.6304;7080.64;9128.42
P173065817;13107;7392.35;91.9267;5880.35;10420.6
P173065823;13309;7319;91.9267;6020.49;10187.3
P173065825;13500;7383.17;90.1879;5922.3;10363.5
P174065811;13207;7711.04;89.5982;6837.2;9647.36
P174065801;12007;6574.36;78.6011;6979.92;8347.82
P174065807;13207;7725.98;88.9754;7047.61;9422.2
P174065813;13309;7457.24;91.9267;5857.18;10511.9
P174065815;13100;7036.04;88.1719;6705.62;9122.51
P174065817;13200;8009.06;90.5443;5915.68;10997
P174065823;13100;7331.61;91.4976;6324.89;9852.55
P174065825;13414;8217.21;92.7302;5822.37;11311.6
P167060621;13400;10770.9;89.8272;7231.72;12257
P170060613;13400;14285.7;86.5862;8561.81;14254
Q166060603_1;11600;11233.6;58.9152;8457.08;11321.4
P166060603;13200;11575.2;86.9448;8379.94;11751
P166060611;13200;12293.7;84.1092;9052.97;11701.5
P166060613;13410;14755.7;88.7561;9059.65;14155.9
P166060617;12600;11652.3;81.1032;7938.76;12331.6
P166060621;13000;11808.5;86.1313;7690.27;12771.4
Q167060601_1;13170;10778.6;84.8133;6907.07;12635.1
P167060601;13400;18455.4;77.3606;10663.4;16025.5
P167060603;13200;12151.2;88.8996;7350.63;13501.6
P167060611;12770;13149.1;85.2402;8691.7;12969.2
P167060613;13400;13215.2;89.0892;8473.55;13284.2
P167060617;13200;12906;89.1909;8300.58;13172.4
P168060601;13200;14774;86.4794;7909.07;15487.1
P168060603;13400;16456.5;76.9368;9554.04;15292.5
P168060651;13400;13489.4;91.2264;6405.51;15918.4
P168060655;13370;12022.6;90.5138;8707.76;11824.4
P170060611;13210;15951.9;84.4112;9607.56;14726.9
P170060617;13200;12247;91.038;8048.9;12800.6
P170060621;13400;11274.8;87.3057;7438.44;12525
Q171060601_1;13200;11928.3;86.4624;6912.15;13779.1
P171060601;13400;14883.1;69.5568;10161.2;13026.3
P171060603;13400;15671.4;86.8206;8849.31;15311.7
P171060611;13200;12658.3;82.3272;8524.82;12668.8
P171060613;13200;13360.7;87.4974;9012.72;12814.5
P171060617;13400;13341.7;89.8512;7302.77;14746.7
