Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P194069215;P194069215_1;A;0;0;0;1200;2400;2500
P194069215;P194069215_2;B;1200;0;0;2400;2400;2500
P194069215;P194069215_3;C;2400;0;0;3600;2400;2500
P194069215;P194069215_4;D;3600;0;0;4800;2400;2500
P194069215;P194069215_5;E;4800;0;0;6000;2400;2500
P194069215;P194069215_6;F;6000;0;0;7200;2400;2500
P194069215;P194069215_7;G;7200;0;0;8400;2400;2500
P194069215;P194069215_8;H;8400;0;0;9600;2400;2500
P194069215;P194069215_9;I;9600;0;0;10800;2400;2500
P194069215;P194069215_10;J;10800;0;0;12000;2400;2500
P194069215;P194069215_11;K;12000;0;0;13200;2400;2500
P194069211;P194069211_1;A;0;0;0;1200;2400;2855
P194069211;P194069211_2;B;1200;0;0;2400;2400;2500
P194069211;P194069211_3;C;2400;0;0;3600;2400;2500
P194069211;P194069211_4;D;3600;0;0;4800;2400;2500
P194069211;P194069211_5;E;4800;0;0;6000;2400;2500
P194069211;P194069211_6;F;6000;0;0;7200;2400;2500
P194069211;P194069211_7;G;7200;0;0;8400;2400;2500
P194069211;P194069211_8;H;8400;0;0;9600;2400;2500
P194069211;P194069211_9;I;9600;0;0;10800;2400;2500
P194069211;P194069211_10;J;10800;0;0;12000;2400;2500
P194069211;P194069211_11;K;12000;0;0;13200;2400;2500
P194069207;P194069207_1;A;0;0;0;1200;2400;2500
P194069207;P194069207_2;B;1200;0;0;2400;2400;1900
P194069207;P194069207_3;C;2400;0;0;3600;2400;1900
P194069207;P194069207_4;D;3600;0;0;4800;2400;1900
P194069207;P194069207_5;E;4800;0;0;6000;2400;1900
P194069207;P194069207_6;F;6000;0;0;7200;2400;1900
P194069207;P194069207_7;G;7200;0;0;9000;1200;2400
P194069207;P194069207_8;H;7200;1240;0;9600;2440;1800
P194069207;P194069207_9;I;9000;0;0;11400;1200;2000
P194069207;P194069207_10;J;9600;1240;0;12000;2440;1620
P194069207;P194069207_11;K;11400;0;0;13200;1200;2400
P194069207;P194069207_12;L;12000;1660;0;12570;2440;909
P194069307;P194069307_1;A;0;0;0;1200;2400;2500
P194069307;P194069307_2;B;1200;0;0;2400;2400;2500
P194069307;P194069307_3;C;2400;0;0;3600;2400;2500
P194069307;P194069307_4;D;3600;0;0;4800;2400;2500
P194069307;P194069307_5;E;4800;0;0;6000;2400;2500
P194069307;P194069307_6;F;6000;0;0;7200;2400;2500
P194069307;P194069307_7;G;7200;0;0;8400;2400;2500
P194069307;P194069307_8;H;8400;0;0;9600;2400;2500
P194069307;P194069307_9;I;9600;0;0;10800;2400;2500
P194069307;P194069307_10;J;10800;0;0;12000;2400;2500
P194069307;P194069307_11;K;12000;0;0;13200;2400;2500
Q194069307_1;Q194069307_1_1;A;0;0;0;1200;2400;2500
Q194069307_1;Q194069307_1_2;B;1200;0;0;2400;2400;2500
Q194069307_1;Q194069307_1_3;C;2400;0;0;3600;2400;2500
Q194069307_1;Q194069307_1_4;D;3600;0;0;4800;2400;2500
Q194069307_1;Q194069307_1_5;E;4800;0;0;6000;2400;2500
Q194069307_1;Q194069307_1_6;F;6000;0;0;7200;2400;2500
Q194069307_1;Q194069307_1_7;G;7200;0;0;8400;2400;2500
Q194069307_1;Q194069307_1_8;H;8400;0;0;9600;2400;2500
Q194069307_1;Q194069307_1_9;I;9600;0;0;10800;2400;1900
Q194069307_1;Q194069307_1_10;J;10800;0;0;12000;2400;1900
Q194069307_1;Q194069307_1_11;K;12000;0;0;13200;2400;1900
Q194069307_2;Q194069307_2_1;A;0;0;0;1200;2400;2500
Q194069307_2;Q194069307_2_2;B;1200;0;0;2400;2400;2500
Q194069307_2;Q194069307_2_3;C;2400;0;0;3600;2400;2500
Q194069307_2;Q194069307_2_4;D;3600;0;0;4800;2400;2500
Q194069307_2;Q194069307_2_5;E;4800;0;0;6000;2400;2500
Q194069307_2;Q194069307_2_6;F;6000;0;0;7200;2400;2500
Q194069307_2;Q194069307_2_7;G;7200;0;0;8400;2400;2500
Q194069307_2;Q194069307_2_8;H;8400;0;0;9600;2400;2500
Q194069307_2;Q194069307_2_9;I;9600;0;0;10800;2400;2500
Q194069307_2;Q194069307_2_10;J;10800;0;0;12000;2400;2500
Q194069307_2;Q194069307_2_11;K;12000;0;0;13200;2400;2500
Q194069307_3;Q194069307_3_1;A;0;0;0;1200;2400;1900
Q194069307_3;Q194069307_3_2;B;1200;0;0;2400;2400;1900
Q194069307_3;Q194069307_3_3;C;2400;0;0;3600;2400;1900
