Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P202525803;P202525803_1;A;0;1660;0;570;2440;909
P202525803;P202525803_2;B;0;440;0;570;1220;909
P202525803;P202525803_3;C;570;830;0;1140;1610;909
P202525803;P202525803_4;D;1140;830;0;1710;1610;909
P202525803;P202525803_5;E;1710;830;0;2280;1610;909
P202525803;P202525803_6;F;2280;1610;0;2850;2390;909
P202525803;P202525803_7;G;2280;830;0;2850;1610;1340
P202525803;P202525803_8;H;2850;1660;0;3420;2440;1340
P202525803;P202525803_9;I;2850;880;0;3420;1660;909
P202525803;P202525803_10;J;2850;100;0;3420;880;909
P202525803;P202525803_11;K;3420;0;0;3990;780;478
P202525803;P202525803_12;L;3420;780;0;4020;1580;560
P202525803;P202525803_13;M;3420;1640;0;4020;2440;560
P202525803;P202525803_14;N;3990;0;0;4790;600;560
P202525803;P202525803_15;O;4020;600;0;4820;1200;560
P202525803;P202525803_16;P;4020;1200;0;4820;1800;560
P202525803;P202525803_17;Q;4020;1840;0;4820;2440;560
P202525803;P202525803_18;R;4790;0;0;5590;600;560
P202525803;P202525803_19;S;4820;600;0;5620;1200;560
P202525803;P202525803_20;T;4820;1200;0;5620;1800;560
P202525803;P202525803_21;U;4820;1840;0;5620;2440;560
P202525803;P202525803_22;V;5590;0;0;6390;600;560
P202525803;P202525803_23;W;5620;600;0;6420;1200;560
P202525803;P202525803_24;X;5620;1200;0;6420;1800;560
P202525803;P202525803_25;Y;5620;1840;0;6420;2440;560
P202525803;P202525803_26;Z;6390;0;0;7190;600;560
P202525803;P202525803_27;AA;6420;600;0;7220;1200;560
P202525803;P202525803_28;AB;6420;1200;0;7220;1800;560
P202525803;P202525803_29;AC;6420;1840;0;7220;2440;560
P202525803;P202525803_30;AD;7190;0;0;7990;600;560
P202525803;P202525803_31;AE;7220;600;0;8020;1200;560
P202525803;P202525803_32;AF;7220;1200;0;8020;1800;560
P202525803;P202525803_33;AG;7220;1840;0;8020;2440;560
P202525803;P202525803_34;AH;7990;0;0;8790;600;560
P202525803;P202525803_35;AI;8020;600;0;8820;1200;560
P202525803;P202525803_36;AJ;8020;1200;0;8820;1800;560
P202525803;P202525803_37;AK;8020;1840;0;8820;2440;560
P202525803;P202525803_38;AL;8790;0;0;9590;600;560
P202525803;P202525803_39;AM;8820;600;0;9620;1200;560
P202525803;P202525803_40;AN;8820;1200;0;9620;1800;560
P202525803;P202525803_41;AO;8820;1840;0;9620;2440;560
P202525803;P202525803_42;AP;9590;0;0;10390;600;560
P202525803;P202525803_43;AQ;9620;600;0;10420;1200;560
P202525803;P202525803_44;AR;9620;1200;0;10420;1800;560
P202525803;P202525803_45;AS;9620;1840;0;10420;2440;560
P202525803;P202525803_46;AT;10390;0;0;11190;600;560
P202525803;P202525803_47;AU;10420;600;0;11220;1200;560
P202525803;P202525803_48;AV;10420;1200;0;11220;1800;560
P202525803;P202525803_49;AW;10420;1840;0;11220;2440;560
P202525803;P202525803_50;AX;11190;0;0;11990;600;560
P202525803;P202525803_51;AY;11220;600;0;12020;1200;560
P202525803;P202525803_52;AZ;11220;1200;0;12020;1800;560
P202525803;P202525803_53;AAA;11220;1840;0;12020;2440;560
P202525803;P202525803_54;AAB;11990;0;0;12790;600;560
P202525803;P202525803_55;AAC;12020;600;0;12620;1400;560
P201525805;P201525805_1;A;0;820;0;600;1620;560
P201525805;P201525805_2;B;600;820;0;1200;1620;560
P201525805;P201525805_3;C;1200;1620;0;1800;2420;560
P201525805;P201525805_4;D;1200;820;0;1800;1620;560
P201525805;P201525805_5;E;1800;1640;0;2400;2440;560
P201525805;P201525805_6;F;1800;840;0;2400;1640;560
P201525805;P201525805_7;G;1800;40;0;2400;840;560
P201525805;P201525805_8;H;2400;1640;0;3000;2440;560
P201525805;P201525805_9;I;2400;0;0;3000;800;560
P201525805;P201525805_10;J;2400;800;0;3000;1600;560
P201525805;P201525805_11;K;3000;0;0;3600;800;560
P201525805;P201525805_12;L;3000;800;0;3600;1600;560
P201525805;P201525805_13;M;3000;1640;0;3600;2440;560
P201525805;P201525805_14;N;3600;1640;0;4200;2440;560
P201525805;P201525805_15;O;3600;0;0;4200;800;560
P201525805;P201525805_16;P;3600;800;0;4200;1600;560
P201525805;P201525805_17;Q;4200;0;0;4800;800;560
P201525805;P201525805_18;R;4200;800;0;4800;1600;560
P201525805;P201525805_19;S;4200;1640;0;4800;2440;560
P201525805;P201525805_20;T;4800;1640;0;5400;2440;560
P201525805;P201525805_21;U;4800;0;0;5400;800;560
