Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P184525805;13140;23338.3;17.7017;10528.8;21062.1
P185525803;13190;24824.2;16.2165;11785.9;21113.4
P186525803;13220;24740.4;16.329;10244.3;22788.7
P187525805;13480;24932.6;15.6378;10919;22211
P188525803;13390;24794.4;16.329;9649.28;23521.7
P191525803;13050;22751.5;14.6809;9520.02;21626.3
P192525803;13190;24710.3;16.083;10664.1;22279.7
P191525805;13370;20479.6;14.6173;9672.43;19180.5
P193525803;13420;24586.9;16.3145;10625.8;22199.8
P194525805;13310;24363.2;17.0612;11158.8;21367.9
P194525803;12080;24709.6;15.5063;11992.8;20762.6
P195525803;13220;24995.3;16.5207;11161.8;21996.6
P198525805;13220;24916;15.1439;11597.3;21420.4
P199525803;13360;24870.5;15.8579;9858.98;23358.6
P200525803;13130;24947.5;16.2393;10796;22366.2
P201525803;13250;24626.6;15.6188;9446.02;23585.9
P184525803;6540;10740.7;6.74278;11581.1;7263.63
P187525803;13450;24358.2;15.4272;9978.87;22709.4
P198525803;13360;24622.1;15.3583;9672.74;23322.6
P201525805;12450;24912.7;15.2793;11864.5;21112.1
P202525803;12790;24849.4;16.4644;11677.6;21262.2
P205525803;11480;19615.9;13.0472;10333.1;17562.9
P206525803;12650;24807.5;16.4644;11472.7;21454
P205525805;13220;20917.5;18.665;9522.17;19789.8
P208525803;12540;24229.7;15.596;11689.3;20629
Q209525803_1;13200;24945.5;15.3216;10578;22613.1
Q207525803_1;12540;24674.6;14.6026;11437.3;21361.6
P207525803;12250;24758.5;15.8788;11827.9;20999.7
P208525805;13220;23843.4;22.1417;10796.5;21261.6
P209525803;13390;24989.7;16.7123;10417.9;22840
P233525803;12510;23231.6;14.3166;11408.5;19951.3
P234525803;12110;23608.8;14.6417;11852.7;19821.8
P235525803;12680;23948.7;14.6626;11164.9;20946.4
P236525803;12080;23466.2;14.3938;11673.2;19884
Q237525803_2;12100;21129.1;11.7331;10405.8;18993.1
Q237525803_1;12600;24833.6;15.3216;11632.6;21297.8
P237525803;12450;24646.1;16.6016;10281.8;22651.7
P240525803;12390;22211.5;13.5874;11124.8;19255
P198515403;11200;16216.3;63.9936;11230.1;13139.8
P199515403;12800;20075.4;81.2448;9812.24;18616.8
P198515405;12800;16830.9;77.76;10434.7;14661.9
P200515403;12800;20806.1;82.944;9988.47;19146.4
P201515405;12800;17323.8;79.5456;10281.9;15329.3
P202515401;12800;17953;82.944;10086.8;16181.1
P205515403;12800;19956.5;81.2448;10055.3;18220.6
P236515401;12800;17561.6;79.5456;10208.1;15651.2
P237515401;12800;21876;82.944;10508.7;19622.7
Q237515401_1;12800;18309.6;82.944;9976.18;16663.9
P240515401;12800;20092.8;82.944;9816.43;18629.4
P200515401;12800;17953;82.944;10086.8;16181.1
P201515403;12800;22945.9;82.944;11291;19799.8
P202515403;12800;21876;82.944;10508.7;19622.7
P206515403;12800;20449.4;82.944;9902.45;18887.9
P206515401;12800;17953;82.944;10086.8;16181.1
P207515403;12800;20806.1;82.944;9988.47;19146.4
P208515403;12800;22215.3;81.2448;10712;19729.9
P208515401;12800;17953;82.944;10086.8;16181.1
P209515403;12800;22589.3;82.944;11008.4;19765.7
P209515401;12800;17953;82.944;10086.8;16181.1
Q233515401_1;8000;9434.62;39.8592;10362.7;7347.84
P233515401;12800;19379.5;82.944;9775.47;17962.9
P234515401;12800;20092.8;82.944;9816.43;18629.4
P235515401;12800;20092.8;82.944;9816.43;18629.4
