Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P184525803;9480;12670.3;7.84076;9275.62;11824.1
P187525803;12710;24849.6;16.0565;11840;21077
P194525805;12310;21013.4;15.0233;10969.1;18234.6
P198525805;13500;24895.9;15.5949;11641.3;21350.1
P184525805;12340;21354.4;15.7333;10479.6;19134.3
P185525803;13390;24854.8;16.2165;10858.9;22201.8
P186525803;13450;24742.1;16.329;11253.6;21638.8
P187525805;13450;24766;17.0072;10395.6;22641.7
P188525803;13420;24794.4;16.329;9542.82;23643.2
P191525803;8910;14576.6;9.49271;11716.5;10944.9
P191525805;12540;24972.6;15.6941;11286.1;21832.1
P192525803;12420;24735.4;16.0267;11953.9;20832.9
P193525803;13390;24583.9;16.2728;9960.35;22956.3
P194525803;10620;15622.6;10.3554;9436.55;14592.7
Q195525803_1;9110;14666;8.53271;10970.4;11885.8
P195525803;12820;24949.7;16.6042;10730.4;22443.4
P198525803;12160;22186.5;13.7809;11414.4;18899.6
P199525803;13420;24560.9;16.2519;10399.7;22431.8
P200525803;12990;24814.8;16.4644;11089.1;21899.1
P201525803;8820;13895.3;8.6737;11481.6;10531.7
P201525805;13170;24657.4;15.7295;9490.37;23566.1
Q202525803_1;8940;15040.9;8.74523;11546.1;11603.7
P202525803;13360;24866.2;16.4708;10000.3;23193
P205525803;12020;21752.3;13.4558;10803.3;19162.7
P206525803;12680;24811.7;16.4644;11932.8;20933.2
P205525805;12620;19685.5;21.6583;10854;17038.1
Q207525803_1;6450;11171;6.26975;11758.1;7491.88
P208525805;13340;24815.4;19.7639;11208.9;21763
P207525803;13390;24967.2;16.5833;9607.51;23742.2
P208525803;12820;24894.9;15.4001;11382.9;21643.9
Q209525803_2;7710;10331.4;5.78843;9840.11;8841.02
Q209525803_1;13400;24860.6;15.3216;8996.33;24333.1
P209525803;13390;24996.2;16.7332;10017.1;23303.9
P233525803;12620;23231.6;14.3166;10497.7;20990.7
P233525805;1000;495.9;1.116;4608.4;4975.6
P234525803;13020;23608.8;14.6417;9314.3;22718.4
P235525803;13020;23948.7;14.6626;10164.4;22088.1
P236525803;11880;23466.2;14.3938;11957.8;19559.1
Q237525803_2;11960;20723.6;11.4643;11692.7;17119.1
Q237525803_1;13170;24995.6;15.5341;10981.3;22202.9
P237525803;13050;24889.7;16.6788;9548.49;23732.1
P240525803;11880;22211.5;13.5874;11527.8;18795.2
P200515403;11200;16573;63.9936;11447.2;13248.7
P201515403;12800;22453;81.2448;11443.9;19132.5
P200515401;12800;17578.9;81.2448;10202.8;15674.7
P201515405;12800;17953;82.944;10086.8;16181.1
P202515401;12800;18309.6;82.944;9976.18;16663.9
P205515403;9600;13972.2;53.6256;11606.9;10465.7
P206515403;12800;19956.5;81.2448;10055.3;18220.6
P207515403;9600;14328.9;53.6256;11889.5;10499.8
P208515403;12800;22453;81.2448;11443.9;19132.5
P198515403;4800;6187.32;24.3072;8901.26;5768.25
P198515401;12800;18631.5;79.5456;9732.52;17263.8
P199515403;6400;8906.96;34.5888;10491.2;6673.55
P199515401;12800;18648.9;81.2448;9867.78;17126.9
P202515403;12800;21876;82.944;10508.7;19622.7
P205515405;12800;17953;82.944;10086.8;16181.1
P207515401;12800;17953;82.944;10086.8;16181.1
P208515405;12800;17953;82.944;10086.8;16181.1
P209515403;12800;22232.6;82.944;10725.8;19731.6
P209515401;12800;17935.6;81.2448;10092.2;16157.5
Q233515401_1;4800;7393.5;25.92;10238.1;5448.93
P233515401;12800;18309.6;82.944;9976.18;16663.9
P234515401;12800;20092.8;82.944;9816.43;18629.4
Q235515401_1;4800;7886.4;27.7056;10538.1;5599.45
P235515401;12800;17935.6;81.2448;10092.2;16157.5
P236515401;12800;20092.8;82.944;9816.43;18629.4
Q237515401_3;9600;15279.9;53.6256;11777.9;11578.2
Q237515401_2;12800;20432.1;81.2448;9829.53;18953.7
Q237515401_1;12800;17953;82.944;10086.8;16181.1
P237515401;12800;17953;82.944;10086.8;16181.1
P240515401;12800;20092.8;82.944;9816.43;18629.4
P170525803;10620;15462.6;9.72236;9745.27;14080.4
P171525803;12760;22772.1;14.6664;9093;22134.2
P172525803;12960;22339.5;14.3558;9772.38;20926.4
P173525803;12450;23364.1;14.8934;11865.7;19562.2
Q174525803_1;4140;8840.99;5.15088;11552.5;5396.48
P174525803;12680;24946.3;16.2146;11414.2;21659.7
P177525803;12390;22625.6;14.5683;10521.6;20357.5
P178525803;12420;23062.2;14.8371;11423.2;19765.3
P179525803;12790;23927.6;14.2459;10889.6;21239.6
P180525803;13340;24843.4;15.4797;9681.87;23533.5
P181525803;13400;24951.1;15.5341;10286.8;22951
P186515403;11200;16947;65.6928;11674.8;13362.9
P187515403;12800;22453;81.2448;11443.9;19132.5
P186515401;12800;17578.9;81.2448;10202.8;15674.7
P188515401;12800;18400.1;82.944;10064.6;16653.6
P191515403;9600;14720.3;57.1104;11315.7;11545.9
P192515403;12800;19956.5;81.2448;10055.3;18220.6
P191515405;12800;17204.9;79.5456;10318.7;15168.3
P184515403;11200;18237.3;63.9936;11585.4;14755.2
P184515405;12800;22945.9;82.944;11291;19799.8
P184515401;12800;18631.5;79.5456;9732.52;17263.8
P185515403;6400;8906.96;34.5888;10491.2;6673.55
P185515401;12800;18648.9;81.2448;9867.78;17126.9
P187515405;12800;17953;82.944;10086.8;16181.1
P188515403;12800;21876;82.944;10508.7;19622.7
P193515403;11200;16436.7;62.2944;11657.8;12872.1
P193515401;12800;17953;82.944;10086.8;16181.1
P194515403;12800;22215.3;81.2448;10712;19729.9
P194515405;12800;17953;82.944;10086.8;16181.1
P195515403;12800;21876;82.944;10508.7;19622.7
P195515401;12800;18309.6;82.944;9976.18;16663.9
P184623401;11325;19397.7;14.6339;10467.1;17191.8
P185623401;12495;22749.6;17.4226;10671.1;20311
P186623401;13065;23982.3;18.2398;9748.31;22596.6
Q187623401_1;10050;17340.4;12.1931;11070.7;14445.7
P187623401;10525;16920.4;13.9629;11130.7;13957.2
Q188623401_1;1845;3974.6;2.57613;7997.15;4587.25
P188623401;12675;19782.9;15.7199;8421.09;19911.8
P191623401;12695;21278.5;16.1241;9948.83;19664
P192623401;12895;22445.8;17.2101;9453.49;21396.6
P193623401;12600;24886;19.1133;10913.1;22171.1
Q194623401_1;4425;8392.92;7.04277;10910.1;5681.55
P194623401;13275;24276.2;17.8356;8856.47;23908.2
P195623401;13000;23639.8;18.2961;10117.2;21833.2
P198623401;12125;22008.5;16.9413;9994.8;20341.5
Q199623401_1;1275;1761.4;1.49014;5884.22;4785.21
P199623401;12600;19874;14.9027;9721.18;18519.3
P200623401;13275;24768.3;19.1133;10052.3;23035.7
Q201623401_1;6825;10934.4;7.30078;11243;7843.14
P201623401;12000;20237.3;16.6833;9258.02;19411.1
P202623401;13275;24768.3;19.1133;11152.1;21780.7
P208623401;11925;22508.1;16.1241;10498.3;20266.6
Q209623401_1;13125;23803.1;18.9671;10496.4;21563.8
