Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P209525803;P209525803_1;A;0;1660;0;570;2440;1340
P209525803;P209525803_2;B;0;440;0;570;1220;909
P209525803;P209525803_3;C;570;830;0;1140;1610;909
P209525803;P209525803_4;D;1140;830;0;1710;1610;909
P209525803;P209525803_5;E;1710;830;0;2280;1610;909
P209525803;P209525803_6;F;2280;1610;0;2850;2390;909
P209525803;P209525803_7;G;2280;830;0;2850;1610;909
P209525803;P209525803_8;H;2850;830;0;3420;1610;909
P209525803;P209525803_9;I;3420;1610;0;3990;2390;909
P209525803;P209525803_10;J;3420;830;0;3990;1610;909
P209525803;P209525803_11;K;3990;1660;0;4560;2440;909
P209525803;P209525803_12;L;3990;860;0;4590;1660;560
P209525803;P209525803_13;M;3990;60;0;4590;860;560
P209525803;P209525803_14;N;4560;1840;0;5360;2440;560
P209525803;P209525803_15;O;4590;0;0;5390;600;560
P209525803;P209525803_16;P;4590;600;0;5390;1200;560
P209525803;P209525803_17;Q;4590;1200;0;5390;1800;560
P209525803;P209525803_18;R;5360;1840;0;6160;2440;560
P209525803;P209525803_19;S;5390;0;0;6190;600;560
P209525803;P209525803_20;T;5390;600;0;6190;1200;560
P209525803;P209525803_21;U;5390;1200;0;6190;1800;560
P209525803;P209525803_22;V;6160;1840;0;6960;2440;560
P209525803;P209525803_23;W;6190;0;0;6990;600;560
P209525803;P209525803_24;X;6190;600;0;6990;1200;560
P209525803;P209525803_25;Y;6190;1200;0;6990;1800;560
P209525803;P209525803_26;Z;6960;1840;0;7760;2440;560
P209525803;P209525803_27;AA;6990;0;0;7790;600;560
P209525803;P209525803_28;AB;6990;600;0;7790;1200;560
P209525803;P209525803_29;AC;6990;1200;0;7790;1800;560
P209525803;P209525803_30;AD;7760;1840;0;8560;2440;560
P209525803;P209525803_31;AE;7790;0;0;8590;600;560
P209525803;P209525803_32;AF;7790;600;0;8590;1200;560
P209525803;P209525803_33;AG;7790;1200;0;8590;1800;560
P209525803;P209525803_34;AH;8560;1840;0;9360;2440;560
P209525803;P209525803_35;AI;8590;0;0;9390;600;560
P209525803;P209525803_36;AJ;8590;600;0;9390;1200;560
P209525803;P209525803_37;AK;8590;1200;0;9390;1800;560
P209525803;P209525803_38;AL;9360;1840;0;10160;2440;560
P209525803;P209525803_39;AM;9390;0;0;10190;600;560
P209525803;P209525803_40;AN;9390;600;0;10190;1200;560
P209525803;P209525803_41;AO;9390;1200;0;10190;1800;560
P209525803;P209525803_42;AP;10160;1840;0;10960;2440;560
P209525803;P209525803_43;AQ;10190;0;0;10990;600;560
P209525803;P209525803_44;AR;10190;600;0;10990;1200;560
P209525803;P209525803_45;AS;10190;1200;0;10990;1800;560
P209525803;P209525803_46;AT;10960;1840;0;11760;2440;560
P209525803;P209525803_47;AU;10990;0;0;11790;600;560
P209525803;P209525803_48;AV;10990;600;0;11790;1200;560
P209525803;P209525803_49;AW;10990;1200;0;11790;1800;560
P209525803;P209525803_50;AX;11760;1840;0;12560;2440;560
P209525803;P209525803_51;AY;11790;0;0;12590;600;560
