Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P187447813;12831;8102.51;85.7681;7526.02;9252.79
P188447823;13210;10437.6;88.4182;8276.94;10731
P187447817;13214;8560.88;87.1704;7176.27;10110.3
P188447813;13242;8164.65;90.4574;6399.92;10600
P194447813;13438;7729.77;84.4101;6790.01;9719.95
P195447823;13419;10234;90.553;6964.9;12024.6
P195447817;13435;8158.61;91.8107;6897.63;10026
P196447853;13210;10499.2;88.3311;7184.68;12039
P182447815;11617;7547.68;61.1101;7718.94;8477.82
P182447851;13045;8875.12;88.3891;6164.78;11578.8
P182447855;13431;8788.83;88.4569;7381.38;10104.2
P184447825;13231;9332.71;86.7856;7243.77;10805.1
P184447809;13482;6434.86;90.1332;6292.19;8993.12
P184447821;12621;9973.14;85.4174;7550.44;11095.6
P184447811;13224;9783.09;89.384;7090.3;11430.6
P184447813;13414;8814.38;90.5836;6848.2;10738.2
P185447815;13021;10199.6;85.8463;7608.74;11255.4
P185447823;13224;9483.53;86.9176;7319.09;10869.9
P185447819;13017;10456;86.9658;6835.07;12394.8
P185447801;13452;7619.88;87.7805;7151.53;9197.52
P185447821;13224;9749.55;85.7219;6690.51;11853.3
P185447811;13231;9308.61;88.8555;7007.03;11051.1
P185447813;13231;8666.72;87.8978;6857.48;10579.9
P185447817;13421;10309.8;92.1294;6926.45;12144.3
P186447815;13217;9547.22;84.2676;7198.22;11071.6
P186447823;13231;9549.06;89.1225;6951.14;11355.4
P186447819;13035;9901.03;88.5026;7001.47;11649.9
P186447801;13238;9639.99;89.902;7235.62;11121.7
P186447809;13056;8105.84;90.826;5600.86;11453
P186447821;13228;9451.78;90.0877;7014.18;11186.1
P186447811;13224;10096.9;88.9587;7655.89;11099
P186447813;13238;8739.92;90.2187;6782.47;10738.7
P187447815;13248;8967.06;85.7989;6955.62;10768.2
P187447823;13414;10084.7;89.5028;7062.37;11764.1
Q187447809_1;13449;7359.63;91.9218;7131.27;8960.37
P187447819;13038;8692.09;84.5346;6898.76;10558.2
P187447801;13021;9579.54;87.2585;7143.74;11166.1
P187447809;13224;8994.36;89.1196;6473.44;11345.8
P187447821;13021;10472.6;88.7329;7413.15;11751.7
