Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P196447855;P196447855_1;A;0;0;0;1007;1209;2925
P196447855;P196447855_2;B;0;1231;0;1007;2440;2925
P196447855;P196447855_3;C;1007;1231;0;2014;2440;2925
P196447855;P196447855_4;D;1007;0;0;2007;1200;2835
P196447855;P196447855_5;E;2007;0;0;3007;1200;2835
P196447855;P196447855_6;F;2014;1240;0;3014;2440;2835
P196447855;P196447855_7;G;3007;0;0;4014;1209;2925
P196447855;P196447855_8;H;3014;1231;0;4021;2440;2440
P196447855;P196447855_9;I;4014;0;0;5014;1200;2835
P196447855;P196447855_10;J;4021;1240;0;5021;2440;2835
P196447855;P196447855_11;K;5014;0;0;6014;1200;2835
P196447855;P196447855_12;L;5021;1240;0;6021;2440;2835
P196447855;P196447855_13;M;6014;0;0;7014;1200;2835
P196447855;P196447855_14;N;6021;1240;0;7021;2440;2835
P196447855;P196447855_15;O;7014;0;0;8014;1200;2835
P196447855;P196447855_16;P;7021;1240;0;8021;2440;2835
P196447855;P196447855_17;Q;8014;0;0;9014;1200;2835
P196447855;P196447855_18;R;8021;1240;0;9621;2440;2865
P196447855;P196447855_19;S;9014;0;0;10614;1200;2865
P196447855;P196447855_20;T;9621;1240;0;11221;2440;2865
P196447855;P196447855_21;U;10614;0;0;12214;1200;2865
P196447855;P196447855_22;V;11221;1240;0;12821;2440;2865
P196447855;P196447855_23;W;12214;0;0;13221;1209;2920
P196447853;P196447853_1;A;0;0;0;1000;1200;2835
P196447853;P196447853_2;B;0;1231;0;1007;2440;2920
P196447853;P196447853_3;C;1000;0;0;2007;1209;2920
P196447853;P196447853_4;D;1007;1231;0;2014;2440;2920
P196447853;P196447853_5;E;2007;0;0;3607;1200;2865
P196447853;P196447853_6;F;2014;1240;0;3614;2440;2865
P196447853;P196447853_7;G;3607;0;0;4614;1209;2920
P196447853;P196447853_8;H;3614;1231;0;4621;2440;2920
P196447853;P196447853_9;I;4614;0;0;5621;1209;2920
P196447853;P196447853_10;J;4621;1232;0;6231;2440;2900
P196447853;P196447853_11;K;5621;0;0;7231;1208;2900
P196447853;P196447853_12;L;6231;1240;0;7231;2440;2835
P196447853;P196447853_13;M;7231;1240;0;8231;2440;2835
P196447853;P196447853_14;N;7231;0;0;8231;1200;2835
P196447853;P196447853_15;O;8231;0;0;9231;1200;2835
P196447853;P196447853_16;P;8231;1240;0;9231;2440;2835
P196447853;P196447853_17;Q;9231;1240;0;10231;2440;2835
P196447853;P196447853_18;R;9231;0;0;10231;1200;2835
P196447853;P196447853_19;S;10231;0;0;11231;1200;2835
P196447853;P196447853_20;T;10231;1240;0;11231;2440;2835
P196447853;P196447853_21;U;11231;1240;0;12231;2440;2835
P196447853;P196447853_22;V;11231;0;0;12231;1200;2835
P196447853;P196447853_23;W;12231;0;0;13431;1000;2835
P196447853;P196447853_24;X;12231;1440;0;13431;2440;2835
P196447859;P196447859_1;A;0;1234;0;1010;2440;1666
P196447859;P196447859_2;B;0;0;0;1007;1209;2925
P196447859;P196447859_3;C;1007;0;0;2014;1209;2925
P196447859;P196447859_4;D;1010;1231;0;2017;2440;2925
P196447859;P196447859_5;E;2014;0;0;3021;1209;2920
P196447859;P196447859_6;F;2017;1240;0;3017;2440;2865
P196447859;P196447859_7;G;3017;1240;0;4017;2440;2865
P196447859;P196447859_8;H;3021;0;0;4021;1200;2865
