Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P182447851;13091;6350.66;89.6855;5874.61;9385.43
P184447809;13028;9258.72;87.6713;8110.27;9742.29
P194447817;13245;8206.16;86.2717;7582.51;9291.98
P195447815;13231;8772.41;82.6192;6854.17;10689.4
P182447815;11217;6666.06;60.3268;7589.58;7743.82
P182447855;13217;10086.9;90.2001;7456.13;11317
Q184447825_1;7624;5096.27;47.2247;7587.5;6176.39
P184447825;13238;9620.82;89.2946;6800.45;11599.1
P184447821;13231;9219.3;89.5852;7149.64;10799.1
P184447811;13238;9267.59;91.3438;6277.2;11843
P184447813;13021;9857.03;87.5665;7448.8;11095.4
P185447815;13224;9534.69;87.8352;6612.94;11726.9
P185447823;13028;9940.63;88.0192;7853.71;10717
P185447819;13417;9847.59;90.8527;6520.64;12145.2
P185447801;13238;8804.92;88.805;7018.77;10534.1
P185447821;13423;10039.1;90.0518;7208.78;11551.4
P185447811;13231;9277.72;90.181;7063.25;10956.1
P185447817;13217;10203;90.6415;7600.03;11268.8
P186447815;13235;8930.75;86.0248;6455.85;11302.3
P186447823;13014;9842.51;84.1245;7594.2;10915
P186447819;13042;8758.34;88.5274;6600.91;10964.3
P186447801;13417;10084.9;90.6248;7074.18;11750.8
P186447809;13063;7979.16;89.7615;5928.75;10952.1
P186447821;13224;9474.8;86.4515;6607.94;11672.7
P186447811;13417;10100;90.9032;7183.96;11640.6
P186447817;13035;8631.69;85.8266;6197.16;11298.4
P187447815;13224;9327.61;85.6798;7068.94;10999.5
P187447823;13224;9584.75;88.5177;6980.36;11357.7
P187447819;13223;10334.5;89.0311;7845.7;11120
P187447801;13424;8763.61;87.561;6903.07;10624.8
P187447809;13084;6409.57;90.1964;6191.02;9083.28
P187447821;12838;7885.29;75.6947;6757.91;9912.1
P187447811;13224;10164;89.4727;7542.93;11295
P187447813;13231;9193;85.6835;6564.57;11440.4
P187447817;13221;9905.89;90.5666;7350.1;11256.9
P188447815;13245;8733.66;86.4844;6386.04;11184.8
P188447823;13224;9642.18;88.0967;6724.89;11706.7
P188447819;13217;10473.8;90.5109;6885.81;12354.6
P188447801;13049;8955.24;90.0033;7256.74;10412.8
P188447821;12624;9491.93;84.4812;7166.58;11052.4
P188447811;13234;9175.83;90.6976;6739.24;11223.9
P188447813;13214;10618.7;89.0712;7238.74;12096.8
P188447817;13042;8822.1;86.9965;6904.25;10681.9
P189447815;13228;9457.7;89.06;7063.23;11136.1
Q189447819_2;13238;8343.05;84.1933;6009.6;11223.8
Q189447819_1;13214;10524.6;90.2743;7642.25;11542.3
P189447819;13214;9993.16;88.6814;7217.41;11495.6
P189447851;13466;7420.14;89.974;5652.45;10708.4
P189447859;13042;9075.54;88.6472;6201.02;11737.8
P189447853;13224;10194.4;89.8269;7632.73;11222.9
Q189447855_1;13420;9740.11;88.2355;7074.86;11405.2
P189447855;13049;8392.88;89.4045;6655.8;10536.2
Q191447825_1;12421;8558.13;79.6789;7233.74;10042
P191447825;13014;9436.17;87.3716;6735.13;11489
P191447809;13059;8147.71;88.0105;7493.17;9335.49
P191447821;13238;9425.89;85.5101;7452.32;10660.3
P191447813;13028;9286.16;88.1932;6657.06;11428
P191447817;13214;9636.59;88.0921;7218.93;11137.3
P192447815;13238;9209.29;86.3712;6732.71;11264.9
P192447823;13028;10324.3;88.8331;6913.33;12173.8
P192447819;13431;9214.3;92.6902;6565.03;11461.2
P192447801;13014;10549.7;88.088;7771.48;11419.9
P192447821;13249;8380.32;87.455;6379.97;10838.4
P192447811;13231;9984.22;89.7581;6554.39;12243.3
P192447817;13417;9134.64;90.0507;7114.15;10754.9
P193447815;13207;9987.57;89.0749;7239.14;11465.2
P193447823;13220;9513.93;84.8383;6973.39;11294.8
P193447819;13214;10015.6;88.8057;7351.11;11365.5
P193447801;13440;8391.97;87.7643;6736.56;10443.1
P193447809;13059;7997.68;88.7081;5694.15;11238.4
P193447811;13231;9859.06;89.9684;7161.23;11425.6
P193447813;13224;10104.4;87.2301;7584.45;11188
P193447817;13243;8560.57;87.7097;6615.02;10750.4
P194447815;13238;9175.8;87.6093;6891.62;11050
P194447823;12631;9581.62;84.0023;6932.7;11409
P194447819;13217;10039.5;86.2558;7337.35;11405.1
P194447801;13238;9232.47;89.8346;7486.56;10427.8
P194447809;13479;6132.92;90.3777;5873.28;9169.21
P194447821;11227;7284.24;65.2123;7427.61;8546.82
P194447811;13231;9098.59;87.331;7006.61;10841.6
P194447813;13217;10021.2;85.0517;7645.9;11034.7
Q195447823_1;13224;8936.66;79.0857;7144.12;10522.8
P195447823;13021;10364.9;88.5891;7071.43;12033.9
P195447819;13417;9947.12;89.57;6545.24;12216.6
P195447801;13258;8461.12;89.1246;7051.55;10152.8
P195447821;13421;9775.79;91.0093;6774.28;11783.9
P195447813;13241;9129.47;84.4995;6630.41;11301.8
P195447817;13231;9568;91.1127;6527.99;11857.2
Q196447815_2;13035;9375.49;83.4188;7701.4;10325.6
Q196447815_1;13238;9310.22;88.1741;6680.36;11425.5
P196447815;13217;10251.8;90.6279;8061.23;10791.3
P196447819;13207;9586.27;88.664;7298.94;10995.7
P196447851;13245;8300.6;88.4392;6171.06;10997.1
Q196447859_1;13224;9655.21;89.5592;7763.66;10534.3
P196447859;13031;10120.8;88.8652;7672.19;11104.3
P196447853;13417;9833.7;90.7629;6888.64;11711.3
P196447855;13042;8898.02;89.5749;7040.7;10602.1
P198447813;13438;8688.99;90.0153;6863.56;10595.2
P199447821;13224;8995.45;80.4389;7719.28;9925.2
P201447817;13231;8845.1;86.746;6907.61;10701.1
P202447819;13400;9929.54;91.0376;6967.95;11716.7
P208447817;13228;9258.49;88.4831;7020.17;10986
P209447815;13214;9624.76;85.6355;7128.83;11228.3
P209447801;13207;10496.8;89.6677;7422.47;11765.2
Q198447825_1;6000;4443.08;34.164;7453.5;5676.12
P198447825;13235;8379.39;83.8022;5948.31;11330.1
P198447809;13077;6295.15;87.9654;5598.35;9645.17
P198447821;13221;8593.64;78.8941;6982.64;10364
P198447811;13216;10770.8;87.3392;7786.29;11624.1
P199447815;13224;9440.57;87.1199;7277.64;10874.3
P199447823;13227;9582.25;88.3195;6686.97;11690
P199447819;13228;9253.95;88.2988;6403.92;11684.7
P199447801;13021;10218.7;89.217;6706.84;12303.8
P199447811;13231;9408.74;88.9346;7036.65;11117.5
P199447813;13224;9429.53;87.0009;7064.74;11106.2
P199447817;13224;10058.7;90.2606;7252.69;11520.9
P200447815;13231;9099.38;87.0029;6585.74;11322.7
P200447823;13217;10115.7;87.4137;7536.35;11254.2
P200447819;13238;9203.39;88.9274;7343.23;10562.3
P200447801;13221;9957.8;88.4125;7502.67;11134.7
P200447809;13262;7955.8;87.9919;5878.44;10986.2
P200447821;13038;9019.15;87.0791;6344.46;11517.8
P200447811;13224;10027.3;90.0911;7539.62;11162
P200447817;13235;9095.53;90.1832;6686.42;11203.9
P201447821;13407;10004.9;87.9365;7222.57;11501.5
P201447815;13224;9763.97;88.5579;7210.13;11274.7
P201447823;13217;9414.95;84.0316;6786.22;11409.5
P201447819;13028;9574.62;85.887;6744.87;11616.3
P201447801;13424;9494.36;91.2391;7328.46;10870.1
P201447809;13486;6185.26;91.5082;5624.72;9505.2
P201447811;13028;9019.42;86.9072;7202.52;10538.9
P201447813;13224;9541.78;86.7031;6966.22;11330.9
P202447815;13000;9657.5;84.8903;7405.35;10945.5
P202447823;13217;9385.33;84.2191;7031.22;11100.2
P202447801;13234;8770.21;88.0991;6530.65;11056.4
P202447821;12638;8948.87;83.9106;7395.64;10247.9
P202447811;13417;10108.6;89.2693;7179.86;11653.9
P202447813;13028;9979.4;87.7592;7461.69;11203.1
P202447817;13431;9252.48;91.2567;7264.57;10701.1
Q203447815_1;13424;10085.5;90.2127;7307.73;11484.9
P203447815;13038;9457.21;89.3553;7012.88;11193.1
P203447819;13248;9132.66;88.7423;7423.08;10400.4
Q203447851_2;13223;10342.9;86.7763;7959.48;10998.6
Q203447851_1;13207;10329.9;88.4815;6800.23;12308.4
P203447851;13091;5809.82;91.6134;5794.19;8936.36
P203447859;13227;10038.8;89.6241;8073.77;10564.1
P203447853;13245;8541.78;90.4575;6143.97;11269.2
P203447855;13228;9557.02;90.3124;7592.78;10631.1
Q205447825_1;12210;9183.88;74.7021;7574.53;10278.8
P205447825;13252;8646.91;88.6666;6733.28;10701.8
P205447809;13049;8651.42;88.7365;7137.78;10244.7
P205447821;13217;10155.5;88.0272;7528.41;11303
P205447813;13431;8834.02;91.708;6245.36;11445.7
Q206447815_1;13431;9346.49;90.5341;6819.72;11302.8
P206447815;13028;9920.2;87.4837;7195.4;11447.8
P206447823;13210;9551.47;83.1659;7589.22;10629.6
P206447819;13223;10401.5;89.295;7286.77;11824.8
P206447801;13231;8919.33;89.0063;7781.42;9778.17
P206447821;13231;8927.74;90.0778;6221.02;11567.2
P206447813;13217;10466.3;84.6106;7935.62;11149.2
P206447817;13252;8205.3;87.3571;6387.58;10654.7
P207447815;13224;9723.38;86.776;7195.72;11250.6
P207447823;13231;9378.3;84.3726;7368.32;10708.5
P207447819;13217;10314.4;90.7556;6777.38;12319
P207447801;13238;8786.94;88.7998;6935.04;10611.6
P207447809;13056;8088.79;86.8934;5658.13;11370.6
P207447821;13235;9105.87;88.6665;6582.29;11333.1
P207447811;13241;9848.8;87.622;7406.81;11135.1
P207447813;13235;9255.18;91.0317;6738.9;11303.7
P208447815;12831;8559.48;77.485;6978.29;10334.8
P208447823;12631;8719.5;79.5233;7423;9987.35
P208447819;13424;9635.94;88.8847;6753.24;11668.1
P208447801;13014;9437.16;86.6809;7271.5;10877.9
P208447809;13256;7100.46;90.1217;6875.2;8993.42
P208447821;13214;10280.6;85.9498;6887.11;12159.9
P208447811;13231;8934.79;89.6854;6594.57;11148
P208447813;13024;9586.15;85.9237;6859.15;11497.4
P209447823;13007;9734.37;85.8005;7387.62;11042.6
P209447819;13231;8507.61;89.4103;5860.65;11558.3
P209447821;13231;9213.73;85.4076;6748.39;11251.4
P209447811;13224;9980.28;88.6489;7462.02;11203.6
P209447813;13417;9332.62;91.6804;7036.42;11041.6
P210447815;13224;8857.62;81.5299;6873.65;10752.3
P172447809;13266;6788.1;90.135;6571.43;9027.7
P173447809;13077;6417.8;90.2211;6845.87;8344.23
P179447813;13241;8673.85;87.3013;6762.17;10695.8
P180447821;13245;8446.44;90.0496;7095.62;10087.9
Q171447823_1;13228;7546.3;68.5826;6908.41;9401.36
P171447823;13021;10454.7;85.6632;7921.45;11153.7
P171447819;13410;10749.9;91.0862;7424.3;12016.2
P171447801;13259;7110.06;89.2584;6469.82;9465.62
P171447821;13014;9587.78;87.7564;7643.99;10603.4
P171447811;13235;9657.82;87.241;7544.03;10787.6
P171447813;13224;10378.5;88.4434;7276.77;11813.2
P171447817;13438;8532.25;91.3593;7147.39;10114.6
P172447815;13238;8962.02;83.5745;6876.14;10853.9
P172447823;13224;10250;89.225;7653.27;11255
P172447819;13038;9138.73;86.3801;5958.6;12077.7
P172447801;13231;9446.69;90.3448;7163.47;11010.7
P172447821;13021;10102.2;88.6441;7349.32;11454.1
P172447811;13024;9850.72;85.3217;7626.6;10886.2
P172447817;13438;8452.47;90.5074;6614.64;10642.8
P173447815;13231;9329.24;85.9756;7082.32;10985.9
P173447823;12635;9622.07;86.8477;7494.76;10808
P173447819;13231;9412.31;88.1816;6080.53;12212.1
P173447801;13228;9638.2;90.7196;7193.64;11167.8
P173447821;13231;9994.63;90.3242;7069.07;11666.4
P173447811;13228;9382.73;88.7787;7040.93;11086.6
P173447813;13217;9559.67;88.486;7364.5;10894.3
P173447817;12624;8649.27;84.3551;7003.46;10395.9
P174447815;13224;9530.26;87.1821;6963.42;11322.5
P174447823;13224;9661.84;89.3007;7146.19;11245.6
P174447819;13200;11518.8;88.524;7841.18;12309.4
P174447801;13056;7277.73;87.7067;6830.39;9221.83
P174447821;13028;9578.28;88.274;7082.07;11235.2
P174447811;13231;9382.84;86.0315;7165.7;10944.3
P174447817;13231;9494.94;90.6164;6648.61;11646.5
P175447815;13231;9035.68;85.99;6762.46;11057.3
