Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090019100_08062023001911;P205041103;P205041103_1;A1;0;1240;0 ;1800 ;2440 ;1490
0090019100_08062023001723;P205041103;P205041103_1;A2;0;1240;1490 ;1800 ;2440 ;2935
0090019100_08062023002630;P205041103;P205041103_2;B1;0;0;0 ;1600 ;1200 ;750
0090019100_08062023000119;P205041103;P205041103_2;B2;0;0;750 ;1600 ;1200 ;1635
0090019100_08062023005170;P205041103;P205041103_2;B3;0;0;1635 ;1600 ;1200 ;2340
0090019100_08062023008197;P205041103;P205041103_3;C1;1600;0;0 ;2600 ;1200 ;975
0090019100_08062023007410;P205041103;P205041103_3;C2;1600;0;975 ;2600 ;1200 ;1905
0090019100_08062023007821;P205041103;P205041103_3;C3;1600;0;1905 ;2600 ;1200 ;2835
0090019100_08062023004674;P205041103;P205041103_4;D1;1800;1200;0 ;2600 ;1800 ;560
0090019100_08062023009100;P205041103;P205041103_4;D2;1800;1200;560 ;2600 ;1800 ;1078
0090019100_08062023003961;P205041103;P205041103_4;D3;1800;1200;1078 ;2600 ;1800 ;1596
0090019100_08062023001365;P205041103;P205041103_4;D4;1800;1200;1596 ;2600 ;1800 ;2114
0090019100_08062023001365;P205041103;P205041103_4;D5;1800;1200;2114 ;2600 ;1800 ;2632
0090019100_08062023002997;P205041103;P205041103_5;E1;1800;1840;0 ;2600 ;2440 ;560
0090019100_08062023002997;P205041103;P205041103_5;E2;1800;1840;560 ;2600 ;2440 ;1078
0090019100_08062023005950;P205041103;P205041103_5;E3;1800;1840;1078 ;2600 ;2440 ;1596
0090019100_08062023005950;P205041103;P205041103_5;E4;1800;1840;1596 ;2600 ;2440 ;2114
0090019100_08062023008257;P205041103;P205041103_5;E5;1800;1840;2114 ;2600 ;2440 ;2632
0090019100_08062023002071;P205041103;P205041103_6;F1;2600;0;0 ;4000 ;1200 ;1350
0090019100_08062023008029;P205041103;P205041103_6;F2;2600;0;1350 ;4000 ;1200 ;2655
0090019100_08062023008541;P205041103;P205041103_7;G1;2600;1240;0 ;5000 ;2440 ;1490
0090019100_08062023001181;P205041103;P205041103_7;G2;2600;1240;1490 ;5000 ;2440 ;2935
0090019100_08062023003649;P205041103;P205041103_8;H1;4000;0;0 ;5800 ;1200 ;1490
0090019100_08062023003649;P205041103;P205041103_8;H2;4000;0;1490 ;5800 ;1200 ;2935
0090019100_08062023003649;P205041103;P205041103_9;I1;5000;1240;0 ;6800 ;2440 ;1490
0090019100_08062023003649;P205041103;P205041103_9;I2;5000;1240;1490 ;6800 ;2440 ;2935
0090019100_08062023003649;P205041103;P205041103_10;J1;5800;0;0 ;7600 ;1200 ;1490
0090019100_08062023003649;P205041103;P205041103_10;J2;5800;0;1490 ;7600 ;1200 ;2935
0090019100_08062023003507;P205041103;P205041103_11;K1;6800;1240;0 ;8600 ;2440 ;1490
0090019100_08062023003649;P205041103;P205041103_11;K2;6800;1240;1490 ;8600 ;2440 ;2935
0090019100_08062023007701;P205041103;P205041103_12;L1;7600;0;0 ;9000 ;1200 ;1350
0090019100_08062023002071;P205041103;P205041103_12;L2;7600;0;1350 ;9000 ;1200 ;2655
0090019100_08062023003507;P205041103;P205041103_13;M1;8600;1240;0 ;10400 ;2440 ;1490
0090019100_08062023003507;P205041103;P205041103_13;M2;8600;1240;1490 ;10400 ;2440 ;2935
