Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P187041105;13200;8788.02;79.848;6382.11;11243.7
P188041103;13400;10229.8;90.0026;6347.65;12724.8
P188041105;13400;9783.84;90.3415;7177.44;11331.9
P188041111;13200;11965.2;86.6083;6877.63;13855.4
P191041115;13400;10045.5;93.6252;7115.74;11664
P192041101;13400;10411.4;85.6495;7215.51;11916
P185041111;3200;1891.29;13.4057;5894.34;4903.55
P188041101;13400;12782.2;89.3916;9140.87;12089.8
P191041101;13400;12084.1;91.2456;7627.69;13118.4
P191041103;13400;11252.3;85.1863;5977.35;14169.9
P191041105;13400;13528.6;87.9974;7875.11;14280.5
P191041107;13400;15098.7;92.1528;7569.53;16199.3
P191041109;13400;9733.32;93.8078;5791.55;12862.9
P191041111;13400;10345.2;93.2184;7530.67;11490.1
P192041103;13400;9814.69;88.0812;5326.22;13475.3
P192041105;13400;17409.2;90.0823;8866.62;17029.7
P192041107;13400;14902.2;89.5392;9702.34;13569
P192041109;13400;9088.15;91.6056;7062.32;10767.6
P192041111;13400;8896.2;93.8443;5847.78;11961.6
P192041115;13400;10378.4;93.8078;6241.1;12995
P192041113;13400;9944.69;92.0268;6614.19;12135.5
P193041101;13400;9588.79;87.3538;6223.76;12225.1
P193041103;13200;14405.4;86.8176;10711.4;11920.8
P193041105;13200;11423.6;87.5448;5113.99;15326.4
P193041107;13400;15857.3;90.3456;8931.34;15403.9
P193041109;13400;9459.74;91.2811;6659.5;11598.9
P193041113;13400;9206.45;93.5275;5630.76;12519.5
P193041111;13400;10258.2;93.8078;6292.16;12816.5
P194041101;9400;6518.35;53.3798;8052.47;7067.87
P194041103;13200;13406.2;86.9026;8890.94;12998.9
P194041105;13400;11131.5;88.1316;4832.96;15354.9
P194041107;13400;16130.8;89.3227;7732.97;17044.9
P194041109;13400;12775.2;91.6308;7051.06;14467.5
P194041111;13400;6929.81;93.4488;6308.67;9469.26
P194041113;13400;10544.9;93.8078;6198.37;13210.2
P194041115;13400;9586.98;93.0235;6707.02;11671.9
P198041101;13400;12031.9;89.4341;8394.96;12190.5
P198041103;13400;11911.1;89.118;6652.6;14058.1
P198041105;13400;9510.34;87.2856;5918.55;12495
P198041107;13400;14100.7;91.386;7438.62;15350.8
P198041109;13400;10887;92.4799;6916.91;12732.3
P198041115;13400;12019.4;93.132;5605;15361.9
P198041111;13400;10258.2;93.8078;6292.16;12816.5
P198041113;13400;12508.7;90.6362;8394.35;12668.1
P199041101;13400;10613.8;89.4816;8264.85;10921
P199041103;13400;14024.5;87.7752;10417.7;11875
P199041105;13400;12543.6;88.6925;5320.13;16211.2
P199041107;13400;14109.9;92.3832;7736.07;15020.5
P199041109;13200;8573.89;92.9808;6535.84;10854.1
P199041115;13400;10402.5;93.8078;6230.88;13030.7
P199041113;13400;9323.86;93.3043;7925.83;10017.9
P200041101;13200;11090.1;89.1684;7999.42;11700.1
P200041103;13400;11950.7;87.7567;6352.22;14440.5
P200041105;13400;12030.9;88.2216;10319.2;9993.76
P200041107;13400;16145.6;90.089;8051.14;16696.6
P200041109;13400;8848.87;93.3943;6516.4;11151.3
P200041111;13400;10449.3;93.8078;6215.07;13095.5
P200041113;13400;9855.46;93.2539;7226.85;11347.1
P201041101;13400;11038.2;91.9116;7653.09;12043.5
P201041103;13400;14939.3;89.064;8822.6;14610
P201041105;13400;13801.2;89.7907;8346.56;14015.1
P201041115;13400;10168.1;93.8078;5859.9;13219.6
P201041113;13400;8776.19;93.4092;6716.17;10850.6
P205041101;13400;14212.3;87.7918;9330.64;13303.2
P205041103;13400;10898.5;90.8167;8069.52;11428.6
P165041111;13400;9601.46;92.4583;6665.54;11733.7
P166041101;13400;12819.3;89.0638;7587.92;13898.9
Q165041101_2;9400;6914.23;47.1199;8111.83;7396.02
Q165041101_1;13400;11430.6;84.8916;7242.5;12904.4
P165041101;13400;10042.8;87.4826;7179.18;11588.8
P165041103;13400;10253.3;92.7504;6750.73;12288.3
P165041105;13400;10788.6;86.9971;8709.42;10588.4
P165041107;13400;16431.6;89.1936;9203.46;15667.7
P165041109;13400;10120.8;93.8078;5837.89;13197.5
Q166041101_1;13400;7305.15;92.3904;6211.09;9955.95
P166041103;13400;10839.6;90.5328;7541.16;11972.6
Q166041105_1;13400;12890.3;88.4083;6071.25;15700.7
P166041105;13400;13086.5;88.1237;8910.8;12656.5
Q166041107_1;13400;10405.3;92.3976;6693.81;12505.3
P166041107;13400;11695.9;93.8808;6003.35;14583.8
P166041109;13400;11233;90.9245;5620.5;14557.8
Q167041101_1;13200;12114.4;89.7187;8749.71;11868.3
P167041101;13400;10687.6;90.2268;6545.03;12957.4
P167041103;13400;10521.2;90.5472;6240.62;13138.3
P167041105;13400;14723.1;89.424;6913.66;16572.2
P167041107;13400;12015.7;89.135;7613.29;13066.4
P167041109;13400;10029.9;92.8039;6738.33;12079.1
P167041111;13400;10835.8;91.0613;6339.75;13339.8
P177041101;13400;11663.6;89.2066;7469.1;12878.9
P177041103;13400;11807.3;89.2759;8087.96;12316.3
P177041105;13400;11922.3;91.3896;6802.15;13898.6
Q177041107_1;13400;15735.2;89.3335;8900.66;15316.9
P177041107;13400;9772.29;89.8123;5541.51;13187.2
P177041109;13400;8565.83;93.6792;6327.07;11084.3
P177041111;13400;12565.9;92.2495;8518.4;12583.7
P178041101;13400;10614.8;87.0221;7812.82;11437.8
Q178041103_2;13400;11080;90.252;7135.21;12676.3
Q178041103_1;13400;9952.28;88.7508;7524.41;11104.4
P178041103;13400;14195.2;89.6976;7211.81;15704.1
P178041105;13400;14623;90.0602;6754.39;16653.8
Q178041107_1;13400;10560.6;93.8078;6186.86;13239.1
P178041107;13400;8147.63;93.4452;6313.72;10681.3
P178041109;13400;8890.48;92.1991;5857.58;11944.7
P179041101;13400;12034.4;85.2151;6796.89;14016.8
P179041103;13400;10241.5;90.0324;6801.18;12218.9
Q179041105_2;13400;12643.9;90.9427;5846.13;15711.1
Q179041105_1;13400;18731.3;89.6717;9298.79;17858.6
P179041105;13400;12923.4;88.7251;5086.23;16857.8
P179041107;13400;8604.48;92.8584;6940.13;10423.3
P179041109;13400;7821.54;93.4488;6395.91;10261.4
P179041111;13400;9930.23;92.1235;6630.45;12102.5
P180041101;13400;11466.4;88.6284;7560.71;12577.1
P180041103;13400;13112.5;89.7797;7511.94;14278.9
P180041105;13400;11199.7;89.73;5868.91;14241
P180041107;13400;11112.2;93.0055;6744.7;13154.1
P186215001;11700;23268;47.2212;10853.1;20621.7
P188215001;11700;24824.1;50.4504;11285.8;21683.9
P191215007;13500;24816.1;50.5674;7332.22;26187.5
P192215003;12200;24817.7;50.5089;9951.62;23200
P198215007;11700;24816.1;50.5674;11238.8;21729.6
P199215003;11900;24820.9;50.5674;9687.89;23504.2
P199215007;12500;24833.7;50.5674;9790.6;23399.8
P200215003;13000;24825.7;50.5674;8103.17;25317.4
P200215007;13000;24816.1;50.5674;9039.22;24239.6
P201215003;12200;24820.9;50.5089;9952.07;23202.7
P185215005;1300;1080.56;2.2113;5180.7;4907.19
P191215003;10500;17268.2;35.2053;9314.69;16377.3
P191215001;13000;24820.9;50.5674;9068.29;24211.2
P191215005;13500;24817.7;50.5674;7332.14;26189.2
P191215009;11900;24816.1;50.6259;10269.1;22836.1
P191215011;11900;24833.7;50.6259;10362;22747.7
P192215001;13500;24827.3;50.5674;7408.92;26111.2
P192215005;11900;24838.5;50.5674;9605.02;23616.3
P192215009;13500;24816.1;50.5674;7412.77;26095.6
P192215011;11900;24816.1;50.5674;10693.5;22351.8
P192215007;12200;24816.1;50.5674;9668.11;23521.9
P193215003;11900;24828.9;50.5674;10782.8;22262.7
P193215001;13500;24826.5;50.5674;7421.91;26095.6
P193215005;11900;24816.1;50.6259;10349.7;22744.2
P193215011;12200;24816.1;50.5674;9668.11;23521.9
P193215009;11700;24816.1;50.5674;11359.6;21591.7
P193215007;11700;24832.1;50.5674;11358.9;21608.5
P194215003;13500;24820.9;50.6259;6889.23;26697.8
P194215001;13000;24833.7;50.5674;8949.51;24359.6
P194215005;13000;24816.1;50.5674;9064;24211.3
P194215009;11900;24816.1;50.6259;10188.6;22928
P194215007;13000;24816.1;50.5674;9064;24211.3
P198215003;10900;22123.5;45.0099;10693.2;19659.6
P198215001;13500;24819.3;50.5674;7412.51;26099.1
P198215005;13000;24816.1;50.5674;7815.51;25636
P198215009;11900;24816.1;50.5674;10774.1;22259.8
P198215011;13500;24832.1;50.6259;6819.3;26788.8
P199215001;13000;24824.1;50.5674;8942.89;24357.5
P199215005;13000;24816.1;50.5674;8943.18;24349.2
P199215011;13500;24816.1;50.5674;7332.22;26187.5
P199215009;13500;24816.1;50.5674;7412.77;26095.6
P200215001;13000;24827.3;50.5674;9031.75;24259.3
P200215005;13500;24816.1;50.6259;6728.11;26876.9
P200215011;11900;24816.1;50.6844;10854.6;22167.9
P201215001;11900;24820.9;50.5674;10774.6;22264.1
P201215005;11900;24816.1;50.6259;10269.1;22836.1
P205215003;7900;12947.5;26.4771;10182.4;11066.5
P205215001;13500;24817.7;50.6259;6727.79;26878.9
P206215003;11700;19960.8;40.7043;8840.95;19610.5
P186043705;2014;415.082;6.20028;4505.54;5012.16
P188043701;9066;3372.47;48.8703;6073.57;6180.2
P188043703;13449;7114.32;90.1002;6038.39;9962.21
P188043705;13449;7453.82;88.0867;6499.1;9775.96
P191043701;13452;6886.72;89.9108;6468.59;9243.68
P191043703;13459;6091.52;91.5819;6366.06;8565.48
P191043705;13338;7035.93;87.8982;6471.86;9389.15
P192043701;13452;7089;90.2069;5953.1;10034.2
P192043703;13159;6301.81;92.026;5924.13;9280.07
P192043705;13449;6696.17;89.7563;6411.82;9117.92
P193043701;13338;6918.25;89.0562;6039.3;9765.09
P193043703;13449;7126.68;92.5091;6068.61;9940.07
P193043705;13449;6584.77;88.1358;6446.47;8966.98
P194043701;13335;6894.04;89.0886;6328.54;9410.81
P194043703;13469;6837.84;90.7715;5577.54;10211.6
P194043705;13338;6556.97;89.2201;5885.7;9579.09
P194043709;13273;6323.36;90.2093;6141.18;9053.94
P198043701;13038;7211.86;84.6312;6268.92;9796.67
P198043703;13156;6333.47;90.3671;6003.76;9220.87
P198043705;13449;6408.21;89.6795;6125.27;9156.94
P199043701;13455;7492.83;86.7746;6380.81;9949.96
P199043703;13456;6061.75;93.4577;5592.77;9418.14
P199043705;13445;7131.17;91.6289;6365.41;9605.88
P200043701;13449;7153.28;88.2056;6394.27;9595.05
P200043703;13452;6772.36;90.8739;6035.58;9623.45
P200043705;13159;6331.55;91.4814;5894.12;9344.07
P201043701;13042;6234.37;83.3975;6298.32;8785.63
P201043703;13038;7529.61;84.7366;6590.65;9747.28
P201043705;13452;7002.37;91.203;5645.68;10298.4
P201043709;13456;5760.36;92.6187;5622.16;9083.23
P205043701;13442;5617.69;80.4806;5823.94;8710.28
P205043703;13452;7089.7;89.7173;6247.93;9698.47
P206043701;13338;6291.66;85.762;5956.39;9233.11
P165043703;10128;4027.86;53.1724;6242.79;6642.49
Q165043705_1;13035;6730.2;81.483;6560.47;8982.3
P165043705;13156;6186.37;90.1842;6064.48;9004.48
P166043701;13338;7073.14;89.0074;6453.31;9447.54
Q166043703_1;13452;6663.42;89.0234;6058.85;9487.96
P166043703;13338;6802.17;89.7198;6285.17;9368.44
P167043701;13273;6151.84;86.8836;5612.29;9485.97
P167043703;12859;6466.71;84.9023;6397.17;8905.17
P167043705;13442;6669.81;89.3735;6046.81;9508.07
Q177043701_1;11435;5467.19;71.6596;6585.86;7690.33
P177043701;13331;6717.88;89.0487;6106.85;9487.63
P177043703;13449;6911.87;90.7722;6144.61;9638.54
P177043705;13442;6919.87;91.2756;6365.2;9394.81
P178043701;13442;6637.49;90.1242;6109.65;9404.06
Q178043703_1;13159;6306.66;90.3814;5787.47;9440.87
P178043703;13338;7034.84;91.6229;5913.47;10025.3
P179043701;13449;7133.76;89.4545;6389.89;9580.53
P179043703;9535;3886.38;54.7641;6270.58;6469.3
P179043705;13449;7122.17;91.8321;6200.86;9784.66
P180043701;13335;6339.04;84.1081;6167.43;9039.67
P180043703;13442;6958.08;91.7747;6087.36;9750.07
P185335601;5800;2871.31;27.6196;6414.11;5290.44
P187335501;13340;8937;82.8187;7520.89;10093.1
P188335601;13000;10304.9;84.6767;7573.75;11400.7
P191335603;13480;7880.38;90.095;6159.83;10589.7
P193335603;13410;7898.78;87.358;5711.64;11119.5
P192335601;13220;7134.37;89.8549;6464.45;9496.05
P191335601;13340;9354.78;85.7042;7159.23;10923.6
P194335601;13470;10097.7;89.9374;7091.49;11743.9
P193335601;13340;9390.33;85.9486;7137.99;10983.4
P198335603;13340;9393.98;84.0478;6483.68;11733.7
P200335601;12870;9058.56;79.9967;7491.77;10247.9
P201335601;13200;10555;86.3028;7328.4;11930.8
P201335501;13480;12072;86.5202;11330.8;8880.49
P205335603;13480;6823.5;89.4733;6864.94;8728.16
P194335501;13440;11370;84.8765;10005;9691.35
Q198335603_1;13480;7863.32;90.707;6944.03;9677.74
P198335601;13210;10129.3;88.0136;7252.39;11591.8
P199335601;13480;7863.49;90.707;7339.77;9226.31
P200335603;13480;8257.31;89.4856;5948.41;11207.9
P188144501;12992;11192.3;75.0807;7456.82;12421.6
P191145501;13396;16408.8;66.8009;11052.3;13535.2
P191144501;13389;9706.01;66.6429;6318.22;12234.6
P192145501;13395;15475.3;76.5397;9539.15;14328.3
P191144503;13286;6750.49;66.0048;6167.18;9451.4
P192144503;13495;16082.7;66.1462;9417.16;15074.9
P193144503;13395;14182.5;72.6492;7579.95;15271.3
P194144503;13391;12142.4;71.8292;7572.77;13239.3
P201144501;13494;14270.8;66.804;6450.98;16647.8
P205145501;13286;7463.18;66.0038;6110.9;10228.3
P188145501;13389;10190.4;65.1697;5859.7;13242.2
P188144503;13286;6750.49;66.0048;6167.18;9451.4
P193145501;12988;8175.86;66.0028;5710.9;11397.5
P193144501;13289;9336.05;73.7859;7517.87;10495.6
P194145501;13286;6750.49;66.0048;6167.18;9451.4
P194144501;13294;14315.1;68.7566;7345.69;15671.2
P198145501;13388;8131.47;64.0502;5674.58;11394.5
P198144501;13394;14895.2;72.6482;10077.6;13133.9
P198144503;13393;11543.8;72.5691;7137.02;13138
P199145501;13390;10805.2;65.9861;6322.16;13329.3
Q199144503_1;13286;6750.49;66.0048;6167.18;9451.4
P199144503;13397;15555.5;72.3692;7858.03;16326.9
P200145501;13388;8131.47;64.0502;5969.97;11057.4
P200144501;13393;13320.7;70.0555;9319.51;12424.4
P200144503;13392;12889.8;68.7587;8577.12;12840.6
P201145501;13286;6750.49;66.0048;6167.18;9451.4
P205144501;13494;14983.4;66.803;7283.86;16410.1
P188040005;12070;5625.71;74.877;6561.83;7876.27
P191040001;11675;5577.76;66.5548;6554.26;7836.96
P191040005;13400;6955.86;89.9408;5239.19;10715.7
P192040001;13350;6747.04;81.6734;6176.38;9437.46
P192040005;13400;7078.29;92.9055;5253.9;10821.4
P193040001;13005;7199.13;77.3928;6853.02;9117.4
P193040005;13425;5892.94;90.2882;6563.18;8141.96
P194040001;13350;7067.06;79.9507;6511.73;9374.78
P194040005;13080;5931.81;87.8649;5374.93;9536.79
P198040001;13130;7612.34;82.9215;6890.49;9487.85
P198040005;13425;5984.92;90.4878;5444.03;9511.05
P199040001;13400;6511.54;80.6915;5823.43;9604.72
