Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P205041115;P205041115_1;A;0;1240;0;1000;2440;2835
P205041115;P205041115_2;B;0;0;0;1800;1200;2935
P205041115;P205041115_3;C;1000;1240;0;2000;2440;2610
P205041115;P205041115_4;D;1800;0;0;2600;600;2632
P205041115;P205041115_5;E;1800;640;0;2600;1240;2632
P205041115;P205041115_6;F;2000;1240;0;4400;2440;2935
P205041115;P205041115_7;G;2600;0;0;4400;1200;2935
P205041115;P205041115_8;H;4400;0;0;5400;1200;2835
P205041115;P205041115_9;I;4400;1240;0;6000;2440;2865
P205041115;P205041115_10;J;5400;0;0;7000;1200;2865
P205041115;P205041115_11;K;6000;1240;0;7000;2440;2610
P205041115;P205041115_12;L;7000;1240;0;8800;2440;2935
P205041115;P205041115_13;M;7000;0;0;8000;1200;2835
P205041115;P205041115_14;N;8000;0;0;10400;1200;2935
P205041115;P205041115_15;O;8800;1240;0;10600;2440;2935
P205041115;P205041115_16;P;10400;0;0;12200;1200;2935
P205041115;P205041115_17;Q;10600;1240;0;12400;2440;2935
P205041115;P205041115_18;R;12200;0;0;13200;1200;2835
P205041115;P205041115_19;S;12400;1240;0;13400;2440;2835
Q205041115_1;Q205041115_1_1;A;0;1240;0;1000;2440;2835
Q205041115_1;Q205041115_1_2;B;0;0;0;2400;1200;2935
Q205041115_1;Q205041115_1_3;C;1000;1240;0;2000;2440;2385
Q205041115_1;Q205041115_1_4;D;2000;1240;0;3600;2440;2865
Q205041115_1;Q205041115_1_5;E;2400;0;0;3400;1200;2835
Q205041115_1;Q205041115_1_6;F;3400;0;0;4400;1200;2865
Q205041115_1;Q205041115_1_7;G;3600;1240;0;5400;2440;2935
Q205041115_1;Q205041115_1_8;H;4400;0;0;6200;1200;2935
Q205041115_1;Q205041115_1_9;I;5400;1240;0;7200;2440;2935
Q205041115_1;Q205041115_1_10;J;6200;0;0;7800;1200;2700
Q205041115_1;Q205041115_1_11;K;7200;1240;0;8200;2440;2610
Q205041115_1;Q205041115_1_12;L;7800;0;0;9400;1200;2865
Q205041115_1;Q205041115_1_13;M;8200;1240;0;10000;2440;2935
Q205041115_1;Q205041115_1_14;N;9400;0;0;10400;1200;2835
