Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017600_08062023003078;P195549305;P195549305_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_08062023005519;P195549305;P195549305_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_08062023003078;P195549305;P195549305_2;B1;2200;0;0 ;4400 ;2400 ;1500
0091017600_08062023003078;P195549305;P195549305_2;B2;2200;0;1500 ;4400 ;2400 ;2955
0091017600_08062023003078;P195549305;P195549305_3;C1;4400;0;0 ;6600 ;2400 ;1500
0091017600_08062023003078;P195549305;P195549305_3;C2;4400;0;1500 ;6600 ;2400 ;2955
0091017600_08062023003078;P195549305;P195549305_4;D1;6600;0;0 ;8800 ;2400 ;1500
0091017600_08062023003078;P195549305;P195549305_4;D2;6600;0;1500 ;8800 ;2400 ;2955
0091017600_08062023003078;P195549305;P195549305_5;E1;8800;0;0 ;11000 ;2400 ;1500
0091017600_08062023003078;P195549305;P195549305_5;E2;8800;0;1500 ;11000 ;2400 ;2955
0091017600_08062023003078;P195549305;P195549305_6;F1;11000;0;0 ;13200 ;2400 ;1500
0091017600_08062023003078;P195549305;P195549305_6;F2;11000;0;1500 ;13200 ;2400 ;2955
0091017600_08062023003070;P195549107;P195549107_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_08062023003070;P195549107;P195549107_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_08062023003070;P195549107;P195549107_2;B1;2200;0;0 ;4400 ;2400 ;1500
0091017600_08062023003070;P195549107;P195549107_2;B2;2200;0;1500 ;4400 ;2400 ;2955
0091017600_08062023003070;P195549107;P195549107_3;C1;4400;0;0 ;6600 ;2400 ;1500
0091017600_08062023003070;P195549107;P195549107_3;C2;4400;0;1500 ;6600 ;2400 ;2955
0091017600_08062023003070;P195549107;P195549107_4;D1;6600;0;0 ;8800 ;2400 ;1500
0091017600_08062023003070;P195549107;P195549107_4;D2;6600;0;1500 ;8800 ;2400 ;2955
0091017600_08062023003070;P195549107;P195549107_5;E1;8800;0;0 ;11000 ;2400 ;1500
0091017600_08062023003070;P195549107;P195549107_5;E2;8800;0;1500 ;11000 ;2400 ;2955
0091017600_08062023003070;P195549107;P195549107_6;F1;11000;0;0 ;13200 ;2400 ;1500
0091017600_08062023003070;P195549107;P195549107_6;F2;11000;0;1500 ;13200 ;2400 ;2955
0091017600_08062023002741;P195549203;P195549203_1;A1;0;1240;0 ;1480 ;2440 ;1500
0091017600_08062023002741;P195549203;P195549203_1;A2;0;1240;1500 ;1480 ;2440 ;2955
0091017600_08062023005930;P195549203;P195549203_2;B1;0;0;0 ;1600 ;1200 ;1500
