Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q194549101_1;7610;1867.33;44.6402;5267.1;5595.37
P194549101;13200;5224.14;68.3703;6286.84;7788.5
Q194549501_1;13150;4503.97;86.8473;5800.91;7622.85
P194549501;13200;3052.04;93.6144;5173.07;6887.37
P194549103;13370;6211.78;73.7901;6387.68;8661.08
P194549301;12750;3177.48;90.171;5194.51;6988.35
P194549503;13430;6691.08;91.586;5931.9;9660.49
P194549201;13400;5441.22;92.0295;5182.72;9265.53
P194549105;13150;4880.4;91.0494;4668.7;9291.29
P194549303;13200;3265.67;93.6144;5082.05;7204.86
P194549505;13350;8246.23;90.7787;6652.19;10393.7
P194549203;13200;3077.16;93.6144;4963.3;7151.87
P194549107;13200;2654.2;93.6144;5062.14;6616.12
P194549305;13200;3233.7;93.6144;5228.76;7005.48
P195549101;13500;7953.01;87.9093;6855.95;9867.94
P195549501;13400;5938.33;91.8324;5236.03;9701.82
Q195549103_2;13480;4392.6;89.4312;4913.97;8523.6
Q195549103_1;13150;5051.02;90.6435;4897.44;9200.88
P195549103;13040;7000.88;84.0764;6269.95;9584.52
P195549301;13150;5127.29;91.0494;6304.7;7671.27
P195549503;13200;4712.44;91.4544;4610.59;9189.65
P195549201;13300;4910.7;92.009;4824.01;9144.36
P195549105;13200;2777;93.6144;4867.5;6961.03
P195549303;13350;8102.09;89.5986;6601.66;10307.2
P195549505;13400;6980.45;90.1368;6734.6;9033.86
P195549203;13500;8012.15;93.3293;5618.68;11339
P195549107;13200;3084;93.6144;5063.55;7044.31
P195549305;13200;2556.53;93.6144;5032.21;6552.61
P191549103;12820;4098.98;78.7143;5522.8;7535.22
P192549101;12220;5451.54;75.9442;6304.83;7995.37
Q191549101_1;7610;1688;44.6402;5074.54;5635.76
P191549101;13080;6516.88;72.7371;6241.96;9132.45
P191549501;12750;3457.93;89.7651;4916.35;7586.22
P191549301;12880;4458.7;81.9135;6344.2;6957.61
P191549503;13150;4826.26;88.3215;4886.65;8988.43
P191549105;13150;4783.48;85.7763;6333.61;7294.48
P191549303;12880;4582.81;84.906;5420.52;8135.77
P191549505;13150;5228.88;91.0494;6067.03;8044.08
P191549203;13200;5345.53;89.9856;4631.21;9799.21
P191549107;13200;2531.4;93.6144;4946.48;6625.3
P191549305;13500;7352.68;90.9974;6385.56;9804.4
P192549501;13150;4448.05;90.6606;6040.08;7294
P192549301;13400;5164.77;82.5471;5854.18;8222.87
P192549503;13480;4363.38;88.9623;4552.71;8906.62
P192549201;13400;5536.05;88.6455;5691.18;8780.14
P192549105;13200;3138.57;93.6144;4903.56;7281.45
P192549303;13250;7769.08;87.1308;6271.9;10350.5
P192549107;13400;6385.12;93.042;5516.52;9828.52
P192549305;13200;2715.6;93.6144;4809.68;6965.61
P184549005;10400;2885.45;56.5128;5722.07;6094.29
