Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P195549305;P195549305_1;A;0;0;0;2200;2400;2955
P195549305;P195549305_2;B;2200;0;0;4400;2400;2955
P195549305;P195549305_3;C;4400;0;0;6600;2400;2955
P195549305;P195549305_4;D;6600;0;0;8800;2400;2955
P195549305;P195549305_5;E;8800;0;0;10400;1200;2955
P195549305;P195549305_6;F;8800;1240;0;10400;2440;2955
P195549305;P195549305_7;G;10400;1240;0;12000;2440;2955
P195549305;P195549305_8;H;10400;0;0;12150;1200;2895
P195549305;P195549305_9;I;12000;1240;0;13480;2440;2955
P195549305;P195549305_10;J;12150;0;0;13150;1200;2865
P195549107;P195549107_1;A;0;0;0;2200;2400;2955
P195549107;P195549107_2;B;2200;0;0;4400;2400;2955
P195549107;P195549107_3;C;4400;0;0;6600;2400;2955
P195549107;P195549107_4;D;6600;0;0;8800;2400;2955
P195549107;P195549107_5;E;8800;0;0;11000;2400;2955
P195549107;P195549107_6;F;11000;0;0;13200;2400;2955
P195549203;P195549203_1;A;0;0;0;1750;1200;2895
P195549203;P195549203_2;B;0;1240;0;1750;2440;2895
P195549203;P195549203_3;C;1750;1240;0;3500;2440;2895
P195549203;P195549203_4;D;1750;0;0;3350;1200;2955
P195549203;P195549203_5;E;3350;0;0;4950;1200;2955
P195549203;P195549203_6;F;3500;1240;0;5100;2440;2955
P195549203;P195549203_7;G;4950;0;0;6550;1200;2955
P195549203;P195549203_8;H;5100;1240;0;6700;2440;2955
P195549203;P195549203_9;I;6550;0;0;8150;1200;2955
P195549203;P195549203_10;J;6700;1240;0;8300;2440;2955
P195549203;P195549203_11;K;8150;0;0;9750;1200;2700
P195549203;P195549203_12;L;8300;1240;0;9900;2440;2700
P195549203;P195549203_13;M;9750;0;0;11350;1200;2700
P195549203;P195549203_14;N;9900;1240;0;11500;2440;2700
P195549203;P195549203_15;O;11350;0;0;12350;1200;2835
P195549203;P195549203_16;P;11500;1240;0;12500;2440;2835
P195549203;P195549203_17;Q;12350;0;0;13350;1200;2865
P195549203;P195549203_18;R;12500;1240;0;13500;2440;2865
P195549505;P195549505_1;A;0;0;0;1600;1200;2700
P195549505;P195549505_2;B;0;1240;0;1600;2440;2700
P195549505;P195549505_3;C;1600;1240;0;3200;2440;2700
P195549505;P195549505_4;D;1600;0;0;3200;1200;2700
P195549505;P195549505_5;E;3200;0;0;4800;1200;2700
P195549505;P195549505_6;F;3200;1240;0;4800;2440;2700
P195549505;P195549505_7;G;4800;1240;0;6400;2440;2700
P195549505;P195549505_8;H;4800;0;0;6400;1200;2955
P195549505;P195549505_9;I;6400;0;0;8600;2400;2955
P195549505;P195549505_10;J;8600;1240;0;10200;2440;2700
P195549505;P195549505_11;K;8600;0;0;10350;1200;2895
P195549505;P195549505_12;L;10200;1240;0;11800;2440;2700
P195549505;P195549505_13;M;10350;0;0;11950;1200;2385
P195549505;P195549505_14;N;11800;1240;0;13400;2440;2955
P195549505;P195549505_15;O;11950;0;0;12950;1200;2610
P195549303;P195549303_1;A;0;1240;0;1600;2440;2700
P195549303;P195549303_2;B;0;0;0;1600;1200;2700
P195549303;P195549303_3;C;1600;0;0;3200;1200;2700
P195549303;P195549303_4;D;1600;1240;0;3200;2440;2700
P195549303;P195549303_5;E;3200;0;0;5400;2400;2955
