Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017600_08062023003070;P195549305;P195549305_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_08062023003070;P195549305;P195549305_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_08062023003070;P195549305;P195549305_2;B1;2200;0;0 ;4400 ;2400 ;1500
0091017600_08062023003070;P195549305;P195549305_2;B2;2200;0;1500 ;4400 ;2400 ;2955
0091017600_08062023003070;P195549305;P195549305_3;C1;4400;0;0 ;6600 ;2400 ;1500
0091017600_08062023003070;P195549305;P195549305_3;C2;4400;0;1500 ;6600 ;2400 ;2955
0091017600_08062023003070;P195549305;P195549305_4;D1;6600;0;0 ;8800 ;2400 ;1500
0091017600_08062023003070;P195549305;P195549305_4;D2;6600;0;1500 ;8800 ;2400 ;2955
0091017600_08062023003070;P195549305;P195549305_5;E1;8800;0;0 ;11000 ;2400 ;1500
0091017600_08062023003070;P195549305;P195549305_5;E2;8800;0;1500 ;11000 ;2400 ;2955
0091017600_08062023003070;P195549305;P195549305_6;F1;11000;0;0 ;13200 ;2400 ;1500
0091017600_08062023003070;P195549305;P195549305_6;F2;11000;0;1500 ;13200 ;2400 ;2955
0091017600_08062023003078;P195549107;P195549107_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_08062023003078;P195549107;P195549107_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_08062023003078;P195549107;P195549107_2;B1;2200;0;0 ;4400 ;2400 ;1500
0091017600_08062023003078;P195549107;P195549107_2;B2;2200;0;1500 ;4400 ;2400 ;2955
0091017600_08062023003078;P195549107;P195549107_3;C1;4400;0;0 ;6600 ;2400 ;1500
0091017600_08062023003078;P195549107;P195549107_3;C2;4400;0;1500 ;6600 ;2400 ;2955
0091017600_08062023003078;P195549107;P195549107_4;D1;6600;0;0 ;8800 ;2400 ;1500
0091017600_08062023003078;P195549107;P195549107_4;D2;6600;0;1500 ;8800 ;2400 ;2955
0091017600_08062023001926;P195549107;P195549107_5;E1;8800;0;0 ;10550 ;1200 ;1470
0091017600_08062023001926;P195549107;P195549107_5;E2;8800;0;1470 ;10550 ;1200 ;2895
0091017600_08062023001926;P195549107;P195549107_6;F1;8800;1240;0 ;10550 ;2440 ;1470
0091017600_08062023001926;P195549107;P195549107_6;F2;8800;1240;1470 ;10550 ;2440 ;2895
0091017600_08062023001926;P195549107;P195549107_7;G1;10550;1240;0 ;12300 ;2440 ;1470
0091017600_08062023001926;P195549107;P195549107_7;G2;10550;1240;1470 ;12300 ;2440 ;2895
0091017600_08062023001926;P195549107;P195549107_8;H1;10550;0;0 ;12300 ;1200 ;1470
0091017600_08062023001926;P195549107;P195549107_8;H2;10550;0;1470 ;12300 ;1200 ;2895
0091017600_08062023000509;P195549107;P195549107_9;I1;12300;0;0 ;13500 ;1000 ;750
0091017600_08062023000509;P195549107;P195549107_9;I2;12300;0;750 ;13500 ;1000 ;1455
0091017600_08062023000509;P195549107;P195549107_9;I3;12300;0;1455 ;13500 ;1000 ;2160
0091017600_08062023000509;P195549107;P195549107_9;I4;12300;0;2160 ;13500 ;1000 ;2865
0091017600_08062023004642;P195549107;P195549107_10;J1;12300;1440;0 ;13500 ;2440 ;750
0091017600_08062023004642;P195549107;P195549107_10;J2;12300;1440;750 ;13500 ;2440 ;1455
0091017600_08062023004642;P195549107;P195549107_10;J3;12300;1440;1455 ;13500 ;2440 ;2160
0091017600_08062023004642;P195549107;P195549107_10;J4;12300;1440;2160 ;13500 ;2440 ;2865
0091017600_08062023000001;P195549203;P195549203_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_08062023005519;P195549203;P195549203_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_08062023001674;P195549203;P195549203_2;B1;2200;0;0 ;3800 ;1200 ;1500
0091017600_08062023001674;P195549203;P195549203_2;B2;2200;0;1500 ;3800 ;1200 ;2955
0091017600_08062023001674;P195549203;P195549203_3;C1;2200;1240;0 ;3800 ;2440 ;1500
0091017600_08062023001674;P195549203;P195549203_3;C2;2200;1240;1500 ;3800 ;2440 ;2955
0091017600_08062023001674;P195549203;P195549203_4;D1;3800;1240;0 ;5400 ;2440 ;1500
0091017600_08062023001674;P195549203;P195549203_4;D2;3800;1240;1500 ;5400 ;2440 ;2955
0091017600_08062023005930;P195549203;P195549203_5;E1;3800;0;0 ;5400 ;1200 ;1500
0091017600_08062023005930;P195549203;P195549203_5;E2;3800;0;1500 ;5400 ;1200 ;2955
0091017600_08062023005930;P195549203;P195549203_6;F1;5400;0;0 ;7000 ;1200 ;1500
0091017600_08062023005930;P195549203;P195549203_6;F2;5400;0;1500 ;7000 ;1200 ;2955
0091017600_08062023005930;P195549203;P195549203_7;G1;5400;1240;0 ;7000 ;2440 ;1500
0091017600_08062023005930;P195549203;P195549203_7;G2;5400;1240;1500 ;7000 ;2440 ;2955
0091017600_08062023005930;P195549203;P195549203_8;H1;7000;1240;0 ;8600 ;2440 ;1500
