Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P186549405;13000;6921.57;84.0744;6270.05;9505.09
P187549001;12820;7604.8;78.5263;6924.93;9441.02
P188549403;13000;6834.09;88.6233;6496.02;9159.75
Q191549401_2;13000;5747.39;90.45;5233.67;9513.57
Q192549401_1;13000;5810.61;89.7192;5240.39;9569.12
P193549001;12920;6743.97;76.9728;5714.92;9960.97
P199549005;13000;6382.49;87.6594;6926.41;8217.01
Q200549001_1;12600;4429.82;85.482;5329.49;8086.65
Q208549001_1;12965;4976.89;82.6144;4625.32;9437.29
Q209549001_1;12900;5149.84;79.1424;6018.03;8020.96
P186549003;5200;2142.23;27.8712;5826.27;5232.17
Q186549001_2;12600;5233.66;88.3512;5589.75;8593.5
Q186549001_1;12755;5342.36;89.3649;5552.48;8744.73
P186549001;13000;7979.43;79.4128;5806.56;11091.9
Q186549403_1;12755;4972.89;90.3498;5108.6;8881.8
P186549403;12810;6115.12;80.758;6581.02;8343.78
P186549005;12900;3676.16;89.9334;4827.45;7905.89
Q187549001_5;12955;5959.02;82.4781;6483.28;8299.21
Q187549001_4;13000;6322.24;91.0152;5383.9;9916.99
Q187549001_3;12755;5342.36;89.3649;5552.48;8744.73
Q187549001_2;13000;5257.78;91.386;4719.98;9610.16
Q187549001_1;12755;4289.01;90.3498;5198.92;8094.84
P188549001;12765;6061.67;79.0822;6016.56;8934.46
P188549003;13000;7792.37;88.9524;6462.06;10156.8
Q188549403_4;12755;5485.8;90.3498;5505.25;8942.07
Q188549403_3;13000;5770.69;91.386;4986.8;9818.59
Q188549403_2;12900;5876.32;82.0519;5128.85;9762.12
Q188549403_1;12900;4013.89;90.423;5162.21;7861.61
Q191549401_1;12800;5683.05;78.73;5402.44;9256.64
P191549401;12600;4392.73;80.478;5337.61;8040.29
P191549007;13000;7426.07;83.3586;6120.41;10180.4
Q192549401_3;12600;3223.48;80.352;4758.42;7531.98
Q192549001_2;13000;6175.63;90.1908;5441.21;9704.98
Q192549001_1;12965;6898.42;89.0209;5593.41;10254.1
P192549001;13000;5694.91;63.9023;4700.4;10069.6
Q192549401_2;13000;5782.75;89.0139;5496.5;9249
P192549401;12755;4045.06;81.4629;5103.47;7959.82
P193549005;13000;5271.58;77.1408;4883.66;9437.17
Q193549401_1;13000;5840.43;78.9645;5892.11;8855.24
P193549401;12400;5130.52;87.9408;5752.09;8305.11
P193549003;13000;6634.84;82.0153;5658.99;9915.67
Q194549001_1;12755;3540.99;78.6458;5250.69;7287.75
P194549001;12610;6035.73;76.8047;5578.26;9408.68
Q194549401_4;12755;4794.89;89.1453;5430.72;8336.21
Q194549401_3;12800;6048.58;83.7504;5360.68;9669.83
Q194549401_2;13000;6166.41;89.5269;5442.57;9694.2
Q194549401_1;13000;5950.54;90.2052;5084.29;9887.18
P194549401;12900;7018.76;89.1629;5896.95;10028
P195549001;12710;6255.7;60.178;6701.58;8346.78
P195549003;12600;4425.02;87.84;5337.95;8072.21
Q195549403_3;12206;3283.92;71.6865;5235.77;7047.71
