Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P202574201;P202574201_1;A;0;0;0;1600;1200;2700
P202574201;P202574201_2;B;0;1240;0;1600;2440;2700
P202574201;P202574201_3;C;1600;1240;0;3200;2440;2700
P202574201;P202574201_4;D;1600;0;0;3200;1200;2700
P202574201;P202574201_5;E;3200;0;0;4800;1200;2700
P202574201;P202574201_6;F;3200;1240;0;4800;2440;2700
P202574201;P202574201_7;G;4800;1240;0;6400;2440;2700
P202574201;P202574201_8;H;4800;0;0;6400;1200;2700
P202574201;P202574201_9;I;6400;0;0;8000;1200;2700
P202574201;P202574201_10;J;6400;1660;0;6970;2440;1340
P202574201;P202574201_11;K;6970;1660;0;7540;2440;478
P202574201;P202574201_12;L;7540;1240;0;8540;2440;1905
P202574201;P202574201_13;M;8000;0;0;9000;1200;1905
P202574201;P202574201_14;N;8540;1240;0;9540;2440;1905
P202574201;P202574201_15;O;9000;0;0;10000;1200;975
P202574201;P202574201_16;P;9540;1240;0;10540;2440;1905
P202574201;P202574201_17;Q;10000;0;0;11000;1200;1905
P202574201;P202574201_18;R;10540;1240;0;11540;2440;1905
P202574201;P202574201_19;S;11000;0;0;12000;1200;1905
P202574201;P202574201_20;T;11540;1240;0;12540;2440;1905
P201574201;P201574201_1;A;0;1240;0;1600;2440;2700
P201574201;P201574201_2;B;0;0;0;1600;1200;2700
P201574201;P201574201_3;C;1600;0;0;3200;1200;2700
P201574201;P201574201_4;D;1600;1240;0;3200;2440;2700
P201574201;P201574201_5;E;3200;1240;0;4800;2440;2700
P201574201;P201574201_6;F;3200;0;0;4800;1200;2700
P201574201;P201574201_7;G;4800;0;0;6400;1200;2700
P201574201;P201574201_8;H;4800;1240;0;6400;2440;2700
P201574201;P201574201_9;I;6400;1240;0;8000;2440;2700
P201574201;P201574201_10;J;6400;0;0;8000;1200;930
P201574201;P201574201_11;K;8000;0;0;8570;780;1340
P201574201;P201574201_12;L;8000;780;0;8570;1560;478
P201574201;P201574201_13;M;8000;1660;0;8570;2440;478
P201574201;P201574201_14;N;8570;1240;0;9570;2440;1905
P201574201;P201574201_15;O;8570;0;0;9570;1200;1905
P201574201;P201574201_16;P;9570;0;0;10570;1200;1905
P201574201;P201574201_17;Q;9570;1240;0;10570;2440;1905
P201574201;P201574201_18;R;10570;1240;0;11570;2440;1905
P201574201;P201574201_19;S;10570;0;0;11570;1200;1905
P201574201;P201574201_20;T;11570;0;0;12770;1000;1905
P201574201;P201574201_21;U;11570;1240;0;12570;2440;1905
P200574201;P200574201_1;A;0;0;0;1600;1200;2700
P200574201;P200574201_2;B;0;1240;0;1600;2440;2700
P200574201;P200574201_3;C;1600;1240;0;3200;2440;2700
P200574201;P200574201_4;D;1600;0;0;3200;1200;2700
P200574201;P200574201_5;E;3200;0;0;4800;1200;2700
P200574201;P200574201_6;F;3200;1240;0;4800;2440;2700
P200574201;P200574201_7;G;4800;1240;0;6400;2440;2700
P200574201;P200574201_8;H;4800;0;0;6400;1200;2700
P200574201;P200574201_9;I;6400;0;0;8000;1200;2700
P200574201;P200574201_10;J;6400;1240;0;8000;2440;2700
P200574201;P200574201_11;K;8000;1660;0;8570;2440;1340
P200574201;P200574201_12;L;8000;0;0;8570;780;478
