Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017500_14062023001295;P202574201;P202574201_1;A1;0;0;0 ;1600 ;1200 ;930
0091017500_14062023001295;P202574201;P202574201_1;A2;0;0;930 ;1600 ;1200 ;1815
0091017500_14062023001295;P202574201;P202574201_1;A3;0;0;1815 ;1600 ;1200 ;2700
0091017500_14062023001295;P202574201;P202574201_2;B1;0;1240;0 ;1600 ;2440 ;930
0091017500_14062023001295;P202574201;P202574201_2;B2;0;1240;930 ;1600 ;2440 ;1815
0091017500_14062023001005;P202574201;P202574201_2;B3;0;1240;1815 ;1600 ;2440 ;2700
0091017500_14062023001005;P202574201;P202574201_3;C1;1600;1240;0 ;3200 ;2440 ;930
0091017500_14062023001005;P202574201;P202574201_3;C2;1600;1240;930 ;3200 ;2440 ;1815
0091017500_14062023001005;P202574201;P202574201_3;C3;1600;1240;1815 ;3200 ;2440 ;2700
0091017500_14062023001427;P202574201;P202574201_4;D1;1600;0;0 ;3200 ;1200 ;930
0091017500_14062023001005;P202574201;P202574201_4;D2;1600;0;930 ;3200 ;1200 ;1815
0091017500_14062023001427;P202574201;P202574201_4;D3;1600;0;1815 ;3200 ;1200 ;2700
0091017500_14062023000367;P202574201;P202574201_5;E1;3200;0;0 ;4800 ;1200 ;930
0091017500_14062023000367;P202574201;P202574201_5;E2;3200;0;930 ;4800 ;1200 ;1815
0091017500_14062023000367;P202574201;P202574201_5;E3;3200;0;1815 ;4800 ;1200 ;2700
0091017500_14062023001924;P202574201;P202574201_6;F1;3200;1240;0 ;4800 ;2440 ;930
0091017500_14062023000367;P202574201;P202574201_6;F2;3200;1240;930 ;4800 ;2440 ;1815
0091017500_14062023001924;P202574201;P202574201_6;F3;3200;1240;1815 ;4800 ;2440 ;2700
0091017500_14062023001924;P202574201;P202574201_7;G1;4800;1240;0 ;6400 ;2440 ;930
0091017500_14062023001924;P202574201;P202574201_7;G2;4800;1240;930 ;6400 ;2440 ;1815
0091017500_14062023001924;P202574201;P202574201_7;G3;4800;1240;1815 ;6400 ;2440 ;2700
0091017500_14062023001924;P202574201;P202574201_8;H1;4800;0;0 ;6400 ;1200 ;930
0091017500_14062023001924;P202574201;P202574201_8;H2;4800;0;930 ;6400 ;1200 ;1815
0091017500_14062023001924;P202574201;P202574201_8;H3;4800;0;1815 ;6400 ;1200 ;2700
0091017500_14062023001924;P202574201;P202574201_9;I1;6400;0;0 ;8000 ;1200 ;930
0091017500_14062023001924;P202574201;P202574201_9;I2;6400;0;930 ;8000 ;1200 ;1815
0091017500_14062023001924;P202574201;P202574201_9;I3;6400;0;1815 ;8000 ;1200 ;2700
0091017500_14062023002469;P202574201;P202574201_10;J1;6400;1660;0 ;6970 ;2440 ;478
0091017500_14062023002469;P202574201;P202574201_10;J2;6400;1660;478 ;6970 ;2440 ;909
0091017500_14062023001002;P202574201;P202574201_10;J3;6400;1660;909 ;6970 ;2440 ;1340
0091017500_14062023002756;P202574201;P202574201_11;K1;6970;1660;0 ;7540 ;2440 ;478
0091017500_14062023001245;P202574201;P202574201_12;L1;7540;1240;0 ;8540 ;2440 ;975
0091017500_14062023001635;P202574201;P202574201_12;L2;7540;1240;975 ;8540 ;2440 ;1905
0091017500_14062023001245;P202574201;P202574201_13;M1;8000;0;0 ;9000 ;1200 ;975
0091017500_14062023001635;P202574201;P202574201_13;M2;8000;0;975 ;9000 ;1200 ;1905
0091017500_14062023001245;P202574201;P202574201_14;N1;8540;1240;0 ;9540 ;2440 ;975
0091017500_14062023001635;P202574201;P202574201_14;N2;8540;1240;975 ;9540 ;2440 ;1905
0091017500_14062023001635;P202574201;P202574201_15;O1;9000;0;0 ;10000 ;1200 ;975
0091017500_14062023001689;P202574201;P202574201_16;P1;9540;1240;0 ;10540 ;2440 ;975
0091017500_14062023001689;P202574201;P202574201_16;P2;9540;1240;975 ;10540 ;2440 ;1905
0091017500_14062023001689;P202574201;P202574201_17;Q1;10000;0;0 ;11000 ;1200 ;975
0091017500_14062023001689;P202574201;P202574201_17;Q2;10000;0;975 ;11000 ;1200 ;1905
0091017500_14062023001689;P202574201;P202574201_18;R1;10540;1240;0 ;11540 ;2440 ;975
0091017500_14062023001689;P202574201;P202574201_18;R2;10540;1240;975 ;11540 ;2440 ;1905
0091017500_14062023001689;P202574201;P202574201_19;S1;11000;0;0 ;12000 ;1200 ;975
0091017500_14062023001689;P202574201;P202574201_19;S2;11000;0;975 ;12000 ;1200 ;1905
0091017500_14062023001689;P202574201;P202574201_20;T1;11540;1240;0 ;12540 ;2440 ;975
0091017500_14062023001689;P202574201;P202574201_20;T2;11540;1240;975 ;12540 ;2440 ;1905
0091017500_14062023001721;P201574201;P201574201_1;A1;0;0;0 ;1600 ;1200 ;930
0091017500_14062023001721;P201574201;P201574201_1;A2;0;0;930 ;1600 ;1200 ;1815
0091017500_14062023001721;P201574201;P201574201_1;A3;0;0;1815 ;1600 ;1200 ;2700
0091017500_14062023001721;P201574201;P201574201_2;B1;0;1240;0 ;1600 ;2440 ;930
0091017500_14062023001721;P201574201;P201574201_2;B2;0;1240;930 ;1600 ;2440 ;1815
0091017500_14062023002750;P201574201;P201574201_2;B3;0;1240;1815 ;1600 ;2440 ;2700
0091017500_14062023002750;P201574201;P201574201_3;C1;1600;1240;0 ;3200 ;2440 ;930
0091017500_14062023002750;P201574201;P201574201_3;C2;1600;1240;930 ;3200 ;2440 ;1815
0091017500_14062023002750;P201574201;P201574201_3;C3;1600;1240;1815 ;3200 ;2440 ;2700
0091017500_14062023002435;P201574201;P201574201_4;D1;1600;0;0 ;3200 ;1200 ;930
0091017500_14062023002435;P201574201;P201574201_4;D2;1600;0;930 ;3200 ;1200 ;1815
0091017500_14062023002435;P201574201;P201574201_4;D3;1600;0;1815 ;3200 ;1200 ;2700
0091017500_14062023001407;P201574201;P201574201_5;E1;3200;0;0 ;4800 ;1200 ;930
0091017500_14062023002435;P201574201;P201574201_5;E2;3200;0;930 ;4800 ;1200 ;1815
0091017500_14062023001407;P201574201;P201574201_5;E3;3200;0;1815 ;4800 ;1200 ;2700
0091017500_14062023001407;P201574201;P201574201_6;F1;3200;1240;0 ;4800 ;2440 ;930
0091017500_14062023001407;P201574201;P201574201_6;F2;3200;1240;930 ;4800 ;2440 ;1815
0091017500_14062023001407;P201574201;P201574201_6;F3;3200;1240;1815 ;4800 ;2440 ;2700
0091017500_14062023000125;P201574201;P201574201_7;G1;4800;1240;0 ;6400 ;2440 ;930
0091017500_14062023001407;P201574201;P201574201_7;G2;4800;1240;930 ;6400 ;2440 ;1815
0091017500_14062023000125;P201574201;P201574201_7;G3;4800;1240;1815 ;6400 ;2440 ;2700
0091017500_14062023000125;P201574201;P201574201_8;H1;4800;0;0 ;6400 ;1200 ;930
0091017500_14062023000125;P201574201;P201574201_8;H2;4800;0;930 ;6400 ;1200 ;1815
0091017500_14062023000125;P201574201;P201574201_8;H3;4800;0;1815 ;6400 ;1200 ;2700
0091017500_14062023000125;P201574201;P201574201_9;I1;6400;0;0 ;8000 ;1200 ;930
0091017500_14062023000125;P201574201;P201574201_9;I2;6400;0;930 ;8000 ;1200 ;1815
0091017500_14062023000125;P201574201;P201574201_9;I3;6400;0;1815 ;8000 ;1200 ;2700
0091017500_14062023000125;P201574201;P201574201_10;J1;6400;1240;0 ;8000 ;2440 ;930
0091017500_14062023001428;P201574201;P201574201_11;K1;8000;1660;0 ;8570 ;2440 ;478
0091017500_14062023001428;P201574201;P201574201_11;K2;8000;1660;478 ;8570 ;2440 ;909
0091017500_14062023001428;P201574201;P201574201_11;K3;8000;1660;909 ;8570 ;2440 ;1340
0091017500_14062023002133;P201574201;P201574201_12;L1;8000;0;0 ;8570 ;780 ;478
0091017500_14062023000402;P201574201;P201574201_13;M1;8000;780;0 ;8570 ;1560 ;478
0091017500_14062023002633;P201574201;P201574201_14;N1;8570;0;0 ;9570 ;1200 ;975
0091017500_14062023000067;P201574201;P201574201_14;N2;8570;0;975 ;9570 ;1200 ;1905
0091017500_14062023002633;P201574201;P201574201_15;O1;8570;1240;0 ;9570 ;2440 ;975
0091017500_14062023000067;P201574201;P201574201_15;O2;8570;1240;975 ;9570 ;2440 ;1905
0091017500_14062023000596;P201574201;P201574201_16;P1;9570;1240;0 ;10570 ;2440 ;975
0091017500_14062023002633;P201574201;P201574201_16;P2;9570;1240;975 ;10570 ;2440 ;1905
0091017500_14062023000596;P201574201;P201574201_17;Q1;9570;0;0 ;10570 ;1200 ;975
0091017500_14062023000596;P201574201;P201574201_17;Q2;9570;0;975 ;10570 ;1200 ;1905
0091017500_14062023000596;P201574201;P201574201_18;R1;10570;0;0 ;11570 ;1200 ;975
0091017500_14062023000596;P201574201;P201574201_18;R2;10570;0;975 ;11570 ;1200 ;1905
0091017500_14062023000596;P201574201;P201574201_19;S1;10570;1240;0 ;11570 ;2440 ;975
0091017500_14062023000596;P201574201;P201574201_19;S2;10570;1240;975 ;11570 ;2440 ;1905
0091017500_14062023000596;P201574201;P201574201_20;T1;11570;1440;0 ;12770 ;2440 ;975
0091017500_14062023000596;P201574201;P201574201_20;T2;11570;1440;975 ;12770 ;2440 ;1905
0091017500_14062023000596;P201574201;P201574201_21;U1;11570;0;0 ;12570 ;1200 ;975
0091017500_14062023000596;P201574201;P201574201_21;U2;11570;0;975 ;12570 ;1200 ;1905
0091017500_14062023002544;P200574201;P200574201_1;A1;0;0;0 ;1600 ;1200 ;930
0091017500_14062023001721;P200574201;P200574201_1;A2;0;0;930 ;1600 ;1200 ;1815
0091017500_14062023002544;P200574201;P200574201_1;A3;0;0;1815 ;1600 ;1200 ;2700
0091017500_14062023002544;P200574201;P200574201_2;B1;0;1240;0 ;1600 ;2440 ;930
0091017500_14062023002544;P200574201;P200574201_2;B2;0;1240;930 ;1600 ;2440 ;1815
0091017500_14062023000334;P200574201;P200574201_2;B3;0;1240;1815 ;1600 ;2440 ;2700
0091017500_14062023000334;P200574201;P200574201_3;C1;1600;1240;0 ;3200 ;2440 ;930
0091017500_14062023000334;P200574201;P200574201_3;C2;1600;1240;930 ;3200 ;2440 ;1815
0091017500_14062023002788;P200574201;P200574201_3;C3;1600;1240;1815 ;3200 ;2440 ;2700
0091017500_14062023002788;P200574201;P200574201_4;D1;1600;0;0 ;3200 ;1200 ;930
0091017500_14062023002788;P200574201;P200574201_4;D2;1600;0;930 ;3200 ;1200 ;1815
0091017500_14062023002788;P200574201;P200574201_4;D3;1600;0;1815 ;3200 ;1200 ;2700
0091017500_14062023001051;P200574201;P200574201_5;E1;3200;0;0 ;4800 ;1200 ;930
0091017500_14062023001051;P200574201;P200574201_5;E2;3200;0;930 ;4800 ;1200 ;1815
0091017500_14062023001051;P200574201;P200574201_5;E3;3200;0;1815 ;4800 ;1200 ;2700
0091017500_14062023001051;P200574201;P200574201_6;F1;3200;1240;0 ;4800 ;2440 ;930
0091017500_14062023001051;P200574201;P200574201_6;F2;3200;1240;930 ;4800 ;2440 ;1815
0091017500_14062023001566;P200574201;P200574201_6;F3;3200;1240;1815 ;4800 ;2440 ;2700
0091017500_14062023001566;P200574201;P200574201_7;G1;4800;1240;0 ;6400 ;2440 ;930
0091017500_14062023001566;P200574201;P200574201_7;G2;4800;1240;930 ;6400 ;2440 ;1815
0091017500_14062023001566;P200574201;P200574201_7;G3;4800;1240;1815 ;6400 ;2440 ;2700
0091017500_14062023001566;P200574201;P200574201_8;H1;4800;0;0 ;6400 ;1200 ;930
0091017500_14062023001566;P200574201;P200574201_8;H2;4800;0;930 ;6400 ;1200 ;1815
0091017500_14062023001566;P200574201;P200574201_8;H3;4800;0;1815 ;6400 ;1200 ;2700
0091017500_14062023000658;P200574201;P200574201_9;I1;6400;0;0 ;8000 ;1200 ;930
0091017500_14062023001566;P200574201;P200574201_9;I2;6400;0;930 ;8000 ;1200 ;1815
0091017500_14062023000658;P200574201;P200574201_9;I3;6400;0;1815 ;8000 ;1200 ;2700
0091017500_14062023001452;P200574201;P200574201_10;J1;6400;1240;0 ;8000 ;2440 ;930
0091017500_14062023000203;P200574201;P200574201_10;J2;6400;1240;930 ;8000 ;2440 ;1815
0091017500_14062023002201;P200574201;P200574201_10;J3;6400;1240;1815 ;8000 ;2440 ;2700
0091017500_14062023000333;P200574201;P200574201_11;K1;8000;1660;0 ;8570 ;2440 ;478
0091017500_14062023000333;P200574201;P200574201_11;K2;8000;1660;478 ;8570 ;2440 ;909
0091017500_14062023002339;P200574201;P200574201_11;K3;8000;1660;909 ;8570 ;2440 ;1340
0091017500_14062023001260;P200574201;P200574201_12;L1;8000;0;0 ;8570 ;780 ;478
0091017500_14062023001841;P200574201;P200574201_13;M1;8570;0;0 ;9570 ;1200 ;975
0091017500_14062023001841;P200574201;P200574201_13;M2;8570;0;975 ;9570 ;1200 ;1905
0091017500_14062023001841;P200574201;P200574201_14;N1;8570;1240;0 ;9570 ;2440 ;975
0091017500_14062023001841;P200574201;P200574201_14;N2;8570;1240;975 ;9570 ;2440 ;1905
0091017500_14062023001841;P200574201;P200574201_15;O1;9570;1240;0 ;10570 ;2440 ;975
0091017500_14062023001841;P200574201;P200574201_15;O2;9570;1240;975 ;10570 ;2440 ;1905
0091017500_14062023002295;P200574201;P200574201_16;P1;9570;0;0 ;10570 ;1200 ;975
0091017500_14062023001841;P200574201;P200574201_16;P2;9570;0;975 ;10570 ;1200 ;1905
0091017500_14062023002295;P200574201;P200574201_17;Q1;10570;0;0 ;11570 ;1200 ;975
0091017500_14062023002295;P200574201;P200574201_17;Q2;10570;0;975 ;11570 ;1200 ;1905
0091017500_14062023001675;P200574201;P200574201_18;R1;10570;1240;0 ;11570 ;2440 ;975
0091017500_14062023002295;P200574201;P200574201_18;R2;10570;1240;975 ;11570 ;2440 ;1905
0091017500_14062023000744;P200574201;P200574201_19;S1;11570;1440;0 ;12770 ;2440 ;975
0091017500_14062023000744;P200574201;P200574201_19;S2;11570;1440;975 ;12770 ;2440 ;1905
0091017500_14062023000694;P199574201;P199574201_1;A1;0;0;0 ;1600 ;1200 ;930
0091017500_14062023000694;P199574201;P199574201_1;A2;0;0;930 ;1600 ;1200 ;1815
0091017500_14062023000694;P199574201;P199574201_1;A3;0;0;1815 ;1600 ;1200 ;2700
0091017500_14062023000694;P199574201;P199574201_2;B1;0;1240;0 ;1600 ;2440 ;930
