Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P194574201;11970;23579;60.6259;10546.2;21282.9
P195574201;13000;23504;63.7364;9668.78;22209.1
P198574201;13370;23086.2;73.9171;9262.38;22255
P184574201;11570;19192.6;55.3917;10198.5;17293.2
P185574201;12110;22962;63.7328;10955.2;20199.2
P186574201;10400;19530.1;53.3108;11853.9;15741.7
P187574201;9910;18561.6;41.0772;11890.6;14731.3
P188574201;9340;18217.9;40.619;11991.2;14272.8
P191574201;11110;18485.2;55.7624;10971.5;15703.6
P192574201;12770;24442.2;69.8203;10404.1;22308.2
P193574201;10970;19249.5;52.4073;11503.4;15861
P199574201;12570;24143.7;65.0613;10732.1;21635.4
P200574201;12770;23057.2;68.6503;10218.6;21134.8
P201574201;12770;24152.2;67.7504;9642.22;22887.6
P202574201;12540;24457.4;66.9223;10271.2;22475
Q184627001_1;3820;6419.48;6.8836;9948.55;4805.32
P184627001;13400;23918;40.1702;8574.15;23872.2
P186627001;12410;19087.3;29.9466;8533.9;19087.4
P187627001;12600;22367.4;34.7578;9787.37;20937.2
P188627001;8210;12662.3;20.2083;10804.4;10071.5
Q191627001_1;6810;10318.6;11.8759;10549.8;8018.32
P191627001;13400;23964.8;40.7789;9738.46;22590.4
P193627001;11210;18397.6;29.1568;10750.9;15867.8
P194627001;13010;22771.8;35.6708;9859.94;21258.7
P195627001;12400;15523.2;23.6791;8649.23;15391.8
Q198627001_1;4420;8861.96;9.7457;11373.4;5621.86
P198627001;13400;23953.2;40.7789;8289.14;24232.7
P200627001;12220;19928.9;30.4498;9399.07;18941.8
P201627001;11210;18710.8;29.7655;10598.6;16354.9
P202627001;8620;13151.3;19.9694;10910.4;10439.6
Q205627001_1;2810;6537.68;6.8836;10105.3;4744.58
P205627001;13400;23943.8;40.1702;8676.95;23780.8
P207627001;10010;16186.2;25.3818;10927.8;13454.5
P208627001;11000;18993.8;29.4612;10702.6;16519.1
P209627001;11810;17123;26.1136;8246.19;17451.5
