Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P209031505;P209031505_1;A;0;0;0;1600;1200;2955
P209031505;P209031505_2;B;0;1231;0;1007;2440;2920
P209031505;P209031505_3;C;1007;1240;0;2307;2440;2955
P209031505;P209031505_4;D;1600;0;0;2607;1209;2920
P209031505;P209031505_5;E;2307;1231;0;3314;2440;2920
P209031505;P209031505_6;F;2607;0;0;4207;1200;2385
P209031505;P209031505_7;G;3314;1240;0;4914;2440;2520
P209031505;P209031505_8;H;4207;0;0;5807;1200;2700
P209031505;P209031505_9;I;4914;1240;0;6514;2440;2700
P209031505;P209031505_10;J;5807;0;0;6814;1209;2920
P209031505;P209031505_11;K;6514;1231;0;7521;2440;2920
P209031505;P209031505_12;L;6814;0;0;8114;1200;2955
P209031505;P209031505_13;M;7521;1240;0;9121;2440;2955
P209031505;P209031505_14;N;8114;0;0;9121;1209;2920
P209031505;P209031505_15;O;9121;1240;0;10721;2440;2700
P209031505;P209031505_16;P;9121;0;0;10721;1200;2700
P209031505;P209031505_17;Q;10721;0;0;12321;1200;2700
P209031505;P209031505_18;R;10721;1231;0;11728;2440;2920
P209031505;P209031505_19;S;11728;1240;0;13328;2440;2700
P209031505;P209031505_20;T;12321;0;0;13328;1209;2920
P209031501;P209031501_1;A;0;1240;0;1600;2440;2385
P209031501;P209031501_2;B;0;0;0;1600;1200;2700
P209031501;P209031501_3;C;1600;0;0;2607;1209;2920
P209031501;P209031501_4;D;1600;1231;0;2607;2440;2920
P209031501;P209031501_5;E;2607;1240;0;4207;2440;2520
P209031501;P209031501_6;F;2607;0;0;4207;1200;2700
P209031501;P209031501_7;G;4207;0;0;5807;1200;2955
P209031501;P209031501_8;H;4207;1231;0;5214;2440;2920
P209031501;P209031501_9;I;5214;1240;0;6814;2440;2700
P209031501;P209031501_10;J;5807;0;0;6814;1209;2920
P209031501;P209031501_11;K;6814;1240;0;8414;2440;2520
P209031501;P209031501_12;L;6814;0;0;7821;1209;2920
P209031501;P209031501_13;M;7821;0;0;9421;1200;2520
P209031501;P209031501_14;N;8414;1240;0;10014;2440;2955
P209031501;P209031501_15;O;9421;0;0;10428;1209;2920
P209031501;P209031501_16;P;10014;1240;0;11614;2440;2700
P209031501;P209031501_17;Q;10428;0;0;12028;1200;2700
P209031501;P209031501_18;R;11614;1240;0;13214;2440;2520
P209031501;P209031501_19;S;12028;0;0;13035;1209;2920
P208031511;P208031511_1;A;0;1240;0;1600;2440;2700
P208031511;P208031511_2;B;0;0;0;1600;1200;2955
P208031511;P208031511_3;C;1600;0;0;2900;1200;2955
P208031511;P208031511_4;D;1600;1231;0;2607;2440;2920
P208031511;P208031511_5;E;2607;1231;0;3614;2440;2920
P208031511;P208031511_6;F;2900;0;0;3907;1209;2920
P208031511;P208031511_7;G;3614;1240;0;5214;2440;2520
P208031511;P208031511_8;H;3907;0;0;4914;1209;2920
P208031511;P208031511_9;I;4914;0;0;6514;1200;2910
P208031511;P208031511_10;J;5214;1240;0;6814;2440;2955
P208031511;P208031511_11;K;6514;0;0;8114;1200;2955
P208031511;P208031511_12;L;6814;1231;0;7821;2440;2920
P208031511;P208031511_13;M;7821;1231;0;8828;2440;2920
P208031511;P208031511_14;N;8114;0;0;9121;1209;2920
P208031511;P208031511_15;O;8828;1231;0;9835;2440;2920
P208031511;P208031511_16;P;9121;0;0;10128;1209;2920
P208031511;P208031511_17;Q;9835;1240;0;11435;2440;2700
P208031511;P208031511_18;R;10128;0;0;11728;1200;2955
P208031511;P208031511_19;S;11435;1231;0;12442;2440;2920
P208031511;P208031511_20;T;11728;0;0;13328;1200;2700
P208031511;P208031511_21;U;12442;1231;0;13449;2440;2920
P208031509;P208031509_1;A;0;1240;0;1600;2440;2955
P208031509;P208031509_2;B;0;0;0;1600;1200;2955
P208031509;P208031509_3;C;1600;0;0;3200;1200;2700
P208031509;P208031509_4;D;1600;1231;0;2607;2440;2920
P208031509;P208031509_5;E;2607;1231;0;3614;2440;2920
P208031509;P208031509_6;F;3200;0;0;4207;1209;2920
P208031509;P208031509_7;G;3614;1231;0;4621;2440;2920
P208031509;P208031509_8;H;4207;0;0;5214;1209;2920
P208031509;P208031509_9;I;4621;1240;0;6221;2440;2700
P208031509;P208031509_10;J;5214;0;0;6514;1200;2955
P208031509;P208031509_11;K;6221;1240;0;7521;2440;2955
P208031509;P208031509_12;L;6514;0;0;7814;1200;2955
P208031509;P208031509_13;M;7521;1240;0;9121;2440;2700
P208031509;P208031509_14;N;7814;0;0;8821;1209;2920
P208031509;P208031509_15;O;8821;0;0;10421;1200;2700
P208031509;P208031509_16;P;9121;1240;0;10721;2440;2700
P208031509;P208031509_17;Q;10421;0;0;12021;1200;2700
P208031509;P208031509_18;R;10721;1240;0;12321;2440;2700
P208031509;P208031509_19;S;12021;0;0;13321;1200;2955
P208031509;P208031509_20;T;12321;1231;0;13328;2440;2920
P208031507;P208031507_1;A;0;1240;0;1600;2440;2700
P208031507;P208031507_2;B;0;0;0;1600;1200;2700
P208031507;P208031507_3;C;1600;0;0;3200;1200;2700
P208031507;P208031507_4;D;1600;1240;0;3200;2440;2700
P208031507;P208031507_5;E;3200;1240;0;4800;2440;2700
P208031507;P208031507_6;F;3200;0;0;4207;1209;2920
P208031507;P208031507_7;G;4207;0;0;5214;1209;2920
P208031507;P208031507_8;H;4800;1231;0;5807;2440;2920
P208031507;P208031507_9;I;5214;0;0;6221;1209;2920
P208031507;P208031507_10;J;5807;1231;0;6814;2440;2680
P208031507;P208031507_11;K;6221;0;0;7521;1200;2955
P208031507;P208031507_12;L;6814;1240;0;8414;2440;2700
P208031507;P208031507_13;M;7521;0;0;9121;1200;2955
P208031507;P208031507_14;N;8414;1240;0;10014;2440;2955
P208031507;P208031507_15;O;9121;0;0;10721;1200;2910
P208031507;P208031507_16;P;10014;1240;0;11614;2440;2700
P208031507;P208031507_17;Q;10721;0;0;12321;1200;2700
P208031507;P208031507_18;R;11614;1240;0;13214;2440;2700
P208031507;P208031507_19;S;12321;0;0;13328;1209;2920
P208031503;P208031503_1;A;0;1240;0;1600;2440;2700
P208031503;P208031503_2;B;0;0;0;1600;1200;2700
P208031503;P208031503_3;C;1600;0;0;3200;1200;2700
P208031503;P208031503_4;D;1600;1240;0;3200;2440;2700
P208031503;P208031503_5;E;3200;1231;0;4207;2440;2920
P208031503;P208031503_6;F;3200;0;0;4800;1200;2385
P208031503;P208031503_7;G;4207;1240;0;5807;2440;2910
P208031503;P208031503_8;H;4800;0;0;5807;1209;2920
P208031503;P208031503_9;I;5807;0;0;7407;1200;2700
P208031503;P208031503_10;J;5807;1240;0;7407;2440;2700
P208031503;P208031503_11;K;7407;1240;0;9007;2440;2700
P208031503;P208031503_12;L;7407;0;0;8414;1209;2920
P208031503;P208031503_13;M;8414;0;0;9421;1209;2920
P208031503;P208031503_14;N;9007;1240;0;10607;2440;2700
P208031503;P208031503_15;O;9421;0;0;11021;1200;2955
P208031503;P208031503_16;P;10607;1231;0;11614;2440;2920
P208031503;P208031503_17;Q;11021;0;0;12028;1209;2920
P208031503;P208031503_18;R;11614;1240;0;13214;2440;2700
P208031503;P208031503_19;S;12028;0;0;13328;1200;2955
P208031501;P208031501_1;A;0;1240;0;1600;2440;2700
P208031501;P208031501_2;B;0;0;0;1600;1200;2520
P208031501;P208031501_3;C;1600;0;0;2607;1209;2920
P208031501;P208031501_4;D;1600;1240;0;3200;2440;2955
P208031501;P208031501_5;E;2607;0;0;3614;1209;2920
P208031501;P208031501_6;F;3200;1240;0;4800;2440;2700
P208031501;P208031501_7;G;3614;0;0;5214;1200;2700
P208031501;P208031501_8;H;4800;1231;0;5807;2440;2920
P208031501;P208031501_9;I;5214;0;0;6221;1209;2920
P208031501;P208031501_10;J;5807;1240;0;7407;2440;2385
P208031501;P208031501_11;K;6221;0;0;7228;1209;2920
P208031501;P208031501_12;L;7228;0;0;8235;1209;2920
P208031501;P208031501_13;M;7407;1240;0;9007;2440;2955
P208031501;P208031501_14;N;8235;0;0;9535;1200;2955
P208031501;P208031501_15;O;9007;1231;0;10014;2440;2920
P208031501;P208031501_16;P;9535;0;0;11135;1200;2700
P208031501;P208031501_17;Q;10014;1240;0;11614;2440;2700
P208031501;P208031501_18;R;11135;0;0;12735;1200;2700
