Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P188031509;13449;6163.03;88.5473;6402;8595.98
P189031551;13214;8764.45;85.2732;7135.61;10360.2
P206031511;13500;5719.74;91.953;5759.11;8886.32
P207031501;13328;7277.73;90.0198;6033.06;10131.7
P184031501;7700;4481.56;45.0234;6917.4;6326.36
P184031503;13328;7506.44;87.6065;6161.22;10214.2
P184031511;13449;6382.71;91.5911;6541.38;8656.61
P185031501;13328;7327.44;88.5798;6676.5;9447.14
P185031503;13442;7253.84;89.3843;6562.43;9503.72
P185031505;13416;8438.6;87.6024;7126.2;10045.1
P185031507;12800;8102.65;83.6658;6867.24;10004.7
P185031509;13384;5274.27;93.103;5654.89;8559.77
P185031511;13214;6603.18;90.6174;6558.98;8857
P186031501;13328;6784.73;89.2223;6346.94;9280.51
P186031503;13328;7276;88.2342;6216.13;9921.06
P186031505;13214;8136.78;86.3886;6783.86;10134
P186031507;13328;7122;90.6137;6694.42;9221.26
P186031509;13449;6085.27;92.5091;6124.69;8834.67
P186031511;13214;6079.48;89.4474;5867.7;9122.14
P187031501;13328;7865.89;87.6006;6411.89;10287.6
P187031503;13328;7710.84;88.7615;6664.14;9844.65
P187031507;12800;8719.55;83.3472;6985.4;10486.8
P187031509;13207;6555.62;89.811;6150.3;9275.79
P187031511;13270;5943.71;89.7389;6468.31;8300.99
P188031501;13328;6893.31;85.8726;6412.59;9314.17
P188031503;13328;7609.89;88.0902;6951.99;9415.21
P188031505;13449;7380.12;87.8669;6850.33;9301.46
P188031507;13500;6996.2;87.588;6044.7;9836.88
P188031511;13328;5497.31;91.9494;6060.14;8320.37
P189031553;13207;8279.04;85.0932;6630.12;10451.7
P189031555;13384;5767.2;92.842;5698.22;9003.26
P189031557;12800;6667.95;82.917;5998.81;9561
P191031501;13328;7335.68;89.3375;6669.01;9463.93
P191031503;13328;7163.51;90.1907;6537.18;9442.2
P191031505;13416;8377.87;87.2856;7203.18;9896.56
P191031507;12800;7751.52;85.6224;6791.43;9740.07
P191031509;13495;5321.18;94.5394;5541.57;8736
P191031511;13416;6958.3;89.0028;5937.74;9921.03
P192031501;13328;7440.98;88.1766;6514.49;9745.56
P192031503;13328;7298.64;89.3951;6237.66;9919.13
P192031505;13214;8183.25;86.5944;7063.85;9860.93
P192031507;12800;7544.44;84.7314;6131.07;10286.6
P192031509;13384;5448.7;93.0166;5817.93;8548.15
P192031511;13214;6835.7;87.2832;5992.57;9735.87
P193031501;13449;7195.89;88.3565;6358.45;9678.54
P193031503;13328;7623.55;88.4358;6489.91;9956.19
P193031505;13214;8080.19;87.084;7164.24;9643.32
P193031507;13207;8238.38;85.8114;6881.53;10124.1
P193031509;13495;5433.62;94.2472;5543.04;8846.77
P193031511;13407;6626.37;88.0092;6457.85;8995.59
P194031501;13328;7554.49;88.8947;6494.88;9881.45
P194031503;13328;6915.46;89.5283;6322.31;9439.35
P194031505;13416;8386.55;87.6888;7186.57;9924.19
P194031507;13214;7862.26;86.6556;6452.73;10237.3
P194031509;13472;5616.35;92.8726;5801.83;8734.18
P194031511;13500;7152.17;88.236;6380.09;9610.12
P198031501;13328;6791.48;88.9235;6159.53;9501.13
P198031503;13328;7575.58;87.3414;6782.32;9574.54
P198031505;13214;7687.97;87.2945;7155.57;9261
P198031507;13449;7549.11;89.6795;6210.12;10201
P198031509;13500;6496.04;93.6972;5403.63;10068.3
P198031511;13449;6906.81;88.7111;6547.18;9174.09
P199031501;13328;7028.75;88.2665;6447.88;9409.35
P199031503;13328;7364.25;87.8616;6555;9622.61
P199031505;13416;8565.64;87.9084;7121.77;10177.2
P199031507;13328;7675.78;88.5696;6379.27;10134.7
P199031509;13449;5473.88;95.0723;5659.8;8753.78
P199031511;13328;6761.06;89.1468;6401.27;9194.84
P200031501;13328;7207.81;88.2648;6562.32;9457.8
P200031503;13328;7676.72;88.0326;6866.28;9579.86
P200031505;13328;7202.22;87.8616;6907.57;9058.24
P200031507;12800;8597.32;83.8368;6671.43;10722.8
P200031509;13321;6421.07;91.6811;5947.91;9372.21
Q200031511_1;13472;5835.68;93.4109;6178.82;8523.31
P200031511;13214;6504.01;86.9706;6229.49;9133.81
P201031501;13442;7711.48;89.2115;6529.23;9999.24
P201031503;13328;7483.45;89.2979;6319.46;10010.6
P201031505;13214;8678.83;85.2732;7102.04;10312.9
P201031507;13214;8199.6;86.166;6545.88;10468.4
Q201031509_1;13321;5899.3;91.989;5672.88;9164.27
P201031509;13472;5146.39;93.7942;5582.18;8514.86
P201031511;13416;7688.89;87.084;6717.07;9762.3
P202031501;13442;6720.23;89.7833;6041.69;9564.35
P202031503;13328;7365.08;89.2979;6606.63;9564.51
Q202031505_2;13214;7864.05;87.1704;6889.96;9740.17
Q202031505_1;13442;7096.03;92.0609;6650.4;9245.51
P202031505;13214;8617.67;85.6764;6841.69;10548.9
P202031507;13449;7287.96;91.6451;5607.93;10627.1
P202031509;13500;6027.16;94.2732;5605.01;9369.59
P202031511;13449;6361.11;91.1267;6549.68;8625.53
P205031501;13328;7080.86;88.4339;6079.19;9882.19
P205031503;13328;7923.54;88.6086;6753.48;9955.4
P205031505;13328;7727.28;88.4358;7083.33;9382.74
P205031507;13500;8336.74;89.9244;6597.17;10547
P205031509;13449;5789.92;92.9357;5828.43;8877.39
P205031511;13449;6865.55;92.0483;6725.82;8928.98
P206031501;13442;6722.2;90.3635;6315.74;9253.59
P206031503;13328;7574.28;87.687;6893.87;9445.93
