Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P209031503;P209031503_1;A;0;1231;0;1007;2440;2920
P209031503;P209031503_2;B;0;0;0;1600;1200;2385
P209031503;P209031503_3;C;1007;1231;0;2014;2440;2920
P209031503;P209031503_4;D;1600;0;0;3200;1200;2955
P209031503;P209031503_5;E;2014;1231;0;3021;2440;2920
P209031503;P209031503_6;F;3021;1231;0;4028;2440;2920
P209031503;P209031503_7;G;3200;0;0;4500;1200;2955
P209031503;P209031503_8;H;4028;1240;0;5628;2440;2700
P209031503;P209031503_9;I;4500;0;0;6100;1200;2700
P209031503;P209031503_10;J;5628;1240;0;7228;2440;2700
P209031503;P209031503_11;K;6100;0;0;7700;1200;2700
P209031503;P209031503_12;L;7228;1231;0;8235;2440;2920
P209031503;P209031503_13;M;7700;0;0;8707;1209;2920
P209031503;P209031503_14;N;8235;1240;0;9835;2440;2700
P209031503;P209031503_15;O;8707;0;0;10307;1200;2700
P209031503;P209031503_16;P;9835;1240;0;11435;2440;2955
P209031503;P209031503_17;Q;10307;0;0;11314;1209;2920
P209031503;P209031503_18;R;11314;0;0;12321;1209;2920
P209031503;P209031503_19;S;11435;1231;0;12442;2440;2920
P209031503;P209031503_20;T;12321;0;0;13328;1209;2920
P209031503;P209031503_21;U;12442;1231;0;13449;2440;2920
P209031501;P209031501_1;A;0;0;0;1600;1200;2700
P209031501;P209031501_2;B;0;1240;0;1600;2440;2520
P209031501;P209031501_3;C;1600;1240;0;3200;2440;2385
P209031501;P209031501_4;D;1600;0;0;2900;1200;2955
P209031501;P209031501_5;E;2900;0;0;4500;1200;2700
P209031501;P209031501_6;F;3200;1240;0;4800;2440;2385
P209031501;P209031501_7;G;4500;0;0;5507;1209;2920
P209031501;P209031501_8;H;4800;1240;0;6400;2440;2700
P209031501;P209031501_9;I;5507;0;0;6514;1209;2920
P209031501;P209031501_10;J;6400;1240;0;8000;2440;2700
P209031501;P209031501_11;K;6514;0;0;8114;1200;2700
P209031501;P209031501_12;L;8000;1231;0;9007;2440;2920
P209031501;P209031501_13;M;8114;0;0;9714;1200;2910
P209031501;P209031501_14;N;9007;1240;0;10607;2440;2910
P209031501;P209031501_15;O;9714;0;0;11314;1200;2700
P209031501;P209031501_16;P;10607;1231;0;11614;2440;2920
P209031501;P209031501_17;Q;11314;0;0;12914;1200;2385
P209031501;P209031501_18;R;11614;1240;0;13214;2440;2700
P208031507;P208031507_1;A;0;1231;0;1007;2440;2920
P208031507;P208031507_2;B;0;0;0;1007;1209;2920
P208031507;P208031507_3;C;1007;0;0;2607;1200;2700
P208031507;P208031507_4;D;1007;1240;0;2307;2440;2955
P208031507;P208031507_5;E;2307;1231;0;3314;2440;2920
P208031507;P208031507_6;F;2607;0;0;3614;1209;2920
P208031507;P208031507_7;G;3314;1231;0;4321;2440;2920
P208031507;P208031507_8;H;3614;0;0;4621;1209;2920
P208031507;P208031507_9;I;4321;1231;0;5328;2440;2920
P208031507;P208031507_10;J;4621;0;0;5628;1209;2920
P208031507;P208031507_11;K;5328;1231;0;6335;2440;2920
P208031507;P208031507_12;L;5628;0;0;6635;1209;2920
P208031507;P208031507_13;M;6335;1231;0;7342;2440;2920
P208031507;P208031507_14;N;6635;0;0;7642;1209;2920
P208031507;P208031507_15;O;7342;1231;0;8349;2440;2920
P208031507;P208031507_16;P;7642;0;0;8649;1209;2920
P208031507;P208031507_17;Q;8349;1231;0;9356;2440;2920
P208031507;P208031507_18;R;8649;0;0;9656;1209;2920
P208031507;P208031507_19;S;9356;1231;0;10363;2440;2920
P208031507;P208031507_20;T;9656;0;0;10663;1209;2920
P208031507;P208031507_21;U;10363;1240;0;11963;2440;2700
P208031507;P208031507_22;V;10663;0;0;12263;1200;2700
P208031507;P208031507_23;W;11963;1240;0;13263;2440;2955
P208031507;P208031507_24;X;12263;0;0;13472;1007;2920
P208031505;P208031505_1;A;0;0;0;1600;1200;2700
P208031505;P208031505_2;B;0;1240;0;1600;2440;2700
P208031505;P208031505_3;C;1600;1240;0;3200;2440;2700
P208031505;P208031505_4;D;1600;0;0;3200;1200;2700
P208031505;P208031505_5;E;3200;0;0;4800;1200;2700
P208031505;P208031505_6;F;3200;1240;0;4800;2440;2700
P208031505;P208031505_7;G;4800;1240;0;6400;2440;2700
P208031505;P208031505_8;H;4800;0;0;6100;1200;2955
P208031505;P208031505_9;I;6100;0;0;7400;1200;2955
P208031505;P208031505_10;J;6400;1240;0;8000;2440;2910
P208031505;P208031505_11;K;7400;0;0;9000;1200;2700
P208031505;P208031505_12;L;8000;1240;0;9600;2440;2700
P208031505;P208031505_13;M;9000;0;0;10600;1200;2700
P208031505;P208031505_14;N;9600;1240;0;11200;2440;2700
P208031505;P208031505_15;O;10600;0;0;12200;1200;2520
P208031505;P208031505_16;P;11200;1231;0;12207;2440;2920
P208031505;P208031505_17;Q;12200;0;0;13207;1209;2920
P208031505;P208031505_18;R;12207;1231;0;13214;2440;2920
P208031503;P208031503_1;A;0;0;0;1600;1200;2700
P208031503;P208031503_2;B;0;1240;0;1600;2440;2700
P208031503;P208031503_3;C;1600;1240;0;3200;2440;2700
P208031503;P208031503_4;D;1600;0;0;3200;1200;2700
P208031503;P208031503_5;E;3200;0;0;4207;1209;2920
P208031503;P208031503_6;F;3200;1240;0;4800;2440;2910
P208031503;P208031503_7;G;4207;0;0;5507;1200;2955
P208031503;P208031503_8;H;4800;1240;0;6400;2440;2700
P208031503;P208031503_9;I;5507;0;0;6514;1209;2920
P208031503;P208031503_10;J;6400;1240;0;8000;2440;2700
P208031503;P208031503_11;K;6514;0;0;8114;1200;2520
P208031503;P208031503_12;L;8000;1240;0;9600;2440;2955
P208031503;P208031503_13;M;8114;0;0;9121;1209;2920
P208031503;P208031503_14;N;9121;0;0;10128;1209;2920
P208031503;P208031503_15;O;9600;1240;0;11200;2440;2700
P208031503;P208031503_16;P;10128;0;0;11428;1200;2955
P208031503;P208031503_17;Q;11200;1231;0;12207;2440;2920
P208031503;P208031503_18;R;11428;0;0;13028;1200;2520
P208031503;P208031503_19;S;12207;1231;0;13214;2440;2920
P208031501;P208031501_1;A;0;0;0;1600;1200;2700
P208031501;P208031501_2;B;0;1231;0;1007;2440;2920
P208031501;P208031501_3;C;1007;1231;0;2014;2440;2920
P208031501;P208031501_4;D;1600;0;0;3200;1200;2700
P208031501;P208031501_5;E;2014;1240;0;3614;2440;2700
P208031501;P208031501_6;F;3200;0;0;4800;1200;2700
P208031501;P208031501_7;G;3614;1231;0;4621;2440;2920
P208031501;P208031501_8;H;4621;1240;0;6221;2440;2700
P208031501;P208031501_9;I;4800;0;0;6100;1200;2955
P208031501;P208031501_10;J;6100;0;0;7700;1200;2910
P208031501;P208031501_11;K;6221;1231;0;7228;2440;2920
P208031501;P208031501_12;L;7228;1240;0;8828;2440;2955
P208031501;P208031501_13;M;7700;0;0;9300;1200;2700
P208031501;P208031501_14;N;8828;1231;0;9835;2440;2920
P208031501;P208031501_15;O;9300;0;0;10307;1209;2920
P208031501;P208031501_16;P;9835;1240;0;11435;2440;2700
P208031501;P208031501_17;Q;10307;0;0;11314;1209;2920
P208031501;P208031501_18;R;11314;0;0;12321;1209;2920
P208031501;P208031501_19;S;11435;1240;0;13035;2440;2700
P208031501;P208031501_20;T;12321;0;0;13328;1209;1955
P207031511;P207031511_1;A;0;0;0;1600;1200;2955
P207031511;P207031511_2;B;0;1240;0;1600;2440;2955
P207031511;P207031511_3;C;1600;1240;0;3200;2440;2955
P207031511;P207031511_4;D;1600;0;0;3200;1200;2955
P207031511;P207031511_5;E;3200;0;0;4800;1200;2385
P207031511;P207031511_6;F;3200;1240;0;4800;2440;2700
P207031511;P207031511_7;G;4800;1240;0;6400;2440;2955
P207031511;P207031511_8;H;4800;0;0;6400;1200;2955
P207031511;P207031511_9;I;6400;0;0;8000;1200;2955
P207031511;P207031511_10;J;6400;1240;0;8000;2440;2700
P207031511;P207031511_11;K;8000;1240;0;9600;2440;2385
P207031511;P207031511_12;L;8000;0;0;9300;1200;2955
P207031511;P207031511_13;M;9300;0;0;10900;1200;2700
P207031511;P207031511_14;N;9600;1240;0;11200;2440;2700
P207031511;P207031511_15;O;10900;0;0;11907;1209;2920
P207031511;P207031511_16;P;11200;1231;0;12207;2440;2920
P207031511;P207031511_17;Q;11907;0;0;13207;1200;2955
P207031511;P207031511_18;R;12207;1231;0;13214;2440;2920
P207031509;P207031509_1;A;0;1231;0;1007;2440;2920
P207031509;P207031509_2;B;0;0;0;1007;1209;2920
P207031509;P207031509_3;C;1007;0;0;2014;1209;2920
P207031509;P207031509_4;D;1007;1240;0;2607;2440;2955
P207031509;P207031509_5;E;2014;0;0;3614;1200;2955
P207031509;P207031509_6;F;2607;1240;0;4207;2440;2955
P207031509;P207031509_7;G;3614;0;0;4621;1209;2920
P207031509;P207031509_8;H;4207;1231;0;5214;2440;2920
P207031509;P207031509_9;I;4621;0;0;5628;1209;2920
P207031509;P207031509_10;J;5214;1240;0;6814;2440;2700
P207031509;P207031509_11;K;5628;0;0;7228;1200;2700
P207031509;P207031509_12;L;6814;1240;0;8414;2440;2700
P207031509;P207031509_13;M;7228;0;0;8235;1209;2920
P207031509;P207031509_14;N;8235;0;0;9835;1200;2910
P207031509;P207031509_15;O;8414;1231;0;9421;2440;2920
P207031509;P207031509_16;P;9421;1231;0;10428;2440;2920
P207031509;P207031509_17;Q;9835;0;0;10842;1209;2920
P207031509;P207031509_18;R;10428;1231;0;11435;2440;2920
P207031509;P207031509_19;S;10842;0;0;12442;1200;2955
P207031509;P207031509_20;T;11435;1231;0;12442;2440;2920
P207031509;P207031509_21;U;12442;1231;0;13449;2440;2920
P207031509;P207031509_22;V;12442;0;0;13449;1209;2920
P207031507;P207031507_1;A;0;1231;0;1007;2440;2920
P207031507;P207031507_2;B;0;0;0;1007;1209;2920
P207031507;P207031507_3;C;1007;0;0;2014;1209;2920
P207031507;P207031507_4;D;1007;1231;0;2014;2440;2920
P207031507;P207031507_5;E;2014;1231;0;3021;2440;2920
P207031507;P207031507_6;F;2014;0;0;3614;1200;2955
P207031507;P207031507_7;G;3021;1240;0;4621;2440;2955
P207031507;P207031507_8;H;3614;0;0;5214;1200;2910
P207031507;P207031507_9;I;4621;1240;0;6221;2440;2700
P207031507;P207031507_10;J;5214;0;0;6514;1200;2955
P207031507;P207031507_11;K;6221;1240;0;7521;2440;2955
P207031507;P207031507_12;L;6514;0;0;8114;1200;2700
P207031507;P207031507_13;M;7521;1240;0;9121;2440;2910
P207031507;P207031507_14;N;8114;0;0;9714;1200;2700
P207031507;P207031507_15;O;9121;1240;0;10721;2440;2700
P207031507;P207031507_16;P;9714;0;0;11314;1200;2700
P207031507;P207031507_17;Q;10721;1240;0;12321;2440;2700
P207031507;P207031507_18;R;11314;0;0;12914;1200;2700
P207031507;P207031507_19;S;12321;1231;0;13328;2440;2920
P207031505;P207031505_1;A;0;0;0;1600;1200;2700
P207031505;P207031505_2;B;0;1240;0;1600;2440;2700
P207031505;P207031505_3;C;1600;1240;0;3200;2440;2700
P207031505;P207031505_4;D;1600;0;0;3200;1200;2700
P207031505;P207031505_5;E;3200;0;0;4800;1200;2700
P207031505;P207031505_6;F;3200;1240;0;4800;2440;2700
P207031505;P207031505_7;G;4800;1240;0;6400;2440;2700
P207031505;P207031505_8;H;4800;0;0;6400;1200;2700
P207031505;P207031505_9;I;6400;0;0;8000;1200;2700
P207031505;P207031505_10;J;6400;1240;0;8000;2440;2700
P207031505;P207031505_11;K;8000;1240;0;9600;2440;2700
P207031505;P207031505_12;L;8000;0;0;9600;1200;2700
P207031505;P207031505_13;M;9600;0;0;11200;1200;2700
P207031505;P207031505_14;N;9600;1240;0;10900;2440;2955
P207031505;P207031505_15;O;10900;1240;0;12200;2440;2955
P207031505;P207031505_16;P;11200;0;0;12207;1209;2920
P207031505;P207031505_17;Q;12200;1231;0;13207;2440;2920
P207031505;P207031505_18;R;12207;0;0;13214;1209;2920
P207031503;P207031503_1;A;0;0;0;1007;1209;2920
P207031503;P207031503_2;B;0;1240;0;1600;2440;2700
P207031503;P207031503_3;C;1007;0;0;2014;1209;2920
P207031503;P207031503_4;D;1600;1240;0;3200;2440;2700
P207031503;P207031503_5;E;2014;0;0;3614;1200;2700
P207031503;P207031503_6;F;3200;1240;0;4800;2440;2700
P207031503;P207031503_7;G;3614;0;0;5214;1200;2910
P207031503;P207031503_8;H;4800;1240;0;6400;2440;2910
P207031503;P207031503_9;I;5214;0;0;6221;1209;2920
P207031503;P207031503_10;J;6221;0;0;7228;1209;2920
P207031503;P207031503_11;K;6400;1240;0;8000;2440;2955
P207031503;P207031503_12;L;7228;0;0;8828;1200;2700
P207031503;P207031503_13;M;8000;1240;0;9600;2440;2700
P207031503;P207031503_14;N;8828;0;0;10428;1200;2385
P207031503;P207031503_15;O;9600;1240;0;11200;2440;2700
P207031503;P207031503_16;P;10428;0;0;11435;1209;2920
P207031503;P207031503_17;Q;11200;1231;0;12207;2440;2920
P207031503;P207031503_18;R;11435;0;0;12442;1209;2920
P207031503;P207031503_19;S;12207;1231;0;13214;2440;2920
P207031503;P207031503_20;T;12442;0;0;13449;1209;2920
P207031501;P207031501_1;A;0;1240;0;1600;2440;2955
P207031501;P207031501_2;B;0;0;0;1600;1200;2700
P207031501;P207031501_3;C;1600;0;0;3200;1200;2700
P207031501;P207031501_4;D;1600;1240;0;3200;2440;2700
P207031501;P207031501_5;E;3200;1231;0;4207;2440;2920
P207031501;P207031501_6;F;3200;0;0;4800;1200;2910
P207031501;P207031501_7;G;4207;1231;0;5214;2440;2920
P207031501;P207031501_8;H;4800;0;0;6400;1200;2385
P207031501;P207031501_9;I;5214;1240;0;6514;2440;2955
P207031501;P207031501_10;J;6400;0;0;8000;1200;2700
P207031501;P207031501_11;K;6514;1240;0;8114;2440;2700
P207031501;P207031501_12;L;8000;0;0;9007;1209;2920
P207031501;P207031501_13;M;8114;1240;0;9714;2440;2700
P207031501;P207031501_14;N;9007;0;0;10607;1200;2385
P207031501;P207031501_15;O;9714;1231;0;10721;2440;2920
P207031501;P207031501_16;P;10607;0;0;12207;1200;2700
P207031501;P207031501_17;Q;10721;1231;0;11728;2440;2920
P207031501;P207031501_18;R;11728;1240;0;13328;2440;2700
P207031501;P207031501_19;S;12207;0;0;13214;1209;2920
P206031511;P206031511_1;A;0;0;0;1007;1209;2920
P206031511;P206031511_2;B;0;1240;0;1600;2440;2955
P206031511;P206031511_3;C;1007;0;0;2014;1209;2920
P206031511;P206031511_4;D;1600;1240;0;2900;2440;2955
P206031511;P206031511_5;E;2014;0;0;3021;1209;2920
P206031511;P206031511_6;F;2900;1231;0;3907;2440;2920
P206031511;P206031511_7;G;3021;0;0;4621;1200;2700
P206031511;P206031511_8;H;3907;1240;0;5507;2440;2385
P206031511;P206031511_9;I;4621;0;0;6221;1200;2700
P206031511;P206031511_10;J;5507;1240;0;7107;2440;2700
P206031511;P206031511_11;K;6221;0;0;7821;1200;2700
P206031511;P206031511_12;L;7107;1240;0;8707;2440;2700
P206031511;P206031511_13;M;7821;0;0;8828;1209;2920
P206031511;P206031511_14;N;8707;1231;0;9714;2440;2920
P206031511;P206031511_15;O;8828;0;0;9835;1209;2920
P206031511;P206031511_16;P;9714;1231;0;10721;2440;2920
P206031511;P206031511_17;Q;9835;0;0;10842;1209;2920
P206031511;P206031511_18;R;10721;1240;0;12321;2440;2955
P206031511;P206031511_19;S;10842;0;0;12442;1200;2955
P206031511;P206031511_20;T;12321;1231;0;13328;2440;2920
P206031511;P206031511_21;U;12442;0;0;13449;1209;2920
P206031509;P206031509_1;A;0;1231;0;1007;2440;2920
P206031509;P206031509_2;B;0;0;0;1007;1209;2920
P206031509;P206031509_3;C;1007;0;0;2014;1209;2920
P206031509;P206031509_4;D;1007;1231;0;2014;2440;2920
P206031509;P206031509_5;E;2014;1231;0;3021;2440;2920
P206031509;P206031509_6;F;2014;0;0;3021;1209;2920
P206031509;P206031509_7;G;3021;0;0;4028;1209;2920
P206031509;P206031509_8;H;3021;1231;0;4028;2440;2920
P206031509;P206031509_9;I;4028;1231;0;5035;2440;2920
P206031509;P206031509_10;J;4028;0;0;5035;1209;2920
P206031509;P206031509_11;K;5035;0;0;6042;1209;2920
P206031509;P206031509_12;L;5035;1231;0;6042;2440;2920
P206031509;P206031509_13;M;6042;1231;0;7049;2440;2920
P206031509;P206031509_14;N;6042;0;0;7049;1209;2920
P206031509;P206031509_15;O;7049;0;0;8056;1209;2920
P206031509;P206031509_16;P;7049;1240;0;8649;2440;2955
P206031509;P206031509_17;Q;8056;0;0;9656;1200;2955
P206031509;P206031509_18;R;8649;1240;0;10249;2440;2955
P206031509;P206031509_19;S;9656;0;0;10956;1200;2955
P206031509;P206031509_20;T;10249;1240;0;11549;2440;2955
P206031509;P206031509_21;U;10956;0;0;12256;1200;2955
P206031509;P206031509_22;V;11549;1240;0;12849;2440;2955
P206031509;P206031509_23;W;12256;0;0;13263;1209;2920
P206031507;P206031507_1;A;0;0;0;1600;1200;2955
P206031507;P206031507_2;B;0;1240;0;1600;2440;2955
P206031507;P206031507_3;C;1600;1240;0;3200;2440;2700
P206031507;P206031507_4;D;1600;0;0;3200;1200;2700
P206031507;P206031507_5;E;3200;0;0;4800;1200;2700
P206031507;P206031507_6;F;3200;1240;0;4800;2440;2910
P206031507;P206031507_7;G;4800;1240;0;6400;2440;2700
P206031507;P206031507_8;H;4800;0;0;6400;1200;2910
P206031507;P206031507_9;I;6400;0;0;8000;1200;2700
P206031507;P206031507_10;J;6400;1240;0;8000;2440;2700
P206031507;P206031507_11;K;8000;1240;0;9600;2440;2910
P206031507;P206031507_12;L;8000;0;0;9600;1200;2700
P206031507;P206031507_13;M;9600;0;0;11200;1200;2520
P206031507;P206031507_14;N;9600;1240;0;11200;2440;2700
P206031507;P206031507_15;O;11200;1240;0;12800;2440;2700
