Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P186031511;13449;5392.12;93.9869;5849.53;8455.52
P187031501;13214;7526.99;84.5118;6294.17;10083
P194031511;13449;6311.22;89.8613;6236.63;8932.87
P198031501;13328;7133.22;88.9583;6580.03;9363.01
P184031503;9007;5573.67;55.6805;7240.09;7050.24
P184031509;13449;6621.35;91.9289;5828.68;9708.54
P184031511;13214;7254.52;88.947;6546.42;9522.67
P185031501;13328;6970.26;89.1827;6265.24;9559.27
P185031503;13449;7407.98;89.5661;6138.63;10141.5
P185031507;13500;8377.06;85.8312;7039.56;10082.5
P185031509;13449;7384.3;90.8849;6273.91;9963.42
P185031511;13449;5630.57;94.5827;5479.29;9116.45
P186031501;12142;5875.1;73.4141;6568.32;8118.25
P186031503;13035;7237.12;86.8067;6449.6;9615.75
P186031505;13328;7725.75;89.4438;6601.44;9931.11
P186031507;12800;8843.41;83.3472;7027.96;10562.1
P186031509;13442;6071.21;90.7091;5853.73;9129.82
P187031505;13449;7360.47;91.1771;6136.86;10096
P187031507;13214;8179.98;87.3432;7027.55;9899.09
P187031509;13207;7465.32;89.226;6337.63;9971.72
P187031511;13449;5732.03;93.8141;5952.16;8678.31
P188031501;10428;5137.26;64.342;6726.93;7199.42
P188031503;13328;6970.7;87.1721;6297.45;9522.96
P188031505;13328;7855.52;88.695;6767.92;9870.91
P188031507;12800;8074.87;83.6658;6682.79;10187.4
P188031509;13449;5548.73;93.9779;5862.01;8597.89
P189031551;13214;8585.63;84.9276;6981.6;10357.2
P189031553;13214;8703.65;84.981;7120.15;10317.1
P189031555;13321;5672.5;90.2213;5905.03;8672.56
P189031557;13472;5594.32;93.5549;5918.49;8579.02
P191031501;12621;6529.35;79.7729;6466.7;8888.46
P191031503;13328;7236.52;87.5555;6547.92;9502.95
P191031505;13328;7401.96;90.3923;6198.26;10067.4
P191031507;12800;8811.28;82.944;6972.1;10593.7
P191031509;13442;6941.99;91.0835;5751.14;10117.7
P191031511;13449;5331.24;93.9779;5639.9;8633.86
P192031501;11435;5516.26;69.5957;6477.72;7862.8
P192031503;13328;7421.04;86.166;6603.48;9624.07
P192031505;13328;7075.4;91.2851;6118.31;9832.08
P192031507;12800;8874.42;83.3472;6927.32;10707.9
P192031509;13328;6735.89;90.4121;5861.68;9785.42
P192031511;13472;5570.13;92.4029;5779.93;8712.95
P193031501;13328;6518.84;81.8375;6442.8;8905.23
P193031503;13214;7434.92;88.4753;6638.35;9598.16
P193031505;13328;7495.73;88.5222;6871.47;9392.94
P193031507;13500;8169.16;85.2264;6734.19;10223
P193031509;13449;7161.98;91.6697;5649.67;10453.4
P193031511;13449;5753.05;93.4019;6054.02;8583.09
P194031501;13328;7405.62;88.1766;6263.11;9997.06
P194031503;13328;7578.26;88.4358;6924.57;9414.88
P194031505;13328;7595.29;88.7814;6715.89;9670.05
P194031507;12800;7762.2;84.96;6138.9;10495.4
P194031509;13442;6221.79;90.7091;5753.08;9395.25
P198031503;13214;7553.08;89.0712;6454.48;9926.15
P198031505;13328;7735.4;89.4995;7046.7;9432.65
P198031507;13449;7488.55;88.1795;5922.46;10468.7
P198031509;13449;6740.3;91.5299;5911.78;9732.66
P198031511;13500;6924.05;91.3176;6463.59;9286.72
P199031511;4800;1524.31;26.1792;5376.12;5127.93
P199031501;13449;6895.59;88.3895;6303.77;9440.64
P199031503;13328;7688.99;89.0406;6818.88;9646.22
P199031505;12800;8726.59;83.3472;7017.45;10457.2
P199031507;13442;5828.09;92.4623;5800.33;8947.62
P199031509;13449;6872.35;90.6389;6320.82;9397.93
P200031501;13328;7436.34;87.831;6702.45;9526.43
P200031503;13328;7022.43;88.7327;6314.29;9555.48
P200031505;13328;7914.09;88.6374;6908.54;9769
P200031507;12800;8628.08;83.7504;6891.46;10502.5
P200031509;13442;6092.3;92.3465;5888.35;9111.39
P200031511;13449;5858.2;92.1941;6184.91;8538.88
P201031501;13449;6865.98;88.1279;6087.43;9657.9
P201031503;13214;8315.78;86.5944;7020.57;10042.8
Q201031505_1;13328;7457.22;90.3923;6850.27;9378.63
P201031505;13214;8298.28;87.516;6447.02;10679.9
P201031507;13214;8337.9;87.6024;6949.54;10146
P201031509;13442;5403.45;95.1407;5581.84;8772.31
P201031511;13449;6342.82;91.2743;6684.97;8452.87
Q202031501_2;13328;6280.65;88.1309;6013.44;9156.99
Q202031501_1;13328;6993.15;89.1359;6378.59;9452.82
P202031501;13328;7489.01;89.1846;6336.04;9997.23
P202031503;13449;7336.62;90.4013;6489.39;9669.84
P202031505;13416;8499.64;86.4504;7198.48;10023.7
P202031507;13500;7559.85;88.8408;5990.54;10462.3
P202031509;13449;6561.09;93.0275;6443.96;8946.16
P202031511;13449;6888.56;90.2915;6393.72;9330.96
P205031501;13449;7040.1;90.9755;6167.1;9741.1
P205031503;13328;7593.29;89.127;6571.19;9833.17
P205031505;13328;7810.69;88.2054;6631.37;9981.9
P205031507;13214;8466.01;87.6024;6605.77;10666.4
P205031509;13442;5652.48;94.2785;5748.77;8830.86
P205031511;13449;6738.64;89.2223;6267.8;9324.73
P206031501;13328;7265.92;88.2431;6485.55;9603.52
P206031503;13328;7241.63;90.8819;6077.12;10045.3
P206031505;12800;8988.47;83.664;7143.74;10575
P206031507;13328;7008.06;89.8181;5759.26;10174.5
P206031509;13449;5627.57;94.1795;5493.55;9097.19
P206031511;12914;6015.31;86.5134;5957.68;8955.29
P207031501;13328;7231.01;85.8934;6682.47;9343.9
P207031505;13328;7565.4;88.1567;6796.32;9548.38
P207031507;13416;8538.82;87.9084;6992.21;10298.3
P207031509;13442;6708.11;91.1699;6030.02;9565.55
P207031511;13449;6357.45;92.3651;5416.04;9915.51
P208031501;10721;5252.65;66.3364;6507.09;7565.68
P208031503;13328;7456.22;87.4115;6497.28;9780.44
P208031505;13328;7493.46;88.839;6185.93;10173
P208031509;13328;7938.82;89.0316;6309.17;10477.7
P208031511;13149;5706.73;91.1897;6079.11;8508.14
P209031501;13328;7095.74;86.6333;6448.61;9475.5
P209031503;13449;6963.98;90.2555;5992.11;9864.67
P184334307;13130;20679.2;63.8488;10474.8;18464.5
P185334301;11660;21141.4;63.2749;10233.7;19201.9
P185334303;13030;24416.4;72.4968;9668.09;23122.3
P185334305;13180;25239.2;79.9005;11063.4;22352.8
P186334301;8670;14075.4;41.2217;10958.4;11308.9
P186334303;13030;24088.8;72.4968;10162.1;22231
P186334305;13180;24791.6;76.9448;10299.9;22776.5
P187334301;8770;14834.8;44.6082;11040.6;11974.4
P187334303;13030;24829.8;72.4968;10060.7;23087.7
P187334305;13180;25067;76.9448;11066.9;22176.6
P188334301;7300;10800.4;31.9998;11156.3;7807.97
P188334303;13130;22827.2;66.8045;9662.15;21539.9
P188334305;13130;25407.2;76.3063;10698.6;22937.2
P189334351;11660;16726.2;51.0289;10083.1;14958.5
P189334355;13230;25398.6;77.3717;11478.8;22038.2
P191334301;11660;19287.4;57.3635;10953;16527
P191334303;13130;24595.6;72.9275;9476.79;23519.8
P191334305;13230;24970.8;77.3717;11259.1;21861.1
P192334301;11710;20141.6;60.7461;10519.2;17876.3
P192334303;13030;25297.4;72.0737;9898.01;23740.9
P192334305;13230;25417.4;80.5389;9621.86;24176
P193334301;10190;17658.4;50.6666;11221.4;14591.7
P193334303;12980;24932.4;71.8583;10006.8;23251.8
P193334307;13180;24749;76.9448;10385.3;22636.5
P194334301;11610;17622;50.3905;10923.7;14895
P194334303;12980;25117.8;71.8583;10619.9;22737.6
P194334305;13180;24701.6;76.9448;10150.7;22856.7
P198334301;10190;16114.4;47.4993;10932.7;13377.1
P198334303;12980;25022.4;71.8583;10162.2;23164.4
P198334307;13180;25120.2;76.7332;10525.3;22847.8
P199334301;10190;16018.6;47.7109;10728.8;13514.1
P199334303;12930;25447.8;71.2199;10437.6;23275.6
P199334305;13180;25476.8;79.9005;10289.1;23474
P200334301;11660;19526.4;56.9404;10259;17558
P200334303;12980;25394.6;71.4352;10248;23438.7
P200334305;13230;25374.2;80.5389;11227.1;22301
P201334301;5830;9437;28.6817;11386.8;6181.6
P201334303;11660;19292.6;57.1519;10574.8;16963.8
P201334305;13080;24930.4;72.2891;9380.2;23964.8
P201334307;13230;24875.4;77.3717;10266.3;22898.7
P202334301;11560;18757.4;53.5539;11133.4;15791.1
P202334303;13130;24911.6;73.3506;9910.46;23340.9
P202334305;12980;24932.4;71.8583;10758.7;22393.8
P202334307;13230;25460;80.5389;9678.35;24154.2
P205334301;11660;21512.2;63.2749;10079.2;19749
P205334305;12980;23169.8;65.5238;10330.7;21119.5
P205334307;13180;24701.6;76.9448;10962.8;21930.1
P206334301;13130;22324.8;66.593;9780.05;20902.9
P206334305;12980;21986;62.5681;11231;18908.3
