Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017700_08062023004057;P209500907;P209500907_1;A1;0;1240;0 ;1000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_2;B1;0;20;0 ;1000 ;1220 ;975
0091017700_08062023004057;P209500907;P209500907_3;C1;1000;620;0 ;2000 ;1820 ;975
0091017700_08062023004057;P209500907;P209500907_4;D1;2000;1240;0 ;3000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_5;E1;2000;0;0 ;3000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_6;F1;3000;620;0 ;4000 ;1820 ;975
0091017700_08062023004057;P209500907;P209500907_7;G1;4000;1240;0 ;5000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_8;H1;4000;0;0 ;5000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_9;I1;5000;0;0 ;6000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_10;J1;5000;1240;0 ;6000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_11;K1;6000;1240;0 ;7000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_12;L1;6000;0;0 ;7000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_13;M1;7000;0;0 ;8000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_14;N1;7000;1240;0 ;8000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_15;O1;8000;1240;0 ;9000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_16;P1;8000;0;0 ;9000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_17;Q1;9000;0;0 ;10000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_18;R1;9000;1240;0 ;10000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_19;S1;10000;1240;0 ;11000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_20;T1;10000;0;0 ;11000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_21;U1;11000;0;0 ;12000 ;1200 ;975
0091017700_08062023004057;P209500907;P209500907_22;V1;11000;1240;0 ;12000 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_23;W1;12000;1440;0 ;13200 ;2440 ;975
0091017700_08062023004057;P209500907;P209500907_24;X1;12000;0;0 ;13000 ;1200 ;975
0091017700_08062023004057;P209500905;P209500905_1;A1;0;620;0 ;1000 ;1820 ;975
0091017700_08062023004057;P209500905;P209500905_2;B1;1000;1240;0 ;2000 ;2440 ;975
0091017700_08062023004057;P209500905;P209500905_3;C1;1000;0;0 ;2000 ;1200 ;975
0091017700_08062023004057;P209500905;P209500905_4;D1;2000;620;0 ;3000 ;1820 ;975
0091017700_08062023003580;P209500905;P209500905_5;E1;3000;620;0 ;4000 ;1820 ;750
0091017700_08062023003580;P209500905;P209500905_6;F1;4000;1240;0 ;5000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_7;G1;4000;0;0 ;5000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_8;H1;5000;0;0 ;6000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_9;I1;5000;1240;0 ;6000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_10;J1;6000;1240;0 ;7000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_11;K1;6000;0;0 ;7000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_12;L1;7000;0;0 ;8000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_13;M1;7000;1240;0 ;8000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_14;N1;8000;1240;0 ;9000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_15;O1;8000;0;0 ;9000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_16;P1;9000;0;0 ;10000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_17;Q1;9000;1240;0 ;10000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_18;R1;10000;1240;0 ;11000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_19;S1;10000;0;0 ;11000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_20;T1;11000;0;0 ;12000 ;1200 ;750
0091017700_08062023003580;P209500905;P209500905_21;U1;11000;1240;0 ;12000 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_22;V1;12000;1440;0 ;13200 ;2440 ;750
0091017700_08062023003580;P209500905;P209500905_23;W1;12000;0;0 ;13000 ;1200 ;750
0091017700_08062023003580;P209500903;P209500903_1;A1;0;620;0 ;1000 ;1820 ;750
0091017700_08062023003580;P209500903;P209500903_2;B1;1000;620;0 ;2000 ;1820 ;750
0091017700_08062023003580;P209500903;P209500903_3;C1;2000;1240;0 ;3000 ;2440 ;750
0091017700_08062023003580;P209500903;P209500903_4;D1;2000;20;0 ;3000 ;1220 ;750
0091017700_08062023003580;P209500903;P209500903_5;E1;3000;1240;0 ;4000 ;2440 ;750
0091017700_08062023003580;P209500903;P209500903_6;F1;3000;20;0 ;4000 ;1220 ;750
0091017700_08062023003580;P209500903;P209500903_7;G1;4000;0;0 ;5000 ;1200 ;750
0091017700_08062023003580;P209500903;P209500903_8;H1;4000;1240;0 ;5000 ;2440 ;750
0091017700_08062023003580;P209500903;P209500903_9;I1;5000;1240;0 ;6000 ;2440 ;750
0091017700_08062023003580;P209500903;P209500903_10;J1;5000;0;0 ;6000 ;1200 ;750
0091017700_08062023003580;P209500903;P209500903_11;K1;6000;0;0 ;7000 ;1200 ;750
0091017700_08062023003580;P209500903;P209500903_12;L1;6000;1240;0 ;7000 ;2440 ;750
0091017700_08062023003580;P209500903;P209500903_13;M1;7000;1240;0 ;8000 ;2440 ;750
0091017700_08062023003580;P209500903;P209500903_14;N1;7000;0;0 ;8000 ;1200 ;750
0091017700_08062023003580;P209500903;P209500903_15;O1;8000;0;0 ;9000 ;1200 ;750
0091017700_08062023000312;P209500903;P209500903_16;P1;8000;1240;0 ;9000 ;2440 ;750
0091017700_08062023000312;P209500903;P209500903_17;Q1;9000;1240;0 ;10000 ;2440 ;750
0091017700_08062023000312;P209500903;P209500903_18;R1;9000;0;0 ;10000 ;1200 ;750
0091017700_08062023000312;P209500903;P209500903_19;S1;10000;0;0 ;11000 ;1200 ;750
0091017700_08062023000312;P209500903;P209500903_20;T1;10000;1240;0 ;11000 ;2440 ;750
0091017700_08062023000312;P209500903;P209500903_21;U1;11000;1240;0 ;12000 ;2440 ;750
0091017700_08062023000312;P209500903;P209500903_22;V1;11000;0;0 ;12000 ;1200 ;750
0091017700_08062023000312;P209500903;P209500903_23;W1;12000;0;0 ;13200 ;1000 ;750
0091017700_08062023000312;P209500901;P209500901_1;A1;0;620;0 ;1000 ;1820 ;750
0091017700_08062023000312;P209500901;P209500901_2;B1;1000;1240;0 ;2000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_3;C1;1000;20;0 ;2000 ;1220 ;750
0091017700_08062023000312;P209500901;P209500901_4;D1;2000;620;0 ;3000 ;1820 ;750
0091017700_08062023000312;P209500901;P209500901_5;E1;3000;1240;0 ;4000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_6;F1;3000;20;0 ;4000 ;1220 ;750
0091017700_08062023000312;P209500901;P209500901_7;G1;4000;620;0 ;5000 ;1820 ;750
0091017700_08062023000312;P209500901;P209500901_8;H1;5000;1240;0 ;6000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_9;I1;5000;0;0 ;6000 ;1200 ;750
0091017700_08062023000312;P209500901;P209500901_10;J1;6000;0;0 ;7000 ;1200 ;750
0091017700_08062023000312;P209500901;P209500901_11;K1;6000;1240;0 ;7000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_12;L1;7000;1240;0 ;8000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_13;M1;7000;0;0 ;8000 ;1200 ;750
0091017700_08062023000312;P209500901;P209500901_14;N1;8000;0;0 ;9000 ;1200 ;750
0091017700_08062023000312;P209500901;P209500901_15;O1;8000;1240;0 ;9000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_16;P1;9000;1240;0 ;10000 ;2440 ;750
0091017700_08062023000312;P209500901;P209500901_17;Q1;9000;0;0 ;10000 ;1200 ;750
0091017700_08062023000312;P209500901;P209500901_18;R1;10000;0;0 ;11000 ;1200 ;750
0091017700_08062023000312;P209500901;P209500901_19;S1;10000;1240;0 ;11000 ;2440 ;750
