Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P184500901;13200;24465.5;22.32;10057.5;22727
P184500903;13200;24692.7;21.78;11316.3;21517.8
P184500905;13200;24545.9;22.32;10618.1;22167.6
P185500901;13200;24785;22.05;10854.6;22136.9
P185500903;13200;25106.8;24.57;11983.3;21170.6
P186500901;13200;24585.5;22.32;11537.6;21158.1
P186500903;13200;25038;21.24;11963.1;21124.9
P186500905;13200;25106.8;24.57;11952.5;21205.8
P187500901;12000;21599.1;18.54;11830.7;17837.2
P187500903;13200;24678.8;22.59;11959.5;20769.9
P187500905;13200;24172.8;23.13;11369.9;20936.7
P188500901;9800;13919.4;12.24;10118.2;12111.6
P188500903;13200;24585.5;22.05;11652.8;21026.6
P188500905;13200;25120.4;20.97;10835.5;22494.2
P188500907;13200;24984.6;25.38;11009.4;22159.9
P191500901;8000;13051.9;11.07;11555.1;9604.42
P191500903;13200;24693.8;22.05;11696.2;21085.3
P191500907;13200;24291.8;22.86;10532.6;22011.1
P192500901;13200;24465.5;22.59;10171.4;22597.1
P192500903;13200;25090.5;20.7;10353.4;23014.3
P192500905;13200;25134.6;24.84;10941;22387.9
P193500901;13200;24572.7;22.32;10420.7;22419.8
P193500903;13200;25010.1;20.97;11618.2;21490.7
P193500905;13200;25147.5;24.84;10948.1;22392.6
P194500901;13200;24545.9;22.32;11798.9;20820.1
P194500903;13200;25090.5;20.97;10237.9;23146.1
P194500905;13200;25147.5;24.84;10995.9;22338.2
P195500901;13200;24612.3;22.32;10435.4;22442.6
P195500903;13200;24880.3;20.7;11348;21669.1
P195500905;13200;24984.6;25.38;11978.6;21053.8
P198500901;12000;23359.9;21.42;11823.7;19606
P198500905;13200;24318.6;22.86;10351.9;22244.2
P199500901;8000;12773.1;11.34;11299.2;9617.68
P199500903;13200;24439.7;22.32;11779.4;20736.3
P199500905;13200;25105.7;24.84;10962.6;22334.4
P200500901;13200;24373.2;22.59;11461.9;21032.1
P200500903;13200;24771;21.51;11394.3;21507
P200500907;13200;24359.3;23.13;11731.6;20710.4
P201500901;13200;24358.3;22.59;11448.4;21032.5
P201500907;13200;24465.5;23.4;10036.6;22750.9
P202500901;11000;19531.8;16.74;11882.4;15710.8
P202500903;13200;24931.8;22.05;10745.8;22407.9
P202500905;13200;24969.4;20.7;10308;22945.1
P202500907;13200;24972.8;26.19;11920.4;21108.5
P205500901;10800;17331.5;14.94;10910;14620.1
P205500903;13200;24570.6;22.32;11699.9;20957.9
P205500905;13200;24612.4;23.13;11285.4;21472.7
P207500901;13200;23784.5;20.88;11224.2;20714.7
P207500903;13200;25104.5;21.24;10710.5;22620.8
P207500907;13200;24265;23.67;11664;20693.3
P208500901;13200;24677.8;22.32;10167.1;22814.2
P208500903;13200;25117.3;20.97;10370.6;23021.6
P208500905;13200;24238.2;23.67;10676.9;21792.9
P209500901;13200;24838.6;22.32;11719.2;21203.8
Q209500903_1;13200;24345.2;19.8;10779.7;21782.6
P209500903;13200;25049.8;20.7;10551.1;22748
P209500905;13200;24569.5;21.78;11230.8;21492.1
P209500907;13200;24319.9;28.08;10752.6;21788.2
P184574901;13020;21417.5;53.7061;10021.9;19719.6
P185574901;13040;20810.8;77.2874;9551.23;19650
P184574801;13070;16712.6;79.2849;8605.07;16631.6
P186574901;13050;20406.9;80.3719;9639.29;19145.6
P187574901;13050;20486.7;77.8699;9461.35;19428.5
P188574801;13040;21452.6;78.3922;9479.43;20373.8
P191574901;13226;21079;76.7347;10513.3;18820.4
P193574901;13050;20236.1;80.1746;9212.45;19461.9
P194574901;13040;20304.7;77.6726;9664.37;19014.8
Q195574801_1;13000;21547.8;76.9379;11576.8;18075.5
P198574901;13442;18817.8;75.957;8789.37;18526.4
P199574801;13230;20581.2;80.5929;10129.6;18760.4
P200574903;13220;22330.5;74.6615;11549.6;18889.3
P207574801;13070;18220.3;78.1624;8041.44;18782.4
P208574901;13020;22122.8;74.8024;10722.2;19625.8
P208574903;13030;21927.6;56.2475;11045.4;19061.8
Q184574901_1;8010;10677.7;43.7263;11296.1;7525.75
P185574903;13030;23097.3;73.3835;11880.5;19278.4
P186574903;13216;22746.5;69.7115;11527.7;19330.3
P187574903;13030;22317.6;75.8315;11605;18813.2
P188574901;11030;16309.7;55.9335;10913.6;13594.3
P188574903;13030;22820.8;83.0488;11984.6;18883.3
P191574903;13040;22529.5;84.6322;11718.1;18895.9
P191574801;13470;17407.9;75.9794;7560.29;18519.1
P192574901;13040;19915.2;79.9772;9015.43;19365.8
P192574903;13020;22637.6;75.8315;11834.5;18871.3
P193574903;13030;22260.1;74.9668;11274.6;19132.6
P194574903;13226;22767.6;78.2608;11775.8;19068.3
P195574901;11030;15137.5;52.0278;10966.3;12362
P195574903;13230;21127;71.4922;10362.1;19040.9
P195574801;13050;18896.4;82.5348;7944.08;19569.7
P198574903;13220;22275;74.6615;11386.1;19020.4
P199574901;12020;17152.1;64.922;10798.5;14568.1
P199574903;13030;22557.4;80.7331;11995;18608
P200574901;13060;18710.2;76.3422;9430.88;17686.8
P201574901;13040;20838.6;70.0514;9679.11;19531.9
P201574801;13050;20368.8;81.3728;9915.19;18792.7
P202574901;9050;13626.9;44.5873;11342.2;10422.3
P202574903;13210;20465.1;70.8052;10631.9;18071.1
Q202574801_1;13230;22842.7;79.6282;11968.8;18923.1
P202574801;13050;18639.4;81.4188;7980.05;19271.6
P205574901;13040;22931.8;79.2494;10335.7;20875.9
P205574801;13050;20562.7;79.8716;9888.26;19017.3
P207574901;13040;20612.5;75.974;9760.25;19213.2
P207574903;13030;22451.2;80.8168;11543.1;19017.4
P209574901;13050;19169.6;84.7273;9279.72;18318.6
P165500907;13200;22987.9;22.5;9525.65;21856.3
P166500901;3000;5306.77;4.77;8986.72;4790.19
P166500903;13200;24292.8;22.59;10487.2;22064
P166500907;12000;22921.4;22.77;11523.5;19510
P167500901;13200;24852.5;20.97;11755.5;21176.3
P167500903;13200;24732.4;22.59;10480.8;22510.9
P167500905;13200;25134.6;24.3;10833.3;22510.8
P170500901;13200;24906.1;20.97;11921.3;21040.7
P170500903;13200;24838.6;22.05;10546.7;22541.8
P170500907;13200;25134.6;24.3;11054.6;22258.3
P171500901;13200;24572.7;22.05;11478.5;21212.6
P171500903;13200;24906.1;21.78;11680.7;21315.3
P171500907;13200;25134.6;24.3;11445.2;21812.5
P172500901;13200;24772.1;21.51;11426.2;21471.7
P172500903;13200;24759.2;22.32;10602.7;22398.5
P172500905;13200;25148.5;24.3;11285.9;22008.2
P173500901;13200;24931.8;20.97;10596;22578.8
P173500903;13200;24652;22.59;11906.5;20803.6
P173500905;13200;25148.5;24.57;11114.2;22204.2
P174500901;6000;9826.45;8.37;11562.5;6370.59
P174500903;13200;24560.8;22.59;10721.4;22064.8
P174500905;13200;24162;23.4;10109.2;22364.4
P177500901;13200;24614.4;22.32;10068.8;22863
P177500903;13200;24520.1;22.05;11421.1;21225.5
P177500905;13200;25133.6;24.57;10954.8;22371.1
P178500901;13200;24253.2;22.86;10030.4;22545.5
P179500901;13200;24399;22.59;11317.7;21222.4
P166574801;7010;9863.78;36.1552;10862.2;7207.03
P167574901;13030;22386.6;67.7638;11131.9;19422
P167574801;13050;20654.1;79.799;9731.2;19287.9
P171574801;11020;15661.7;54.6775;9579.29;14468.9
P172574901;13040;23475.8;58.8877;9692.12;22154.2
